PMM:episode_rewards,avg_q_selected,policy_gradient_bias_correction,epoch_idx,episode_length,policy_entropy,rollout_prob_std,fps,advantage_norm,policy_gradient_loss,avg_q_retraced,policy_loss,frames,model_prob_std,P01:episode_rewards,grad_norm,q_loss,explained_variance,P09:episode_rewards
0.0,0.023705665534362198,0.0,1,0,1.9338867863019307,0.0884922547886769,485,0.11185738444328308,-0.0007855243586770181,0.023278079833835362,-0.0007855243586770181,7200,0.0884922573963801,0.0,0.02175855955432552,0.000146722447607317,-4.396481021245321,0.0
0.0,-0.04019057351785402,-2.4607513443539116e-10,2,0,1.6673469848930835,0.12114113929371038,228,0.4189909912024935,-0.0003366462219370684,-0.04202969433778587,-0.00033664647805077644,14400,0.12114113941788673,0.0,0.44416284106676557,0.016866346687917637,-5.300756057103475,0.0
0.0,0.003166241121167938,0.0,3,0,2.178117601076762,0.01930868299677968,275,0.04820458684116602,-2.0545513173904813e-05,0.003239803210211297,-2.0545513173904813e-05,21600,0.019308683338264625,0.0,0.0041784069620447156,3.826246434073255e-05,-5.4291715304056805,0.0
0.0,0.005911555255685623,0.0,4,0,2.1785518328348794,0.02166802460948626,311,0.06702547334134579,-0.0002815175843958665,0.005772703715289633,-0.0002815175843958665,28800,0.02166802491992712,0.0,0.006362520214592887,7.593247355544008e-05,-5.203780333201091,0.0
0.0,0.002692014241377668,0.0,5,0,2.1830182949701946,0.01892835386097431,336,0.030583252913008133,-3.9183351403456376e-05,0.002714991505490616,-3.9183351403456376e-05,36000,0.018928354109326997,0.0,0.0023132763736366507,1.4446440695792262e-05,-5.037856356302897,0.0
0.0,0.004145812572096475,0.0,6,3324.4166666666665,2.184514617919922,0.01751926646878322,356,0.03985376028964917,-0.00017132426781548324,0.004071068397024646,-0.00017132426781548324,43200,0.017519266717135905,0.0,0.0027395648470945884,1.982363972577635e-05,-4.420972339312235,0.0
0.0,0.0015507954095179835,0.0,7,3324.4166666666665,2.1770186901092528,0.02025148201112946,375,0.02760236319154501,-1.1051499366961556e-05,0.0015333939052652567,-1.1051499366961556e-05,50400,0.020251482259482145,0.0,0.0026035150080304936,1.4461717410085839e-05,-3.9946820894877115,0.0
0.0,-3.366943577323885e-05,0.0,8,3324.4166666666665,2.1516304572423297,0.03265604199841619,391,0.0242607567148904,-0.00013433527392407995,-0.00021344511672699202,-0.00013433527392407995,57600,0.03265604212259253,0.0,0.0022427781616184968,8.604214470627387e-06,-4.155354388554891,0.0
0.0,0.003012194368056953,0.0,9,3324.4166666666665,2.189029637972514,0.014301032821337382,403,0.03131354761620363,-9.971766042629801e-05,0.002968947319701935,-9.971766042629801e-05,64800,0.014301033162822326,0.0,0.0018849220660027133,1.3154470858959636e-05,-4.114545893669129,0.0
0.0,0.002060352212477786,0.0,10,3324.4166666666665,2.1887099504470826,0.014701814204454423,415,0.023712052187571924,-7.261668561113766e-05,0.002028694849771758,-7.261668561113766e-05,72000,0.014701814608027537,0.0,0.0013726447076510063,7.852307953726268e-06,-4.520136912663777,0.0
0.0,0.00387360475724563,0.0,11,3324.4166666666665,2.1868999163309732,0.016130699838201205,425,0.034268967465807994,-0.0001688890233405497,0.0037621777242748066,-0.0001688890233405497,79200,0.016130699931333464,0.0,0.0019596021276053663,1.4733477966425805e-05,-4.046458633740743,0.0
0.0,0.0004933350681919061,0.0,12,3324.375,2.191647998491923,0.011808521610995134,433,0.02087979589899381,-3.0474269290910646e-05,0.0004887803052232206,-3.0474269290910646e-05,86400,0.011808521797259648,0.0,0.0012226933069852182,5.514346465436878e-06,-3.8684183677037556,0.0
0.0,-0.0008460352221542659,0.0,13,3324.375,2.153928764661153,0.03243133292223017,442,0.018283446319401264,-9.129225615348939e-06,-0.0008842019315731402,-9.129225615348939e-06,93600,0.032431333356847364,0.0,0.0016174849372097763,4.747742984060702e-06,-3.104241649309794,0.0
0.0,-0.0003032118861180303,0.0,14,3324.375,2.180981747309367,0.017823392959932485,451,0.021166549529880285,2.5480863829822435e-05,-0.0002937505819621341,2.5480863829822435e-05,100800,0.017823393425593772,0.0,0.001405282906493232,6.410186567033331e-06,-4.275964283943177,0.0
0.0,0.0027793133907835,0.0,15,3324.375,2.189576292037964,0.013911927708735068,460,0.03214445309713483,-8.365487847186159e-05,0.002764177971918495,-8.365487847186159e-05,108000,0.013911927988131841,0.0,0.0017413921648288721,1.1526153101234133e-05,-3.487518246968587,0.0
0.0,4.9141046474687755e-05,0.0,16,3324.375,2.19004917939504,0.013528003791968028,469,0.017359915127356847,8.447962992477187e-05,0.0001358510369755095,8.447962992477187e-05,115200,0.013528003978232542,0.0,0.0008604347317161636,4.31969435415643e-06,-4.855941367149353,0.0
0.0,0.0017144937518559535,4.9830074160473324e-08,17,3324.277777777778,2.187877688994483,0.021667630472035692,473,0.03006807278146938,-0.00015857157113339146,0.0015576298643810288,-0.00015852174122257912,122400,0.015265221419810716,0.0,0.0016824033511423492,1.0295725546278672e-05,-2.8421714062160914,0.0
0.0,-0.0008988304023371359,-6.797565516334335e-06,18,3324.277777777778,2.1869578634746487,0.03425243403348657,469,0.019651277471178518,1.697705112904815e-05,-0.0008967809692811507,1.0179485078200711e-05,129600,0.01606144481911398,0.0,0.0010851355453536109,4.429829153783279e-06,-2.565177395121446,0.0
0.0,-0.0009364407206483222,7.951963852123441e-07,19,3324.277777777778,2.1854176931690286,0.03601556253534491,464,0.01763017074694049,6.224732072131663e-05,-0.0008773354041065515,6.304251757870906e-05,136800,0.016978482730124915,0.0,0.0010020195397958229,3.6382114703826273e-06,-2.7698588461693,0.0
