P01:episode_rewards,avg_q_selected,explained_variance,epoch_idx,rollout_prob_std,model_prob_std,frames,policy_gradient_loss,grad_norm,policy_entropy,advantage_norm,policy_gradient_bias_correction,q_loss,PMM:episode_rewards,P09:episode_rewards,fps,policy_loss,episode_length,avg_q_retraced
0.0,0.01753382170572877,-44.415441290537515,1,0.034893628271917505,0.03489362920324008,7200,0.000125707970255462,0.11059592439905118,2.101732075214386,0.05703536899139484,-7.927286836221607e-12,0.003365543113644283,0.0,0.0,451,0.00012570796249444053,0,0.016053885190437236
0.0,0.005616315153505033,-18.723765341440835,2,0.04002908430993557,0.04002908356487751,14400,-0.00011391359331203906,0.007561520994517452,2.1221457878748575,0.022455877469231684,0.0,4.6245110903934496e-05,0.0,0.0,216,-0.00011391359331203906,0,0.005544178509929528
0.0,0.006638848843673865,-10.957405845324198,3,0.0180561733742555,0.01805617396409313,21600,-0.00014422047997868502,0.003748736110832372,2.1788190841674804,0.02553411088883877,0.0,2.2514396338616886e-05,0.0,0.0,265,-0.00014422047997868502,0,0.006622621285108228
0.0,0.003992609757309158,-8.809213797251383,4,0.019353607669472694,0.019353607638428607,28800,-6.0701452821376736e-05,0.007464909844717702,2.1821207920710246,0.05866768027966221,0.0,6.887130166433053e-05,0.0,0.0,298,-6.0701452821376736e-05,0,0.003955777893618991
0.0,0.0059621959226205945,-5.369556673367819,5,0.01478428194920222,0.01478428194920222,36000,-0.00015036550527535534,0.003264780231194592,2.1882466952006023,0.029879067558795214,0.0,2.5581303680155544e-05,0.0,0.0,318,-0.00015036550527535534,0,0.005809408822096884
0.0,0.004405501310247928,-9.906114705403645,6,0.016321676472822826,0.01632167650386691,43200,-0.00010154971981440516,0.0051808246119592425,2.185185424486796,0.04469248512759805,0.0,4.083499917821124e-05,0.0,0.0,330,-0.00010154971981440516,3324.5833333333335,0.004385062066527705
0.0,0.004503924228871862,-18.714142004648846,7,0.01211771173402667,0.012117712137599787,50400,-8.523153455068193e-05,0.0021271259092520006,2.188917620976766,0.014992485754191875,0.0,9.759649007416252e-06,0.0,0.0,338,-8.523153455068193e-05,3324.5833333333335,0.004501499910838902
0.0,0.007111149801251789,-11.678523286183674,8,0.022508901730179786,0.022508901947488388,57600,-0.00016735568448590735,0.0024575890874674725,2.173812993367513,0.014913528133183718,0.0,9.170170172486298e-06,0.0,0.0,348,-0.00016735568448590735,3324.5833333333335,0.007041729862491289
0.0,0.0035205997992306948,-7.435066588719686,9,0.013898292370140553,0.013898292711625496,64800,-8.19516708967664e-05,0.0030308701912559813,2.1892778873443604,0.032346683616439505,0.0,2.3964591112720274e-05,0.0,0.0,356,-8.19516708967664e-05,3324.5833333333335,0.0034796442138031124
0.0,0.0044599424581974745,-8.350199000040691,10,0.014920024573802948,0.014920024480670691,72000,-9.12497263319286e-05,0.0025210324575546997,2.1884262720743815,0.024854210391640662,0.0,1.6876911528621954e-05,0.0,0.0,365,-9.12497263319286e-05,3324.5833333333335,0.0045000746729783716
0.0,0.003833323445481559,-7.869929051399231,11,0.016996107809245587,0.01699610787133376,79200,-8.581324304941517e-05,0.004293569939274913,2.1858985503514607,0.04236815171316266,0.0,3.459221253100016e-05,0.0,0.0,372,-8.581324304941517e-05,3324.5833333333335,0.003713914154407879
0.0,0.002817869659823676,-9.604659255345663,12,0.010012692616631588,0.010012692585587502,86400,-6.60110139506287e-05,0.0011746024287902434,2.1931339343388876,0.013545532741894325,0.0,5.062077764250716e-06,0.0,0.0,377,-6.60110139506287e-05,3325.0416666666665,0.00277176588618507
0.0,0.006000149653603634,-10.999824984868367,13,0.019137220395108064,0.019137220022579036,93600,-0.00011445864044314172,0.0018504723598715689,2.180839276313782,0.010242793709039688,0.0,5.737319834982676e-06,0.0,0.0,382,-0.00011445864044314172,3325.0416666666665,0.005924385692924261
0.0,0.0030316482724932333,-8.309471289316813,14,0.013242833192149799,0.013242833067973454,100800,-7.420938187957896e-05,0.001228684707207387,2.1888442754745485,0.01195630015184482,0.0,3.3571472007073074e-06,0.0,0.0,386,-7.420938187957896e-05,3325.0416666666665,0.002928884878444175
0.0,0.0010264469302304253,-8.60965282122294,15,0.01203974982102712,0.012039749789983034,108000,-1.986789796622664e-05,0.0032126480201101278,2.1914512554804486,0.035446729883551596,0.0,2.3403094542118196e-05,0.0,0.0,390,-1.986789796622664e-05,3325.0416666666665,0.0010807240614667535
0.0,0.002802122889988823,-6.686442295710246,16,0.009681850764900446,0.009681850609680017,115200,-7.458613443607949e-05,0.0010825426358197748,2.19349582195282,0.014057979670663674,0.0,6.069584012872535e-06,0.0,0.0,394,-7.458613443607949e-05,3325.0416666666665,0.002803824795410037
0.0,0.001347950543704284,-5.845937227777072,17,0.012956544879975447,0.010226382892523402,122400,-1.35184164346428e-05,0.002640199384567686,2.1929898247643123,0.031071643759311724,6.9329879104884635e-06,1.7005892108832157e-05,0.0,0.0,392,-6.5854284354740915e-06,3325.027777777778,0.0013895562721512446
0.0,0.0014515539986071108,-5.434488868451049,18,0.017487135714818396,0.009486365896021835,129600,-2.5961210184738915e-05,0.0011154511443816878,2.193579670839323,0.015182006686670323,1.352854270106457e-05,4.533102894735882e-06,0.0,0.0,385,-1.2432667294957135e-05,3325.027777777778,0.0014169850678602213
0.0,0.0011221709659810432,-4.862679074986902,19,0.018520284575723092,0.010201861701213396,136800,-2.8413825611987844e-05,0.0009195482189190408,2.1929675925093353,0.013213408301195141,4.861431204727059e-06,3.2261219731893448e-06,0.0,0.0,379,-2.3552394398573368e-05,3325.027777777778,0.0010987996424611233
0.0,0.0002860394718193256,-4.312202524331512,20,0.01720925104836367,0.009533015748814844,144000,-1.0194523769120112e-05,0.0009160825980845592,2.1936290079954444,0.014170224489403948,7.220374723890399e-06,3.5623637611397394e-06,0.0,0.0,373,-2.9741491494011047e-06,3325.027777777778,0.0002657319633138295
0.0,-0.00014451911478195213,-4.597348784766499,21,0.015867078758199656,0.009291094029544011,151200,9.696591433294674e-06,0.0007383742819760699,2.1938133025547812,0.012457101182071566,4.706273170569376e-06,2.814772005406564e-06,0.0,0.0,370,1.4402864525047942e-05,3325.027777777778,-0.00016401541910355147
0.0,-0.00045871842160203843,-3.5908219141737807,22,0.0156306514685429,0.008785212203113747,158400,9.729878317418197e-06,0.000704487373541802,2.1941649740303633,0.012617061002079578,7.048992138781394e-06,2.638421705249866e-06,0.0,0.0,367,1.6778870421915528e-05,3325.027777777778,-0.0004503365564975322
0.0,-0.0003108767095674978,-3.812253878927893,23,0.01515481198243501,0.008664279383910258,165600,7.107028872014998e-06,0.00048323592585813727,2.1942428894080814,0.009113636380578908,3.0179749920094652e-06,1.4310013262854932e-06,0.0,0.0,364,1.012500381379473e-05,3324.6666666666665,-0.00030796956794340135
0.0,7.560285559683444e-06,-2.8445723704522825,24,0.016504110819737402,0.00874131547589484,172800,8.798834135641719e-07,0.0004480536443119338,2.194195735057195,0.008498081057247623,1.7952773604045114e-06,1.131077035430935e-06,0.0,0.0,362,2.675160777844698e-06,3324.6666666666665,9.977343435997097e-06
0.0,-0.00035793376523792,-3.361301781407425,25,0.015376980012755783,0.00883323911030496,180000,8.695870142793138e-06,0.0004534667318218825,2.1941250128689265,0.008489457091449628,6.462538470889419e-07,1.2169692515418172e-06,0.0,0.0,359,9.342124034751867e-06,3324.6666666666665,-0.00036518000435205886
