approx_kl_divergence,advantage_norm,clip_fraction,fps,value_loss,P09:episode_rewards,P01:episode_rewards,epoch_idx,explained_variance,episode_length,policy_entropy,PMM:episode_rewards,grad_norm,policy_loss,frames
0.27888630724169194,15.96871885061264,0.3562744140625,177,10.70944740944542,150.0,0.0,1,-0.019018381461501123,299.2903225806452,1.6322921915270854,66.93548387096774,91.65265528587807,0.014365602174802917,10240
0.0021854609809565774,15.968718355894088,0.145068359375,172,0.02672197886859067,200.0,0.0,2,7.078051567077636e-09,313.0952380952381,1.7648400329053402,104.36507936507937,0.6281742626560582,-0.0011338562853779877,20480
0.0014545315450789076,15.96871789097786,0.0904052734375,177,0.019586435484234242,235.00000000000014,0.0,3,-6.332993507385254e-09,316.03092783505156,1.7572992898523807,115.20618556701031,0.23421617001607178,-0.0016250280397798634,30720
0.00111344880844797,15.968718034029006,0.066845703125,184,0.021747374266851693,255.00000000000043,25.0,4,2.2351741790771484e-09,329.21,1.7490263901650906,153.5,0.1866633094932508,-0.0017890912400616798,40960
0.0007153412693313044,15.968717956542969,0.026611328125,185,0.02019243123359047,375.0,25.0,5,-1.0430812835693359e-08,332.82,1.773293212801218,166.0,0.12283002402855718,-0.0016806428742711433,51200
0.0002782261683194065,15.968718081712723,0.0029296875,189,0.021054501054459253,427.5000000000002,47.50000000000001,6,7.450580596923829e-10,336.94,1.772625621408224,184.0,0.1039736871524457,-0.0006423237911803881,61440
0.0003114277101779805,15.968718159198762,0.0037353515625,191,0.02136280528793577,427.5000000000002,50.0,7,7.078051567077636e-09,340.62,1.7833927400410174,194.75,0.10658054888015973,-0.0009876295236608712,71680
0.00010232981517788176,15.968718147277832,0.0,192,0.019710015587043016,450.0,50.0,8,-1.4901161193847657e-09,337.7,1.7876224040985107,191.0,0.0843571250479297,-0.0003900594052538509,81920
9.399462126609137e-05,15.968718153238296,0.0,193,0.020610493834828957,357.5000000000007,50.0,9,3.7252902984619143e-10,338.92,1.7836837731301785,183.75,0.09151775703802816,-0.00023143010766943917,92160
0.00014582833196215007,15.968717902898788,0.0,194,0.018262288079131394,275.0,50.0,10,-3.3527612686157227e-09,329.11,1.7832621283829213,158.5,0.0690294220514412,-0.0005062580668891315,102400
8.848287113139008e-05,15.968718045949936,0.0,194,0.01866659783408977,275.0,47.50000000000001,11,-1.0430812835693359e-08,333.15,1.7762308329343797,159.5,0.06862923318762786,-0.0002917864429036854,112640
