frames,clip_fraction,episode_length,policy_entropy,value_loss,policy_loss,PMM:episode_rewards,advantage_norm,P01:episode_rewards,approx_kl_divergence,epoch_idx,explained_variance,grad_norm,fps,P09:episode_rewards
10240,0.261279296875,349.16,1.3230420142412185,0.800516149494797,0.005442241090349853,250.0,15.968719273805618,95.00000000000001,0.0063664028533831395,1,0.1483375582844019,22.498463274414632,321,515.0
20480,0.221875,357.74545454545455,1.4606401279568673,0.2835814698599279,-0.00013261118074296973,233.63636363636363,15.968719154596329,110.0,0.0036615448497065864,2,0.5529865078628063,7.3151739465930685,220,460.0000000000001
30720,0.2248291015625,358.8452380952381,1.6088363282382487,0.21593789709731936,-0.0017880912324471864,224.10714285714286,15.968719094991684,100.0,0.0035565481259714404,3,0.5451906532049179,5.722418205143373,219,392.50000000000006
40960,0.137646484375,357.91,1.7248102359473705,0.19386883988045156,-0.0038466595418867656,223.5,15.96871950030327,100.0,0.002178649022858139,4,0.5477989885956049,5.5276666612675385,220,375.0
51200,0.1467529296875,357.18,1.7408922918140888,0.1468278388492763,-0.0049946511870075485,225.5,15.968719315528869,75.0,0.0023306155038429694,5,0.5737611051648855,3.9777786585150374,224,402.5000000000002
61440,0.1470703125,363.73,1.7330643862485886,0.13592935665510594,-0.0063954554359952455,265.5,15.968719315528869,100.0,0.002253042742745828,6,0.6407185681164265,3.526657836025668,228,575.0
71680,0.1618896484375,359.69,1.7320591501891613,0.12255089646205305,-0.005204261784820119,256.0,15.968719255924224,75.0,0.00248546057996495,7,0.6094112507998943,3.2102383281459397,230,505.00000000000045
81920,0.1590087890625,367.2,1.749625214189291,0.11558277122676372,-0.0068001942618138855,290.5,15.968719154596329,122.5,0.0024779662227731813,8,0.7068019282072783,2.57355297321035,230,575.0
92160,0.1425537109375,377.72,1.7264841757714748,0.12144525342155248,-0.007264575637236703,313.25,15.968719238042832,125.0,0.0022474279270912256,9,0.6901954039931297,2.7103496786259207,232,600.0
102400,0.139794921875,369.84,1.7070070251822471,0.12665842627175153,-0.006166465486603556,315.5,15.96871920824051,125.0,0.0021945601904920647,10,0.7413432579487562,2.707706966861776,233,600.0
112640,0.157421875,378.24,1.727106911689043,0.12720349994488062,-0.006267316022422165,329.0,15.968719297647477,150.0,0.002430244775291894,11,0.7794749729335309,2.626014694006501,234,600.0
122880,0.123486328125,374.41,1.7279150903224945,0.13806298377458007,-0.007773370754875941,337.75,15.968719440698624,150.0,0.0019807974744938672,12,0.7809920132160186,2.579982992720693,234,602.5000000000002
133120,0.1474609375,390.01,1.716985249519348,0.12653437871485948,-0.007994141319068148,372.25,15.968719160556793,150.0,0.002297196810400563,13,0.8077892147004604,2.5945519069546767,234,650.0
143360,0.14072265625,402.74,1.7374666817486286,0.11539530812297016,-0.007751401547284331,396.5,15.9687191426754,150.0,0.002262370134508563,14,0.8129482876509428,2.1871054220816633,235,652.5000000000002
153600,0.1091064453125,404.75,1.7340227298438549,0.16286959336139262,-0.006658943550064578,403.0,15.968719255924224,175.0,0.0018105525595277006,15,0.7327957384288311,2.759877871775056,235,675.0
163840,0.1345703125,412.11,1.7271446965634822,0.13294827176723628,-0.007458683595905314,400.5,15.968719321489335,175.0,0.002132087550467375,16,0.8232436534017324,2.608809729823329,235,677.5000000000002
174080,0.1369873046875,401.03,1.7185696907341481,0.14017695137299596,-0.007893121628148947,372.5,15.968719267845154,175.0,0.0022566142090912093,17,0.7814067117869854,2.668584733585817,234,650.0
184320,0.140625,404.17,1.7239652290940284,0.12437380412593484,-0.008352075464790687,382.5,15.968719279766082,175.0,0.0022233370963024774,18,0.8115820862352848,2.0678064140631243,235,650.0
194560,0.150537109375,405.98,1.7283843748271466,0.12004132003057748,-0.008491853412851923,369.25,15.968719244003296,200.0,0.0022942411006172713,19,0.8543729066848755,2.1147927722843365,235,650.0
204800,0.1381591796875,406.02,1.7204589314758778,0.1438865814357996,-0.00844913032851764,372.5,15.968719226121902,200.0,0.002174636365453183,20,0.8595085069537163,2.0498739930935637,235,650.0
215040,0.1520263671875,411.03,1.7291414953768254,0.1310779218096286,-0.008375547500691027,394.0,15.968719202280045,197.5,0.002360013067437011,21,0.8320614751428366,2.0944745976342167,235,650.0
225280,0.137744140625,409.57,1.7203610368072986,0.16038851288612932,-0.008985532762380899,407.75,15.96871926188469,175.0,0.002238514160126519,22,0.7992825113236904,2.453227718909215,235,652.5000000000002
235520,0.169287109375,406.45,1.71067765802145,0.1436302684713155,-0.008860008307237877,430.0,15.968719232082368,197.5,0.002672994723548375,23,0.8577354867011309,2.4057162062816957,236,652.5000000000002
245760,0.1744140625,413.72,1.723359664529562,0.09906920257490129,-0.009394779893773375,446.75,15.968719083070756,200.0,0.0027865049929462903,24,0.8668285574764013,2.004413771500624,236,675.0
256000,0.1422607421875,415.85,1.7256845608353615,0.169863469642587,-0.00868429473193828,453.25,15.968719255924224,222.5,0.0022546880268922032,25,0.8047678604722023,2.3028790748246215,236,700.0
266240,0.151025390625,420.76,1.7083729825913907,0.12864239607006311,-0.009188857109984383,476.5,15.968719220161438,225.0,0.0023756970817092123,26,0.8259448345750571,2.0491618895736172,236,725.0
276480,0.11806640625,429.71,1.7189210824668408,0.12704831964801996,-0.008734862701385283,486.25,15.968719220161438,250.0,0.001976376176083097,27,0.8766130600124598,2.18871296185063,236,725.0
286720,0.149365234375,429.19,1.7079366266727447,0.10920396458823234,-0.010239946791989496,478.5,15.968719273805618,247.5,0.0023784487138530986,28,0.8842832274734974,1.8128794461155795,236,725.0
296960,0.1372802734375,426.48,1.723543081432581,0.14841383015736936,-0.009884503233479336,459.5,15.968719136714935,250.0,0.0021081003518250525,29,0.8363925583660603,2.332163520797587,236,725.0
307200,0.1390869140625,422.02,1.7237184926867486,0.21044858021195978,-0.008654464068240487,432.25,15.968719202280045,222.5,0.00221230165425396,30,0.7689732499420643,2.453629702416812,236,702.5000000000002
317440,0.157958984375,417.16,1.7256824053823947,0.1859323653858155,-0.009522861676305183,403.0,15.96871920824051,200.0,0.0024256898708929905,31,0.7796241335570813,2.4651069871365374,235,700.0
327680,0.1395263671875,409.53,1.7246675223112107,0.15297760302200913,-0.008975270245719003,405.25,15.968719273805618,200.0,0.0021647721831757885,32,0.8026018176227808,2.050092335828664,235,700.0
337920,0.150732421875,414.04,1.7195343494415283,0.1282125998288393,-0.011337011794603313,416.0,15.968719345331191,175.0,0.0023863853267587797,33,0.8118387315422296,1.8420675565715172,235,700.0
348160,0.1390625,420.06,1.7048993706703186,0.16303469794802367,-0.010360761723131873,440.75,15.968719321489335,197.5,0.002306291379079854,34,0.8377809319645166,2.0076120122562675,235,725.0
358400,0.1435791015625,432.62,1.714050281792879,0.17954397723078727,-0.01144507861645252,475.5,15.968719220161438,197.5,0.0024293650416669344,35,0.7575659729540348,2.0168183851526207,236,750.0
368640,0.13818359375,445.24,1.6976737290620805,0.18201448451727628,-0.010374206450069322,491.25,15.9687191426754,200.0,0.0022478003620566207,36,0.8118759922683239,1.95005999468941,235,750.0
378880,0.126123046875,450.42,1.709002684801817,0.1751652115955949,-0.00969263931765454,490.75,15.968719255924224,200.0,0.0020275529256881222,37,0.7967251289635897,1.975195253771875,236,750.0
389120,0.1225341796875,443.18,1.7106581307947635,0.12911334931850432,-0.01143664765622816,448.25,15.96871942281723,200.0,0.0020776871367846166,38,0.8741091892123223,1.7194873693079633,236,725.0
399360,0.1298095703125,434.9,1.7110125422477722,0.16613118262030185,-0.0106250082670158,438.75,15.968719279766082,200.0,0.002066017928371217,39,0.8426922101527452,2.0565226125262206,236,725.0
409600,0.144921875,429.9,1.714878997951746,0.1490565999876708,-0.01160474073185469,434.25,15.96871942281723,225.0,0.0022968603379015864,40,0.8240299813449383,1.7296873907182522,236,725.0
