episode_length,fps,advantage_norm,grad_norm,PMM:episode_rewards,P09:episode_rewards,frames,policy_loss,P01:episode_rewards,explained_variance,value_loss,epoch_idx,policy_entropy
159.44444444444446,235,3.0203570210933686,10.075870024790335,0.9777777777777777,2.0,8000,0.01980835298076272,0.0,-1.0821048569679261,0.25920760033894114,1,1.2807835647463799
163.76288659793815,236,0.9066710825636983,0.1799635612765823,1.0618556701030928,3.0,16000,0.0008493521056516329,0.0,-0.6013255947828293,0.009205505353993431,2,1.3642041957378388
164.32,243,0.8493964498490095,0.14074841492106127,1.04,3.0,24000,0.0005045465894727386,0.0,-0.4477854627370834,0.008400950908362575,3,1.3740891587734223
162.71,248,0.7751788410358131,0.12183806421710558,0.94,3.0,32000,-5.653731903294101e-05,0.0,-0.450906485915184,0.007179156858692295,4,1.3811926090717315
174.88,254,1.014206935837865,0.11224902512497081,1.16,3.0,40000,0.0004559798911213875,0.0,-0.18990947306156158,0.009825451482929565,5,1.3842618060112
186.74,254,1.0954385074973105,0.11300790222209044,1.42,4.0,48000,-0.0002812140338937752,0.0,-0.09953000426292419,0.011000400485208957,6,1.3841149425506591
194.33,257,0.972282071262598,0.11863572088690497,1.67,4.0,56000,0.0008393357857130468,0.0,-0.11830866932868958,0.01005049689054431,7,1.3825411534309386
192.82,259,0.9615840907394886,0.09449640898402324,1.66,4.0,64000,-0.0005408311553765088,0.0,-0.11925230383872985,0.009402507582562976,8,1.3821507966518403
189.51,259,0.9900944813340903,0.10884162979498385,1.51,4.0,72000,0.00023147514555603267,0.0,-0.11440220177173614,0.010203235766093713,9,1.383598622083664
189.1,258,0.8343474623933435,0.09633409142815232,1.45,4.0,80000,-0.00021490129176527262,0.0,-0.16638449907302857,0.00788692852242093,10,1.3840028929710388
175.63,258,0.7809658997133374,0.11083371491871102,1.17,3.0,88000,0.0012395456130616367,0.0,-0.21511821925640107,0.007966542480626232,11,1.3826046836376191
166.38,258,0.8602765248715878,0.141207108887862,1.01,3.0,96000,0.0030312593578128142,0.0,-0.4879281622171402,0.008432653674863105,12,1.3820301258563996
168.66,258,0.8457434261962772,0.12018830997135402,1.04,3.0,104000,0.0002720909017807571,0.0,-0.2313706833124161,0.00787065345535666,13,1.3769065582752227
178.46,260,0.9246355352550745,0.13023479901555135,1.26,3.0,112000,-0.000677595156012103,0.0,-0.19690880715847014,0.009312348284056497,14,1.3737825334072113
176.05,259,0.8043978157639503,0.11126795268499552,1.25,3.0,120000,0.00041031202650628986,0.0,-0.28128954231739045,0.007613975462018061,15,1.3797208225727082
175.91,260,0.9624318271130323,0.12899952251399047,1.21,3.0,128000,0.0013634869386442005,0.0,-0.1372985941171646,0.009438855886182864,16,1.3786915588378905
182.83,260,0.8665837186574936,0.13418091182106562,1.38,3.0,136000,0.00032259828702080995,0.0,-0.2648034369945526,0.008863908103203358,17,1.3756910359859467
175.01,261,0.9135677246376872,0.13813064474824505,1.23,3.0,144000,0.0007498706504702568,0.0,-0.28007345855236054,0.008905466299383989,18,1.3788972437381743
171.63,262,0.8900268860161304,0.12989529340231964,1.12,3.0,152000,-0.0006408773973817006,0.0,-0.20039809823036195,0.008761748397337215,19,1.3819632256031036
