fps,PMM:episode_rewards,P01:episode_rewards,advantage_norm,episode_length,grad_norm,policy_loss,explained_variance,clip_fraction,frames,P09:episode_rewards,approx_kl_divergence,policy_entropy,value_loss,epoch_idx
170,212.96296296296296,115.0,15.96871926188469,337.2962962962963,23.968231338263813,0.0033895117441716137,0.10120541714131832,0.250927734375,10240,335.00000000000006,0.006371407242409888,1.6845495127141477,0.6516009611077607,1
158,243.75,125.0,15.968719327449799,345.39285714285717,5.952543602325579,-0.0016529543227079557,0.34715850092470646,0.1447265625,20480,375.0,0.002396002635851295,1.7155738048255444,0.2324028445407748,2
169,243.82022471910113,120.00000000000001,15.968719339370727,345.2247191011236,5.544919084293706,-0.004230100047425367,0.4549775242805481,0.135498046875,30720,460.00000000000017,0.0021228691662148027,1.7400029331445694,0.2133000516332686,3
174,250.0,100.0,15.968719315528869,350.37,4.039566689276106,-0.004843554195031174,0.5729907136410475,0.1246826171875,40960,500.0,0.001949427397812831,1.7473411925137043,0.16726550213061273,4
177,265.5,75.0,15.968719285726547,361.44,3.171438407410137,-0.0044610658351302845,0.6227521300315857,0.1357421875,51200,550.0,0.0021350935369358003,1.7488566868007183,0.14016413893550633,5
180,268.75,75.0,15.968719166517257,363.0,3.125043297090122,-0.005713654024293646,0.6440279245376587,0.1327392578125,61440,550.0,0.0020194535906060177,1.739629504829645,0.14526040912605823,6
182,318.0,100.0,15.968719345331191,377.3,2.8902986083252573,-0.006080157539327047,0.6641093455255032,0.1158447265625,71680,580.0000000000005,0.0019028922456075814,1.7424878492951392,0.13555173550266772,7
183,320.0,147.5,15.96871936917305,374.09,3.203070966735055,-0.005564804969617398,0.6885222345590591,0.1275146484375,81920,627.5000000000002,0.0020576164023399218,1.719811451435089,0.1304946328047663,8
186,330.25,150.0,15.968719154596329,371.89,2.6121872741953434,-0.006098837766512588,0.7866930596530437,0.1274658203125,92160,625.0,0.0020093222404287967,1.707459270209074,0.10617771728429944,9
187,307.0,150.0,15.968719112873078,368.81,2.617656057293241,-0.005714548818286857,0.7415220689028501,0.1412841796875,102400,575.0,0.002157439921711911,1.6889151245355607,0.12162408987060189,10
