approx_kl_divergence,P09:episode_rewards,fps,advantage_norm,frames,P01:episode_rewards,grad_norm,policy_entropy,value_loss,epoch_idx,explained_variance,policy_loss,PMM:episode_rewards,episode_length,clip_fraction
0.11211902666491406,330.0000000000001,205,15.968718886375427,10240,110.0,165.87837398086327,1.5723802725318818,21.319994016212878,1,0.0016247987747192382,0.028496879328668002,220.0,360.92,0.402880859375
0.002656670561827923,325.0,182,15.96871817111969,20480,65.00000000000001,0.48315500007456513,1.7459934070706367,0.022484249393164644,2,-2.2351741790771484e-08,-0.0019335571778356098,194.73684210526315,349.0877192982456,0.2015380859375
0.0016289392943690472,325.0,186,15.968718087673187,30720,50.0,0.2522327980706057,1.7797333136200906,0.020892618835205212,3,-1.4901161193847657e-09,-0.001626731995929731,182.02247191011236,343.1011235955056,0.11328125
0.000839929100295933,350.0,190,15.968718105554581,40960,25.0,0.1372884750074493,1.77557834982872,0.02242323770187795,4,-2.9802322387695314e-09,-0.0014958705098251813,185.5,339.97,0.0350830078125
0.00023719570897071663,350.0,192,15.96871801018715,51200,25.0,0.10078453628669974,1.7855790816247463,0.01783440241997596,5,2.2351741790771484e-08,-0.0007493308698030887,168.0,333.08,0.005517578125
0.0003493631301559219,382.5000000000007,192,15.968718147277832,61440,25.0,0.0691958013582291,1.7802488029003143,0.01884598750330042,6,-8.568167686462402e-09,-0.0013613806157081853,172.0,334.88,0.0021240234375
0.00018771588939223705,380.00000000000045,193,15.9687180519104,71680,25.0,0.06671550824348467,1.7753102406859398,0.018394365068525077,7,-7.82310962677002e-09,-0.0007032762725430076,163.25,333.71,0.002197265625
0.00027776777165513524,427.5000000000002,195,15.96871821284294,81920,25.0,0.06994147734673893,1.7554049655795096,0.019871636980678887,8,-6.7055225372314455e-09,-0.0010763491525722201,174.25,337.21,0.00126953125
0.00016506675204208676,452.50000000000017,195,15.968718093633651,92160,50.0,0.06767352158526568,1.765809788554907,0.020029493211768567,9,3.3527612686157227e-09,-0.00046705790919077117,185.5,338.62,0.0
0.00014293409490697683,300.0,196,15.968718135356903,102400,25.0,0.06653750469078876,1.7800763256847858,0.016719492722768337,10,-8.195638656616212e-09,-0.0005514781369129196,158.25,333.26,0.0
0.00015537624295554054,250.0,197,15.968718022108078,112640,25.0,0.06743514209763973,1.7844170294702053,0.018896062977728435,11,7.450580596923828e-09,-0.0006879672600007325,152.5,327.15,0.0
0.00010596492704948446,277.5000000000002,198,15.968718439340591,122880,25.0,0.05668807880990352,1.7860869750380517,0.02054326347570168,12,-1.0058283805847169e-08,-0.0003549204866430955,149.75,324.38,0.0
0.00012174795923449721,400.0,197,15.968718135356903,133120,25.0,0.05574527717812168,1.7846362859010696,0.01947676679119468,13,1.2293457984924316e-08,-0.000513664788013557,170.5,330.62,0.0
0.00015312137876790643,502.5000000000002,197,15.968718069791795,143360,25.0,0.057447672316230804,1.7823433145880698,0.021123262526816688,14,2.9802322387695314e-09,-0.0006361837029544403,194.0,341.16,0.0
