advantage_norm,P09:episode_rewards,PMM:episode_rewards,explained_variance,fps,clip_fraction,approx_kl_divergence,episode_length,grad_norm,P01:episode_rewards,policy_loss,epoch_idx,policy_entropy,frames,value_loss
15.968718391656875,257.5,148.21428571428572,-0.027752299234271048,163,0.249951171875,0.3100881039412973,341.39285714285717,379.409752059808,17.500000000000004,0.013497370881668757,1,1.686188427451998,10240,51.24937282635219
15.968717652559281,402.50000000000006,134.16666666666666,1.4901161193847657e-09,169,0.1798095703125,0.002391310145770831,324.8,0.26885165351580986,0.0,-0.0019051387949730269,2,1.7609193608164788,20480,0.011318595437478507
15.968717914819717,275.0,135.48387096774192,-5.960464477539063e-09,178,0.07353515625,0.0011665806545934742,325.3763440860215,0.1615702143364533,25.0,-0.0015112937275262085,3,1.7707113973796367,30720,0.017640511289937422
15.968718141317368,302.5000000000002,138.0,-1.1920928955078126e-08,182,0.036669921875,0.0006724757444871443,326.49,0.1107998881758496,25.0,-0.001170689491664234,4,1.7668077409267426,40960,0.020350248846807518
15.968718141317368,300.0,159.5,-2.6077032089233397e-09,184,0.0068603515625,0.00036287368851546377,334.12,0.08943066172816504,50.0,-0.0009548320762405637,5,1.7632258966565133,51200,0.02278019264340401
15.968718391656875,302.5000000000002,188.5,-2.905726432800293e-08,187,0.0046630859375,0.0003777094643240275,343.08,0.08906656327692615,50.0,-0.0009611197598133004,6,1.7515278346836567,61440,0.0264149671071209
15.968718254566193,325.0,205.75,-8.195638656616212e-09,188,0.0103271484375,0.00044957548314457086,346.29,0.09078761873196492,72.50000000000001,-0.0010307612854376202,7,1.7584334671497346,71680,0.02344529441324994
15.968718320131302,325.0,203.75,-5.215406417846679e-09,188,0.0,0.0001802624433466349,340.55,0.07814908787895784,50.0,-0.0005594040329015115,8,1.7776383854448796,81920,0.02409018079051748
15.96871817111969,325.0,187.5,2.2351741790771484e-09,187,0.0,0.00017295173324676226,336.11,0.06911157974649332,47.50000000000001,-0.0005564912706176983,9,1.7765185691416263,92160,0.02174188942881301
15.968718194961548,325.0,179.25,1.862645149230957e-09,188,0.0,0.00019930426103229593,336.65,0.07507152156181648,25.0,-0.0007778924937156262,10,1.7841823823750018,102400,0.022811903325782625
15.968718123435973,430.0000000000004,201.25,1.4901161193847657e-09,188,0.0,0.0001865210554782948,346.57,0.068199978318526,25.0,-0.0007616461643920047,11,1.7746603898704052,112640,0.02126211881986819
15.96871822476387,375.0,185.5,2.9802322387695314e-09,188,0.0005126953125,0.00026856185733201696,344.12,0.0714504569137718,25.0,-0.001141895545151783,12,1.7720830716192721,122880,0.021259783732239156
15.968718183040618,480.00000000000045,203.75,3.3527612686157227e-09,188,0.004052734375,0.00022508343733953495,344.64,0.07283034469125484,25.0,-0.0009843758583883756,13,1.782303847372532,133120,0.022723239235347137
15.968717914819717,325.0,165.0,-2.6077032089233397e-09,190,0.0,0.0001273540431439457,334.1,0.05881406348317123,25.0,-0.0004896604514215142,14,1.7871696799993515,143360,0.015837364093749785
15.96871801018715,525.0,184.25,-4.470348358154297e-09,191,0.0,0.0001714143202960372,337.51,0.056739192041129906,25.0,-0.0007825529042747803,15,1.7834681324660777,153600,0.020677785442967434
15.968717885017394,385.00000000000085,167.0,-2.0861625671386717e-08,191,0.0,0.00016591951911131274,333.49,0.05864457424725526,25.0,-0.0007880455246777274,16,1.7825368210673331,163840,0.01880787481495645
15.968718183040618,475.0,171.5,-7.82310962677002e-09,191,0.0,0.0001244163603391968,334.42,0.0540902390386904,25.0,-0.00045965125536895357,17,1.7889968857169152,174080,0.021209376869956033
15.968718081712723,360.0000000000009,177.25,1.3411045074462891e-08,191,0.0,0.00012471893937302526,334.41,0.055609717293714875,25.0,-0.0005740866661653854,18,1.7818849384784698,184320,0.022502040246035904
15.96871799826622,450.0,183.25,-2.384185791015625e-08,191,0.0,0.00012769196402970807,338.48,0.054929207423311865,25.0,-0.0005621710915875155,19,1.7783546939492225,194560,0.021430470011546278
15.968718218803406,452.50000000000017,198.5,-3.3527612686157227e-09,191,0.0,0.00013451747663602022,343.1,0.05497216435236689,50.0,-0.0005144426635524723,20,1.7781425900757313,204800,0.023579297185642646
15.968718189001084,477.5000000000002,193.75,-1.7136335372924803e-08,191,0.0,0.00012413329073304168,337.31,0.05413077490073126,47.50000000000001,-0.000550911942627863,21,1.7813177220523357,215040,0.019512073199439327
15.968718183040618,455.0000000000004,196.75,6.332993507385254e-09,191,0.0,9.146944342912633e-05,337.84,0.05553997912495873,50.0,-0.000423883095572819,22,1.7811049051582812,225280,0.021351396612590178
15.968718016147614,332.5000000000006,164.5,1.4901161193847657e-09,191,0.0021728515625,0.00020320741066335302,329.19,0.055357340108730446,25.0,-0.0009189583135594149,23,1.7766354076564312,235520,0.01563461759360507
15.968717819452285,277.5000000000002,149.25,-7.450580596923828e-09,192,0.0,0.00010401082512885295,325.56,0.05641304304942431,25.0,-0.00039503493062511554,24,1.7846669040620327,245760,0.016893870127387346
15.968717950582505,255.00000000000043,141.0,-1.862645149230957e-09,192,0.0,9.801109008904519e-05,324.05,0.056719722267519423,25.0,-0.00038627774847554974,25,1.785399641096592,256000,0.019271013294928706
15.968717867136002,332.5000000000006,150.5,-1.3411045074462891e-08,193,0.0008544921875,9.665955028026474e-05,327.1,0.053553295058922826,25.0,-0.00040636940793774555,26,1.7851362600922585,266240,0.015142273780656978
15.968717944622039,277.5000000000002,148.5,-2.4959444999694825e-08,192,0.0,9.174264871112393e-05,326.86,0.0552552419966455,25.0,-0.0004113241835511872,27,1.7819497384130956,276480,0.016908551575033924
