frames,policy_entropy,policy_loss,advantage_norm,P09:episode_rewards,epoch_idx,explained_variance,P01:episode_rewards,grad_norm,PMM:episode_rewards,value_loss,episode_length,fps
8000,1.3414128080010415,0.026425140189239756,1.6808876065164804,2.0,1,-0.4377307480573654,0.0,2.718360561405069,0.6956521739130435,0.16237937867953178,154.5,276
16000,1.3767405712604524,0.003741144150699256,1.1432830343581737,3.0,2,-0.0946637898683548,0.0,0.2201432359955763,1.0319148936170213,0.01376341797434634,168.40425531914894,162
24000,1.3803526723384858,0.001990607006882783,1.2615313867852092,3.0,3,-0.0027663135528564454,0.0,0.17568364140922185,1.28,0.014496916980860988,179.02,174
32000,1.3798561048507691,-3.652974963188171e-05,1.4510910641774535,3.0,4,-0.0002032470703125,0.0,0.19364830252935003,1.49,0.018218018630814185,184.9,185
40000,1.3797452199459075,0.0014770696754567326,1.1233899474143982,4.0,5,-0.0037983417510986327,0.0,0.13882494582709667,1.53,0.012942107326007318,185.12,192
48000,1.3835667514801024,0.001556603063363582,1.1937202403694391,3.1000000000000085,6,-0.00416071355342865,0.0,0.14653676275725702,1.38,0.013617490461929265,181.68,193
56000,1.3855423247814178,-0.0023482850985601543,1.308648092597723,4.0,7,-0.009578992128372193,0.0,0.14643702943429504,1.48,0.014706733790881117,187.89,197
64000,1.382428526878357,0.002491237276699394,1.2172138363868,3.1000000000000085,8,-0.034959022402763364,0.0,0.19640203149913885,1.47,0.013693440058414125,185.48,202
72000,1.3736426103115082,0.00030095747715677137,1.0586396711319686,3.0,9,-0.026153188943862916,0.0,0.17441669012766514,1.29,0.01141855363119248,177.57,203
80000,1.3715951764583587,0.0013658740132814274,1.2491800209879875,3.0,10,-0.04363364040851593,0.0,0.21101618640377154,1.18,0.014529642430279637,175.8,201
88000,1.3734320640563964,0.0022105851210653784,1.1483150578290224,3.0,11,-0.015752353072166443,0.0,0.1791952857454496,1.15,0.012434976829936203,175.79,203
96000,1.3727732002735138,0.002060192047210876,0.9851504140347243,3.0,12,-0.012145103812217712,0.0,0.17251301520525253,1.08,0.01045795598942277,171.18,203
104000,1.375142707824707,0.0005442984751425683,1.3613527436554431,3.0,13,-0.03880288660526276,0.0,0.22676686563277496,1.31,0.015951317370854666,177.61,202
112000,1.3710622310638427,-0.0009965164860477672,1.0923157881945371,3.0,14,-0.03179513216018677,0.0,0.2178418401985598,1.42,0.011277304444756737,180.21,202
120000,1.378871431350708,0.00234000723605277,1.3099795383214952,3.0,15,0.05397316098213196,0.0,0.25979428954674866,1.26,0.014555131577581051,173.6,204
128000,1.3724354553222655,0.0009318119785166345,1.1624018451571465,3.0,16,0.08204061627388,0.0,0.21471620379830852,1.35,0.01207490162596514,178.67,206
136000,1.377525042295456,4.81588882394135e-06,1.2023577250540256,3.0,17,0.09985811650753021,0.0,0.24374458642732236,1.33,0.011803899129736237,178.38,208
144000,1.3633560693264009,-0.0020465491571303573,1.0864758717268705,3.0,18,0.06311999380588532,0.0,0.2303789582551975,1.15,0.009321873019071064,171.52,209
152000,1.3670150196552278,0.000909939561097417,1.0206523177027702,3.0,19,0.07988328695297241,0.0,0.26863895689333495,1.01,0.009563513517641696,165.95,209
160000,1.372421499490738,-0.0033955361119296867,1.2377221371233462,3.0,20,0.41538613379001615,0.0,0.3067106749202432,1.05,0.0121086730985553,167.19,208
168000,1.3690843534469606,-0.004547604614344891,1.44821747392416,4.0,21,0.5849095517396927,0.0,0.4118947164799144,1.39,0.015430159366223961,182.27,209
176000,1.3699736905097961,-0.002371126054204069,1.3531900027394295,4.0,22,0.6569279336929321,0.0,0.3518863422437841,1.55,0.013341927280416712,190.09,209
184000,1.370679725408554,-0.0018154256269917823,1.1824823433160783,4.0,23,0.7139437752962112,0.0,0.33494521723105114,1.72,0.010541649896185844,194.71,209
192000,1.3649688053131104,-0.0050378037954214965,1.3741459566354752,5.0,24,0.7747647362947464,0.0,0.37665708215991095,1.9,0.013541996146086603,198.72,210
200000,1.3495316696166992,-0.0031922555713390466,1.1080248904228212,5.0,25,0.8331421804428101,0.0,0.3062199937350242,1.84,0.009131412004353478,197.32,211
208000,1.3399027323722839,-0.0007931400794768706,0.975529411137104,5.0,26,0.8923798078298568,0.0,0.254814054950587,1.8,0.006971950674778782,194.45,212
216000,1.350827121734619,-0.00175039305104292,0.9064386940002441,5.0,27,0.9236568689346314,0.0,0.3120178941445675,1.62,0.006343336551217362,190.29,212
224000,1.352510199546814,0.0001366357901133597,0.9339038947224617,5.0,28,0.9108554577827453,0.0,0.25656325523852874,1.59,0.006652559517533518,189.53,212
232000,1.34797838807106,-0.002341383075254271,0.9874292939901352,5.0,29,0.9023650753498077,0.0,0.28984545782589266,1.61,0.007349357662606053,189.21,213
240000,1.3437645089626313,-0.0006062204456247855,0.9656797334551811,5.0,30,0.9127636015415191,0.0,0.26740913674052297,1.93,0.007795087183767464,203.07,212
248000,1.3490047883987426,6.46683169179596e-05,1.080071908533573,5.0,31,0.8219755464792251,0.0,0.3148733219355979,2.02,0.008502985280938447,207.08,212
256000,1.3501051044464112,-0.0011459212326008128,0.9223627158999443,5.1000000000000085,32,0.9364979076385498,0.0,0.238404822392018,1.99,0.006185756077757105,205.64,213
264000,1.355105974674225,-0.0007447941505233757,0.9123309946060181,6.0,33,0.9270721399784088,0.0,0.2211108494342052,2.21,0.006511471002595499,214.56,213
272000,1.3535216557979584,-0.00044360801028233256,0.8622522750496864,6.0,34,0.9511068618297577,0.0,0.2055886183729856,2.42,0.005642556209641043,221.87,214
280000,1.3568929708003998,-0.00023596556478878484,0.9421145614981651,7.0,35,0.9212956768274307,0.0,0.24220543919970947,2.56,0.006919295663974481,225.49,213
288000,1.352083990573883,-0.0014306858013151214,0.7790703275799751,7.0,36,0.950219999551773,0.0,0.1874470980400946,2.15,0.00497437144163996,204.44,214
296000,1.3414434003829956,-0.000680973672078835,0.7409281951189041,5.0,37,0.9640381890535354,0.0,0.18813030545794418,1.78,0.0043331861245678735,191.68,214
304000,1.3530887460708618,0.0016980443106149323,0.8897086091339588,7.200000000000017,38,0.9055344074964523,0.0,0.22559232235834578,2.2,0.006970969664107543,208.44,214
312000,1.3664450907707215,-0.001088410244556144,0.7779327838122845,5.0,39,0.9401816129684448,0.0,0.20038914073720127,2.06,0.004638829158211593,205.33,214
320000,1.3613264226913453,0.00025417180164367893,0.708238667100668,5.0,40,0.9047919237613677,0.0,0.16130813013013234,1.49,0.0040718881413340565,185.16,214
328000,1.357615694999695,-0.001510993188712746,0.7385412675142288,5.0,41,0.9507102441787719,0.0,0.18478887847878206,1.57,0.004697798094712198,188.03,215
336000,1.3558605659008025,-7.136252243071795e-05,0.6759013375639915,5.0,42,0.952296387553215,0.0,0.1505688281619501,1.48,0.0038235950568923727,182.96,215
344000,1.3470724093914033,-0.0014217241905862465,0.7143054854869842,5.300000000000026,43,0.9605703073740005,0.0,0.15648646223973295,1.91,0.004046050899487455,198.11,215
