epoch_idx,frames,grad_norm,advantage_norm,value_loss,P09:episode_rewards,episode_length,fps,PMM:episode_rewards,P01:episode_rewards,policy_loss,explained_variance,policy_entropy
1,8000,1.643198097269757,1.7935772667825223,0.08754997449599614,3.3999999999999986,185.0,200,1.4864864864864864,0.0,-0.03564264751866176,-0.4213030278682709,1.3446644866466522
2,16000,0.2952322399235494,1.347211367674172,0.01594030842781649,4.900000000000006,192.78048780487805,176,1.6585365853658536,0.0,0.004660620511276648,-0.014103939533233642,1.348856918811798
3,24000,0.2458366647899098,1.310813821926713,0.015352505462560657,6.0,207.78,183,2.11,0.0,0.0031501787759043508,-0.008861826658248901,1.3815800368785858
4,32000,0.20352872623793083,1.2896984776109457,0.014145252837988665,5.0,197.45,178,1.86,0.0,-7.420020934659987e-05,-0.02234475314617157,1.383646570444107
5,40000,0.23298295971262253,1.326602636538446,0.015731172714331478,4.0,186.13,186,1.51,0.0,0.002427406424540095,-0.003147581219673157,1.382622444629669
6,48000,0.2250110894211269,1.2843017546646296,0.015375634909473775,4.0,184.77,191,1.47,0.0,0.0007045478268992156,-0.007083021402359009,1.382559231519699
7,56000,0.19801424416387184,1.2581847802549602,0.014380703771585103,3.0,183.87,191,1.49,0.0,0.0012188960891216993,-0.00415747344493866,1.3839371728897094
8,64000,0.17355316772780863,1.1622702066600323,0.012662059297272208,4.0,182.2,191,1.46,0.0,-0.0010772012453526259,-0.004712972640991211,1.3840513265132903
9,72000,0.16570721540947467,1.1386948820948601,0.012097133184397535,3.0,175.7,191,1.23,0.0,0.0006252945720916614,-0.004106499552726746,1.3780133652687072
10,80000,0.2028115521895898,1.2437397544458508,0.014292551808275676,3.0,172.79,194,1.15,0.0,0.0016198806930333375,-0.011484373807907105,1.3670354783535004
11,88000,0.2245048366934,1.415316955074668,0.01706206185861447,4.0,180.15,192,1.32,0.0,0.002116465647122823,-0.008206459879875182,1.3731638669967652
12,96000,0.1721603996775757,1.182758724987507,0.01240556745640788,4.1000000000000085,189.58,194,1.58,0.0,-0.0012591902096755802,-0.013639946579933166,1.372876136302948
13,104000,0.20409217357399728,1.2579758988320828,0.014629978670818673,4.0,181.11,195,1.39,0.0,0.005089436368143652,0.0029940396547317506,1.377259510755539
14,112000,0.22338839627009818,1.1959608275443316,0.013423382714772742,4.0,187.15,197,1.56,0.0,0.00014322084203740814,0.012816118001937866,1.3795453059673308
15,120000,0.21479118717190257,1.1624121845513582,0.013091099784214749,4.0,184.97,200,1.51,0.0,0.0028309988911496475,0.010368998050689698,1.3766201746463775
16,128000,0.2638001003067872,1.1683350269496442,0.012922884700255963,3.0,171.91,202,1.12,0.0,0.0009428811704856343,-0.03658607244491577,1.3721852648258208
17,136000,0.2655779669322222,1.2231897978484632,0.012742279398953543,4.0,181.83,203,1.37,0.0,0.0020795933381305078,0.09808368027210236,1.3787462794780732
18,144000,0.44381378756362844,1.5393519192934035,0.021430765792465535,5.0,196.69,204,1.77,0.0,0.008240539579537654,0.22179142594337464,1.3625366687774658
