episode_length,fps,epoch_idx,policy_gradient_loss,rollout_prob_std,P09:episode_rewards,policy_entropy,grad_norm,model_prob_std,q_loss,advantage_norm,PMM:episode_rewards,policy_gradient_bias_correction,avg_q_retraced,explained_variance,P01:episode_rewards,frames,policy_loss,avg_q_selected
0,432,1,0.00019841728477937675,0.04411521752675374,0.0,2.113570988178253,0.04150702818142356,0.0441152174025774,0.0006279662484303117,0.08578048820296923,0.0,0.0,-0.008981090333933631,-24.290868600209553,0.0,7200,0.00019841728477937675,-0.008969068430208912
0,206,2,0.0001505386581508598,0.12842928618192673,0.0,1.5392093171676,5.7347321751535265,0.1284292866786321,0.3606209575414444,0.48963710299382607,0.0,5.125532063302481e-10,-0.19650627833325415,-134.3382095515728,0.0,14400,0.0001505391177488491,-0.19854265286897618
0,253,3,0.00024396035908769894,0.016925496701151132,0.0,2.169737712542216,0.006298263969808812,0.01692549679428339,6.40252817296035e-05,0.024595118376115957,0.0,0.0,-0.008993533750375112,-23.10777195294698,0.0,21600,0.00024396035908769894,-0.009078854741528631
0,286,4,0.00016526397272779528,0.013099535461515188,0.0,2.190432373682658,0.004110073465627738,0.01309953552360336,4.681510727095883e-05,0.030699079359571137,0.0,0.0,-0.007640050196399292,-10.81900684038798,0.0,28800,0.00016526397272779528,-0.007678359063963095
0,300,5,0.00017184721891680966,0.0110734136775136,0.0,2.1921587785085044,0.002468433846967466,0.011073413367072741,2.1016337207887166e-05,0.022196638646225134,0.0,0.0,-0.007902303524315358,-10.429191795984904,0.0,36000,0.00017184721891680966,-0.008076844861110051
3324.75,311,6,0.00015377174152035876,0.012775225642447671,0.0,2.189796217282613,0.003769597570765121,0.012775225735579928,3.360453987018749e-05,0.028270664314428966,0.0,0.0,-0.0076520438926915325,-15.478157011667887,0.0,43200,0.00015377174152035876,-0.00779933906160295
3324.75,321,7,0.000161276549018415,0.019971332528317967,0.0,2.1620620012283327,0.005333704522590242,0.019971333242331944,3.5625209208471156e-05,0.022232466501494248,0.0,0.0,-0.009903504513204098,-16.49240454037984,0.0,50400,0.000161276549018415,-0.009983689074094098
3324.75,331,8,0.0004289923642015007,0.04484973723689715,0.0,2.10382022857666,0.005277094220363763,0.044849737221375106,2.683529946807539e-05,0.0228378235672911,0.0,0.0,-0.018097491205359497,-11.243623614311218,0.0,57600,0.0004289923642015007,-0.01819895088362197
3324.75,341,9,0.00014119113141835744,0.008399171195924282,0.0,2.1941659212112428,0.0024281821668233343,0.008399171180402239,2.3982405279336185e-05,0.02568893978993098,0.0,0.0,-0.00645974629248182,-12.847177346547445,0.0,64800,0.00014119113141835744,-0.006403994420543313
3324.75,349,10,0.0001516547245955735,0.007495313199857871,0.0,2.194741479555766,0.0021693850407747805,0.007495313153291742,1.844586837857302e-05,0.02104850554217895,0.0,0.0,-0.0067702889132002985,-11.388427130381267,0.0,72000,0.0001516547245955735,-0.006784958159551024
3324.75,356,11,0.0001561752626609329,0.010622680078571041,0.0,2.1923312028249105,0.002508451810153633,0.010622680094093085,2.2483737742125715e-05,0.02811529937510689,0.0,0.0,-0.007177476352080703,-9.383946530024211,0.0,79200,0.0001561752626609329,-0.007263373956084252
3324.2916666666665,362,12,0.0001578832163734963,0.0068262284776816765,0.0,2.19521017074585,0.001866857141714228,0.006826228493203719,1.2801990214938996e-05,0.018006932797531287,0.0,0.0,-0.006805133881668249,-13.917949755986532,0.0,86400,0.0001578832163734963,-0.006908062007278204
3324.2916666666665,367,13,0.00025854383796589293,0.04452774412930012,0.0,2.1075627406438193,0.004617104064957992,0.044527743756771085,1.9783914770717576e-05,0.020824443052212396,0.0,0.0,-0.015452953008934855,-6.715448657671611,0.0,93600,0.00025854383796589293,-0.015588622943808635
3324.2916666666665,372,14,0.0002472137658818004,0.01665815229838093,0.0,2.1716737508773805,0.0026151934651429554,0.016658152034506202,1.2388221057335613e-05,0.019744622117529313,0.0,0.0,-0.008880319042752187,-9.483703184127808,0.0,100800,0.0002472137658818004,-0.009065755860259135
