epoch_idx,grad_norm,avg_q_selected,frames,PMM:episode_rewards,fps,model_prob_std,q_loss,policy_entropy,avg_q_retraced,policy_loss,episode_length,policy_gradient_bias_correction,P01:episode_rewards,explained_variance,rollout_prob_std,advantage_norm,P09:episode_rewards,policy_gradient_loss
1,0.04128692338941268,-0.02201541163182507,7200,0.0,448,0.03750294384857019,0.0008601940443137816,2.1262015104293823,-0.022379541197248425,0.000514266914979089,0,-6.050229183392671e-13,0.0,-17.188387950261433,0.037502943476041155,0.0752946517119805,0.0,0.000514266914979089
2,0.029307107574285514,-0.005236065302354594,14400,0.0,213,0.03378380214174589,0.0004330667387876019,2.127406974633535,-0.005386301541390518,-2.1577604244763884e-05,0,-5.730394746679875e-13,0.0,-27.70708278020223,0.033783803197244805,0.03209689715877175,0.0,-2.1577604244763884e-05
3,0.0031853697545789613,-0.0029552254204948743,21600,0.0,259,0.01483413465321064,2.023398563627173e-05,2.1876909891764322,-0.0029772880021482705,7.275255419851116e-05,0,0.0,0.0,-19.920549583435058,0.014834135118871928,0.019875160759935777,0.0,7.275255419851116e-05
4,0.008258898918576679,-0.004092611556552583,28800,0.0,289,0.02214696795369188,9.204883723820481e-05,2.1779724915822345,-0.003980581757302085,8.459825645938206e-05,0,0.0,0.0,-12.031007512410481,0.02214696751907468,0.0625314798206091,0.0,8.459825645938206e-05
5,0.0027377047228132863,-0.002730036903327952,36000,0.0,305,0.01572749683012565,2.4485940173235576e-05,2.1867437839508055,-0.002518335939384997,4.9575068662003714e-05,0,0.0,0.0,-7.557340447107951,0.015727496954301992,0.026545375989129146,0.0,4.9575068662003714e-05
6,0.004518047260047187,-0.0007534503555992462,43200,0.0,316,0.01909692815194527,4.221480771775532e-05,2.1820091168085733,-0.0006046145210954516,1.712063895714285e-05,3324.9166666666665,0.0,0.0,-8.118744134902954,0.019096928462386132,0.04041072241961956,0.0,1.712063895714285e-05
7,0.0014448151348814943,-0.0008738483086441799,50400,0.0,325,0.013256121706217528,6.267094670420193e-06,2.18994087378184,-0.000867428355801773,-6.31282218061339e-06,3324.9166666666665,0.0,0.0,-12.88440588315328,0.013256121861437957,0.009642430348321795,0.0,-6.31282218061339e-06
8,0.0011747909263445815,-0.0018862922055025895,57600,0.0,335,0.01599313011392951,3.1999788234315927e-06,2.1864858229955035,-0.0018815783007691304,4.756699462783824e-05,3324.9166666666665,0.0,0.0,-8.824907334645589,0.015993130020797254,0.009640306203315656,0.0,4.756699462783824e-05
9,0.003003906947772216,-0.0007270307481424728,64800,0.0,344,0.01774652556826671,2.4643731770386997e-05,2.18398384253184,-0.0007081595496856608,8.234988551218217e-06,3324.9166666666665,0.0,0.0,-5.859444220860799,0.01774652550617854,0.030936865353335938,0.0,8.234988551218217e-06
10,0.0021626434886858844,-0.0016934251376369502,72000,0.0,351,0.017181935254484415,1.7285357449736695e-05,2.1849790175755817,-0.0016226400757053247,2.9362882302545282e-05,3324.9166666666665,0.0,0.0,-7.271643869082133,0.017181935037175813,0.022584392052764694,0.0,2.9362882302545282e-05
11,0.003569319229831207,-0.002103594012442045,79200,0.0,357,0.019283150508999824,3.0559033838054954e-05,2.1829464117685955,-0.002181085633734862,4.7791121657307184e-05,3324.9166666666665,0.0,0.0,-7.9676487922668455,0.01928315054004391,0.03778593994987508,0.0,4.7791121657307184e-05
12,0.0007852857056064522,-0.0011077260714955628,86400,0.0,362,0.01142506922284762,4.064116398202107e-06,2.1919596513112385,-0.0010936574932808678,3.2602085987794756e-05,3324.75,0.0,0.0,-9.100016784667968,0.011425069347023965,0.009331247070804238,0.0,3.2602085987794756e-05
13,0.0010072940857839938,-0.0021597747205911824,93600,0.0,366,0.01386940230925878,2.8513357439881777e-06,2.1893146594365436,-0.002124980450995887,3.815833288172144e-05,3324.75,0.0,0.0,-9.996618461608886,0.013869402495523294,0.008202809172992905,0.0,3.815833288172144e-05
14,0.0006937614743135615,-0.0014898931898642332,100800,0.0,370,0.011939312579731147,1.4924837842045235e-06,2.1914504686991374,-0.001460967375896871,3.825820597474679e-05,3324.75,0.0,0.0,-9.54393850962321,0.011939312486598888,0.00798621381012102,0.0,3.825820597474679e-05
15,0.002776207578358204,-0.0016956523856303345,108000,0.0,374,0.017141026941438518,1.8945340756696774e-05,2.185986137390137,-0.0016690206713974476,3.1676207595410236e-05,3324.75,0.0,0.0,-7.689844862620036,0.01714102691039443,0.03350179993237058,0.0,3.1676207595410236e-05
16,0.0008371177390044431,-0.0013513868597025672,115200,0.0,378,0.012644732681413492,4.7331253597349136e-06,2.190726327896118,-0.0012895433445616314,2.714393482771508e-05,3324.75,0.0,0.0,-7.413454707463583,0.012644732743501664,0.010957127072227497,0.0,2.714393482771508e-05
17,0.002498714824862338,-0.0013441420721753115,122400,0.0,378,0.015700804839716368,1.714932937792991e-05,2.1875214912872467,-0.0012970779167759852,2.7066347587360866e-05,3325.0,-2.013611231288021e-06,0.0,-8.621273813209836,0.018209154925878265,0.030314123600218738,0.0,2.9079958746897605e-05
18,0.001162429336397028,-0.0011046983537526872,129600,0.0,372,0.011310012059596676,4.4378027702208255e-06,2.192164859588815,-0.0010797078708690594,1.880111534523956e-05,3325.0,-1.5132705315980348e-06,0.0,-7.002439025265199,0.017783495971782713,0.01531151737838247,0.0,2.0314385924708764e-05
19,0.0009834694570372187,-0.00036085665696515643,136800,0.0,366,0.009929386359016119,3.2970784035332367e-06,2.1932768311986215,-0.00036244648495678826,1.0332543970843957e-05,3325.0,-1.3403492501154686e-06,0.0,-6.404429099357949,0.019015511501156702,0.013634345886979999,0.0,1.1672893237026812e-05
20,0.0008502635142799171,-1.5099010473686705e-06,144000,0.0,363,0.008555999346103313,2.9731668992563673e-06,2.1942535744299962,1.074394618998422e-05,2.2368456262440625e-07,3325.0,-4.94925621881842e-06,0.0,-6.919908745014478,0.016718751656146544,0.012824435013592142,0.0,5.172940904585522e-06
21,0.0007442715554345957,-0.00023105812700512806,151200,0.0,360,0.0076226901141073266,2.434613052870975e-06,2.1948255780162924,-0.0002468053911222637,2.2781211506114492e-07,3325.0,-5.218145099244757e-06,0.0,-8.117224327991964,0.015293532438782172,0.011652246372620367,0.0,5.445957270675933e-06
