P01:episode_rewards,epoch_idx,value_loss,frames,fps,policy_entropy,grad_norm,policy_loss,episode_length,explained_variance,P09:episode_rewards,advantage_norm,PMM:episode_rewards
0.0,1,0.12181819006073055,8000,1105,1.3062750907242298,3.9627629425991437,-0.030923638371750713,169.475,-1.2592574214935304,3.0,2.29307393707335,1.0
0.0,2,0.011628393505989152,16000,1076,1.376047397851944,0.23642090690387627,0.002243074266880285,168.25806451612902,-0.0399779087305069,3.0,1.0635212467983366,1.0
0.0,3,0.015115192529192427,24000,968,1.3797736370563507,0.21317601692220245,-0.00011845669767353684,183.52,-0.0014839887619018555,4.0,1.353807298094034,1.37
0.0,4,0.01351362988949404,32000,933,1.3809278106689453,0.20494322091635678,0.0030043393611049398,192.38,-0.010519017577171325,4.0,1.2076267148554325,1.63
0.0,5,0.012907524823276617,40000,923,1.3819499337673187,0.22468147487727255,0.003647681909787934,185.12,-0.024366840720176697,4.0,1.1451743990927934,1.48
0.0,6,0.017746140147392,48000,914,1.3743241155147552,0.2383889757319658,0.00011917513445951044,188.01,-0.017483294010162354,3.0,1.4648682927712797,1.51
0.0,7,0.010920189248163297,56000,907,1.3849564909934997,0.13566936677095506,0.002597742789221229,174.48,-0.011204387545585632,3.0,1.0285994935967029,1.19
0.0,8,0.016065184290582693,64000,904,1.3855216383934021,0.18557492193599362,0.0020854433748172595,175.69,-0.0033200401067733764,3.0,1.356252158805728,1.22
0.0,9,0.01218166166422634,72000,901,1.384750416278839,0.16138619947346988,-0.0021736088639590888,189.25,-0.04388338625431061,4.0,1.137721209153533,1.53
0.0,10,0.017762798733019735,80000,899,1.377011708021164,0.21927781544376082,0.0015569814865011723,194.95,-0.01100399076938629,4.0,1.4583785969391465,1.69
0.0,11,0.014184891209806665,88000,897,1.368615473508835,0.1891036256450946,-0.0006249417026992887,185.34,0.003086286783218384,3.0,1.2634658866375685,1.47
0.0,12,0.011207539090137289,96000,895,1.3695967066287995,0.1763228842886183,-0.0006915087695233523,180.53,0.02236707925796509,3.0,1.0824779795855284,1.34
0.0,13,0.01386989526292382,104000,892,1.3739400291442871,0.21903443207964776,0.0026757815526798367,178.35,0.020043488144874572,3.0,1.2363719979673624,1.26
0.0,14,0.013777342060930096,112000,887,1.3800368928909301,0.26392311919704947,-0.0019956160674337296,172.52,0.05722800850868225,3.0,1.192353305965662,1.12
0.0,15,0.016807212013954995,120000,883,1.3744693899154663,0.3641149432396379,-0.0010816720584989525,173.05,0.12008544385433197,3.0,1.2951261748373508,1.16
0.0,16,0.009677786793763516,128000,880,1.3780547761917115,0.2663338453981481,0.0006988694964456954,177.07,0.2971007478237152,3.0,1.080101112127304,1.26
0.0,17,0.012320582576357993,136000,879,1.3807926964759827,0.3887043247507341,-0.00478190146619454,176.73,0.5070130944252014,3.0,1.2489515261352062,1.26
0.0,18,0.01939713384344941,144000,878,1.3759732401371003,0.5807662588704455,-0.004894407349638641,185.85,0.6068688809871674,3.0,1.4536054885387422,1.43
0.0,19,0.009975503136229236,152000,876,1.3822105789184571,0.328277213954421,-0.0005273582189693116,184.88,0.5770225149393081,3.0,1.1273905210196973,1.37
0.0,20,0.012532261458109133,160000,874,1.3788338911533355,0.36019966008345905,0.0008418093476211653,187.92,0.6077358120679855,4.0,1.273202774822712,1.51
0.0,21,0.011332065624301321,168000,875,1.3709178209304809,0.3768147360097523,-0.0034100012584531215,182.36,0.6810717177391052,4.0,1.2413142746686936,1.39
0.0,22,0.01105073691229336,176000,876,1.370349782705307,0.34316564416681766,-0.002975908305379562,191.92,0.8093835663795471,5.0,1.2499951490759849,1.69
0.0,23,0.008766806657076813,184000,876,1.3698440217971801,0.32851673313750074,-0.004232988620642573,198.06,0.8429854393005372,5.0,1.1012293866276741,1.85
0.0,24,0.008864970847498625,192000,876,1.3609996104240418,0.29083856879570097,-0.00016462261875858531,184.02,0.806211222410202,4.0,1.0930221989750861,1.44
0.0,25,0.00793859951372724,200000,876,1.3607177543640137,0.2913299557289345,-0.000323111888137646,180.84,0.8776897329092026,3.0,1.037459779381752,1.32
0.0,26,0.04158717700978741,208000,878,1.3231567907333375,0.7493200442775624,-0.007171541005081963,194.2,0.759750851392746,4.1000000000000085,1.4949659767746926,1.68
0.0,27,0.0064275870460551235,216000,878,1.353265849351883,0.2539429352340423,-0.00027373369579436257,205.12,0.9131332439184189,5.0,0.9625842371582984,2.0
0.0,28,0.006818819720065221,224000,879,1.3535179936885833,0.25376410933318383,-0.00029314585277461446,209.66,0.921470638513565,5.0,0.9701402908563614,2.05
