P09:episode_rewards,explained_variance,P01:episode_rewards,value_loss,policy_loss,policy_entropy,epoch_idx,episode_length,PMM:episode_rewards,frames,advantage_norm,fps,grad_norm
3.0,-0.6899253797531127,0.0,0.05530676816604682,-0.027536746000405402,1.3324210262298584,1,171.8409090909091,1.1818181818181819,8000,1.533201319538057,234,1.4323788535245694
2.0,-0.0965416532754898,0.0,0.009244164273568459,0.0021072140095657233,1.3549073910713196,2,161.21,0.93,16000,0.8984974196180702,227,0.16103921898083418
2.0,-0.019481216073036194,0.0,0.011548557157766481,0.00019162143842549995,1.3822025537490845,3,156.91,0.78,24000,1.0928015199303627,236,0.17620385399653266
3.0,-0.13371739745140077,0.0,0.01133429867918494,0.0008685056169633753,1.3802615129947662,4,169.27,1.05,32000,1.009369170591235,234,0.19669950456224242
3.0,-0.01684620201587677,0.0,0.015723550060783964,0.0010561480629257857,1.3759824168682098,5,168.71,1.09,40000,1.3301712565124035,236,0.20930778342902903
3.0,-0.023563534617424012,0.0,0.01470140350602378,0.0030925861035939308,1.3822144281864166,6,177.79,1.34,48000,1.2824522548913955,240,0.19889423149481478
4.0,0.015930172801017762,0.0,0.012790689585381187,-0.0017602633306523785,1.3814912807941437,7,189.54,1.52,56000,1.2169472946971656,243,0.2040375905393149
4.0,0.052181239128112795,0.0,0.016158453708849264,0.0009409230094388477,1.3722412383556366,8,192.44,1.54,64000,1.3903386086970568,249,0.24078720659801028
4.0,0.2404286891222,0.0,0.016224830033024773,0.0005184264568379149,1.3475542360544204,9,191.85,1.62,72000,1.3897115316987039,249,0.3284015429730406
4.0,0.3911560171842575,0.0,0.017756182746379637,-0.0023554895620327442,1.36160857796669,10,203.51,1.93,80000,1.5111028832197189,250,0.4052929108310666
4.0,0.5211755621433258,0.0,0.02818447124940576,-0.00472743228678155,1.2978635210543872,11,197.47,1.75,88000,1.5741714495420456,250,0.7238285447194909
4.0,0.6914580142498017,0.0,0.026385935096768662,-0.0018337168295693119,1.3337700806185604,12,193.5,1.61,96000,1.5288387721776961,253,0.5259430085976703
5.0,0.707507637143135,0.0,0.020780988211045043,-0.0075291213672608135,1.3487829849123956,13,201.26,1.87,104000,1.5924055880308152,256,0.5445582275214688
5.0,0.8372156995534897,0.0,0.010876457155682147,-0.0025433372741099445,1.3574245977401733,14,203.08,1.9,112000,1.2352856895327569,259,0.36211789822409896
5.0,0.805129525065422,0.0,0.011078457152470945,-0.0066778766101924705,1.35205344080925,15,197.79,1.74,120000,1.2393054121732712,259,0.3566293516814637
5.0,0.8857526916265488,0.0,0.009276765343965963,0.0002521144720958546,1.3568006336688996,16,196.45,1.75,128000,1.1493637734651565,261,0.2994760751507562
5.0,0.9132693785429001,0.0,0.0061029450659407306,-0.002795542285894044,1.3538681018352507,17,200.45,1.82,136000,0.9042263263463974,263,0.2467395110149091
5.0,0.9015783745050431,0.0,0.008065637432737275,-0.00040526432712795213,1.349759397506714,18,203.22,1.85,144000,1.0525737294554711,264,0.26993125653167416
4.0,0.9181954687833787,0.0,0.008935805974469985,-0.000183588802756276,1.3330155420303345,19,193.75,1.66,152000,0.9595263296365738,264,0.31405457893022426
4.0,0.8542801976203919,0.0,0.007960693432833068,-0.002695182864990784,1.3598462963104248,20,189.92,1.57,160000,1.0158953434228897,263,0.2790421064783154
5.0,0.9235187464952469,0.0,0.006579280279693194,-5.2870394429191945e-05,1.3571663904190063,21,205.68,1.92,168000,0.9293374022841454,265,0.20459649145627778
5.1000000000000085,0.9446972113847732,0.0,0.00603088992938865,-0.0011648188908293378,1.338759676218033,22,211.82,2.1,176000,0.8755354024469852,265,0.22048859015668043
5.0,0.9441344362497329,0.0,0.005657416732865386,0.0011959386403032112,1.3508796072006226,23,209.07,2.12,184000,0.8499652165174484,266,0.21259933170526615
5.0,0.859284331202507,0.0,0.008634997394983657,-0.0017302567162550985,1.3639067721366882,24,207.24,2.06,192000,1.0066202580928802,268,0.25151276902591235
5.0,0.9446818655729294,0.0,0.004058163249283098,-0.0013034067844273523,1.331729085445404,25,192.47,1.71,200000,0.7100964018702507,269,0.16876965597620852
5.0,0.9679337251186371,0.0,0.0031359433769830502,-0.0016352090226428118,1.3396012341976167,26,185.79,1.56,208000,0.6256365750730037,270,0.14782358184079059
5.0,0.9348117852210999,0.0,0.004830524766439339,-0.001034134174879,1.3545239973068237,27,181.11,1.33,216000,0.7330426697432995,269,0.18751048013293153
5.0,0.9276548153162003,0.0,0.006547656823531724,5.252436676528305e-05,1.3374534916877747,28,181.3,1.36,224000,0.8804364944994449,270,0.2115583568438682
6.1000000000000085,0.9338153195381165,0.0,0.0057728967641014605,-0.0018296397023368626,1.3446332335472106,29,194.86,1.87,232000,0.8575355422496795,271,0.1957974713739706
6.1000000000000085,0.9516033762693406,0.0,0.003924647592502879,-0.0011495016631670296,1.3464441812038421,30,196.48,1.93,240000,0.6834558899700641,273,0.1639577587144504
6.300000000000026,0.9700404143333435,0.0,0.0039275927498238165,-0.0002189413653104566,1.3407469594478607,31,201.29,2.03,248000,0.695166038274765,274,0.16429277545711887
6.200000000000017,0.9517980819940567,0.0,0.004832049811957404,-0.0004757100809365511,1.3663571655750275,32,208.72,2.2,256000,0.7560472169518471,274,0.1692062306057097
6.0,0.9463567101955414,0.0,0.005587502345442772,-0.0007434686083615815,1.3633266937732698,33,209.2,2.2,264000,0.8222524309158326,274,0.1906592291321566
6.0,0.94215705037117,0.0,0.005982180351857096,0.0011835243250243365,1.3591753137111664,34,200.35,1.92,272000,0.84123386323452,274,0.1863141671773447
6.1000000000000085,0.9424017685651779,0.0,0.004148632803407964,-0.0010878652638712082,1.3497808218002318,35,211.75,2.23,280000,0.7022654390335084,276,0.15445751367014307
6.200000000000017,0.963563180565834,0.0,0.0034328658698359505,-0.0006393097885666066,1.3408113944530486,36,217.05,2.37,288000,0.6242858585715294,276,0.1396816202390592
5.1000000000000085,0.9601749128103256,0.0,0.003586777150630951,-0.0005529431457398459,1.3561715519428252,37,198.86,1.82,296000,0.6452174392342568,276,0.14933322415448239
5.0,0.956736279129982,0.0,0.004981301373627503,-0.0018855885044831667,1.3607771849632264,38,189.85,1.56,304000,0.7548358434438706,277,0.1765713757852001
5.0,0.9459066051244736,0.0,0.004940636329120025,-0.00121814745827578,1.3595930457115173,39,195.11,1.71,312000,0.7719341292977333,277,0.16306974296988777
5.1000000000000085,0.9595351719856262,0.0,0.004505262989550829,-0.00030482179441605696,1.3430944633483888,40,204.35,1.99,320000,0.7339276167750358,278,0.16294126305269313
6.0,0.9677371966838837,0.0,0.003422735762142111,-0.0008566683754543192,1.3494468426704407,41,206.43,2.1,328000,0.6396556831896305,278,0.14074166186419818
5.1000000000000085,0.939697123169899,0.0,0.004540998044394656,-3.05132451467216e-05,1.3744187605381013,42,200.17,1.96,336000,0.7266711631417274,278,0.15626220911377314
6.0,0.9638420295715332,0.0,0.003552070531004574,0.00011081686145189451,1.356267853975296,43,202.17,2.01,344000,0.6481717364490032,279,0.14581470661988033
