PMM:episode_rewards,model_prob_std,explained_variance,avg_q_retraced,epoch_idx,policy_gradient_loss,policy_loss,q_loss,rollout_prob_std,P09:episode_rewards,grad_norm,policy_entropy,policy_gradient_bias_correction,P01:episode_rewards,fps,avg_q_selected,frames,advantage_norm,episode_length
0.0,0.008254031743854284,-70.78449223836263,0.006472822930663824,1,-7.799899115828642e-05,-7.799899115828642e-05,0.0002129982426292069,0.008254031588633855,0.0,0.036332465544615486,2.1889208873112995,0.0,0.0,330,0.006076627387665212,7200,0.02744250191996495,0
0.0,0.006732463266234845,-165.61996962229412,0.005670648370869458,2,-0.00011723209111854278,-0.00011723209111854278,0.00013674314929327616,0.00673246339817221,0.0,0.0577768954088586,2.1908318678538006,0.0,0.0,195,0.0058338083132791025,14400,0.012773228560884793,0
0.0,0.0025115329422987997,-67.99326604207357,0.0013185329094994812,3,-4.002018002514281e-05,-4.002018002514281e-05,1.796863307390595e-05,0.002511532965581864,0.0,0.003206101968873845,2.1968705654144287,0.0,0.0,230,0.0014271125769785916,21600,0.011468960406879584,0
0.0,0.0039792826806660745,-19.950234413146973,0.00047102819395756037,4,-1.1410086926844087e-05,-1.1410086926844087e-05,2.2167603628986398e-05,0.003979282614697392,0.0,0.0035997619132536367,2.1965223073959352,0.0,0.0,260,0.0004491260648213332,28800,0.024994812564303477,0
0.0,0.0015888463084896406,-15.2391100247701,0.0005764263226107384,5,-1.402002131574894e-05,-1.402002131574894e-05,6.19264831508796e-06,0.0015888463453544925,0.0,0.0011613262784930076,2.197052001953125,0.0,0.0,287,0.0006289450616653387,36000,0.01108768406168868,0
0.0,0.0023538681542656075,-44.335830211639404,0.00048296001520308586,6,-1.1504115315119634e-05,-1.1504115315119634e-05,9.402230769713545e-06,0.002353868162026629,0.0,0.00168096357854079,2.1969265778859457,0.0,0.0,308,0.0005049339302786393,43200,0.017119897343218327,3324.8333333333335
0.0,0.0008541115404417117,-83.31926644643148,0.0013327143562491984,7,-2.400627461535502e-05,-2.400627461535502e-05,4.4916541961962745e-06,0.0008541115171586473,0.0,0.0008947134430338378,2.197179985046387,0.0,0.0,327,0.0013395111872038493,50400,0.005449568682039777,3324.8333333333335
0.0,0.0008333349406408767,-85.06114800771077,0.0016914716310566292,8,-4.410780506844958e-05,-4.410780506844958e-05,6.054609260293849e-06,0.0008333349445213875,0.0,0.0008531873947088878,2.1971909284591673,0.0,0.0,343,0.0016823571769540044,57600,0.005078403100681802,3324.8333333333335
0.0,0.0015852571465075015,-20.457641124725342,0.00036854496186909577,9,-9.495013168248079e-06,-9.495013168248079e-06,5.155358849151526e-06,0.0015852571426269908,0.0,0.0009182498236807856,2.197080357869466,0.0,0.0,356,0.0003658566460823446,64800,0.012052359719139835,3324.8333333333335
0.0,0.0011596997365510711,-31.09614642461141,0.00019335607382042023,10,-3.41915564329535e-06,-3.41915564329535e-06,3.361853259775671e-06,0.0011596997190887728,0.0,0.0007203914443038515,2.197137983640035,0.0,0.0,367,0.00016717848123638153,72000,0.008256915611370156,3324.8333333333335
0.0,0.0016810238807617377,-13.74383586247762,0.00029496516920820187,11,-2.96105479264952e-06,-2.96105479264952e-06,4.039484319188584e-06,0.0016810239118058234,0.0,0.0008751102331372642,2.1970922470092775,0.0,0.0,377,0.00027119357479629496,79200,0.01433707734492297,3324.8333333333335
0.0,0.00044328839091273644,-143.01530656814575,0.0004224541403042773,12,-1.1107494786818014e-05,-1.1107494786818014e-05,1.6728459418876204e-06,0.0004432883768458851,0.0,0.00028512300224120904,2.197208372751872,0.0,0.0,385,0.00040788358686162006,86400,0.0036836044474815328,3324.2083333333335
0.0,0.0005656343913869932,-164.7139679590861,0.0012539925267143796,13,-2.2337473971371462e-05,-2.2337473971371462e-05,2.736107859391268e-06,0.0005656343700441842,0.0,0.0005758510878311139,2.1972060600916543,0.0,0.0,391,0.0012361804372631013,93600,0.003018082755928238,3324.2083333333335
0.0,0.0004091046265481661,-102.54522816340129,0.0006159955247615774,14,-1.895763440321237e-05,-1.895763440321237e-05,1.9003219525378274e-06,0.0004091046260631022,0.0,0.00033082645251681237,2.197214460372925,0.0,0.0,398,0.0006372773515370985,100800,0.0030373749206773935,3324.2083333333335
0.0,0.0013585026531169812,-17.180016708374023,0.00031471664915443397,15,-6.369248560152604e-06,-6.369248560152604e-06,2.4817962942809875e-06,0.0013585026405053212,0.0,0.0006570982466015638,2.197143721580505,0.0,0.0,403,0.0002952089028743406,108000,0.011891240851643186,3324.2083333333335
0.0,0.0005127419737012436,-35.89771680831909,0.0003761992037955982,16,-7.663191430159108e-06,-7.663191430159108e-06,8.708563503508534e-07,0.0005127419853427757,0.0,0.0002509129052501132,2.1972038984298705,0.0,0.0,409,0.00036385349194461013,115200,0.004226645027908186,3324.2083333333335
0.0,0.001084994325893127,-23.86926489407423,0.00040672135677750074,17,-1.0399606083811528e-05,-1.0399606083811528e-05,1.6361471817780798e-06,0.0017469982775946845,0.0,0.0004972562635898403,2.1971696986691662,0.0,0.0,407,0.00042598112721231596,122400,0.009915966363988695,3324.472222222222
0.0,0.0004620554509300933,-80.73419158765248,0.0004912882382505192,18,-1.1056250284978219e-05,-1.1056250284978219e-05,5.485251271164681e-07,0.0025365123544814567,0.0,0.00019842306901123917,2.1972136773192696,0.0,0.0,402,0.0004917449183648431,129600,0.0041766765275078515,3324.472222222222
