fps,grad_norm,policy_loss,explained_variance,policy_entropy,approx_kl_divergence,episode_length,P09:episode_rewards,clip_fraction,PMM:episode_rewards,frames,advantage_norm,epoch_idx,value_loss,P01:episode_rewards
175,159.7163065050927,0.015665605044887343,-0.052487514540553094,1.5984567601233721,0.22526802218069447,320.7586206896552,214.99999999999994,0.2757080078125,106.89655172413794,10240,15.96871812939644,1,19.739584747626214,20.000000000000007
175,0.44069445869816315,-0.0015058336597576273,4.8428773880004884e-09,1.7226155944168569,0.0029164611721853363,321.1967213114754,225.0,0.21025390625,110.24590163934427,20480,15.968717867136002,2,0.014376594495843165,25.0
181,0.26483026939407883,-0.0012662977449508616,-4.097819328308106e-09,1.7680048756301403,0.0017422827201087898,329.3404255319149,275.0,0.106298828125,130.0531914893617,30720,15.968717992305756,3,0.01767475928645581,25.0
184,0.17861661313979807,-0.0011530417192261665,-5.960464477539063e-09,1.7613669209182263,0.0011097631714505952,331.25,282.5000000000007,0.067626953125,136.75,40960,15.968717896938324,4,0.015209401304309722,25.0
188,0.14728529612319427,-0.0013246926809188154,-7.82310962677002e-09,1.777528590708971,0.0009954107716874105,336.94,275.0,0.0576416015625,145.0,51200,15.968717950582505,5,0.018725992956024128,25.0
189,0.10144868957969846,-0.0010045464332506526,-1.30385160446167e-08,1.7819167584180833,0.0005238291724268152,338.99,302.5000000000002,0.0202880859375,165.25,61440,15.968718159198762,6,0.02025001040310599,25.0
190,0.07933233526031994,-0.00019924157895729878,-3.874301910400391e-08,1.7890300013124942,9.43229194865225e-05,337.51,300.0,0.0,167.5,71680,15.968718075752259,7,0.02061258562025614,25.0
191,0.07868574264991073,-0.000477804867841769,-2.2351741790771484e-09,1.7827663123607635,0.00012409206563681607,342.93,452.50000000000017,0.0,192.5,81920,15.968718093633651,8,0.020366650867799763,25.0
190,0.08782798998329905,-0.0008467751904390752,3.7252902984619143e-10,1.7712156102061272,0.0002299287367648617,336.75,332.5000000000006,0.0,177.5,92160,15.968718153238296,9,0.02163380567508284,25.0
190,0.07090542067230846,-0.0004835156945773633,4.470348358154297e-09,1.7827092930674553,0.0001250844774634885,340.42,425.0,0.0,191.75,102400,15.968718165159226,10,0.022034058131976054,50.0
191,0.07437257029903876,-0.0006224868855497334,-1.5273690223693846e-08,1.7786002695560454,0.00015022834353750625,338.18,300.0,0.0,177.0,112640,15.968718105554581,11,0.021051832858938725,50.0
192,0.07612880170756028,-0.0004803650557732908,5.960464477539063e-09,1.7748062841594219,0.0001537369941516431,339.94,350.0,0.0,179.75,122880,15.96871799826622,12,0.021108732442371547,50.0
192,0.07597925297722459,-0.0006742363388184458,-1.4901161193847657e-09,1.773263432085514,0.00015353449433970213,345.98,375.0,0.0,192.0,133120,15.968718141317368,13,0.02118271363142412,50.0
193,0.08468702696992589,-0.0004123925129533745,1.1548399925231934e-08,1.7648708760738372,0.00011571600965076811,339.91,452.50000000000017,0.0,195.5,143360,15.968718194961548,14,0.02129949988302542,25.0
193,0.07676996592785636,-0.000559631247233483,4.8428773880004884e-09,1.7781036071479321,0.0001512112333816873,342.43,450.0,0.0,196.5,153600,15.968718016147614,15,0.0217927954159677,25.0
193,0.07477470036193465,-0.00034500180190661923,-1.9744038581848144e-08,1.7860535115003586,9.996206733173807e-05,341.12,360.0000000000009,0.0,191.75,163840,15.968718141317368,16,0.021491985383909194,25.0
193,0.07843088721803212,-0.0004122792899579508,-3.5390257835388184e-08,1.7821872927248479,9.807675522317538e-05,339.65,327.5000000000002,0.0,178.25,174080,15.96871789097786,17,0.01635915448568994,25.0
192,0.07321136971737172,-0.0007567694141471293,-1.080334186553955e-08,1.7839911118149758,0.00017652241965713245,331.69,302.5000000000002,0.0,160.75,184320,15.968718111515045,18,0.018053356619202533,25.0
193,0.06870924137567616,-0.0006158692103781505,-5.960464477539063e-09,1.780538272112608,0.00014403799186624155,330.2,300.0,0.0,156.75,194560,15.968717938661575,19,0.018626501175458544,25.0
193,0.077159756887932,-0.0005617652954242658,-2.2724270820617674e-08,1.7699453726410865,0.0001558880555840858,329.93,300.0,0.0,160.0,204800,15.968718189001084,20,0.02312330197892152,25.0
193,0.08510467157373389,-0.000673765356259537,-5.960464477539063e-09,1.7789656065404416,0.0001717160118001715,333.19,350.0,0.0,168.75,215040,15.968718159198762,21,0.022195513971382752,25.0
193,0.0757110248663435,-0.000534648042957997,-1.6391277313232423e-08,1.7852011911571026,0.0001290766022023604,333.45,327.5000000000002,0.0,175.75,225280,15.968718159198762,22,0.02046923222951591,47.50000000000001
194,0.07487709120591056,-0.0006481784459538176,-2.3096799850463868e-08,1.786216027289629,0.00016756727604345657,334.81,350.0,0.0,176.5,235520,15.968718236684799,23,0.020390240097185597,25.0
194,0.0806527212673154,-0.0006119219706306467,-8.195638656616212e-09,1.7841138526797296,0.00013395431754936737,332.39,275.0,0.0,162.5,245760,15.968718028068542,24,0.019873148342594505,50.0
195,0.07404669241407541,-0.00041503432657918893,1.4901161193847657e-09,1.7842867828905582,0.00010175901854267977,333.01,277.5000000000002,0.0,166.75,256000,15.968718254566193,25,0.020615218044258653,47.50000000000001
195,0.07457070970754748,-0.000652839132999361,4.097819328308106e-09,1.7799202337861062,0.00017054508270852864,338.33,277.5000000000002,0.0,166.25,266240,15.968717968463897,26,0.01805699811957311,25.0
195,0.078917063365224,-0.0006609393129110685,-8.195638656616212e-09,1.787446142733097,0.00015462445142730986,341.56,405.00000000000045,0.0,183.0,276480,15.96871821284294,27,0.0198857686467818,25.0
195,0.0748125591556905,-0.0004478457020013593,1.4901161193847657e-09,1.7802344977855682,0.00012073560401546502,342.24,405.00000000000045,0.0,187.75,286720,15.968718099594117,28,0.020267735689412803,25.0
195,0.0806924556012362,-0.00046098231796349866,-1.0430812835693359e-08,1.7784307420253753,0.00010167584024216581,329.52,327.5000000000002,0.0,168.25,296960,15.968718147277832,29,0.020678874547593297,47.50000000000001
195,0.07591832949172247,-0.00041400591799174437,-1.899898052215576e-08,1.7778246209025383,0.00010257936560940096,334.24,305.00000000000045,0.0,181.25,307200,15.968718165159226,30,0.023635931668104605,50.0
195,0.07468424476139343,-0.0004952115599735407,3.7252902984619143e-10,1.7790435284376145,0.0001199301346694881,332.88,302.5000000000002,0.0,184.0,317440,15.968718200922012,31,0.02108438926807139,50.0
195,0.07373233135476236,-0.00045513990517065395,1.0430812835693359e-08,1.7800325103104115,0.0001186469857252348,336.25,325.0,0.0,189.25,327680,15.96871799826622,32,0.02145328811602667,50.0
194,0.07494631321044218,-0.0006790615920181153,4.097819328308106e-09,1.7830215491354466,0.00015441390050021652,333.33,302.5000000000002,0.0,178.75,337920,15.968718153238296,33,0.020035475352779032,50.0
195,0.06936836853670192,-0.00035223683044023347,-9.313225746154785e-09,1.7796343550086022,9.640715458019145e-05,341.42,300.0,0.0,184.75,348160,15.96871811747551,34,0.02430938544566743,50.0
195,0.07518673486885616,-0.0006494315435702447,1.30385160446167e-08,1.780999768525362,0.00014554285659542642,341.35,275.0,0.0,181.75,358400,15.968718189001084,35,0.021883894689381123,50.0
