P01:episode_rewards,model_prob_std,avg_q_selected,policy_gradient_bias_correction,q_loss,fps,episode_length,frames,advantage_norm,avg_q_retraced,policy_entropy,policy_loss,grad_norm,rollout_prob_std,epoch_idx,PMM:episode_rewards,explained_variance,P09:episode_rewards,policy_gradient_loss
0.0,0.05779131799936295,0.060037291049957274,4.046079582487039e-11,0.0046643105442247665,605,0,7200,0.08565566403170427,0.05899130590260029,2.0194187581539156,-0.0015613076141259322,0.16001958998013846,0.05779131837189198,1,0.0,-45.06390983263652,0.0,-0.001561307660692061
0.0,0.04097862665851911,0.02141091030401488,0.0,0.00024370608439312492,300,0,14400,0.032476133480668065,0.021567878251274427,2.117740297317505,-0.0002384725954470923,0.02311464673214621,0.04097862783819437,2,0.0,-52.37992560863495,0.0,-0.0002384725954470923
0.0,0.015568765097608168,0.0027760178617124136,0.0,2.84961380657478e-05,404,0,21600,0.027621424694856008,0.002606359779989968,2.1852174441019696,-6.0981457052851815e-05,0.004455425564915685,0.015568764756123225,3,0.0,-9.345226867993672,0.0,-6.0981457052851815e-05
0.0,0.01899296697229147,0.0014675333333192006,0.0,5.623069670643114e-05,432,0,28800,0.05311867458124955,0.0010627746557778058,2.1827856302261353,-1.1900230818658504e-05,0.005747719239150706,0.01899296703437964,4,0.0,-5.427993392944336,0.0,-1.1900230818658504e-05
0.0,0.011346868239343166,-0.0012636837956961245,0.0,1.8845416646702992e-05,453,0,36000,0.027780019802351792,-0.0012099063872786549,2.19172359307607,4.480142618679868e-05,0.002684211676329046,0.01134686820829908,5,0.0,-3.335063862800598,0.0,4.480142618679868e-05
0.0,0.013320701041569313,-0.00018804806556242207,0.0,3.5584866335132874e-05,471,3323.9166666666665,43200,0.043023913788298764,-0.00024472821642120837,2.1896687507629395,6.70058374604802e-06,0.004273024933303413,0.013320700886348883,6,0.0,-9.554020516077678,0.0,6.70058374604802e-06
0.0,0.010721915028989315,-0.001551800745073706,0.0,6.823320783648039e-06,478,3323.9166666666665,50400,0.014396976803739865,-0.0015920415598278245,2.1921415249506633,3.0609442213365885e-05,0.0019498977525093395,0.010721914966901143,7,0.0,-10.664771540959675,0.0,3.0609442213365885e-05
0.0,0.014812633550415436,-0.0021657431633987775,0.0,6.411390207479902e-06,433,3323.9166666666665,57600,0.016716334285835424,-0.0021735161814528206,2.187318229675293,4.748077062129615e-05,0.0021441162537672613,0.014812633426239093,8,0.0,-6.635353358586629,0.0,4.748077062129615e-05
0.0,0.012816963934650023,-0.0005502048785274383,0.0,2.227200720123316e-05,430,3323.9166666666665,64800,0.03259515060732762,-0.0006549855890625623,2.190546957651774,2.1612400238761136e-05,0.0028812162032712443,0.012816964027782282,9,0.0,-5.138025132815043,0.0,2.1612400238761136e-05
0.0,0.01183051560074091,-0.0006255970230995445,0.0,1.6204884646716287e-05,438,3323.9166666666665,72000,0.026157919472704332,-0.0006545308361334416,2.1915284792582193,9.76259999940036e-06,0.002308285720335577,0.011830515724917253,10,0.0,-5.470569729804993,0.0,9.76259999940036e-06
0.0,0.01376959088568886,1.8248375211745346e-05,0.0,2.7379210909354394e-05,445,3323.9166666666665,79200,0.04421249308312933,6.987538266306122e-05,2.1897358179092405,-7.45069820027311e-06,0.0038347996175526157,0.013769590730468432,11,0.0,-5.627763867378235,0.0,-7.45069820027311e-06
0.0,0.010748626136531433,0.0012380795647914055,0.0,6.209320789215174e-06,450,3324.375,86400,0.014701722996930282,0.0012656986029469409,2.1925575812657674,-1.7062715699012188e-05,0.0013571680403955475,0.010748626136531433,12,0.0,-11.828683058420816,0.0,-1.7062715699012188e-05
0.0,0.01069519684339563,-0.0005323003191733733,0.0,2.4921245502203723e-06,455,3324.375,93600,0.010385019751265646,-0.0005610723104230905,2.1924486716588336,7.819527695573925e-06,0.001187252335567514,0.010695196905483801,13,0.0,-10.913260920842488,0.0,7.819527695573925e-06
0.0,0.00994215061267217,0.0004583391836301113,0.0,3.1606051758596246e-06,461,3324.375,100800,0.012992265479018291,0.000494149629957974,2.193185583750407,1.8183279356283795e-06,0.0011193701864163333,0.009942150457451742,14,0.0,-5.979798531532287,0.0,1.8183279356283795e-06
0.0,0.012628265439222257,-0.00028742607003853966,0.0,2.37403221679718e-05,466,3324.375,108000,0.03900440741951267,-0.0003162613310754144,2.190923500061035,1.058179252595437e-05,0.0031094323359024192,0.012628265346089998,15,0.0,-7.412413501739502,0.0,1.058179252595437e-05
0.0,0.009607456686596075,0.00023369214419896405,0.0,6.089673019005204e-06,471,3324.375,115200,0.01691814527536432,0.00023893220350146294,2.1934287707010904,-1.7010690407441112e-05,0.001247249744966591,0.009607456872860591,16,0.0,-6.819065268834432,0.0,-1.7010690407441112e-05
0.0,0.012004519665460118,-0.000393901771609868,-5.009337862581467e-06,1.8354677061222175e-05,469,3324.472222222222,122400,0.0356510448267351,-0.00030806759632579287,2.1914548267499367,4.3860742839615825e-06,0.0026655436347367803,0.014165630417935525,17,0.0,-6.197492223006708,0.0,9.395412213697233e-06
0.0,0.00964308598821628,-0.00011673505279925431,-6.674577178260834e-06,5.4545518993507804e-06,459,3324.472222222222,129600,0.018852876197058888,-0.00010185824905176126,2.1934506347822764,-1.6093210631746885e-06,0.001307025989794945,0.019176373045507164,18,0.0,-6.6759973709923885,0.0,5.065256179957571e-06
