frames,P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,epoch_idx,policy_loss,grad_norm,advantage_norm,approx_kl_divergence,episode_length,policy_entropy,fps,clip_fraction,explained_variance,value_loss
133120,550.0,125.0,317.0,13,-0.006594597309231176,2.7292241174417287,15.968719393014908,0.0022845774851705906,382.85,1.7084531739354134,225,0.151513671875,0.8204220402985811,0.15057605132460594
143360,577.5000000000002,150.0,332.75,14,-0.006383919150903239,2.541494626064476,15.968719244003296,0.0020464162140345138,391.09,1.7260145001113414,225,0.1299560546875,0.8228141374886035,0.1454774904297665
153600,602.5000000000002,150.0,339.0,15,-0.005557931704970542,2.635227741326234,15.968719136714935,0.0018925418948813606,393.07,1.7111998699605464,227,0.1166259765625,0.8124470982700587,0.1393283534795046
163840,625.0,150.0,350.25,16,-0.005445245451846858,2.390304382551533,15.96871926188469,0.0022086592109420177,393.96,1.6813482239842414,227,0.1355224609375,0.7678871110081673,0.13201774330809712
174080,627.5000000000002,175.0,362.5,17,-0.00670400883682305,2.1705749723270515,15.96871924996376,0.001967825691577039,394.58,1.7006251946091653,227,0.1223388671875,0.7715894285589456,0.13109965361654757
184320,652.5000000000002,175.0,366.0,18,-0.007535937961074523,2.2120269847197074,15.968719232082368,0.002019484224615839,395.63,1.7027182795107365,228,0.1234130859375,0.8364566080272198,0.1191774572012946
194560,652.5000000000002,222.5,379.25,19,-0.00702883789272164,2.672821356693959,15.968719220161438,0.0019946051426134735,395.73,1.7032212987542152,228,0.1192138671875,0.8356953598558903,0.1341565147973597
204800,675.0,225.0,387.75,20,-0.007660750333889155,2.1161982680900513,15.968719244003296,0.002020967290434619,407.19,1.7148229375481605,229,0.1178466796875,0.8516610279679299,0.11759320660494268
215040,677.5000000000002,247.5,407.0,21,-0.0075937273417366665,2.4570601582723355,15.968719232082368,0.0023496388642345717,412.47,1.6853527553379535,229,0.1476806640625,0.858524463325739,0.12902530943974852
225280,675.0,222.5,411.0,22,-0.007374608993268339,2.2516554245741305,15.968719202280045,0.002242247760023312,411.62,1.7090365894138813,229,0.1388916015625,0.8610320921987296,0.10929799859877676
