explained_variance,P01:episode_rewards,grad_norm,value_loss,clip_fraction,PMM:episode_rewards,policy_loss,approx_kl_divergence,epoch_idx,policy_entropy,fps,frames,episode_length,advantage_norm,P09:episode_rewards
0.18169608600437642,175.0,18.5250831599675,0.4642637616954744,0.268994140625,354.3478260869565,0.010379728805855849,0.01110879617472255,1,1.238551764935255,166,10240,415.0869565217391,15.968719166517257,665.0
0.5059549231082201,175.0,4.266827670049439,0.13951748977415263,0.1570556640625,338.2352941176471,-0.002814593443326885,0.0026174059242754077,2,1.5543827272951602,156,20480,395.96078431372547,15.968719106912612,625.0
0.6041062861680985,150.0,4.063884370608141,0.14578964365646244,0.1441162109375,308.65384615384613,-0.003968309407719061,0.002396863307058495,3,1.6435150146484374,166,30720,382.38461538461536,15.96871926188469,532.4999999999999
0.6620147570967674,150.0,3.8129370281074797,0.13705722629092634,0.122021484375,299.0,-0.004413863592344569,0.0020335100256492094,4,1.7000397838652135,173,40960,377.72,15.968719112873078,502.5000000000002
0.6141901236027479,150.0,4.128739826929651,0.17190825806465,0.152197265625,299.5,-0.005013874977157684,0.0023949194740911324,5,1.7081707403063775,174,51200,369.93,15.968719190359115,527.5000000000002
0.6568640004843473,150.0,3.5320389392966733,0.15887690535746515,0.142724609375,313.75,-0.00412248942811857,0.002287733624052965,6,1.71429782807827,177,61440,377.68,15.968719100952148,555.0000000000005
0.7254501447081566,150.0,2.5637245984084114,0.12461336106061935,0.126416015625,323.0,-0.005841544353461359,0.0020562361613545395,7,1.7133835814893246,179,71680,376.35,15.968719297647477,602.5000000000002
0.6325220681726933,150.0,2.985657404988408,0.15176531388424336,0.1213134765625,326.75,-0.005045031725603622,0.001999553979613056,8,1.7184155695140362,180,81920,377.29,15.968719172477723,627.5000000000002
0.7217134438455105,150.0,2.0334224778284335,0.11309549326542764,0.159326171875,341.5,-0.006670884113555075,0.0023568519223775308,9,1.7235025003552438,181,92160,379.51,15.96871926188469,650.0
0.7578956957906484,147.5,3.1438556148810983,0.15659412052482366,0.118994140625,346.25,-0.004924282350293652,0.001959227219322515,10,1.7233787044882773,182,102400,375.74,15.96871930360794,650.0
0.8435042958706618,147.5,2.4257380846990166,0.117580033862032,0.146240234375,364.75,-0.006956187579999096,0.0022733290772979273,11,1.7160352557897567,184,112640,381.41,15.968719410896302,627.5000000000002
0.8162401117384434,172.5,2.3438526860155107,0.1352080195210874,0.15625,378.5,-0.007446796329895733,0.0024854245234795036,12,1.7017830580472946,185,122880,388.82,15.968719190359115,650.0
0.7741563152521849,175.0,1.8473509966069748,0.11682567241368816,0.1348876953125,399.75,-0.008026341787626734,0.002187434786515309,13,1.7238097101449967,186,133120,404.04,15.968719184398651,650.0
0.8252198819071055,175.0,2.177512476041565,0.11283655040897429,0.122998046875,401.25,-0.007531350789213321,0.002001492284648811,14,1.725618190318346,186,143360,409.24,15.968719190359115,650.0
0.8370545864105224,200.0,2.2585549038880144,0.12427049768157303,0.11640625,384.5,-0.00708368532887107,0.0019243072589691466,15,1.720900371670723,186,153600,403.55,15.968719297647477,650.0
0.8392569981515408,222.5,2.4629439319746815,0.1265489562880248,0.1353515625,383.75,-0.008092213230702328,0.002101345176197663,16,1.708909346163273,186,163840,403.28,15.968719351291657,627.5000000000002
0.8371917765587569,222.5,2.700126969930754,0.14786021849140524,0.12099609375,378.5,-0.0077380816081131345,0.0019226332679525698,17,1.7242412701249124,187,174080,401.26,15.968719398975372,625.0
0.8444388464093209,200.0,2.3219822771120753,0.13646128855179995,0.1256591796875,372.0,-0.007340875601948937,0.0019628286543595984,18,1.723322892934084,188,184320,399.84,15.968719309568405,625.0
0.7672767039388418,197.5,2.260238534480806,0.16118710867594926,0.113671875,374.5,-0.006908704189117998,0.0019309468954818935,19,1.7052334696054459,188,194560,397.89,15.968719232082368,627.5000000000002
0.8032029647380113,175.0,1.7868033085349329,0.12801899006590248,0.1455078125,372.0,-0.009743342283036327,0.002269934108017226,20,1.7318994104862213,188,204800,398.59,15.968719232082368,650.0
0.8203542213886976,197.5,1.8457385618722513,0.12565642721019685,0.1293212890625,387.25,-0.00905243747984059,0.0021106686936948767,21,1.7391502045094966,188,215040,403.59,15.968719148635865,677.5000000000002
0.7523948185145855,150.0,2.318860377235772,0.19528223513625562,0.115576171875,386.25,-0.008011326628547977,0.0019087132503048422,22,1.745492260158062,188,225280,407.7,15.968719333410263,677.5000000000002
0.812803978472948,175.0,2.2624187459102214,0.14022203325293958,0.142529296875,403.75,-0.009589585880894447,0.00224631629416789,23,1.7315465413033961,189,235520,419.16,15.968719136714935,725.0
0.792624931037426,172.5,1.91978501621313,0.12575483964756132,0.142822265625,404.0,-0.009041340290787047,0.002181028917607665,24,1.7153174147009849,189,245760,426.08,15.968719112873078,700.0
0.7993207834661007,175.0,1.894051645265415,0.1253054244676605,0.1662353515625,413.25,-0.00972645823203493,0.0025344996810420795,25,1.7147232756018638,190,256000,440.97,15.968719238042832,725.0
0.8207954663783312,197.5,2.3184888557388765,0.13879786008037626,0.1232666015625,416.5,-0.009276008301094407,0.002000166176935922,26,1.7228365994989872,190,266240,445.4,15.968719345331191,700.0
0.7829824537038803,200.0,2.139381627278405,0.15115019015502185,0.15712890625,423.0,-0.009370256468537263,0.002400404524246661,27,1.7222939141094684,190,276480,441.85,15.968719238042832,702.5000000000002
0.8332182675600052,200.0,2.0938440709938364,0.12046882226131857,0.156103515625,425.75,-0.010726282203540905,0.0024904523407034205,28,1.6938524097204208,190,286720,436.77,15.96871919631958,725.0
