value_loss,advantage_norm,policy_entropy,approx_kl_divergence,policy_loss,P01:episode_rewards,episode_length,frames,explained_variance,clip_fraction,fps,grad_norm,epoch_idx,P09:episode_rewards,PMM:episode_rewards
2070157930.5567615,15.968648183345795,0.6608444832485483,125768645.91230352,0.07314970888473908,125.0,355.9583333333333,10240,-6.991141924262047,0.4003173828125,444,1566671537.3087974,1,217.49999999999997,146.875
0.013455456285737456,15.96871783733368,1.382197543978691,0.0032958772408164805,-0.000661793119070353,125.0,364.75925925925924,20480,-5.215406417846679e-09,0.1904052734375,351,0.06300094923686363,2,275.0,202.3148148148148
0.013631394131516572,15.968717914819717,1.4146808050572872,0.0032689304618202185,-0.0016006180594558828,125.0,366.87654320987656,30720,2.1979212760925294e-08,0.195068359375,385,0.04895988882504526,3,325.0,222.8395061728395
0.013950189543538726,15.96871789097786,1.5453915432095529,0.0037151414062350343,-0.0015782244121510304,125.0,370.79,40960,-1.1175870895385742e-09,0.2343994140625,403,0.052264539384078046,4,407.5000000000006,251.0
0.014880298802745528,15.968717902898788,1.6037276349961758,0.002655495995622914,-0.0016181600509298732,150.0,373.94,51200,1.1548399925231934e-08,0.198193359375,412,0.05818240730950863,5,602.5000000000002,291.75
0.013633582922193455,15.968717801570893,1.567237737029791,0.003074350841120577,-0.0015857818561926251,150.0,370.16,61440,-1.1175870895385742e-08,0.207177734375,420,0.055179411961893486,6,600.0,296.0
0.016101181137491948,15.968717938661575,1.5872755594551564,0.001846879878519303,-0.0009335498605651082,150.0,365.94,71680,-4.097819328308106e-09,0.1244384765625,418,0.0518896854741794,7,600.0,292.0
0.015498058999946806,15.968717920780183,1.59875345826149,0.0032535872464336535,-0.0012997009107493795,172.5,363.1,81920,-2.3096799850463868e-08,0.1991943359375,424,0.05582580206763797,8,602.5000000000002,304.75
0.016002623100939674,15.968717968463897,1.6060321822762489,0.0024443575938676077,-0.0010276344928570325,150.0,354.16,92160,-6.332993507385254e-09,0.1504638671875,427,0.05478296793786071,9,427.5000000000002,288.25
0.015790350118186323,15.96871787905693,1.6200549893081189,0.0026742625551321453,-0.0010748947868705727,147.5,352.09,102400,1.1175870895385742e-09,0.1768310546875,431,0.054243210484492266,10,377.5000000000002,282.5
0.014439888307060755,15.968717801570893,1.5729834906756879,0.0027403395556547137,-0.0017534179580252385,125.0,353.14,112640,-8.940696716308593e-09,0.2120849609375,432,0.05412716731811653,11,375.0,275.75
0.013748921778460498,15.968717730045318,1.5666484236717224,0.0025382578951280267,-0.0011240815470955567,125.0,357.55,122880,1.862645149230957e-09,0.1812744140625,431,0.056107710531101196,12,525.0,280.25
0.015840627677971498,15.968717873096466,1.6535331889986993,0.002478823072954128,-0.0009114363703702111,125.0,362.3,133120,1.1920928955078126e-08,0.1705810546875,435,0.052914941815350745,13,550.0,290.25
0.013529661265783944,15.968717867136002,1.688923578709364,0.0024812658820337675,-0.0011935049547901143,125.0,356.76,143360,1.1175870895385742e-09,0.177001953125,437,0.05409024264222373,14,527.5000000000002,279.5
0.013570778903522296,15.968717622756959,1.62403576746583,0.0033522304616099064,-0.0024100983995595016,125.0,352.46,153600,-2.421438694000244e-08,0.2073974609375,440,0.053985277913975435,15,527.5000000000002,274.0
0.014002276965766215,15.968717753887177,1.5438405968248845,0.00301037958854522,-0.0010732485076005104,125.0,349.37,163840,-4.097819328308106e-09,0.2077880859375,440,0.05309152602688104,16,377.5000000000002,250.75
0.01324163338285871,15.968717682361603,1.5104328148066997,0.0036089969135446156,-0.0011240880648983875,125.0,347.79,174080,-4.097819328308106e-09,0.20615234375,441,0.050376147368207856,17,377.5000000000002,249.75
0.011321944795781747,15.968717730045318,1.6083947099745273,0.003521033092943071,-0.0011373839995940215,125.0,349.63,184320,-1.899898052215576e-08,0.2281005859375,443,0.049865756120443236,18,325.0,224.0
0.008775284368675784,15.968717730045318,1.6903974778950215,0.003724482774077842,-0.001306716215913184,50.0,353.78,194560,-2.9802322387695314e-09,0.278759765625,444,0.055557682899282965,19,325.0,209.5
0.007863179149171628,15.968717569112778,1.692856378108263,0.003383912860806504,-0.0013069468022877118,50.0,349.63,204800,8.568167686462402e-09,0.24296875,444,0.051893960369698046,20,300.0,174.0
0.008257907733423053,15.968717312812805,1.7620607055723667,0.003909649642662316,-0.0014292418600234669,25.0,345.91,215040,-3.7252902984619143e-10,0.2846923828125,445,0.05565134555934729,21,342.5000000000015,173.0
0.012333884202416812,15.968717867136002,1.7561026692390442,0.0029668047332279458,-0.0013611775764729827,25.0,343.54,225280,-4.8428773880004884e-09,0.231591796875,445,0.05680824504177808,22,477.5000000000002,185.75
0.011225981479219627,15.96871771812439,1.7544932141900063,0.003190392640738082,-0.0012896718231786507,47.50000000000001,343.53,235520,7.450580596923829e-10,0.2345458984375,444,0.05444076413895438,23,452.50000000000017,201.25
0.015265708050719695,15.968717783689499,1.7167302995920182,0.002721662142482728,-0.0014987708618718898,50.0,354.13,245760,1.1175870895385742e-09,0.1966552734375,446,0.05746542668749597,24,527.5000000000002,247.75
0.013664774872449926,15.968717968463897,1.666068659722805,0.0027046200715062697,-0.0015302381259971298,97.5,354.72,256000,2.2724270820617674e-08,0.182958984375,447,0.05507372925605371,25,505.00000000000045,261.0
0.010664855572758824,15.968717747926712,1.6555569820106029,0.003050555329036797,-0.001628706636984134,120.00000000000001,362.57,266240,2.0861625671386717e-08,0.2301025390625,447,0.052350141761277356,26,477.5000000000002,257.5
