clip_fraction,grad_norm,policy_loss,value_loss,P09:episode_rewards,epoch_idx,explained_variance,policy_entropy,P01:episode_rewards,episode_length,fps,frames,approx_kl_divergence,advantage_norm,PMM:episode_rewards
0.5751953125,355306589.45479405,0.05534892170035164,211615205.7747382,150.0,1,-0.6266727533191443,0.8102231169843378,0.0,301.96774193548384,268,10240,1217240.7866611911,15.968717002868653,54.83870967741935
0.210595703125,0.1534407185524194,0.001362297643572674,0.006145297764126667,167.50000000000006,2,-6.7055225372314455e-09,1.0784313552081586,0.0,313.90625,253,20480,0.005787863019395445,15.968711054325103,71.484375
0.1921142578125,0.10137613169170474,-0.0005164778835023753,0.009728616442953354,187.5,3,-8.568167686462402e-09,1.3613701939582825,0.0,314.8958333333333,266,30720,0.00363383703627278,15.96871770620346,84.11458333333333
0.2768798828125,0.062140735922478596,-0.001313440659578191,0.006307652119539852,200.0,4,-9.313225746154785e-09,1.4527559913694859,25.0,320.35,269,40960,0.0047811431437366995,15.968717819452285,100.25
0.227392578125,0.05137969020124333,-0.0010710465881857089,0.006597129555939318,200.0,5,-7.82310962677002e-09,1.441321825236082,0.0,313.8,275,51200,0.0032012394184391725,15.968716907501221,105.25
0.2533203125,0.04945528149647259,-0.0013588283542048884,0.0066469498757214755,200.0,6,-2.6077032089233397e-09,1.4381950199604034,0.0,306.12,278,61440,0.003934953813731568,15.968717634677887,93.75
0.1991455078125,0.051959718621252426,-0.0012044045459333574,0.009785722252127016,252.50000000000023,7,5.587935447692871e-09,1.4646262258291245,0.0,308.69,280,71680,0.0029252512490984374,15.968717896938324,119.0
0.234326171875,0.054561369801654644,-0.0015236021259624976,0.010669753985166609,302.5000000000002,8,-9.313225746154785e-09,1.4938841953873634,25.0,316.63,282,81920,0.003580184706970613,15.968717753887177,136.75
0.184912109375,0.057044949700162384,-0.0016797827654954744,0.012587505140982103,452.50000000000017,9,6.332993507385254e-09,1.479650293290615,25.0,332.98,283,92160,0.002759566016823101,15.968717807531357,182.0
0.1697021484375,0.05528122087630839,-0.0014097857900196686,0.013406343833776192,502.5000000000002,10,-1.2293457984924316e-08,1.47277098223567,50.0,340.02,283,102400,0.0026328850822778804,15.968717920780183,218.0
0.12412109375,0.05216121280206446,-0.0010549382226599847,0.015363986519514584,525.0,11,-1.080334186553955e-08,1.4593640811741353,120.00000000000001,351.17,283,112640,0.0021971921551653395,15.968718069791795,253.5
0.131103515625,0.04847959883784784,-0.0007487778311769944,0.014960163354407996,525.0,12,-2.2351741790771484e-08,1.3617889404296875,147.5,360.31,284,122880,0.0023257030879847208,15.968717944622039,269.25
0.1247314453125,0.044160371350081655,-0.0010066114882647526,0.013865644275210798,525.0,13,-6.332993507385254e-09,1.2046089895069598,150.0,369.67,284,133120,0.0020997066769950835,15.968717700242996,275.5
0.1177001953125,0.040476503941246106,-0.001169139605553937,0.011904145733569748,402.5000000000002,14,1.6763806343078613e-08,1.150437170267105,150.0,376.3,284,143360,0.002295350363623072,15.968717896938324,255.75
0.08876953125,0.04174967355669675,-0.0005106161617732142,0.014582767346291802,350.0,15,-1.6763806343078613e-08,1.1872396886348724,147.5,369.94,284,153600,0.0012659963205408076,15.968717950582505,233.25
0.1627197265625,0.05197666793462654,-0.0006502199485112214,0.014030609177279985,300.0,16,2.9802322387695314e-09,1.4564663283526897,125.0,361.22,284,163840,0.002470902110815132,15.96871787905693,223.0
0.1922607421875,0.05990905792652582,-0.00131506256366265,0.014224013208877295,327.5000000000002,17,2.8312206268310546e-08,1.5984695076942443,125.0,360.13,283,174080,0.002883754954677897,15.968718004226684,229.5
0.1842041015625,0.05673604591353858,-0.0016774106476077576,0.013855679456901271,377.5000000000002,18,5.960464477539063e-09,1.5619530700147153,147.5,365.25,282,184320,0.0023610453700626975,15.96871783733368,249.25
0.1607666015625,0.054518689982155075,-0.0015186316290055402,0.014495931667624973,552.5000000000002,19,-8.195638656616212e-09,1.4881484933197497,150.0,364.24,282,194560,0.002619466708347318,15.968717730045318,259.5
0.17509765625,0.05814633597811155,-0.001645477758574998,0.015020817707409151,552.5000000000002,20,-2.2351741790771484e-08,1.509982743114233,150.0,363.95,282,204800,0.0026576071251497523,15.96871787905693,263.75
0.145166015625,0.056018307032743256,-0.0009261386971047614,0.016086241143057123,575.0,21,-2.2351741790771484e-09,1.359020711481571,150.0,368.1,281,215040,0.002063778391421067,15.968717992305756,288.0
0.1524658203125,0.054305171018502144,-0.0010726588538091165,0.015450723205140094,577.5000000000002,22,-3.3527612686157227e-09,1.377044366300106,147.5,364.79,281,225280,0.0021114603201112915,15.968717974424361,289.0
0.09736328125,0.04774882523358824,-0.000924093902722234,0.015757786062022206,550.0,23,-4.470348358154297e-09,1.287299569696188,147.5,357.52,280,235520,0.0014912563877061303,15.968717956542969,289.75
0.1017333984375,0.05212217878540389,-0.0007785522364429198,0.018623610166832803,377.5000000000002,24,-3.241002559661865e-08,1.2233511447906493,147.5,344.34,280,245760,0.0016343175591657655,15.968717867136002,269.25
0.100341796875,0.04980789233348874,-0.00042803942669706886,0.017219814169220627,350.0,25,-2.0861625671386717e-08,1.2849647723138333,172.5,342.13,280,256000,0.0016218825259329606,15.968717950582505,267.5
0.1308837890625,0.05059160894540364,-0.0009544106349494541,0.017007481813197955,352.5000000000002,26,-1.1175870895385742e-08,1.3143942937254907,175.0,346.85,281,266240,0.002192759045067305,15.96871793270111,271.5
