avg_q_retraced,PMM:episode_rewards,grad_norm,policy_gradient_loss,frames,advantage_norm,episode_length,fps,policy_loss,policy_gradient_bias_correction,epoch_idx,rollout_prob_std,model_prob_std,policy_entropy,P09:episode_rewards,explained_variance,q_loss,P01:episode_rewards,avg_q_selected
0.002662853907289294,0.0,0.05684906542054715,0.0001393509842576653,7200,0.0744621948649486,0,430,0.00013935098231740995,-1.2284913248709432e-12,1,0.043377734782795115,0.04337773602455854,2.077827207247416,0.0,-19.06047180493673,0.0015169078655162594,0.0,0.0022816582651406254
0.0017946786159882323,0.0,0.11318083243336383,0.00011242759028391447,14400,0.04186897293354074,0,206,0.00011242761647736187,2.4540932249313605e-11,2,0.04725277175505956,0.04725277163088322,2.058726894855499,0.0,-163.3080394188563,0.0021467321734993067,0.0,0.001907708133997706
-0.004017646168358624,0.0,0.002947086804352277,0.00014683629098423504,21600,0.01646752133965492,0,252,0.00014683629098423504,0.0,3,0.010037645107756059,0.010037645076711973,2.1912488381067914,0.0,-29.933750343322753,1.7905822596731012e-05,0.0,-0.00408040188291731
1.2986229747487716e-05,0.0,0.006947720472182635,-2.6591738613509127e-05,28800,0.051868254443009694,0,282,-2.6591738613509127e-05,0.0,4,0.016202326289688547,0.016202326320732634,2.1859445730845133,0.0,-21.328026898701985,6.642358493991196e-05,0.0,5.850891102454625e-05
-0.0026976098008162806,0.0,0.0028618468896578625,7.978838778702388e-05,36000,0.025578682279835143,0,298,7.978838778702388e-05,0.0,5,0.00878966466213266,0.008789664522434274,2.193101755777995,0.0,-11.189373032251995,2.1489200980795432e-05,0.0,-0.002677372705268984
-0.002011017033752675,0.0,0.0046072905658752,1.783474369100683e-05,43200,0.04082687394693494,3323.5,308,1.783474369100683e-05,0.0,6,0.011965873247633377,0.011965873495986065,2.1899723450342816,0.0,-16.886808776855467,3.5012072498830096e-05,0.0,-0.0020587344624800608
-0.0031577186270927387,0.0,0.0027218407478866546,5.952629738506706e-05,50400,0.013240817623833815,3323.5,317,5.952629738506706e-05,0.0,7,0.006872454316665729,0.006872454301143686,2.194747312863668,0.0,-19.759990898768105,6.332171085432492e-06,0.0,-0.0031993257890765864
-0.004049756044211487,0.0,0.0013632084191939834,0.0001027822231966032,57600,0.010655582572023073,3323.5,328,0.0001027822231966032,0.0,8,0.008997029376526673,0.008997029159218073,2.193527833620707,0.0,-12.28940180937449,3.146849225762101e-06,0.0,-0.004098854136342803
-0.0006561154134639461,0.0,0.0027254424854293523,1.8135463517410243e-05,64800,0.027972487065320215,3323.5,336,1.8135463517410243e-05,0.0,9,0.008157265465706586,0.008157265357052286,2.1940216461817426,0.0,-8.472840515772502,1.9947363333964556e-05,0.0,-0.0006355462253850419
-0.0011059148940451753,0.0,0.0022093887069250407,2.073839126145079e-05,72000,0.021469873546933135,3323.5,344,2.073839126145079e-05,0.0,10,0.007852032656470935,0.007852032594382764,2.194350226720174,0.0,-17.022841358184813,1.4244463712505724e-05,0.0,-0.0011299537892530984
0.00021216565249536264,0.0,0.0036384037804779736,8.74281370973525e-06,79200,0.038958861290787655,3323.5,351,8.74281370973525e-06,0.0,11,0.010138823216160138,0.01013882301437358,2.192807992299398,0.0,-6.603670597076416,2.562264186091549e-05,0.0,0.00018376443331362679
-0.00025817970890784636,0.0,0.0008003649349416376,-1.7188637214834065e-05,86400,0.009127947688102721,3324.0,357,-1.7188637214834065e-05,0.0,12,0.005911968306948742,0.005911968291426698,2.1956833839416503,0.0,-12.865067370732625,3.643928210787332e-06,0.0,-0.0002265801351313712
-0.0016296813201430874,0.0,0.0007786482358283277,2.6660259777600004e-05,93600,0.008364741892243425,3324.0,362,2.6660259777600004e-05,0.0,13,0.007788014458492398,0.007788014505058527,2.1946570952733357,0.0,-7.243541502952576,1.4012565126601354e-06,0.0,-0.001624378356791567
-0.0005025450587709202,0.0,0.0006844414425927872,1.9575815834590078e-05,100800,0.008208665267253916,3324.0,367,1.9575815834590078e-05,0.0,14,0.006002644511560599,0.006002644527082642,2.1956859985987345,0.0,-9.365051285425823,1.431667974808685e-06,0.0,-0.0005323180070869664
0.001172946292111495,0.0,0.0027702207354587346,-2.927923848877375e-05,108000,0.03234707228063295,3324.0,371,-2.927923848877375e-05,0.0,15,0.008264656147609154,0.008264656240741412,2.1944122393925984,0.0,-7.654909642537435,1.7625103182202415e-05,0.0,0.0011716155170385415
8.26279533309086e-05,0.0,0.0010159550145466515,8.160315906025062e-06,115200,0.011819319046723346,3324.0,376,8.160315906025062e-06,0.0,16,0.006713320873677731,0.006713320858155688,2.195297892888387,0.0,-8.39041748046875,5.127142796368389e-06,0.0,0.00015519128580005297
0.0007624992167892206,0.0,0.0025723772479025885,-4.631918120324711e-05,122400,0.03126116477404831,3324.222222222222,375,-4.3673778874389904e-05,2.645402350800569e-06,17,0.011098609977893324,0.009252458564227534,2.193691953600399,0.0,-6.511407429784064,1.4859982663725957e-05,0.0,0.0006529497247998239
9.508694724984036e-05,0.0,0.0009487799109391221,-4.221738836079003e-06,129600,0.013259087572205027,3324.222222222222,368,-1.5862303129259614e-06,2.635508497166353e-06,18,0.014440537504186586,0.006686407798302493,2.195418850022649,0.0,-6.524308586740305,3.2564412183936904e-06,0.0,8.357141409125314e-05
0.0004221362312873969,0.0,0.000846941880826946,-7.862784081742986e-06,136800,0.013064175289519694,3324.222222222222,365,-9.64959914695227e-06,-1.7868149536168531e-06,19,0.015484393678775557,0.005369006069524893,2.196037818259663,0.0,-4.730801282581828,2.6033819309717156e-06,0.0,0.00041113497326593454
