P01:episode_rewards,P09:episode_rewards,episode_length,fps,value_loss,policy_loss,explained_variance,policy_entropy,PMM:episode_rewards,frames,advantage_norm,grad_norm,epoch_idx
0.0,2.700000000000003,165.0,213,0.07325833923351638,-0.014440981519746855,-0.9993494898080826,1.341834678053856,0.9318181818181818,8000,1.604090411104262,1.5139762670519488,1
0.0,3.0,169.5463917525773,169,0.012367516420595167,0.00386339426968334,-0.08099577844142913,1.3806970500946045,1.0515463917525774,16000,1.0743859685584902,0.207242812670205,2
0.0,4.0,181.6,185,0.017358436789036206,0.0016729682352161035,-0.043509157299995424,1.3764775049686433,1.33,24000,1.4119437461346387,0.25703733207830815,3
0.0,4.0,183.2,191,0.013848079223971582,0.0020948503084946423,-0.006163582801818847,1.3783380234241485,1.37,32000,1.2020169548690318,0.24821967675945747,4
0.0,3.0,173.89,190,0.011887726815548377,0.0003594596303264552,-0.01942995309829712,1.3791326379776,1.18,40000,1.123783367201686,0.19830643867932335,5
0.0,3.0,174.84,197,0.011212153324086102,0.001996929575689137,-0.024511433243751525,1.3777058792114258,1.2,48000,1.0825411462038756,0.18664102694823814,6
0.0,3.0,173.8,193,0.012695274291327224,-0.0007324730895925313,0.024775068759918212,1.378048778772354,1.19,56000,1.2220186507701873,0.22274377255156627,7
0.0,3.0,175.67,196,0.011556056290864945,0.0014593346044421197,0.10907637417316436,1.379307041168213,1.24,64000,1.1596648354828358,0.23025448362959985,8
0.0,3.0,176.47,196,0.021693876474600984,0.004795931805711006,0.01871952533721924,1.3764360892772673,1.23,72000,1.3493028050661087,0.4781802882712434,9
0.0,2.1000000000000085,169.21,198,0.008432336017140187,0.0006816982087912038,0.17173458635807037,1.3776280498504638,1.1,80000,1.0037731938064098,0.21567007922225112,10
0.0,2.0,163.77,199,0.013686129733687267,-0.00233210146354395,0.2554743725061417,1.3752113890647888,0.99,88000,1.2400850658118725,0.3469446983013594,11
0.0,3.1000000000000085,179.3,199,0.01451296456856653,-0.00202196734273457,0.349801732301712,1.3778149092197418,1.35,96000,1.3575216425955297,0.35426792015024205,12
0.0,4.0,191.65,201,0.014838710091426037,-0.0038370846737234387,0.3568874007463455,1.3752002000808716,1.6,104000,1.3772792434692382,0.39201314592116515,13
0.0,4.0,187.81,205,0.012978835894027724,-0.00046581271424656735,-0.39782042145729063,1.3799701964855193,1.47,112000,1.2967453642189504,0.3468670700805855,14
0.0,4.0,181.14,206,0.010298380477179308,-0.001585148357989965,0.5049888223409653,1.3719108700752258,1.33,120000,1.1678041154146195,0.2966500780140231,15
0.0,4.0,178.35,207,0.01258733672730159,0.0012111895449925215,0.6813572013378143,1.379397313594818,1.27,128000,1.301778830885887,0.36736244212752406,16
0.0,4.0,188.59,208,0.01180918946978636,-0.0029474844768992625,0.5358386754989624,1.3816528856754302,1.57,136000,1.2888979080319405,0.3232256561200812,17
0.0,4.0,190.99,209,0.01672422528383322,-0.0010828129114815966,0.6843025279045105,1.3649214172363282,1.6,144000,1.3378681337833405,0.48899636580356187,18
0.0,4.0,184.63,209,0.009388160252128727,-0.003501695970480796,0.7861222571134567,1.3695220685005187,1.45,152000,1.111089568734169,0.33752042565259766,19
0.0,4.0,191.33,210,0.00997784624574706,-0.004123700738418847,0.7731494134664536,1.360646164417267,1.64,160000,1.1525057765841484,0.32429890199127237,20
0.0,5.0,190.61,211,0.007247043259558268,0.0006806718828738667,0.8703301161527633,1.3609226977825164,1.59,168000,0.984230485856533,0.25235213823374125,21
0.0,5.0,193.83,211,0.011341969205532224,-0.002902382034226321,0.8531925052404403,1.354008779525757,1.72,176000,1.265775509774685,0.35729435204839766,22
0.0,5.1000000000000085,209.13,211,0.009395343289943412,0.0004418592550428002,0.9091502034664154,1.344688787460327,2.09,184000,1.136704038977623,0.33286784114442275,23
0.0,6.0,219.01,210,0.007036000555381179,-0.0029082667664260954,0.9234919273853301,1.3563101923465728,2.38,192000,0.982061059474945,0.29447577769711775,24
0.0,5.1000000000000085,195.74,210,0.0050523683617939245,-0.0019279620720772073,0.9488944917917251,1.3564213001728058,1.78,200000,0.7997169601917267,0.2548515250921151,25
0.0,4.1000000000000085,173.79,211,0.004315193123766221,-0.0006702495035278844,0.9545687437057495,1.3541097378730773,1.14,208000,0.7382823270559311,0.200781970791416,26
0.0,5.0,184.6,210,0.005954143358103466,0.0003285540457000025,0.9239464801549911,1.3640148651599884,1.46,216000,0.862854975759983,0.2439890042437891,27
0.0,5.0,191.6,210,0.004776273035095074,-0.0011807804495765596,0.9468066024780274,1.35935502409935,1.65,224000,0.7915677118301392,0.19953099512589526,28
0.0,5.0,188.99,210,0.007110525536409114,-0.002969647543504834,0.901783202290535,1.365594435930252,1.59,232000,0.8813889840245247,0.24241090715943298,29
0.0,5.0,189.86,210,0.0056308512017130856,-0.001066243925706658,0.9555637657642364,1.3547252416610718,1.62,240000,0.868501632809639,0.25121204236761874,30
0.0,5.0,206.54,210,0.005041624156583566,-0.0009441739361500368,0.954907791018486,1.344306423664093,2.08,248000,0.8016465625166893,0.20424323695048485,31
0.0,5.1000000000000085,219.18,210,0.007908692524506478,-0.0011300025100354106,0.8879238909482956,1.3691838204860687,2.38,256000,1.0073994264006614,0.2634877368150772,32
0.0,5.0,200.98,211,0.0074295950861414896,-0.0010797547672700602,0.8656063920259476,1.3706849658489226,1.82,264000,0.9953881949186325,0.24535537051235606,33
0.0,5.0,211.52,212,0.009347662383224814,-0.0013934191825683228,0.8552625530958176,1.3664916610717774,2.15,272000,1.0714179113507272,0.2848538867770056,34
