episode_length,P09:episode_rewards,fps,policy_gradient_loss,avg_q_retraced,epoch_idx,advantage_norm,PMM:episode_rewards,explained_variance,policy_loss,rollout_prob_std,policy_entropy,q_loss,P01:episode_rewards,policy_gradient_bias_correction,avg_q_selected,grad_norm,model_prob_std,frames
0,0.0,462,-0.000649983976927615,0.02607723600231111,1,0.09640841272970041,0.0,-32.88631583849589,-0.000649983976927615,0.04782762962083022,2.0775816281636557,0.004966368573028982,0.0,4.2876353509302413e-13,0.024628045363351704,0.15380773000251086,0.047827629496653874,7200
0,0.0,218,-0.00046882284435317465,0.05989440631431838,2,0.12260735782328994,0.0,-989.394640135765,-0.0004688234516531035,0.04157584629332026,2.0459381500879923,0.02160789976514934,0.0,-6.017824821791251e-10,0.05978072985696296,0.7618125584508637,0.04157584443067511,14400
0,0.0,273,-0.00015272587140013154,0.006126732123084367,3,0.006583291067120929,0.0,-315.8493371963501,-0.00015272587140013154,0.006656103301793337,2.1954001744588214,2.160782940639668e-05,0.0,0.0,0.006205649223799506,0.0036906112861618623,0.006656103177616993,21600
0,0.0,317,-6.893814397699317e-05,0.0030152132734656335,4,0.030853967081444958,0.0,-79.45496225357056,-6.893814397699317e-05,0.008003193605691194,2.1945998668670654,2.343090667030386e-05,0.0,0.0,0.003133535183345278,0.0033485479182760133,0.008003193481514851,28800
0,0.0,340,-7.202711245023845e-05,0.003252793879558643,5,0.012825030577369034,0.0,-37.78424956003825,-7.202711245023845e-05,0.006826563893506925,2.1952977975209556,7.273896956405679e-06,0.0,0.0,0.0032884396302203336,0.0015479200236356214,0.006826564017683267,36000
3324.75,0.0,321,-8.198847638899073e-05,0.0028194831218570473,6,0.02250352210054795,0.0,-29.520288467407227,-8.198847638899073e-05,0.007216650418316325,2.195060960451762,1.4671652697491785e-05,0.0,0.0,0.0028003500192426145,0.002506565261608503,0.007216650294139981,43200
3324.75,0.0,333,-7.260814491019118e-05,0.003870541974902153,7,0.0053594722722967465,0.0,-99.63358055750528,-7.260814491019118e-05,0.0063577834671984116,2.1955570459365843,3.972228353651038e-06,0.0,0.0,0.0038873631662378707,0.0012002362104406661,0.006357783389588197,50400
3324.75,0.0,349,-0.00011599134983650098,0.004818516837743422,8,0.004720072797499597,0.0,-53.37218554814657,-0.00011599134983650098,0.0061821993285169205,2.195624820391337,2.365137873994172e-06,0.0,0.0,0.004884933043892185,0.0012522697767301063,0.006182199266428749,57600
3324.75,0.0,362,-5.936178725581461e-05,0.002579950529616326,9,0.01868379981412242,0.0,-15.652972714106243,-5.936178725581461e-05,0.005897444843625029,2.1957597017288206,9.427336086294721e-06,0.0,0.0,0.002574833909360071,0.001584728812022877,0.005897445045411587,64800
3324.75,0.0,374,-4.9675960629732195e-05,0.0021982897693912187,10,0.014294726413208992,0.0,-88.35482544898987,-4.9675960629732195e-05,0.005499992767969767,2.195949689547221,7.005997605347147e-06,0.0,0.0,0.002188947544588397,0.0015054676106279936,0.005499992752447724,72000
