episode_length,P09:episode_rewards,value_loss,policy_loss,explained_variance,fps,epoch_idx,P01:episode_rewards,frames,policy_entropy,grad_norm,PMM:episode_rewards,advantage_norm
155.58695652173913,2.0,0.05160749070899328,-0.01737287452328019,-0.6068880546092987,240,1,0.0,8000,1.3194045859575272,1.4724584452541527,0.8043478260869565,1.7788160854950548
166.69230769230768,2.0,0.01292368417896796,0.00186243948781339,-0.02562521994113922,209,2,0.0,16000,1.3553555703163147,0.24279003125509266,1.021978021978022,1.1622492636367678
182.7,3.0,0.014229218246055098,0.0018369536672253161,-0.06928628504276275,221,3,0.0,24000,1.3813269305229188,0.23851870626113822,1.38,1.2308952459320426
184.16,3.0,0.014335885309610602,0.0010685290023684502,-0.053241429328918455,222,4,0.0,32000,1.3655711603164673,0.2377910754621035,1.45,1.223691994100809
175.22,3.0,0.014626978620390219,0.005579622541554272,-0.05560068607330322,222,5,0.0,40000,1.3772489213943482,0.22306895871340765,1.23,1.2287327914685011
181.53,3.0,0.014989458863310575,0.0006490676570683717,-0.019658002853393555,227,6,0.0,48000,1.3761182415485382,0.20891643569273224,1.34,1.3003379295393824
199.77,4.0,0.01618357653460407,0.00031722361920401455,0.007568272948265076,229,7,0.0,56000,1.3652239286899566,0.21367221250707502,1.78,1.395448339805007
192.81,5.0,0.010941159450048872,-0.00021446179307531564,-0.019182827472686768,230,8,0.0,64000,1.365653496980667,0.16899089238854056,1.65,1.0670045087486506
195.88,5.0,0.013265724295197288,0.000283313860418275,0.03559057354927063,235,9,0.0,72000,1.365558737516403,0.20152393693273574,1.76,1.2280544073879718
184.85,4.1000000000000085,0.013488651490042684,0.002063120163511485,-0.02491889536380768,238,10,0.0,80000,1.367986621260643,0.2692736391948108,1.49,1.2106161510944367
170.82,3.0,0.010741585614305223,-0.00019004215719178318,0.10835098683834075,238,11,0.0,88000,1.3588376033306122,0.22783183624377915,1.11,1.1706714913249017
167.61,3.0,0.010605218095734018,0.0027315602437010967,0.12517764270305634,242,12,0.0,96000,1.3662317264080048,0.2710446460159869,1.04,1.100240485370159
170.35,3.0,0.011197768218698912,-0.0015417610606527888,0.2729875028133392,245,13,0.0,104000,1.3806089401245116,0.27054340439082564,1.09,1.1072226372361182
174.01,3.0,0.009597985706641339,-0.001983682348509319,0.263119198679924,245,14,0.0,112000,1.3829176342487335,0.23887569515253368,1.14,1.0764014422893524
188.06,4.0,0.017851229463121853,-0.005426943015190772,0.5447168701887131,248,15,0.0,120000,1.3761240065097808,0.37667461536474806,1.52,1.4243120077252387
186.53,4.0,0.013173462293634657,0.00015826685543288477,0.5659211021661759,251,16,0.0,128000,1.362774201631546,0.28410792791023326,1.45,1.3379622945189475
188.74,4.0,0.013758303131326102,-0.00473092138330685,0.6335568052530288,251,17,0.0,136000,1.3717721164226533,0.36471030156892675,1.52,1.3981175318360328
196.74,5.0,0.01876500473357737,-0.0072569521106925095,0.735347546339035,252,18,0.0,144000,1.3673914408683776,0.4623187194761854,1.76,1.6197558492422104
208.67,5.0,0.011006354775745422,-0.0028779520106036217,0.8359744566679,253,19,0.0,152000,1.3570557379722594,0.3267330816959347,2.03,1.2466890841722489
216.08,5.1000000000000085,0.01216333806863986,-0.002491787336330162,0.8282558536529541,255,20,0.0,160000,1.346402633190155,0.35082773443765697,2.24,1.2864257112145423
208.74,6.0,0.007993780805845745,-0.002117928045336157,0.888223175406456,256,21,0.0,168000,1.3345283043384553,0.2728389323493803,2.11,1.0580701315402985
205.69,6.1000000000000085,0.006484929950092919,-0.002531377483946926,0.9350638115406036,258,22,0.0,176000,1.3148790991306305,0.25664144411060574,2.08,0.9481654676795006
210.15,6.1000000000000085,0.008532857906538993,-0.00013567049107223283,0.9058450710773468,259,23,0.0,184000,1.3289296698570252,0.271828601639085,2.19,1.0908048343658447
208.23,8.100000000000009,0.006154947956383694,-0.0012818948420317612,0.9327301543951034,260,24,0.0,192000,1.3320488131046295,0.24078723449190043,2.19,0.9151779025793075
224.89,8.100000000000009,0.0054417883607675325,0.00029409867071080955,0.9476142692565918,261,25,0.0,200000,1.3400365793704987,0.22067312991248675,2.61,0.8515496782958507
213.58,6.0,0.010021076361299492,-0.0015684416301337478,0.894528860449791,262,26,0.0,208000,1.3524666678905488,0.29091221847976434,2.24,1.1498999041318894
221.01,7.1000000000000085,0.005888541355961934,-0.0016159037020406686,0.944461566209793,263,27,0.0,216000,1.3199869740009307,0.220765312225286,2.51,0.8572577154636383
212.51,6.0,0.004287701667053625,-0.0005922800753978663,0.9583288586139679,263,28,0.0,224000,1.340963100194931,0.19484709108378712,2.27,0.7342454294860363
202.26,5.0,0.005863726994139142,-0.0005619509528060007,0.93115607380867,265,29,0.0,232000,1.3418038833141326,0.21112160426771362,1.87,0.8757649087905883
209.33,5.0,0.005115604517923203,-0.0026092080878152048,0.9445617705583572,267,30,0.0,240000,1.3406844329833985,0.21611434870942517,2.11,0.7993325442075729
214.12,6.0,0.005457970538409427,-0.0015510483956313692,0.9501054394245148,268,31,0.0,248000,1.3485507380962372,0.20188968334798676,2.28,0.8511024367809296
209.66,5.1000000000000085,0.005018126366776414,-0.00024288038039230742,0.9517830771207809,267,32,0.0,256000,1.3342968070507049,0.1916155590270805,2.17,0.8047184458374977
221.26,6.200000000000017,0.0047685452230507505,-0.001064049027627334,0.9502110302448272,268,33,0.0,264000,1.3339642703533172,0.1765995225558805,2.48,0.7499854031205178
200.1,6.0,0.0038519257443840617,-0.0006611123174661771,0.9582495862245559,268,34,0.0,272000,1.3384017872810363,0.15210394545552564,1.98,0.6544108508527279
197.42,5.400000000000034,0.003414908387348987,-0.0004580200504278764,0.9670107126235962,267,35,0.0,280000,1.3432785534858704,0.1399610912119317,1.93,0.618252731859684
207.39,9.0,0.004751122158777435,-0.0010748460737522692,0.9521299171447754,267,36,0.0,288000,1.3471030473709107,0.18382336212586212,2.18,0.7420626911520958
213.02,5.1000000000000085,0.0039959488503518515,-0.0011390488953111344,0.9625965678691863,268,37,0.0,296000,1.350080590248108,0.16820625826262117,2.24,0.6939774706959725
211.99,5.1000000000000085,0.003858002207853133,-0.002078048583935015,0.9700438582897186,268,38,0.0,304000,1.3240926492214202,0.18068719767147237,2.2,0.6759108850359916
214.21,5.0,0.004883408424211666,-0.0009523403435014188,0.9476395350694656,269,39,0.0,312000,1.3411886060237885,0.17999823716811394,2.2,0.7616111171245575
211.33,5.1000000000000085,0.006658655072096735,0.00031693932171037885,0.9282263553142548,269,40,0.0,320000,1.3595176589488984,0.2126817367580246,2.23,0.9355736649036408
206.34,6.0,0.004543899814307224,0.000312433589133434,0.9397587949037551,269,41,0.0,328000,1.3588409781455995,0.173999071522515,2.21,0.7314756324887276
206.34,6.300000000000026,0.005018691999139264,-0.00032715817913413046,0.9345249998569488,269,42,0.0,336000,1.3477328836917877,0.18069889249080937,2.25,0.7956068053841591
215.99,6.200000000000017,0.005658756137709133,0.00021283337846398354,0.9126619273424148,270,43,0.0,344000,1.3685486125946045,0.2023646322042658,2.39,0.8383667999505997
