grad_norm,frames,policy_gradient_bias_correction,episode_length,policy_loss,fps,model_prob_std,q_loss,avg_q_retraced,policy_gradient_loss,rollout_prob_std,advantage_norm,P09:episode_rewards,explained_variance,policy_entropy,P01:episode_rewards,avg_q_selected,PMM:episode_rewards,epoch_idx
0.05958056063523987,7200,0.0,0,0.00020713217639543776,324,0.010710389097221195,0.0003673124066456997,-0.007224941079039126,0.00020713217639543776,0.010710389461989205,0.03458262365311384,0.0,-90.08846715291341,2.1806203603744505,0.0,-0.007426238975798091,0.0,1
0.024857106952312975,14400,0.0,0,-3.393393808437395e-05,183,0.005939518598218759,9.220337645577577e-05,-0.00015292615862563252,-3.393393808437395e-05,0.005939518768961231,0.01716290321201086,0.0,-59.41187833150228,2.1936956803003946,0.0,-0.0002957305468347234,0.0,2
0.004407746853988282,21600,0.0,0,3.958164537228489e-06,217,0.003272960901570817,2.4356882780314965e-05,-0.0005159112379866808,3.958164537228489e-06,0.0032729609481369454,0.014825807387630145,0.0,-37.48010374704997,2.196677056948344,0.0,-0.0005901182417195135,0.0,3
0.003607470201688152,28800,0.0,0,1.9926440540984913e-05,246,0.004380377207417041,2.4886847707724277e-05,-0.0006249773773864338,1.9926440540984913e-05,0.0043803771996560196,0.03181551317684352,0.0,-35.58011784553528,2.1963940540949505,0.0,-0.0006545623924466782,0.0,4
0.001568331659869201,36000,0.0,0,8.044006070425288e-06,271,0.002295016594386349,1.2549952892489576e-05,-0.00019454719151781318,8.044006070425288e-06,0.0022950165982668596,0.014585147937759757,0.0,-83.45925095876058,2.1969069878260297,0.0,-0.00029209525913150475,0.0,5
0.002325519533698163,43200,0.0,3324.6666666666665,-5.976514406332475e-08,291,0.003137057495769113,1.4685695153578612e-05,-3.60481636410744e-05,-5.976514406332475e-08,0.003137057410397877,0.02241698090607921,0.0,-28.53615204493205,2.1967222849527994,0.0,-7.529545734238733e-05,0.0,6
0.0012828193111409435,50400,0.0,3324.6666666666665,-6.818950486338811e-06,309,0.0012849648483097553,8.666663597978186e-06,0.0003431500454704898,-6.818950486338811e-06,0.0012849648677123089,0.00861665871925652,0.0,-53.80856426556905,2.1971383968989056,0.0,0.0002751424293819582,0.0,7
0.0013298376284440357,57600,0.0,3324.6666666666665,-2.508604802642367e-05,325,0.00135912331364428,9.677636186703846e-06,0.0010326690991253904,-2.508604802642367e-05,0.001359123371851941,0.007141599338501692,0.0,-45.567661094665525,2.197146471341451,0.0,0.001030319087052097,0.0,8
0.0012885673147812636,64800,0.0,3324.6666666666665,-7.754630509282379e-06,337,0.0021773271340255937,7.143667426134926e-06,0.0002448331839786988,-7.754630509282379e-06,0.0021773271243243166,0.01511047709112366,0.0,-20.788336340586344,2.1969748576482138,0.0,0.000279558495155167,0.0,9
0.0009734310625493361,72000,0.0,3324.6666666666665,-9.83059733622819e-06,346,0.001582248265428158,5.808906613917012e-06,0.00048262029649777106,-9.83059733622819e-06,0.0015822482644580304,0.01046851670059065,0.0,-188.22771056493124,2.1970558166503906,0.0,0.0005490803345310269,0.0,10
0.0013108779701282221,79200,0.0,3324.6666666666665,-6.649404682927222e-06,356,0.0023403769456005344,6.965458798428396e-06,0.00015461885826274132,-6.649404682927222e-06,0.0023403769485109177,0.018394472395690777,0.0,-41.17399470011393,2.1969650824864706,0.0,0.00018452867016094388,0.0,11
0.0004690004391174592,86400,0.0,3325.0416666666665,-1.2037499080482425e-05,363,0.0007379618065897376,2.381474613836569e-06,0.00054442523275308,-1.2037499080482425e-05,0.0007379618240520358,0.004747953886787097,0.0,-96.47422478993734,2.1971866607666017,0.0,0.0005661791692546103,0.0,12
0.0008324690448906525,93600,0.0,3325.0416666666665,-2.1671434730781887e-05,369,0.0008674070326378569,5.041368482731438e-06,0.0011313835258382218,-2.1671434730781887e-05,0.0008674070297274739,0.004735349452433487,0.0,-88.68057868480682,2.197186819712321,0.0,0.0011093090191328276,0.0,13
0.00038054238851388956,100800,0.0,3325.0416666666665,-2.1975360838647853e-05,375,0.000599005346884951,2.0943532585230664e-06,0.0008205272499859954,-2.1975360838647853e-05,0.0005990053333031635,0.003759625065140426,0.0,-66.4335544904073,2.1972065528233844,0.0,0.0008347082068212331,0.0,14
0.0008427704088926892,108000,0.0,3325.0416666666665,-7.963754903054603e-06,379,0.0016785320825874806,3.761440166272223e-06,0.00038951156554200374,-7.963754903054603e-06,0.0016785320825874806,0.013498607192498941,0.0,-30.34311620394389,2.197101855278015,0.0,0.00035910863844037524,0.0,15
0.0003525290307272211,115200,0.0,3325.0416666666665,-1.2367774161248235e-05,385,0.0006513536985342702,1.5354692607161268e-06,0.0005008813122306795,-1.2367774161248235e-05,0.0006513537179368237,0.004758966116545101,0.0,-152.78197377522787,2.197185428937276,0.0,0.0004970578818756621,0.0,16
0.0007711246309496091,122400,0.0,3325.0833333333335,-3.5588173732886078e-06,386,0.0015981805508838282,3.141499494058545e-06,0.00016356441672226335,-3.5588173732886078e-06,0.0021246515645018207,0.013320320247924731,0.0,-15.622721377213795,2.1971022289991375,0.0,0.00016544818953005032,0.0,17
0.00027358796717729886,129600,0.0,3325.0833333333335,-6.640817748607831e-06,382,0.0006299143446930521,9.123647119109977e-07,0.00032065002239510515,-6.640817748607831e-06,0.0032583001756811714,0.0055965898735999995,0.0,-21.783963729761272,2.1972046811807724,0.0,0.0003145437064562257,0.0,18
