P01:episode_rewards,approx_kl_divergence,explained_variance,episode_length,grad_norm,policy_entropy,value_loss,epoch_idx,clip_fraction,frames,policy_loss,advantage_norm,fps,P09:episode_rewards,PMM:episode_rewards
0.0,1621785.8935618433,-1.5107448648661375,275.28125,1130121201.1798646,0.05565388450019626,1256091300.9446979,1,0.10791015625,10240,0.04372237291690908,15.968703079223634,494,0.0,3.125
0.0,0.03026836470367087,-2.8312206268310546e-08,275.0833333333333,0.4202476091920497,0.037320872417512876,0.031787083383384054,2,0.0368896484375,20480,0.0009972581558713501,15.965688484907151,396,0.0,1.3888888888888888
0.0,0.008079752475728874,1.5273690223693846e-08,274.74,0.008216319516091667,0.011834658356019646,0.00011657954548623673,3,0.001904296875,30720,0.0001750757766785682,15.887710690498352,437,0.0,0.5
0.0,4.999378688808065e-12,-2.2351741790771484e-09,274.88,0.003515234054310564,0.00014800136705162004,2.7472887860520224e-06,4,0.0,40960,8.790944093561848e-07,15.920756494998932,460,0.0,0.5
0.0,0.0009384145877238126,-4.470348358154297e-09,274.6,0.1815396253153336,0.017455229184859755,0.004711496035231492,5,0.0189453125,51200,0.0004553198033818262,15.918905544281007,478,0.0,0.5
0.0,0.0,-8.940696716308593e-09,274.46,0.03661433383106537,1.8691206545184968e-06,0.0005293655826673958,6,0.0,61440,-5.413370217866031e-07,15.933528476953507,489,0.0,0.0
0.0,0.0,1.1175870895385742e-09,274.16,5.430183886060871e-06,2.1310732137180823e-06,1.1368291500345666e-11,7,0.0,71680,-1.6872327428529844e-07,9.218613575398923,495,0.0,0.0
0.0,0.0,-1.3411045074462891e-08,274.33,8.850931220104859e-07,2.1599611443434695e-06,4.99828492751465e-14,8,0.0,81920,-7.748670043383754e-08,4.946023396425881,499,0.0,0.0
0.0,0.0,0.0,274.45,1.2639793387976904e-06,2.1930927132984833e-06,1.4024439149228633e-13,9,0.0,92160,-1.2741882642330894e-07,5.9554019481875,504,0.0,0.0
0.0,0.0,-1.1920928955078126e-08,274.63,1.4240878683147874e-06,2.2310897563215805e-06,1.9871444477323576e-13,10,0.0,102400,-2.8271022358694606e-07,6.27652882412076,505,0.0,0.0
0.0,0.0,0.0,274.52,0.022156149263838625,2.322268913701464e-06,0.0006198682363678717,11,0.0,112640,8.415513548243325e-08,13.308403792977334,508,0.0,0.0
0.0,0.0139414875022851,2.2351741790771484e-09,274.63,0.16087247911578775,8.849800852758746e-05,0.006763814830294068,12,7.32421875e-05,122880,-3.591846891026762e-05,15.968542444705964,512,0.0,0.0
0.0,0.0,-1.2665987014770507e-08,274.51,0.001064019910290933,8.26987035225102e-06,9.027192972621557e-07,13,0.0,133120,3.763319227800821e-07,15.657348066568375,514,0.0,0.0
0.0,0.0,-1.1548399925231934e-08,274.49,2.907547429773547e-06,8.838479874384576e-06,4.2077313811161194e-13,14,0.0,143360,1.630620090509183e-07,8.815223740041256,516,0.0,0.0
0.0,0.0,-3.3527612686157227e-09,274.2,2.8273279409090507e-06,9.541812397628746e-06,4.6462492456903015e-14,15,0.0,153600,2.867020043595403e-07,6.738314470648765,518,0.0,0.0
0.0,0.0,-5.960464477539063e-09,274.7,3.1060266284303393e-06,1.044818282025517e-05,5.741465331526788e-14,16,0.0,163840,3.1379915093054934e-07,6.870211608707905,520,0.0,0.0
0.0,0.0,6.7055225372314455e-09,274.67,3.4432667789207067e-06,1.164931288144544e-05,7.28037283674332e-14,17,0.0,174080,-8.470292414131109e-08,7.00217312797904,521,0.0,0.0
0.0,0.0,7.82310962677002e-09,274.72,3.9177991505659735e-06,1.3308631986319597e-05,9.496350815155571e-14,18,0.0,184320,2.1443929654196836e-07,7.328002569079399,521,0.0,0.0
0.0,1.1084466677857563e-13,-3.3527612686157227e-09,274.79,4.807538601372896e-06,1.6413489333899633e-05,1.329152612100068e-13,19,0.0,194560,1.6322999272233573e-07,8.696408635377884,521,0.0,0.0
0.0,3.694822225952521e-14,-2.2351741790771484e-09,274.79,6.093660395537665e-06,2.0914431058827176e-05,2.141010756085169e-13,20,0.0,204800,7.944804565340746e-08,10.089058381319045,523,0.0,0.0
0.0,3.126388037344441e-14,-6.7055225372314455e-09,275.06,8.558059945878226e-06,2.9447545784933027e-05,4.236292712259668e-13,21,0.0,215040,-2.037721060332842e-07,11.137877720594407,524,0.0,0.0
0.0,1.7053025658242404e-14,-2.2724270820617674e-08,275.14,1.4502301989557123e-05,5.094720734177827e-05,1.3267353222854362e-12,22,0.0,225280,2.4692939177839434e-07,12.818749850988388,525,0.0,0.0
0.0,7.320721806536312e-10,-1.825392246246338e-08,274.85,9.211470804310396e-05,0.00037322781145121553,2.320463467493758e-10,23,0.0,235520,-6.265526849347225e-07,14.789367949962616,526,0.0,0.0
0.0,0.021054434866544368,-2.16066837310791e-08,276.01,0.05232996742693415,0.4927173906296957,0.0019291453718471296,24,0.2306640625,245760,0.001968988524549786,15.962647998332978,526,0.0,3.5
0.0,0.008401550388157375,7.82310962677002e-09,279.09,0.028865371855520527,1.0501578751951457,0.0016256412593441349,25,0.2196533203125,256000,0.001593965139318243,15.96786624789238,526,50.0,10.0
0.0,0.0063402453033745585,1.4528632164001465e-08,284.89,0.0338435211961063,1.2398317009210587,0.0024587639431501883,26,0.301611328125,266240,-7.138654182199388e-05,15.96869570016861,527,75.0,22.0
0.0,0.006808509706115728,1.0058283805847169e-08,291.66,0.04357656192584215,1.445971142500639,0.004004792888429165,27,0.2903076171875,276480,0.0005274505476336345,15.968713104724884,527,75.0,36.0
0.0,0.0038120502289530124,-5.215406417846679e-09,298.98,0.049940025205951165,1.4895636148750782,0.007834148829764586,28,0.2388671875,286720,-0.00045255973491293845,15.968715792894363,528,152.50000000000023,66.5
0.0,0.003933922268424794,-6.332993507385254e-09,299.93,0.04315782181060897,1.4139712937176228,0.004015865373952465,29,0.2210693359375,296960,-0.00023779574203217635,15.968709546327592,529,152.50000000000023,72.5
0.0,0.005696109762425294,3.3527612686157227e-09,297.55,0.0464798606719712,1.4832250081002711,0.004111037121447225,30,0.358154296875,307200,-0.0015805845643626526,15.96871662735939,529,175.0,71.25
0.0,0.004162421100045321,-5.215406417846679e-09,296.79,0.04886099147171537,1.5232024252414704,0.005565296383849727,31,0.2287109375,317440,-0.00018928864374174738,15.968715065717697,530,150.0,72.0
0.0,0.004342238056096903,5.587935447692871e-09,311.24,0.0539839498682534,1.5805437713861465,0.00928173468419118,32,0.300927734375,327680,-0.0013889344234485179,15.968717730045318,531,250.0,102.0
