episode_length,fps,epoch_idx,grad_norm,policy_loss,P01:episode_rewards,policy_entropy,explained_variance,value_loss,PMM:episode_rewards,P09:episode_rewards,advantage_norm,frames
163.51162790697674,204,1,1.1833448743722794,-0.01734931188337214,0.0,1.326999587416649,-0.7129232597351074,0.04229571183753251,1.069767441860465,3.0,1.7140321566537022,8000
169.38709677419354,181,2,0.23752146808706254,0.004856622611405328,0.0,1.3675696301460265,-0.13488063097000122,0.01175328440177509,1.1720430107526882,3.0,1.0423400367610156,16000
174.35,192,3,0.26400125938757546,0.0015645748656243086,0.0,1.3796333408355712,-0.11482837677001953,0.014770337598656624,1.26,3.0,1.2897615665569901,24000
177.02,195,4,0.26645362379435156,0.001994798523373902,0.0,1.3813455641269683,-0.030718879699707033,0.013064497531631787,1.33,3.0,1.1744306250661611,32000
185.04,195,5,0.25981598497573155,0.0020573287759907545,0.0,1.3824336659908294,-0.03684613764286041,0.015694193093731882,1.52,4.0,1.31947505697608,40000
186.57,200,6,0.2246216458835373,0.00013108789920806885,0.0,1.3760693597793578,-0.0772547721862793,0.013109144886948343,1.5,3.1000000000000085,1.1702575509995221,48000
181.84,202,7,0.29808607021317396,0.003612100632599322,0.0,1.3749330139160156,-0.02793983042240143,0.015531160855534836,1.37,3.0,1.2958926856517792,56000
186.55,200,8,0.28616223665233426,0.002655817719642073,0.0,1.3730741810798646,0.009855599999427795,0.014590625412347435,1.45,4.0,1.3013164070993661,64000
198.75,201,9,0.29254698762733056,0.003383925888047088,0.0,1.3565828239917754,0.15990153610706329,0.015286190357583109,1.74,5.0,1.3580067139863967,72000
206.39,203,10,0.32230535267276883,-0.005478531772387214,0.0,1.3477532255649567,0.2978643643856049,0.013710730229795444,1.94,5.0,1.3495545054972171,80000
196.18,203,11,0.313253893595066,-0.0002469205096713267,0.0,1.363402214050293,0.5222591161727905,0.01205558431451209,1.7,5.0,1.2564087215065955,88000
186.5,205,12,0.31152373294719043,-0.0011751375909079798,0.0,1.3717196118831634,0.6954813224077224,0.01047268888389226,1.47,4.0,1.2060700076818467,96000
187.88,207,13,0.34588554894460194,-0.0017639828030951322,0.0,1.3626254677772522,0.7167942887544632,0.01161527099000523,1.51,4.0,1.248306420147419,104000
