q_loss,avg_q_retraced,avg_q_selected,policy_gradient_bias_correction,policy_gradient_loss,P01:episode_rewards,policy_entropy,frames,advantage_norm,fps,grad_norm,epoch_idx,rollout_prob_std,explained_variance,policy_loss,episode_length,PMM:episode_rewards,model_prob_std,P09:episode_rewards
7.789846649757237e-05,0.0013556357380972864,0.001278307421792609,0.0,-2.7367750059662893e-06,0.0,2.1897578636805215,7200,0.039035061312218504,419,0.03135968252927238,1,0.008296946086920798,-11.118718719482422,-2.7367750059662893e-06,0,0.0,0.008296946537060042,0.0
0.00023840861940698231,0.003531680474043242,0.0035934479427245,0.0,-5.7782543505406164e-05,0.0,2.1642001549402874,14400,0.04057261453320583,235,0.14529643143888477,2,0.013948148034978658,-16.10654354095459,-5.7782543505406164e-05,0,0.0,0.013948148492878924,0.0
1.03801267111218e-05,0.0029728625745822986,0.0029532212104337913,0.0,-5.141624293590515e-05,0.0,2.1968340078989663,21600,0.017039523801455896,287,0.0038072063100932706,3,0.0026382783195003866,-13.035961246490478,-5.141624293590515e-05,0,0.0,0.0026382783350224295,0.0
1.2904589281485338e-05,0.0036782761958117287,0.0035514461419855555,0.0,-3.30392143799448e-05,0.0,2.1966808239618936,28800,0.024987875608106454,322,0.0034612463095997905,4,0.00356318736448884,-9.93670883178711,-3.30392143799448e-05,0,0.0,0.003563187508067737,0.0
4.983680086449264e-06,0.0025037976486297947,0.002464926099249472,0.0,-2.7694314515732305e-05,0.0,2.1970741907755533,36000,0.0128859074631085,345,0.0015194250994291717,5,0.0015963132706626009,-10.989353672663372,-2.7694314515732305e-05,0,0.0,0.0015963133152884742,0.0
6.001139096648937e-06,0.0024940564394152413,0.002605830911003674,0.0,-0.00011147629067522757,0.0,2.1969959338506064,43200,0.017681751679629088,361,0.001682620792553541,6,0.0021620212491446486,-9.528309631347657,-0.00011147629067522757,3324.8333333333335,0.0,0.0021620212879497557,0.0
4.582751027252622e-06,0.0010039478341544357,0.001051131194496217,0.0,-4.1211912866856436e-05,0.0,2.1970970551172893,50400,0.010136939181635777,376,0.0018734918944480863,7,0.0012600258322587857,-11.62570104598999,-4.1211912866856436e-05,3324.8333333333335,0.0,0.0012600258458405733,0.0
5.014306088924058e-06,0.0007413483981508762,0.0007404865910454343,0.0,-5.484565493437306e-06,0.0,2.1971481323242186,57600,0.010883012662331264,388,0.0016903387986177032,8,0.0012110341689549387,-15.298479064305623,-5.484565493437306e-06,3324.8333333333335,0.0,0.0012110341961185137,0.0
3.6521027197977673e-06,0.001831462145006905,0.0018501733584950367,0.0,-4.491563871245792e-05,0.0,2.1971060832341514,64800,0.013297803932800889,398,0.0010094178258646504,9,0.0015407399934095642,-7.65584363937378,-4.491563871245792e-05,3324.8333333333335,0.0,0.0015407400263939054,0.0
2.149227400612593e-06,0.0013765635201707482,0.0013769355815990518,0.0,-3.380755539221051e-05,0.0,2.1971489985783896,72000,0.00978884221209834,407,0.0007248400253898251,10,0.0011040038535914695,-6.889438629150391,-3.380755539221051e-05,3324.8333333333335,0.0,0.0011040038642628738,0.0
