epoch_idx,P09:episode_rewards,frames,grad_norm,PMM:episode_rewards,P01:episode_rewards,policy_loss,policy_entropy,value_loss,advantage_norm,episode_length,explained_variance,fps
1,2.0,8000,1.356347227427742,0.8666666666666667,0.0,-0.014000208043726162,1.2934880805015565,0.03510928776602668,1.7533049061894417,158.35555555555555,-2.0631899392604827,729
2,2.0,16000,0.24009532643183362,1.0,0.0,0.0034455174541290034,1.3648956072330476,0.011942841679847334,1.0789410477131605,164.1818181818182,-0.12199607729911804,741
3,3.0,24000,0.27633296573310695,1.32,0.0,0.000953128719702363,1.3646267580986022,0.016513022873405135,1.372419106811285,177.1,-0.03596012353897095,769
4,3.0,32000,0.1753321850598788,1.11,0.0,-0.0003950341552263126,1.368110613822937,0.008090235127347113,0.8728948029130698,169.48,-0.022241886854171753,785
5,3.0,40000,0.21212930765443366,1.06,0.0,0.000516936710337177,1.3758976674079895,0.011805042886880984,1.1362153605371714,166.93,0.012797607183456421,794
6,3.0,48000,0.20920287581838332,1.16,0.0,0.0031729862063366453,1.3776487636566161,0.010694347958778962,1.0188124106824399,172.32,0.01252557098865509,800
7,3.0,56000,0.2892394019753445,1.2,0.0,0.00026247940433677286,1.3815157651901244,0.013420443452487234,1.2266429302096367,174.44,0.07835984587669373,806
8,3.0,64000,0.3096654837461655,1.49,0.0,0.001673848878708668,1.3789516913890838,0.012417839436093345,1.2818886961042881,187.61,0.11872768104076385,812
9,3.0,72000,0.38534349264009615,1.44,0.0,-0.004100173619226552,1.3792058181762696,0.015125825608265586,1.276826983243227,187.98,0.27952165067195894,816
10,3.0,80000,0.33431356914860266,1.28,0.0,-0.0033823391783516852,1.3822706508636475,0.01279168621316785,1.236684953570366,179.73,0.3645343345403671,814
11,3.0,88000,0.31206953947353644,1.2,0.0,-0.0015722084534354507,1.3811048090457916,0.010462769166042562,1.1487604206800461,174.77,0.4881262230873108,814
12,4.0,96000,0.2992356487786628,1.15,0.0,-0.0011540708743268623,1.3823629879951478,0.00901629553467501,1.081968660056591,172.79,0.5379663598537445,812
13,4.0,104000,0.5125717455962117,1.32,0.0,-0.007496916776290163,1.3671215176582336,0.019899203449022025,1.5989151477813721,181.3,0.135389923453331,813
14,4.0,112000,0.29199294695382,1.57,0.0,-0.00029634907143190505,1.367211858034134,0.008523249958525412,1.0550011163949966,190.75,0.7632293516397476,814
15,4.0,120000,0.362564823519801,1.51,0.0,-0.002461657001185813,1.3502945244312285,0.010599805029341951,1.2191555759310722,186.04,0.7786065977811814,812
16,5.0,128000,0.4538324443105794,1.67,0.0,-0.0025474154751282184,1.3295256543159484,0.012466477017151192,1.2593937656283378,193.47,0.731890835762024,812
17,5.0,136000,0.36819545824564576,2.0,0.0,-0.006803159965202212,1.344170013666153,0.010339007680304348,1.1746407026052474,207.58,0.8168368792533874,813
18,5.0,144000,0.2740306797419198,1.64,0.0,-0.0018079451478115517,1.3566419577598572,0.007082013358012773,0.9779002210497856,190.95,0.9025509148836136,814
19,5.0,152000,0.2553585886871488,1.86,0.0,-0.0011120411870797397,1.3357219636440276,0.00623828977055382,0.921617323756218,197.15,0.9249537020921708,817
20,9.0,160000,0.30836057129842015,2.56,0.0,-0.0003615178581094369,1.3515345072746277,0.009043427185388283,1.1364038681983948,219.9,0.9103825724124909,818
21,8.100000000000009,168000,0.282824153123805,2.65,0.0,-0.0022696209969581107,1.3331855511665345,0.006915457451832481,0.9600448766350747,225.27,0.9416716468334198,820
22,6.0,176000,0.2471823950296053,2.5,0.0,-0.001628579739244742,1.332575385570526,0.006076481826021336,0.9003986713290214,220.73,0.9449885755777359,822
23,6.300000000000026,184000,0.20670979872849324,2.27,0.0,-0.0009813472637324593,1.3520429015159607,0.004503676640451886,0.7506596639752388,209.76,0.9511539888381958,822
