P01:episode_rewards,q_loss,grad_norm,P09:episode_rewards,model_prob_std,advantage_norm,policy_gradient_bias_correction,episode_length,policy_loss,avg_q_selected,policy_gradient_loss,explained_variance,frames,epoch_idx,avg_q_retraced,policy_entropy,rollout_prob_std,fps,PMM:episode_rewards
0.0,0.00020977775639039465,0.0322169493178165,0.0,0.008655162698899706,0.053426135579744974,0.0,0,-0.0002118447704560822,0.003380231314804405,-0.0002118447704560822,-11.43949688275655,7200,1,0.0032215404518259067,2.1902692397435506,0.008655162466069063,252,0.0
0.0,0.0014884875448236319,0.3044441204421391,0.0,0.02173898508772254,0.0830258189390103,0.0,0,-0.00010308224409527611,-0.0003287532987693946,-0.00010308224409527611,-20.776210403442384,14400,2,-0.00026477250115325055,2.1255495230356853,0.021738984249532224,259,0.0
0.0,2.44916174779064e-05,0.005225307120335774,0.0,0.0028139205921130874,0.023030847745637097,0.0,0,9.868604243289762e-05,-0.0018186091857690676,9.868604243289762e-05,-16.69289566675822,21600,3,-0.0017418635902383055,2.1967941602071126,0.002813920502861341,307,0.0
0.0,9.16583464913856e-06,0.004664472429622763,0.0,0.0037068666346992056,0.021397030322502057,0.0,0,5.784875080886802e-06,-0.0009685727994413659,5.784875080886802e-06,-8.276312637329102,28800,4,-0.0009814796401163524,2.196635619799296,0.0037068665958940985,338,0.0
0.0,3.6685227996713366e-06,0.0022098014696272923,0.0,0.002045135983886818,0.012680768563101689,0.0,0,6.879606323006253e-05,-0.0021888505706253152,6.879606323006253e-05,-4.021059513092041,36000,5,-0.0021591874033523102,2.197017614046733,0.0020451360188114146,360,0.0
0.0,5.482262273896291e-06,0.0022632662645158796,0.0,0.002474923664703965,0.017468833488722642,0.0,3324.5833333333335,4.442711158768968e-05,-0.0011314369417959823,4.442711158768968e-05,-8.698744185765584,43200,6,-0.0010868624250482148,2.196951421101888,0.0024749236181378365,376,0.0
0.0,1.0683069278153805e-05,0.0037846102949834165,0.0,0.0020484087096216777,0.012861805036664009,0.0,3324.5833333333335,-1.3654722420142206e-05,-0.0021584939095191658,-1.3654722420142206e-05,-11.4978111743927,50400,7,-0.0022440702149954935,2.1968093633651735,0.0020484086320114634,390,0.0
0.0,7.4596469024375745e-06,0.0024719939255061665,0.0,0.0016545569446558754,0.013583864116420348,0.0,3324.5833333333335,7.191199201959838e-05,-0.0034573301401299734,7.191199201959838e-05,-15.810720411936442,57600,8,-0.003534389172758286,2.197092231114705,0.001654556948536386,402,0.0
0.0,4.384269588323756e-06,0.0013595277818857702,0.0,0.0018218805935854713,0.014537626753250758,0.0,3324.5833333333335,1.0501531543620027e-05,-0.001301909046014771,1.0501531543620027e-05,-6.8410760720570885,64800,9,-0.0013609622740962852,2.1970724423726398,0.001821880570302407,412,0.0
0.0,2.6842853515063323e-06,0.0011907012226028224,0.0,0.0016005175518027197,0.011072846517587701,0.0,3324.5833333333335,4.506551687579001e-05,-0.0021432621598554153,4.506551687579001e-05,-4.754456726710002,72000,10,-0.0021487736259587107,2.197101275126139,0.0016005175032963355,419,0.0
