episode_length,PMM:episode_rewards,avg_q_selected,fps,q_loss,advantage_norm,grad_norm,frames,policy_gradient_loss,P09:episode_rewards,policy_entropy,explained_variance,epoch_idx,rollout_prob_std,policy_gradient_bias_correction,policy_loss,avg_q_retraced,model_prob_std,P01:episode_rewards
0,0.0,0.005147764694023256,320,0.00027710810900316574,0.034397269350787005,0.0396545792812206,7200,8.066965077280959e-05,0.0,2.184962336222331,-56.987937672932944,1,0.008801881286005179,0.0,8.066965077280959e-05,0.005245590084814467,0.008801881068696579,0.0
0,0.0,0.0015475734680270156,173,0.00011179744530333361,0.016804141799608867,0.021554505700682167,14400,-6.605627719030357e-05,0.0,2.1945977528889973,-155.5398699760437,2,0.004933379245145867,0.0,-6.605627719030357e-05,0.0014543851255439221,0.004933379163655142,0.0
0,0.0,0.0019363738256894672,206,2.7563490463459553e-05,0.014117593069871266,0.003569144985797649,21600,-3.972583975079639e-05,0.0,2.196814942359924,-64.62461188634236,3,0.0024721619440242646,0.0,-3.972583975079639e-05,0.0018942050674619773,0.00247216191686069,0.0
0,0.0,0.0008505885608125634,236,2.105445937559125e-05,0.027287604489053287,0.003195223194855249,28800,-1.533230199584068e-05,0.0,2.1965401411056518,-20.67232189178467,4,0.003937867617545028,0.0,-1.533230199584068e-05,0.0009336132963653654,0.003937867532173792,0.0
0,0.0,0.0011379248055163771,259,9.25567571054368e-06,0.012786854275812705,0.0011666284338971127,36000,-2.6567787176645653e-05,0.0,2.197036337852478,-41.93121932347616,5,0.001784310064977035,0.0,-2.6567787176645653e-05,0.0011200546810869127,0.001784310129005462,0.0
3324.6666666666665,0.0,0.001354692003224045,279,9.764833748704405e-06,0.018229542284583053,0.0016197467042946161,43200,-3.0117274225934427e-05,0.0,2.196931552886963,-38.81451443036397,6,0.002384833050503706,0.0,-3.0117274225934427e-05,0.0013344278830724457,0.00238483304468294,0.0
3324.6666666666665,0.0,0.0012376659775630591,295,5.2688815912915745e-06,0.006752073283617695,0.0007280691122646109,50400,-2.973545216396663e-05,0.0,2.197184093793233,-67.64163125356039,7,0.0009039241451925287,0.0,-2.973545216396663e-05,0.0011751666374038906,0.0009039241490730395,0.0
3324.6666666666665,0.0,0.0008065545533706124,308,3.8716209436036784e-06,0.005548645462840796,0.0007159737700845615,57600,-1.5943186911234384e-05,0.0,2.1971798658370973,-51.70866657892863,8,0.0009848170661522697,0.0,-1.5943186911234384e-05,0.0007539893015443037,0.0009848170215263964,0.0
3324.6666666666665,0.0,0.0009846437562373467,318,4.784940271444308e-06,0.012167107709683479,0.0008279493213227837,64800,-2.411722800464607e-05,0.0,2.197095823287964,-36.52911160786947,9,0.0015183551974284153,0.0,-2.411722800464607e-05,0.000955706718377769,0.0015183551780258615,0.0
3324.6666666666665,0.0,0.0007313494017580525,329,3.6423505700137563e-06,0.008352298107153426,0.0006098126670232437,72000,-1.588457042061009e-05,0.0,2.1971388339996336,-86.25859238306681,10,0.0010714487463701517,0.0,-1.588457042061009e-05,0.0007036622584564612,0.0010714487308481088,0.0
3324.6666666666665,0.0,0.0007269679015735164,337,3.4670861585558063e-06,0.013399389972134183,0.0008068530489544924,79200,-1.503626220416739e-05,0.0,2.19710586865743,-28.824988333384194,11,0.0015786229720106348,0.0,-1.503626220416739e-05,0.0007211119402199984,0.0015786229574587195,0.0
3324.0,0.0,0.0003980890699115965,345,1.0680247347257439e-06,0.003867730180112024,0.00022036720100064388,86400,-1.205674754676996e-05,0.0,2.1972103754679364,-76.96612199147542,12,0.00038945933241241925,0.0,-1.205674754676996e-05,0.00040017004454663644,0.0003894593231962062,0.0
3324.0,0.0,0.0003550246737480241,352,8.309866274203159e-07,0.0036436652764678,0.00045101295130669215,93600,-7.603073038353614e-06,0.0,2.1972094535827638,-34.10500995318095,13,0.000477992358598082,0.0,-7.603073038353614e-06,0.00037027627210288,0.0004779923619935289,0.0
3324.0,0.0,0.0003671645036471697,358,6.67401471332596e-07,0.00261602057920148,0.0002310360358118501,100800,-9.20059730731282e-06,0.0,2.197216002146403,-46.47358798980713,14,0.00035627399920485915,0.0,-9.20059730731282e-06,0.000353477142440776,0.00035627399241396535,0.0
3324.0,0.0,0.0005676553604037812,364,1.8154682313327915e-06,0.010492409490204106,0.0005558766906025085,108000,-1.2340233346700795e-05,0.0,2.19716002146403,-29.41774934132894,15,0.0012027409407892264,0.0,-1.2340233346700795e-05,0.0005464549103635363,0.0012027409587365885,0.0
3324.0,0.0,0.00026233407988911494,371,5.711802828045621e-07,0.003227612250096475,0.00019305253573393945,115200,-4.543469856344018e-06,0.0,2.197209294637044,-150.30523138046266,16,0.00039323912230126247,0.0,-4.543469856344018e-06,0.00027126020043700315,0.0003932391196334114,0.0
3324.1388888888887,0.0,0.00043824293941320823,374,1.4874405473739057e-06,0.00985351133404442,0.000471642529542205,122400,-1.2548836017509914e-05,0.0,2.1971720379590987,-13.686219108435843,17,0.001681411903781635,0.0,-1.2548836017509914e-05,0.000445104316450953,0.0010354170721802803,0.0
3324.1388888888887,0.0,0.00025251921096429534,372,3.3909896172032926e-07,0.004328230487248336,0.00017288474312247146,129600,-8.360395030577939e-06,0.0,2.1972148103562614,-11.88911812757689,18,0.002380858803485714,6.229547455660623e-09,-8.354165491587605e-06,0.00024691015367381394,0.0004302149067599015,0.0
3324.1388888888887,0.0,0.00021943646714741287,371,2.342517879766558e-07,0.0035823781527038333,0.0001389667331715391,136800,-4.293608348535015e-06,0.0,2.197217729697152,-12.766066128072284,19,0.002210991496771356,2.2979521207934526e-09,-4.291310396709717e-06,0.00021864822526064623,0.00036332904101765874,0.0
3324.1388888888887,0.0,0.00018575688478478467,369,1.931050429965308e-07,0.0034718953545846507,0.00011301901094164993,144000,-2.8084338346067917e-06,0.0,2.1972185885338558,-9.542790888131611,20,0.002301196668358826,7.340225042106063e-09,-2.8010935833594747e-06,0.0001826553476646026,0.000344649885494272,0.0
3324.1388888888887,0.0,0.0001586772241509087,366,1.510672369851899e-07,0.0031157670524098943,9.842658584855524e-05,151200,-3.695035080010475e-06,0.0,2.197219890337142,-65.27391910782566,21,0.0020939313939835834,3.070249476877507e-09,-3.691964829691472e-06,0.00016252369260265757,0.00030650172940705297,0.0
3324.1388888888887,0.0,0.00016789716403316503,365,1.65383750593561e-07,0.003409376797283166,0.00010213545800795046,158400,-4.5455665245911505e-06,0.0,2.1972193247868272,-53.78868161318164,22,0.0019098200068938672,0.0,-4.5455665245911505e-06,0.00016694591024441816,0.00032791947557805104,0.0
3324.1041666666665,0.0,0.00014040959287470926,363,8.716350704367398e-08,0.002284426532786658,6.287310091641424e-05,165600,-2.487195445202139e-06,0.0,2.1972220729930063,-41.47158593371432,23,0.002210876646308164,5.212783958559915e-09,-2.4819826600238134e-06,0.00013984961112409973,0.00021728721166601602,0.0
3324.1041666666665,0.0,0.00015066528019930944,360,8.679711678820786e-08,0.0022912850486225956,7.080972631582509e-05,172800,-3.07572848622038e-06,0.0,2.197222383022308,-30.107281727838135,24,0.0017977916311860648,2.0143995170331305e-09,-3.0737140875492313e-06,0.00015062784193033287,0.00020714325631420903,0.0
3324.1041666666665,0.0,0.00014936701878757463,359,6.500783232553882e-08,0.0019443043367198063,5.808233903910516e-05,180000,-3.0628855468795194e-06,0.0,2.1972230120121483,-222.9285389231406,25,0.0016425800857936452,0.0,-3.0628855468795194e-06,0.00014520409074600412,0.00018527101179404863,0.0
3324.1041666666665,0.0,0.00015207835341230795,357,7.045642002787955e-08,0.0021878551288559223,5.439128951340031e-05,187200,-2.834238181290245e-06,0.0,2.1972227293849276,-29.07514234493649,26,0.0017717626657273325,2.1997625162495035e-10,-2.8340182080078273e-06,0.0001509066880808886,0.00021001048755187756,0.0
3324.1041666666665,0.0,0.00013947230168433013,356,4.1312646564047743e-08,0.0015840161150782195,3.982461463830917e-05,194400,-3.2769759844387273e-06,0.0,2.197223724183582,-1313.526806564293,27,0.0017208165236897,1.7812772294215999e-09,-3.2751947073277293e-06,0.000136957292089252,0.00014624402900343734,0.0
3324.233333333333,0.0,0.00014949117400796258,354,8.246887296527077e-08,0.002418255832064614,6.264127463646355e-05,201600,-3.179033107956867e-06,0.0,2.1972224766047543,-77.55914821575558,28,0.0017812895592343259,3.404831439013378e-09,-3.1756282761625827e-06,0.00014848521685245614,0.00020767275388154893,0.0
3324.233333333333,0.0,0.00014097034534034215,352,4.886482596348127e-08,0.0016368966675476453,4.135402304795291e-05,208800,-2.832135224367e-06,0.0,2.1972237222707287,-340.26097736280207,29,0.001834336472487183,6.735510914445008e-10,-2.8314616728018605e-06,0.00013827839445130702,0.00013847973162066217,0.0
3324.233333333333,0.0,0.00013480091680658345,352,3.5995579328594516e-08,0.001409728360214156,3.861849521386218e-05,216000,-2.5136822428087622e-06,0.0,2.1972239529455777,-35.35867647248601,30,0.0015216029064170772,0.0,-2.5136822428087622e-06,0.0001323864251487918,0.0001268034260240629,0.0
3324.233333333333,0.0,0.00013010845639049268,351,3.3914174928948284e-08,0.00141901769644702,3.42213320997989e-05,223200,-3.6497075479964842e-06,0.0,2.197223970880584,-374.7835978336435,31,0.001866777700934908,1.3159481168953687e-09,-3.6483916011230387e-06,0.00012857384340095066,0.00012984271823363746,0.0
3324.233333333333,0.0,0.00012599221423519936,350,3.484554691894002e-08,0.0015282949751296592,3.3862075588392705e-05,230400,-2.6931171630080386e-06,0.0,2.1972238782253215,-660.5796052385197,32,0.001677702151550472,1.0096072258049929e-09,-2.6921075565190926e-06,0.00012465468446058733,0.00013544044326921866,0.0
3324.233333333333,0.0,0.00012286220769493848,349,4.1889426438768905e-08,0.001649521580799604,3.901232320624883e-05,237600,-2.4850418562447914e-06,0.0,2.1972237251675315,-562.1966382560338,33,0.0015615007073196822,5.309904135434148e-10,-2.4845108672523335e-06,0.00012417874821838549,0.00014608194911308226,0.0
3324.2638888888887,0.0,0.00012083646159880644,349,3.347354386183129e-08,0.0013389254458444258,3.158013769145541e-05,244800,-3.053877338537761e-06,0.0,2.197224130056523,-613.7622884200679,34,0.0015508142660894527,3.122891969711519e-10,-3.0535650483736624e-06,0.00011767895584372034,0.00011728476601156311,0.0
3324.2638888888887,0.0,0.00011144604132501176,348,3.3057106267273256e-08,0.00134803569010769,3.356798141650371e-05,252000,-2.3662978178066135e-06,0.0,2.197224161028862,-558.9365223106757,35,0.0012893954454108114,0.0,-2.3662978178066135e-06,0.00010847871895738916,0.00011373927236776722,0.0
3324.2638888888887,0.0,9.99338852662255e-05,346,2.417748701154757e-08,0.0011606993042170039,2.6578985438919347e-05,259200,-2.7170766973061133e-06,0.0,2.1972244080002343,-545.6500741618083,36,0.0014697907544468257,4.311891617421511e-10,-2.7166455083041495e-06,9.907848125910505e-05,0.00010209376490737423,0.0
3324.2638888888887,0.0,9.301509624247191e-05,346,2.365051148315615e-08,0.0012923333718492995,2.5516254600864897e-05,266400,-2.0617075448582328e-06,0.0,2.1972243318387448,-207.75567865613905,37,0.0012945122620918223,0.0,-2.0617075448582328e-06,9.26778483306638e-05,0.00011036716421795207,0.0
3324.2638888888887,0.0,8.677442014766076e-05,345,1.8965161896460496e-08,0.0010690335562708602,2.2013439890352467e-05,273600,-2.341274718096421e-06,0.0,2.197224564410391,-1185.6626547182743,38,0.001160986647487671,0.0,-2.341274718096421e-06,8.525328697374484e-05,9.388680405711282e-05,0.0
3324.095238095238,0.0,8.604150813747998e-05,344,2.523917533868534e-08,0.0012541728939232607,2.4936020515063298e-05,280800,-2.3165317199552238e-06,0.0,2.197224337120593,-138.86983363461357,39,0.0015536696464973786,5.169787758379445e-10,-2.3160147410609617e-06,8.281754698233892e-05,0.00010955577691122631,0.0
3324.095238095238,0.0,7.139116304070168e-05,344,1.3576698094908494e-08,0.0007944317162178373,1.711437894365937e-05,288000,-1.7249591895553602e-06,0.0,2.197224835245698,-1761.7055035718502,40,0.001182700397286188,6.25659050494202e-10,-1.7243335304653913e-06,6.894134649310555e-05,6.775836256866586e-05,0.0
3324.095238095238,0.0,7.097085023655338e-05,344,2.409340869161995e-08,0.0011374105398533382,2.630104112360022e-05,295200,-1.6009478262612015e-06,0.0,2.197224565722038,-47.32968536835986,41,0.001263636809341148,0.0,-1.6009478262612015e-06,7.137246948592032e-05,8.689170546690162e-05,0.0
3324.095238095238,0.0,6.394327947187805e-05,344,1.266539544042478e-08,0.0008919249961851674,1.7122672930720254e-05,302400,-1.146385263943152e-06,0.0,2.1972247469362127,-554.5845401329194,42,0.0013933534009686118,3.0296279855216806e-10,-1.1460823012156537e-06,6.294141275733992e-05,7.643635316938383e-05,0.0
3324.095238095238,0.0,6.347735914907447e-05,344,2.0642564837165743e-08,0.0011246324061598247,2.260887117724132e-05,309600,-7.075912626872434e-07,0.0,2.1972244707175665,-725.5963674352472,43,0.0013277756588574506,0.0,-7.075912626872434e-07,6.321912750853886e-05,9.880823308989535e-05,0.0
3324.095238095238,0.0,6.028615239871454e-05,344,1.5711241913461448e-08,0.0010365499171189612,1.9586201460571192e-05,316800,-1.1441205357691259e-06,0.0,2.19722456529543,-562.5103757099783,44,0.0011392434489173994,8.862256587841937e-10,-1.1432343104892978e-06,6.094431481295001e-05,8.880236683060201e-05,0.0
3324.25,0.0,5.8591973208293964e-05,343,1.62707227892483e-08,0.0010178693591840764,2.0350802734619177e-05,324000,-1.4054627188527566e-06,0.0,2.197224601618139,-819.6872086609047,45,0.0012530967277401691,4.187401536626112e-10,-1.4050439786497505e-06,5.783027546814429e-05,8.510363498495561e-05,0.0
3324.25,0.0,5.7422498435403946e-05,342,1.9778647349862583e-08,0.0010648009068015246,2.4024448546370255e-05,331200,-1.278725719934625e-06,0.0,2.197224735137704,-790.0546771244097,46,0.0013290558366032877,1.4803887216614732e-10,-1.2785776807241052e-06,5.6489265268421575e-05,7.896795471000944e-05,0.0
3324.25,0.0,5.290854659193505e-05,341,1.738037606397024e-08,0.001041611566072688,2.1636335387701993e-05,338400,-1.2108245828344659e-06,0.0,2.1972247688133253,-728.556815323098,47,0.0012247488271772023,2.5363968703118187e-11,-1.2107992189220142e-06,5.2259036818589e-05,7.70846268430881e-05,0.0
3324.25,0.0,5.432931162907889e-05,341,1.4559152843398142e-08,0.0009698627576597057,1.8503100031366568e-05,345600,-1.169494982794758e-06,0.0,2.197224762439727,-324.84170618050945,48,0.00115640978507076,0.0,-1.169494982794758e-06,5.3290528824777174e-05,8.193816430643434e-05,0.0
3324.25,0.0,4.8790757363970026e-05,341,1.2582925646280152e-08,0.000851230947084534,1.773992017349125e-05,352800,-9.395163171668819e-07,0.0,2.19722486947264,-1554.5090934749537,49,0.0010486754222892526,3.2253019810468684e-10,-9.391937868503534e-07,4.8004718628218384e-05,6.736884406443153e-05,0.0
3324.28,0.0,4.976414702642137e-05,341,1.4478983668044372e-08,0.0009699646479390457,1.677705591238453e-05,360000,-9.033219463713607e-07,0.0,2.1972246400515236,-155.61450166357886,50,0.0011880941800744415,0.0,-9.033219463713607e-07,4.970739372145052e-05,8.63937728249694e-05,0.0
3324.28,0.0,4.441376580457449e-05,340,9.398489735819858e-09,0.0007105549237175839,1.3480941228569454e-05,367200,-1.1711738516852982e-06,0.0,2.197224968728565,-1438.8060251294587,51,0.0012227539279723758,5.674918214361292e-10,-1.1706063601500528e-06,4.2691257098215305e-05,6.202274013028285e-05,0.0
3324.28,0.0,4.45284075419458e-05,340,1.6846012479260173e-08,0.0009298477665209668,2.0441576128560518e-05,374400,-6.315667597131179e-07,0.0,2.197224878806334,-82.40815688837287,52,0.0008978738037531567,2.0993187928771324e-10,-6.313568274933618e-07,4.481473623730605e-05,6.712763722967428e-05,0.0
3324.28,0.0,4.090388497814505e-05,341,1.2335190756607163e-08,0.0007901966010523672,1.6370722801603276e-05,381600,-1.1416276912099322e-06,0.0,2.1972248777889067,-1087.6208856427668,53,0.0010498307020174113,3.8181787361442807e-11,-1.1415895094854832e-06,4.114413333304078e-05,6.393303649642371e-05,0.0
3324.28,0.0,4.3534440902721905e-05,340,1.802938781142005e-08,0.001031360681158099,1.989051752523191e-05,388800,-1.140482541297634e-06,0.0,2.1972245674316215,-417.18140345440025,54,0.0010253585074333903,9.272832970610681e-10,-1.1395552583953191e-06,4.3964213282523574e-05,9.166537643323938e-05,0.0
3324.28,0.0,4.1646316657603595e-05,340,1.4828855530263715e-08,0.0009462460794150405,1.8234254260054202e-05,396000,-7.834944345568304e-07,0.0,2.197224712427732,-790.7821331023086,55,0.001221950945928602,4.317370649539154e-10,-7.830626974218988e-07,4.041260249499248e-05,7.771299806056795e-05,0.0
3324.31,0.0,3.806538789677404e-05,340,1.574853060657935e-08,0.0009091448465281644,1.7750333000175836e-05,403200,-1.3499890646716579e-06,0.0,2.1972246239992677,-1120.8951202179517,56,0.0009230850527197562,2.779110538405668e-10,-1.3497111534072861e-06,3.6751535118229283e-05,7.7789605974456e-05,0.0
3324.31,0.0,3.4906098163827626e-05,339,1.5734787127076353e-08,0.000961403383810838,1.965291688844071e-05,410400,-8.5864052806883e-07,0.0,2.197224894181188,-731.6146531709029,57,0.0008921386643197513,0.0,-8.5864052806883e-07,3.3630358020850334e-05,6.603560364652608e-05,0.0
3324.31,0.0,2.9820963388989886e-05,339,8.206193926473325e-09,0.0006550852167461368,1.2228732012041484e-05,417600,-8.562939837701233e-07,0.0,2.1972249950156755,-878.1835329580306,58,0.0009011606558794118,0.0,-8.562939837701233e-07,2.9575787658499754e-05,5.532392349436376e-05,0.0
3324.31,0.0,3.109812915616723e-05,339,9.766749219628144e-09,0.0008362202007775263,1.5045663592672185e-05,424800,-5.859656045525082e-07,0.0,2.1972248729637687,-397.3048969570134,59,0.0008873825264738968,0.0,-5.859656045525082e-07,3.0270635414501794e-05,6.586941199451584e-05,0.0
3324.31,0.0,2.671334289909773e-05,339,7.467236484087417e-09,0.0006287927820765091,1.1024241635550163e-05,432000,-2.9100977434125415e-07,0.0,2.197225048702861,-1746.0377961530332,60,0.0010458797400914976,3.6673964605900743e-10,-2.9064303462414084e-07,2.57640230341037e-05,5.2517176334321994e-05,0.0
3324.37,0.0,2.9275578164824715e-05,339,1.2080554945488883e-08,0.0009078243772259273,1.4704405396061195e-05,439200,-4.32704688599348e-07,0.0,2.1972247438203723,-142.78943933426072,61,0.0013367937626056722,1.3735893212975092e-09,-4.313310992780504e-07,2.862456035443987e-05,7.710240741605248e-05,0.0
3324.37,0.0,2.481480262286058e-05,338,7.74930578764522e-09,0.0006542884254167443,1.1858676191584822e-05,446400,-5.74245227498266e-07,0.0,2.1972249917283895,-1671.7265710074373,62,0.0009206997565739957,1.0853909474898652e-09,-5.731598363139286e-07,2.480555054031385e-05,5.149232760573788e-05,0.0
3324.37,0.0,2.527958688369119e-05,338,8.617934200270751e-09,0.000676292291959669,1.2465695521587273e-05,453600,-5.932068902132979e-07,0.0,2.197224995576568,-433.8872790683004,63,0.0012663294114286482,6.88229160152065e-10,-5.925186613390548e-07,2.5377663938932683e-05,5.3294390457887114e-05,0.0
3324.37,0.0,2.2929551541387306e-05,339,6.808313331849786e-09,0.0005658894275993337,9.696953583595423e-06,460800,-2.6790893430976103e-07,0.0,2.197225053045485,-1683.947721459336,64,0.0007175954017298459,0.0,-2.6790893430976103e-07,2.2885504743296935e-05,4.5892337443547145e-05,0.0
3324.37,0.0,2.517791076607568e-05,339,9.806818734632257e-09,0.0008697953839787224,1.5143587985859226e-05,468000,-7.358228419498591e-07,0.0,2.197224874036022,-601.2893691557205,65,0.0009648278093125376,0.0,-7.358228419498591e-07,2.3571301019045382e-05,7.08905532306388e-05,0.0
3324.37,0.0,2.1837264257267216e-05,339,8.435772393515968e-09,0.0007276017370614747,1.3177715320857724e-05,475200,-4.601145595951894e-07,0.0,2.197224973269871,-1252.4352176581535,66,0.0008686625626391257,2.4602469479651473e-10,-4.5986853478196904e-07,2.2021679519422747e-05,6.0576178565811684e-05,0.0
3324.48,0.0,2.3231447514591412e-05,339,1.1563471565716299e-08,0.0008804554856731787,1.4966798210084096e-05,482400,-1.0634075436271537e-07,0.0,2.197224767170255,-821.547115761912,67,0.001200482282192102,5.82103333436458e-10,-1.0575865091085515e-07,2.4216595998402066e-05,7.306906271885905e-05,0.0
3324.48,0.0,2.197231652471168e-05,339,8.418148559668924e-09,0.0006864423915500619,1.3357084545510203e-05,489600,-6.410602165306585e-07,0.0,2.197225078949852,-1252.985926397786,68,0.0007331270742274374,0.0,-6.410602165306585e-07,2.354937441345504e-05,5.024389180438527e-05,0.0
3324.48,0.0,2.378312793993361e-05,339,5.957745354025301e-09,0.0005316694205954978,8.77050495914269e-06,496800,-6.433015118983712e-07,0.0,2.1972251168508374,-1478.2196572200837,69,0.0009247014343351331,2.795638683513365e-10,-6.430219481484436e-07,2.2940496343315834e-05,4.158711722629689e-05,0.0
3324.48,0.0,2.331584119528565e-05,340,9.252897405062237e-09,0.000789802722887334,1.3623535199971755e-05,504000,-4.5225975910564584e-07,0.0,2.1972249494280134,-657.3341580902205,70,0.0010506074676320189,6.022773825343898e-10,-4.5165748186127255e-07,2.3180331588538672e-05,6.390344175385854e-05,0.0
