episode_length,rollout_prob_std,explained_variance,policy_entropy,policy_loss,q_loss,P01:episode_rewards,policy_gradient_loss,grad_norm,PMM:episode_rewards,P09:episode_rewards,epoch_idx,avg_q_retraced,frames,model_prob_std,policy_gradient_bias_correction,avg_q_selected,fps,advantage_norm
0,0.008664736920036376,-37.675468317667644,2.185639476776123,0.0001763909296641941,0.00017184901468378182,0.0,0.0001763909296641941,0.04229639415723442,0.0,0.0,1,-0.0055325829423964025,7200,0.00866473678809901,0.0,-0.00573353284659485,324,0.02754374233384927
0,0.003902605583425611,-180.5608873685201,2.1949888944625853,0.0001797704824033038,5.8240090280984685e-05,0.0,0.0001797704824033038,0.01912123328028108,0.0,0.0,2,-0.006950123305432499,14400,0.003902605560142547,0.0,-0.006931540870573372,177,0.015201329983149965
0,0.00257762084947899,-36.04937750498454,2.196872274080912,5.6420944008550575e-05,1.2888487268962005e-05,0.0,5.6420944008550575e-05,0.002965104220519224,0.0,0.0,3,-0.0015507278575872382,21600,0.002577620861120522,0.0,-0.0016142886392723692,211,0.013744685457398494
0,0.004157990847791855,-45.912104495366414,2.19645037651062,-2.279018953383153e-05,1.953680866790819e-05,0.0,-2.279018953383153e-05,0.003264521985210539,0.0,0.0,4,0.0007458222321777915,28800,0.004157990904059261,0.0,0.0007434215105604381,241,0.026464255650838216
0,0.0017363886756356806,-137.46039962768555,2.1970250288645428,8.233513168913002e-06,8.750187771511263e-06,0.0,8.233513168913002e-06,0.0011228594422018057,0.0,0.0,5,-8.473502627263467e-07,36000,0.0017363886329500625,0.0,2.3012951017638747e-05,267,0.011197838994363944
3324.6666666666665,0.0023976112521874406,-22.881578413645425,2.196916365623474,-1.7883065599259377e-05,8.456722033164018e-06,0.0,-1.7883065599259377e-05,0.0015627344519696313,0.0,0.0,6,0.0006052424571786711,43200,0.002397611246366675,0.0,0.0005688966142770368,288,0.01725628470691542
3324.6666666666665,0.0008976661328536768,-79.46328315734863,2.1971691211064655,1.6105604572658194e-06,2.5798244773037973e-06,0.0,1.6105604572658194e-06,0.0009435013836813652,0.0,0.0,7,-0.0003152302541517808,50400,0.0008976661347939323,0.0,-0.0003181165726857671,305,0.004932445248899361
3324.6666666666665,0.0007334022026043385,-124.63591279983521,2.197198184331258,3.186204556489732e-05,2.948056593747121e-06,0.0,3.186204556489732e-05,0.0006563837931501602,0.0,0.0,8,-0.0011288472550707715,57600,0.0007334022258874029,0.0,-0.0011536837851357025,320,0.0041836946193749705
3324.6666666666665,0.0015395136511263748,-39.40311546325684,2.197089846928914,-7.734944786837634e-06,4.281549424452654e-06,0.0,-7.734944786837634e-06,0.0007915786070238564,0.0,0.0,9,0.0003857508034949812,64800,0.0015395136394848426,0.0,0.00037990724931660227,332,0.01089791589571784
3324.6666666666665,0.0010596323845675215,-45.53747304280599,2.197144055366516,-7.148811770700074e-06,2.5925054757180987e-06,0.0,-7.148811770700074e-06,0.0005775106783403982,0.0,0.0,10,0.0003115960498689674,72000,0.001059632352553308,0.0,0.00031209788309449017,343,0.0072490635405605035
3324.6666666666665,0.0017079635930713267,-15.691958618164062,2.1970838705698648,-6.225452451265786e-06,3.7719335078160535e-06,0.0,-6.225452451265786e-06,0.0008342811541286012,0.0,0.0,11,0.00030062064179219304,79200,0.0017079635542662194,0.0,0.00029382867257178683,353,0.012889081623870879
