PMM:episode_rewards,policy_loss,advantage_norm,value_loss,P01:episode_rewards,approx_kl_divergence,P09:episode_rewards,episode_length,fps,policy_entropy,frames,epoch_idx,grad_norm,explained_variance,clip_fraction
207.29166666666666,0.011011850615614095,15.968719410896302,0.8835899846628308,65.00000000000001,0.013045844048793987,477.4999999999998,360.25,164,1.6910411648452282,10240,1,32.425583049089326,0.07532167956233024,0.35107421875
220.98214285714286,0.0005127483142132405,15.96871920824051,0.230302816350013,75.0,0.003919919907912568,500.0,358.01785714285717,153,1.6852741979062558,20480,2,6.779742626327037,0.29324890933930875,0.2197021484375
228.27380952380952,-0.0027748222928494215,15.96871926188469,0.169317108951509,82.50000000000001,0.00244804212507047,502.5000000000002,360.3809523809524,161,1.6983885601162911,30720,3,4.894922737867562,0.48144788928329946,0.16171875
256.5,-0.0036265326209104385,15.9687191426754,0.1529835700057447,100.0,0.0022107307857371695,527.5000000000002,369.44,166,1.7233433790504933,40960,4,4.385956670016551,0.5986466590315104,0.133447265625
258.0,-0.004085119926457992,15.96871924996376,0.14164544502273202,100.0,0.0022021284056794365,525.0,366.78,171,1.7215830564498902,51200,5,3.5703828760491296,0.6519575417041779,0.1401611328125
284.75,-0.004101925114446204,15.968719172477723,0.16540362387895585,125.0,0.002092764454210127,555.0000000000005,368.38,171,1.72514835819602,61440,6,4.542642244418901,0.6619130291044713,0.1312744140625
295.0,-0.0036774373533262406,15.96871913075447,0.1554615973494947,100.0,0.0023700488711031883,600.0,368.85,175,1.744069017469883,71680,7,3.555914374656781,0.6140058480203152,0.1534423828125
304.75,-0.0052671730185466,15.968719291687012,0.1363503558561206,100.0,0.00206501531863551,600.0,374.11,176,1.7563705079257488,81920,8,3.27650233343513,0.5868432994931936,0.1310791015625
282.75,-0.0054434459387266544,15.968719321489335,0.12870288388803602,75.0,0.0022647126717404956,575.0,369.24,178,1.747284784913063,92160,9,2.99872799816929,0.7196179814636707,0.1380615234375
271.0,-0.005094195030142146,15.968719178438187,0.10870143536012619,75.0,0.0018238410566940196,550.0,364.64,179,1.7308200500905513,102400,10,2.750673172470489,0.7697369959205389,0.100830078125
290.5,-0.004604224680588231,15.968719178438187,0.12187924061436206,125.0,0.0020491118730664474,550.0,366.45,181,1.6865277111530304,112640,11,3.3793109160175683,0.7499233085662127,0.12548828125
292.25,-0.004782726527992054,15.968719238042832,0.11786301922984421,125.0,0.002337157498687166,550.0,363.41,181,1.676626368612051,122880,12,2.5576633202203944,0.7694656193256378,0.147216796875
324.25,-0.006620009126709192,15.96871926188469,0.12170181770343333,150.0,0.002487499209042078,575.0,378.98,181,1.7156464911997318,133120,13,2.1827238392599,0.7501160018146038,0.166357421875
322.5,-0.006424228165997192,15.968719351291657,0.10133967401925474,150.0,0.0023588514921360467,600.0,377.4,182,1.6907723546028137,143360,14,2.362391653860202,0.81709113009274,0.15517578125
301.75,-0.007041993841266958,15.96871920824051,0.12948772865347563,150.0,0.0022204586672163466,550.0,372.35,183,1.6763814635574819,153600,15,2.4363013058771448,0.7788380909711122,0.1424560546875
300.0,-0.006331679982395144,15.968719357252121,0.12579332455061376,150.0,0.0022759723465700047,550.0,375.34,184,1.7088652320206166,163840,16,2.501493627176189,0.7887096889317036,0.1502197265625
287.0,-0.007249199672514806,15.968719106912612,0.13559797639027238,150.0,0.002101504895472595,430.0000000000004,374.82,185,1.7316617757081985,174080,17,2.3258551561959333,0.7021638799458743,0.1356201171875
296.0,-0.006329473685036646,15.968719178438187,0.12335165066178888,150.0,0.0018751262558910722,550.0,372.63,185,1.7199931107461452,184320,18,2.0345500280870055,0.6939200326800347,0.1155029296875
306.0,-0.007991546273842687,15.968719434738158,0.09733715420588851,150.0,0.0023132107137601643,602.5000000000002,379.6,186,1.7194074988365173,194560,19,2.205571756482464,0.8134277306497097,0.1510009765625
323.75,-0.007320327442357666,15.968719226121902,0.11642487030476331,175.0,0.002114837129534252,625.0,390.79,186,1.7294685259461402,204800,20,1.8349066548102821,0.8031232438981533,0.1332275390625
359.25,-0.007178242928057443,15.968719214200974,0.10182911788579077,175.0,0.0024129184912002385,625.0,402.2,186,1.708538831025362,215040,21,2.0790229282140826,0.8542092505842447,0.156103515625
371.0,-0.007135096072306624,15.96871938109398,0.14737010239623488,200.0,0.0021984071055616158,625.0,412.18,186,1.7110954865813255,225280,22,2.3576104611332367,0.8099791694432497,0.138671875
398.25,-0.008623427733255085,15.968719100952148,0.12262516655027866,225.0,0.002128196309195414,650.0,411.64,186,1.729277490824461,235520,23,1.883172734613434,0.8388113714754581,0.1330322265625
418.0,-0.00730060117530229,15.968719244003296,0.17943717674352228,225.0,0.002058054327290217,652.5000000000002,414.12,187,1.7482558161020278,245760,24,2.5537879762723232,0.8077720697969198,0.1259765625
408.0,-0.006880904791614739,15.96871907711029,0.13318598207551985,197.5,0.0020672829461093876,700.0,409.69,187,1.7369830660521983,256000,25,2.105125745598677,0.8100414246320724,0.1247314453125
419.25,-0.009133722799015231,15.968719083070756,0.10799109600484372,200.0,0.002509822758429731,700.0,418.95,187,1.7197986654937267,266240,26,1.9772454411402745,0.853671983256936,0.1624755859375
419.0,-0.0084729544360016,15.968719220161438,0.09514729310758412,200.0,0.0021584277189165913,675.0,420.61,187,1.7214040465652942,276480,27,1.7216161514015336,0.8544431664049625,0.129736328125
421.0,-0.008428163464850513,15.968719297647477,0.09890686923172325,200.0,0.002371178998237464,652.5000000000002,419.57,188,1.715949048101902,286720,28,1.8273062838176437,0.8987790148705244,0.1550537109375
