episode_length,value_loss,P09:episode_rewards,frames,epoch_idx,grad_norm,explained_variance,fps,clip_fraction,approx_kl_divergence,P01:episode_rewards,advantage_norm,policy_entropy,PMM:episode_rewards,policy_loss
467.2631578947368,1307625459.1736193,125.0,10240,1,1171008704.9500442,-1028.8886935587973,469,0.4779296875,2015339.9880635787,0.0,15.968710076808929,0.40367946900793383,84.21052631578948,0.08540651066571173
387.1,0.502257181533605,152.50000000000003,20480,2,5.369193577279142,-0.00021322295069694519,453,0.3106201171875,2.2539803119246242,25.0,15.96871746778488,1.3477536719292402,110.5,0.002103111529868329
370.9259259259259,0.008377922888030298,175.0,30720,3,0.07837076420749382,-6.7055225372314455e-09,452,0.192919921875,0.0031412927111887255,25.0,15.968717724084854,1.3300482206046582,120.37037037037037,-0.0009387568836245919
347.1,0.007217119276538142,175.0,40960,4,0.10657566805616478,-9.685754776000977e-09,459,0.23642578125,0.005336488597345123,50.0,15.968717479705811,1.38661882430315,124.75,-0.0003854151989798993
347.65,63631.20510634227,175.0,51200,5,2412471.5804032907,-0.0342279028147459,460,0.4065673828125,737.4271661551767,47.50000000000001,15.968715715408326,1.2129546907613986,114.75,0.00948929023470555
351.36,0.011302747607987839,205.00000000000043,61440,6,0.07112178951059304,-1.7881393432617187e-08,463,0.2296875,0.0038892414525093953,47.50000000000001,15.968718087673187,1.3410801388323308,137.75,-0.0006204286411957583
357.24,0.011628986657888163,340.00000000000125,71680,7,0.07435646806002039,1.080334186553955e-08,465,0.207470703125,0.0038642449015924285,50.0,15.968717789649963,1.4325480438768863,173.5,-0.00014154172786220442
359.98,0.00841609268081811,502.5000000000002,81920,8,0.05610398744332371,2.7567148208618165e-08,463,0.22890625,0.004312430383674837,50.0,15.968717408180236,1.5717236272990704,205.75,-0.0007658829905267339
358.15,0.0089901834146076,525.0,92160,9,0.045826479084999275,-1.4901161193847656e-08,465,0.23896484375,0.003378658263738998,50.0,15.968717497587203,1.4708079136908054,210.25,-0.0012493404708948219
356.51,0.010616811259751557,502.5000000000002,102400,10,0.0518332403590971,1.1175870895385742e-08,465,0.220068359375,0.0034172141141425526,47.50000000000001,15.96871775984764,1.6083343863487243,207.75,-0.0012934588483403786
353.33,0.013648718153126538,477.5000000000002,112640,11,0.05552352034620446,2.6077032089233397e-09,464,0.2093994140625,0.0030645910187331537,47.50000000000001,15.96871782541275,1.6532889991998672,210.25,-0.001364179422671441
362.29,0.011520702199777588,527.5000000000002,122880,12,0.04912098395016272,-1.4901161193847656e-08,465,0.199658203125,0.003033572159893083,72.50000000000001,15.96871801018715,1.602916695177555,245.0,-0.00142129472878878
354.86,0.011824733397224918,527.5000000000002,133120,13,0.05061791593314845,-8.568167686462402e-09,465,0.1998291015625,0.0032642175289083752,97.5,15.968717849254608,1.5299812451004982,241.0,-0.000870350276818499
356.18,0.011981819856737274,505.00000000000045,143360,14,0.04550414756360639,-1.3411045074462891e-08,466,0.1723388671875,0.0025178745055669085,100.0,15.968717688322068,1.3161936558783054,239.25,-0.0017239531924133189
357.92,0.012574651866816566,477.5000000000002,153600,15,0.04785236865304196,-4.8428773880004884e-09,467,0.1923583984375,0.0027854714251020598,125.0,15.968717819452285,1.4142021805047988,234.25,-0.001215742473868886
351.86,0.012306636152788996,302.5000000000002,163840,16,0.0458478520671475,4.8428773880004884e-09,466,0.1619384765625,0.002698683581684236,125.0,15.968717783689499,1.3840486951172353,224.75,-0.001302007379126735
356.32,0.012747891457911465,300.0,174080,17,0.049276715788584884,-2.9802322387695314e-09,467,0.18388671875,0.002742720771493623,125.0,15.968717688322068,1.3713152572512626,231.0,-0.0006484701785666403
353.86,0.012287231636946672,327.5000000000002,184320,18,0.0490798675163896,3.7252902984619143e-10,468,0.1567138671875,0.0023516687835865467,125.0,15.96871770620346,1.517085313796997,231.0,-0.0007574956351163564
358.7,0.011550997878293856,500.0,194560,19,0.05099233445751117,-1.2665987014770507e-08,469,0.204150390625,0.0030390100481668013,122.5,15.96871775984764,1.5651866622269153,245.0,-0.001241484820639016
357.88,0.012307303317356855,527.5000000000002,204800,20,0.051821308532895904,2.16066837310791e-08,469,0.181591796875,0.0024797194856091666,100.0,15.968717819452285,1.6279597729444504,258.5,-0.0007822983996447874
349.04,0.012822564317320938,387.5000000000011,215040,21,0.05715831375565407,-5.587935447692871e-09,467,0.228515625,0.003081638539060805,75.0,15.968717801570893,1.6658250749111176,235.75,-0.0012553460710478248
345.01,0.011235762033902575,352.5000000000002,225280,22,0.0553945235852261,3.3527612686157227e-09,467,0.198779296875,0.0029846324477603046,75.0,15.968717795610427,1.664088711887598,225.5,-0.001202749517688062
336.46,0.007336562871319075,327.5000000000002,235520,23,0.05037957834967893,-1.2665987014770507e-08,467,0.2258056640625,0.003286397234228389,50.0,15.968717300891877,1.6661700427532196,191.75,-0.0006544121104525402
331.99,0.007664518652200058,377.5000000000002,245760,24,0.05267086085784141,7.450580596923828e-09,467,0.2168212890625,0.003169002492495565,25.0,15.968717497587203,1.6591211177408696,169.25,-0.0007805304794601398
325.01,0.009531198866898193,425.0,256000,25,0.05207742340157813,-6.332993507385254e-09,466,0.2042236328125,0.00280455783739626,25.0,15.96871777176857,1.6601744204759599,155.5,-0.0009500063915766077
328.88,0.009890904073108686,335.00000000000085,266240,26,0.05582520086560279,-8.568167686462402e-09,466,0.26708984375,0.004075590167099108,25.0,15.968717867136002,1.6485716871917249,160.0,-0.0015997296326531797
341.26,0.00846927540127922,475.0,276480,27,0.05485544558194229,4.8428773880004884e-09,467,0.265966796875,0.0032307389313814385,47.50000000000001,15.968717187643051,1.6520393654704093,193.0,-0.0016588714373938275
339.5,0.007105105991377059,315.00000000000125,286720,28,0.051487622275355346,-1.4901161193847657e-09,467,0.223876953125,0.0030233640124379237,25.0,15.968717390298844,1.6317956671118736,173.5,-0.0011259424944000784
331.17,0.005813057012437639,277.5000000000002,296960,29,0.05238729015771778,1.7508864402770997e-08,465,0.2531005859375,0.0039533977157589105,0.0,15.968716621398926,1.6209812827408314,139.75,-0.0010170755253056996
328.08,0.008731805231946055,275.0,307200,30,0.052795039619219684,-1.4901161193847656e-08,465,0.1948974609375,0.002737886802395906,25.0,15.968717700242996,1.6055229395627975,137.5,-0.0009878068522084504
327.07,0.012007472284312825,275.0,317440,31,0.05566064626323548,-7.450580596923828e-09,464,0.1921875,0.002702756932944794,25.0,15.968717950582505,1.56035907715559,139.75,-0.001440031622769311
