approx_kl_divergence,fps,value_loss,explained_variance,P01:episode_rewards,episode_length,epoch_idx,policy_entropy,advantage_norm,grad_norm,PMM:episode_rewards,clip_fraction,policy_loss,P09:episode_rewards,frames
1590576.1581828825,246,204189627.68288916,-0.1773731678724289,200.0,347.53846153846155,1,1.5576283331960439,15.968718141317368,328248308.25926644,314.4230769230769,0.25341796875,0.020012055004190187,425.0,10240
0.0024102686997139245,234,0.016965122605324724,2.5331974029541015e-08,200.0,349.0175438596491,2,1.5862754218280315,15.968718075752259,0.05822132180475749,292.5438596491228,0.1588623046875,-0.0012437721808964853,375.0,20480
0.0020502888117562177,237,0.01803735810681246,-2.2351741790771484e-08,192.50000000000006,344.8636363636364,3,1.5251559428870678,15.96871812939644,0.05933163805431583,290.625,0.14306640625,-0.001246148742211517,375.0,30720
0.002563485221810424,237,0.016933686054835563,-1.862645149230957e-08,197.5,351.64,4,1.5511882908642292,15.968717861175538,0.05855292731492969,289.75,0.1769287109375,-0.0018634594984177967,375.0,40960
0.0026184001261526646,237,0.015155424037948251,5.215406417846679e-09,150.0,351.51,5,1.6033442795276642,15.968717843294144,0.05665432305591357,273.75,0.1916015625,-0.0014285340072092366,375.0,51200
0.002390883932093857,239,0.015735737161594442,-2.9802322387695314e-09,147.5,352.89,6,1.5870602063834667,15.968717926740647,0.0576122564818896,270.25,0.1608642578125,-0.0014633567705459427,380.00000000000045,61440
0.002589434525583556,240,0.0158289834173047,-8.568167686462402e-09,147.5,359.72,7,1.5495311990380287,15.968717950582505,0.05710356807987789,277.25,0.166796875,-0.0015867854512180203,452.50000000000017,71680
0.0024393825971117168,242,0.017312419437803327,-5.587935447692871e-09,150.0,356.24,8,1.5429997630417347,15.968718081712723,0.06136668748659306,283.75,0.16162109375,-0.0013040974998148158,485.00000000000085,81920
0.0022606145612144245,242,0.018617041019024328,-2.1979212760925294e-08,172.5,356.13,9,1.432399644702673,15.968717992305756,0.05404738483971835,294.75,0.1422607421875,-0.0012973709533980581,452.50000000000017,92160
0.0022578992894409567,242,0.01742166107869707,7.82310962677002e-09,175.0,353.35,10,1.3364238612353803,15.968718111515045,0.052170581985326626,298.5,0.133154296875,-0.0010499284908291884,425.0,102400
0.0020506205385231622,242,0.016023575080907904,-4.8428773880004884e-09,175.0,354.28,11,1.3450619481503963,15.968718075752259,0.05369992175532475,296.5,0.1361572265625,-0.001180817601562012,425.0,112640
0.002182431828885001,243,0.016480750366463327,-1.1175870895385742e-08,175.0,356.5,12,1.3812034741044044,15.968717861175538,0.05051115042013891,287.75,0.124365234375,-0.0009577316875947872,375.0,122880
0.002435222053833286,244,0.01702436951745767,-2.9802322387695314e-09,175.0,354.81,13,1.3783695720136167,15.96871793270111,0.05576375183975697,272.5,0.139208984375,-0.0009414723193913232,375.0,133120
0.00240924763232897,244,0.017061294859740884,9.313225746154785e-09,175.0,354.78,14,1.416155532747507,15.968717896938324,0.058118267096384416,276.75,0.1684814453125,-0.0012902260881674011,352.5000000000002,143360
0.0018447670008953309,243,0.012000452599022538,1.3783574104309083e-08,147.5,354.11,15,1.3648546546697617,15.968717652559281,0.04591262161815099,256.5,0.114306640625,-0.0007904288002464454,352.5000000000002,153600
0.0028568124923140205,242,0.013122991629643366,1.862645149230957e-09,125.0,359.08,16,1.3900870069861413,15.968717920780183,0.04859988734047695,253.0,0.140673828125,-0.0007622277313203085,377.5000000000002,163840
0.0018847729076242104,244,0.014336314554384444,7.82310962677002e-09,75.0,366.21,17,1.3076619327068328,15.96871775984764,0.05101490499840865,256.75,0.130322265625,-0.0007099008631485049,505.00000000000045,174080
0.002681156830925602,244,0.014135103799344507,4.8428773880004884e-09,75.0,363.14,18,1.3090781465172767,15.96871789097786,0.04930551829904519,244.75,0.1383056640625,-0.0010099397266458254,450.0,184320
0.001889240294008232,244,0.015132553296280094,-2.6077032089233397e-09,100.0,368.06,19,1.3621006645262241,15.968717968463897,0.0529013408900218,263.5,0.12890625,-0.0007445956689480226,455.0000000000004,194560
0.002244066938465039,244,0.01611094033869449,1.4901161193847656e-08,125.0,367.75,20,1.2915103241801262,15.968718034029006,0.05110057542649362,270.0,0.1452392578125,-0.001234926156757865,427.5000000000002,204800
0.0021840811829520134,243,0.015858087781816722,1.601874828338623e-08,150.0,373.82,21,1.2874282218515873,15.968717926740647,0.05494857418178563,275.0,0.147216796875,-0.001372173064009985,402.5000000000002,215040
0.0021668451578022996,243,0.01605029696947895,1.6763806343078613e-08,172.5,378.49,22,1.2767651371657849,15.968718016147614,0.05154160805877722,290.0,0.13310546875,-0.0009486936134635471,432.5000000000006,225280
0.0017022958471784478,244,0.01478262990131043,-1.1920928955078126e-08,175.0,386.71,23,1.3030373185873032,15.968717867136002,0.04605348829812266,310.75,0.094775390625,-0.0007377356250799494,527.5000000000002,235520
0.002025514258457406,244,0.01386511696036905,8.940696716308593e-09,175.0,390.9,24,1.2436942547559737,15.968717950582505,0.04698395577309044,299.0,0.11904296875,-0.0009473739715758711,525.0,245760
0.0020113811458998044,244,0.014752993480942677,-5.587935447692871e-09,150.0,391.48,25,1.2046810373663903,15.968717956542969,0.05123120191666899,285.25,0.1201171875,-0.0005391908118326683,525.0,256000
0.0022289718689307847,244,0.01328766293809167,9.685754776000977e-09,175.0,401.61,26,1.1640552535653115,15.968717795610427,0.04733541715972118,284.5,0.1265625,-0.0008037152714678086,527.5000000000002,266240
