P09:episode_rewards,policy_entropy,epoch_idx,explained_variance,episode_length,P01:episode_rewards,fps,policy_loss,advantage_norm,value_loss,grad_norm,frames,PMM:episode_rewards
3.0,1.2768043220043181,1,-1.2626905781030655,164.90697674418604,0.0,236,-0.10267648124368861,3.660880639590323,0.4144071866246304,12.715430117238714,8000,0.9767441860465116
2.0,1.374126296043396,2,-0.5789784079790116,163.09183673469389,0.0,234,-0.00044061371125280857,0.6805205334164203,0.0060539685461299085,0.108210965858436,16000,0.9183673469387755
2.0,1.3778238964080811,3,-0.37954373061656954,166.88,0.0,239,0.0013549479594803415,0.8113191639259457,0.008222342095364184,0.11618265767299579,24000,1.03
3.0,1.3787027776241303,4,-0.3202404910326004,175.41,0.0,242,0.0004723523335997015,0.9287926092743873,0.009316429313785193,0.1261103463653478,32000,1.24
3.0,1.3736162102222442,5,-0.24197764873504637,171.02,0.0,248,-0.00038934961194172504,0.8376041014678777,0.007974447749923001,0.10387555825226119,40000,1.12
3.0,1.3820327961444854,6,-0.48809213161468507,172.79,0.0,249,0.0006065209780354053,0.917594355493784,0.009025870243312965,0.1284990538991081,48000,1.18
3.0,1.3824697434902191,7,-0.3112929254770279,180.01,0.0,249,-0.0004078184781246819,0.7967622269317508,0.007320211045108636,0.09456570684667127,56000,1.32
4.0,1.3846980440616607,8,-0.13618413865566253,183.71,0.0,251,0.0009409342834260315,0.9733550784923136,0.009715578354412174,0.11730092164602463,64000,1.39
3.0,1.380436781644821,9,-0.19747889757156373,179.4,0.0,250,-0.0008676858176477253,0.8926347401738167,0.008979152088516002,0.11934511562164753,72000,1.31
4.0,1.3745826256275178,10,-0.12742584109306335,182.16,0.0,253,0.0010651180020067842,1.02751630961895,0.010533134225697722,0.11410623206818704,80000,1.44
5.0,1.3744357132911682,11,-0.12454008817672729,195.3,0.0,254,0.0007539612281834706,1.015878059491515,0.01083597354034282,0.12183175287529402,88000,1.78
