clip_fraction,advantage_norm,epoch_idx,episode_length,explained_variance,value_loss,P09:episode_rewards,grad_norm,policy_entropy,fps,policy_loss,PMM:episode_rewards,P01:episode_rewards,approx_kl_divergence,frames
0.219482421875,15.968718194961548,1,360.4,-0.34179621413350103,1430661303.550383,250.0,1290216312.4136305,0.2693641232128709,191,0.06486250317684608,176.0,125.0,2103029.8849532874,10240
0.161474609375,15.968717485666275,2,367.19642857142856,-7.078051567077636e-09,0.012080561573930027,250.0,0.14435135890697773,0.9057028591632843,188,0.0015696409463998862,172.32142857142858,125.0,0.007257978600591741,20480
0.179638671875,15.968717658519745,3,367.44444444444446,-6.332993507385254e-09,0.01183417504071258,250.0,0.08761977414594306,1.2092484451830388,201,-2.2021918994141743e-05,179.93827160493828,125.0,0.0034179411162767793,30720
0.1868896484375,15.968717950582505,4,370.42,-7.450580596923829e-10,0.0108456859816215,250.0,0.06871854852221539,1.3079250372946263,209,-0.00014426402412937023,181.75,125.0,0.004053555353038973,40960
0.17724609375,15.968717831373215,5,385.08,-1.4901161193847657e-09,0.010415638422091433,275.0,0.053503344101090214,1.2443106956779957,216,-0.0005856195915839635,205.5,125.0,0.0032810586274422348,51200
0.1623291015625,15.96871770620346,6,383.99,1.3783574104309083e-08,0.010262498537122156,275.0,0.036878156676203734,1.183712463825941,219,-0.00020600689458660781,203.5,125.0,0.0036033429869689825,61440
0.168408203125,15.968717843294144,7,385.99,1.5273690223693846e-08,0.011881002457812428,275.0,0.03657686995590955,1.1867969289422036,220,-0.001508073946024524,211.75,125.0,0.0031300051540938513,71680
0.1469482421875,15.96871789097786,8,379.93,-5.587935447692871e-09,0.012094023560348433,275.0,0.03764926419871343,1.125769916549325,223,-0.000485275020764675,209.75,125.0,0.0030717135114741723,81920
0.1188720703125,15.968717783689499,9,363.36,8.940696716308593e-09,0.01062921717602876,275.0,0.03226573425290387,1.074432560801506,223,-0.0002629061636980623,208.25,125.0,0.0027111929524892275,92160
0.1815673828125,15.968717747926712,10,355.46,-4.470348358154297e-09,0.011682048226066399,275.0,0.048005209420945216,1.4150676161050797,224,-0.0006743227968399879,214.5,125.0,0.003021764974528196,102400
0.2176513671875,15.968717682361603,11,346.46,6.7055225372314455e-09,0.009993458226017538,252.50000000000023,0.04682048881526269,1.5048385925590992,224,-0.0009430314330529654,192.75,97.5,0.003449447732721467,112640
0.159423828125,15.968717819452285,12,341.88,-4.470348358154297e-09,0.011520786175969988,275.0,0.043396563301236236,1.3791651740670203,223,-0.0009965705836293636,193.5,75.0,0.0025774851991741342,122880
0.1446533203125,15.96871766448021,13,340.51,2.2724270820617674e-08,0.013033698619983625,275.0,0.042764041996251285,1.2434238545596599,224,-0.001114949725160841,188.0,72.50000000000001,0.00271029273711747,133120
0.099365234375,15.968717938661575,14,344.35,-1.3411045074462891e-08,0.011457112912466982,252.50000000000023,0.03219049524490484,1.0508318182080985,225,-0.0007541171831690008,191.5,100.0,0.0018112613678397337,143360
0.126513671875,15.96871782541275,15,341.89,1.2293457984924316e-08,0.012968112364615082,250.0,0.03561477712259465,1.0289267849177122,225,-0.0008018970343982801,195.25,125.0,0.003032875702888305,153600
0.0958740234375,15.968717861175538,16,345.32,1.080334186553955e-08,0.012314875307492913,250.0,0.033212252364491254,1.0755087349563837,227,-0.0005681787992216414,199.0,125.0,0.0017984741427937933,163840
0.0982421875,15.968717914819717,17,350.45,7.82310962677002e-09,0.012470023220521398,275.0,0.03868848059187348,1.089246991276741,227,-0.0003939854897907935,208.75,125.0,0.0015449566058663323,174080
0.1219970703125,15.968717658519745,18,353.5,-5.215406417846679e-09,0.011024452435594866,275.0,0.03539062816835869,1.089378945529461,228,-0.0006393616888090037,206.25,125.0,0.0024042195425749923,184320
0.119873046875,15.968717789649963,19,355.1,-1.7136335372924803e-08,0.012680902695137775,300.0,0.04242310565408698,1.206645704805851,228,-0.00029168197143008,207.75,125.0,0.001967592816299657,194560
0.18203125,15.968717753887177,20,355.21,-4.470348358154297e-09,0.011476846574805678,277.5000000000002,0.04452473396091984,1.3130111508071423,228,-0.0009719114121253369,208.75,125.0,0.0031981629515371425,204800
0.204638671875,15.968717676401138,21,351.69,5.587935447692871e-09,0.009598615036520642,300.0,0.04634095256699063,1.409512896835804,229,-0.0006078176127630285,194.25,125.0,0.003449279904685909,215040
0.2349365234375,15.96871770620346,22,346.1,-3.7252902984619143e-10,0.00774140608318703,250.0,0.04548736780383321,1.4260081596672536,230,-0.0011479339218567475,166.5,75.0,0.0034867837825856896,225280
0.187109375,15.968715441226959,23,337.59,4.470348358154297e-09,0.007751305593615143,227.5000000000002,0.04548091574873446,1.4047490254044532,230,-0.0008956178251537494,136.5,50.0,0.0027713050512147676,235520
0.1867431640625,15.968716782331466,24,340.82,1.1548399925231934e-08,0.006502394419082691,175.0,0.04936052404279801,1.5208859398961068,230,-0.0004097969878785079,122.5,50.0,0.0026016040160470764,245760
0.2367919921875,15.96871709227562,25,336.22,-2.5331974029541015e-08,0.006592291964614106,175.0,0.04800310338429782,1.5008471831679344,231,-0.0011707570454746019,111.0,47.50000000000001,0.0037948822151292914,256000
0.2585205078125,15.968717819452285,26,344.88,8.195638656616212e-09,0.008275226304976967,200.0,0.051294187313133496,1.4678083471953869,232,-0.00111755021935096,127.25,47.50000000000001,0.0037334932984549596,266240
0.205712890625,15.968717581033706,27,344.95,0.0,0.00875539187436516,200.0,0.051560900008623435,1.5512404538691045,232,-0.0012113041488191812,138.5,25.0,0.002959151760273926,276480
