episode_length,explained_variance,P09:episode_rewards,epoch_idx,P01:episode_rewards,fps,advantage_norm,frames,grad_norm,policy_loss,value_loss,policy_entropy,PMM:episode_rewards
178.88888888888889,-0.42311902701854703,3.0,1,0.0,344,2.179404849149287,8000,3.236798134967608,-0.02182151593035087,0.06902975342338323,1.2964994717389344,1.3611111111111112
191.79746835443038,-0.0005338746309280396,4.0,2,0.0,240,1.485495320111513,16000,0.23104727537221956,-0.0014722880204499234,0.01794611682969844,1.3732810485363007,1.7088607594936709
200.63,-0.08374843657016755,4.1000000000000085,3,0.0,254,1.265439782552421,24000,0.2156947964923493,0.0024731470516417176,0.013846152648129646,1.3802988946437835,1.87
184.9,-0.11706353724002838,4.0,4,0.0,265,1.058621875271201,32000,0.19770857763086586,0.0010310391627717764,0.011706766001370852,1.3821448063850403,1.42
178.1,-0.03364790976047516,3.0,5,0.0,273,1.1847505309060216,40000,0.20229091090296986,0.000421795251313597,0.013477923821928925,1.3831074261665344,1.3
176.87,0.002100735902786255,3.0,6,0.0,279,1.1520201639831067,48000,0.1807886529579684,0.003043267976026982,0.012673315859647118,1.3827944684028626,1.31
181.22,-0.017234520316123964,3.1000000000000085,7,0.0,284,1.4218303183466197,56000,0.3081746209469247,0.0015712604852160439,0.01746856885867601,1.3770121538639069,1.39
194.04,0.053085291385650636,4.0,8,0.0,285,1.5723217111825942,64000,0.5073362924892391,-0.0017144333373289556,0.02605274818910402,1.3662633943557738,1.68
195.96,0.22475025534629822,4.0,9,0.0,288,1.2365168775618076,72000,0.29812422010800627,-0.0012903566547902302,0.012619717930501793,1.356991503238678,1.77
188.96,0.44271626710891726,4.0,10,0.0,288,1.5676929396390915,80000,0.639078049460242,-0.0011342543212231248,0.031236640444258227,1.369680644273758,1.55
183.59,0.2478794652223587,4.0,11,0.0,288,1.2044578367471694,88000,0.40549045942832607,-0.006159904236556031,0.01461337854838348,1.3438856430351733,1.44
171.32,0.4602142971754074,3.0,12,0.0,289,1.395456485003233,96000,0.5694026528006281,-0.009071150769887026,0.022732317488116677,1.3660542178153992,1.17
164.03,0.23600173771381378,3.0,13,0.0,289,1.3564802123606206,104000,0.435818539258522,-0.0015474325360264629,0.01841573469544528,1.347977784872055,1.01
166.29,0.5649211388826371,3.0,14,0.0,289,1.3433541774749755,112000,0.4698360536376316,-0.008543205366586336,0.01564512156706769,1.3712292206287384,1.1
175.94,0.6574589210748673,3.0,15,0.0,288,1.2904791733622551,120000,0.3911172761337652,-0.0022913796416833064,0.012321123918518424,1.3761609148979188,1.31
180.76,0.6663564151525497,4.0,16,0.0,289,1.3214844524860383,128000,0.40927029788046787,-0.002425943759662914,0.013068820317857898,1.3640747499465942,1.36
183.06,0.729566084742546,4.0,17,0.0,289,1.1957889467477798,136000,0.3338317968097946,-0.0005797601316589862,0.010535043755080551,1.3659952902793884,1.37
