explained_variance,PMM:episode_rewards,policy_loss,epoch_idx,fps,P01:episode_rewards,P09:episode_rewards,frames,grad_norm,episode_length,advantage_norm,policy_entropy,value_loss
-1.4617883545160293,1.2857142857142858,0.02939442405709997,1,258,0.0,4.0,8000,7.599266311144996,180.45714285714286,2.7322568929940463,1.2926543103903532,0.1897230154061617
-0.3335793381929398,1.4,0.001699342527135741,2,158,0.0,4.0,16000,0.11232690421488499,184.1529411764706,0.8304727991297841,1.3830171155929565,0.008222586836182018
-0.45271772384643555,1.3,0.0007544145810061309,3,183,0.0,3.0,24000,0.09211628707415796,178.65,0.7999763382226228,1.3781057965755463,0.0077718244193692955
-0.2624069058895111,1.01,-0.00033293224056251346,4,198,0.0,2.0,32000,0.08707653374965826,166.39,0.7483460938930512,1.3713669490814209,0.0069072415408390955
-0.4331821519136429,1.0,1.4866520650684834e-05,5,208,0.0,2.0,40000,0.09145045791101485,164.22,0.7278857550397515,1.3774852645397186,0.00658372717290149
-0.4868458014726639,1.05,0.0024867665696365294,6,215,0.0,3.0,48000,0.1329938556311756,167.72,0.8953084264136851,1.3804290068149567,0.008982160656050836
-0.20024958848953248,1.24,-0.0005694466107524931,7,220,0.0,3.0,56000,0.13229830646644947,177.59,0.9841693006455898,1.3791935086250304,0.010029375423437159
-0.24980720281600952,1.42,0.0022238981336704456,8,225,0.0,3.0,64000,0.12372532425704373,183.04,0.9738528994098306,1.3840204524993895,0.009713006882975606
-0.17169205367565155,1.44,0.002102796939434484,9,230,0.0,4.0,72000,0.14001784378005966,185.6,1.066270950138569,1.3800214874744414,0.010871440221344529
-0.23381621301174163,1.8,-0.0008090613581589423,10,233,0.0,4.0,80000,0.14694994936013445,196.74,0.9235779421031475,1.3817076122760772,0.008482522727645119
-0.3419926244020462,1.63,-0.00011645185761153698,11,236,0.0,3.1000000000000085,88000,0.12395379889840197,189.13,0.828173721395433,1.3804637265205384,0.00807437250869043
-0.29941797494888306,1.56,0.0007934122366168594,12,238,0.0,3.1000000000000085,96000,0.1512424658362112,187.63,0.994316784478724,1.3818556559085846,0.01040407017339021
