frames,policy_loss,grad_norm,PMM:episode_rewards,advantage_norm,policy_entropy,episode_length,P01:episode_rewards,fps,value_loss,P09:episode_rewards,epoch_idx,explained_variance
224000,-0.001174310584901832,0.19294253408872866,1.97,0.7214666125178337,1.3431379771232606,204.94,0.0,291,0.0040130632484215315,5.0,28,0.9560021424293518
232000,-0.00047100745199713857,0.20967606093070532,2.22,0.8682598039507866,1.3481139421463013,212.39,0.0,291,0.005970568253542296,5.0,29,0.9366266095638275
240000,-0.0008177653680468211,0.18880319049899533,2.4,0.7245404131710529,1.3480852472782134,217.04,0.0,291,0.0043620830340660175,6.1000000000000085,30,0.9625911527872085
248000,-0.000263288814749103,0.21571947337232344,2.31,0.8191698491573334,1.353242620229721,215.95,0.0,292,0.005038227846671362,5.1000000000000085,31,0.9506541210412979
256000,-0.0010427856110072752,0.21768880530632317,1.9,0.8365553882718086,1.3609538865089417,200.81,0.0,292,0.005678340357262641,5.0,32,0.9156632083654404
264000,-0.0016027820269664517,0.18651999118114237,1.8,0.7048323713243008,1.3399377608299254,198.1,0.0,292,0.0038259983839816413,5.0,33,0.965565185546875
272000,-0.0003130561685975408,0.1981754080234827,1.98,0.7986283004283905,1.355604338645935,203.61,0.0,292,0.00517416525981389,6.0,34,0.9437111651897431
280000,-0.000705273047205992,0.17361350853206087,2.19,0.7397462150454521,1.3629681479930877,209.89,0.0,292,0.004469987673510332,7.200000000000017,35,0.9456006121635437
288000,-0.0014807840177672915,0.22115303021158256,2.04,0.8758379438519478,1.3652414321899413,205.51,0.0,293,0.0062287285173079,6.0,36,0.921231461763382
296000,0.0007281209341090289,0.157979611281519,2.1,0.6671041631698609,1.352927838563919,209.72,0.0,293,0.0035036156784917696,5.0,37,0.9705278557538987
304000,-0.002088745557121001,0.19359887221307787,2.29,0.7876674371957779,1.345138853788376,216.78,0.0,293,0.004699182383483276,5.0,38,0.9482576185464859
312000,-0.00034086370338627604,0.1644636078607291,2.25,0.7142017242312432,1.3483696627616881,211.61,0.0,294,0.003916572028538212,6.1000000000000085,39,0.9623083382844925
320000,0.00039554084476549177,0.2051688664546191,2.62,0.9058218151330948,1.3607656824588776,218.89,0.0,294,0.006323511952068657,9.0,40,0.9311662936210632
328000,-0.0004041729733580723,0.18645490057869954,2.77,0.8153999310731888,1.366547075510025,224.59,0.0,295,0.0050067304918775335,9.100000000000009,41,0.9425793886184692
336000,-0.00026436842454131694,0.18825179062449063,2.76,0.752971238642931,1.371753660440445,222.56,0.0,295,0.0046472622189321555,9.100000000000009,42,0.9547844034433365
344000,-0.001881995701114647,0.21934119213066658,2.15,0.8502658331394195,1.3649116623401643,205.62,0.0,295,0.005536847295006737,5.1000000000000085,43,0.9499453926086425
352000,0.0004707616227824474,0.2410261693235794,2.58,0.9263901498913765,1.3669392251968384,224.24,0.0,295,0.006834704580833204,7.0,44,0.9361148124933243
360000,-0.0008146585973736365,0.19980142365203654,2.46,0.8406335267424584,1.3699926984310151,219.36,0.0,295,0.0056006450008135285,6.1000000000000085,45,0.9208678102493286
368000,-0.0012491571954888058,0.24108379404165425,1.99,0.9870270863175392,1.3710316252708434,203.75,0.0,294,0.007333282266044989,5.1000000000000085,46,0.9176726508140564
376000,-0.0017781989971990698,0.2814508990055416,2.11,1.1547498002648353,1.3697555696964263,209.24,0.0,293,0.009773868029005825,5.1000000000000085,47,0.9013595408201218
384000,-0.001563732578069903,0.22887678498433914,2.34,0.9047665750980377,1.3568210065364839,217.41,0.0,293,0.006182990173692815,5.1000000000000085,48,0.9282750719785691
392000,-0.002489366602530936,0.18896049856656028,2.12,0.699615384042263,1.3440274155139924,211.14,0.0,293,0.003967410391778685,5.0,49,0.9653750944137574
400000,-0.00036662686994532123,0.22700505119808023,2.07,0.9543105039000511,1.3589676570892335,205.38,0.0,293,0.00656308745557908,5.0,50,0.9284053498506546
408000,-0.001105990976357134,0.2598463230554314,2.32,1.0029799661040306,1.361591136455536,215.34,0.0,293,0.007782223278481979,5.0,51,0.8976736229658127
416000,-0.0001780672885797685,0.2649630843532177,2.13,1.0372730126976968,1.353932362794876,208.25,0.0,293,0.008020163807086646,5.0,52,0.9019410866498947
424000,-0.00026009604131104424,0.24736547881393822,2.4,0.9693750768899918,1.351460565328598,218.4,0.0,293,0.007202943655429408,7.0,53,0.9236717230081558
432000,-0.0010608232684899122,0.20313822054966543,2.56,0.7946675989031792,1.3585097563266755,225.56,0.0,294,0.004645290423068218,7.1000000000000085,54,0.9544300758838653
440000,-0.001942500941513572,0.24384080544150286,2.3,0.9317018541693688,1.3535821402072907,218.55,0.0,294,0.006439168800716289,5.0,55,0.9377346634864807
448000,-0.0008154345164075494,0.24582025947946515,2.26,1.0126699110865593,1.3646098756790161,215.01,0.0,294,0.00772763010347262,5.0,56,0.9184410613775253
456000,-6.156773190014065e-05,0.24606891958424548,2.19,1.0026139986515046,1.363844723701477,211.73,0.0,294,0.0077199315896723415,5.0,57,0.90895214676857
464000,-0.0006396419217344373,0.2663139490094529,2.52,1.0580639931559563,1.36068110704422,221.29,0.0,294,0.008137128067901359,5.0,58,0.9156446450948715
472000,-0.002523870985460235,0.32673170845495003,2.44,1.2574154782295226,1.3556062996387481,219.19,0.0,294,0.011661368736531586,5.0,59,0.8644113552570343
480000,-0.0015935881483892444,0.2540590534017412,2.6,1.0119538313150407,1.345874274969101,223.81,0.0,294,0.008148560533300042,5.0,60,0.8709415149688721
488000,-0.0039066858112346385,0.3322733422331967,2.66,1.300954223871231,1.3276560485363007,226.83,0.0,294,0.012188863690244033,6.0,61,0.8623200845718384
496000,-0.0001485821686219424,0.27637833553516344,2.71,1.1584886354207993,1.3357257390022277,232.1,0.0,294,0.009945382698788308,6.0,62,0.8801299726963043
504000,-0.002583474034909159,0.26069878298204435,2.61,1.0296468502283096,1.3404039311408997,229.49,0.0,294,0.007487763006938621,5.0,63,0.9168847131729126
512000,-0.000215177382924594,0.28081689007269495,2.67,1.1113376000523567,1.3391792106628417,229.62,0.0,293,0.008999095888575538,6.0,64,0.9172212332487106
520000,0.00010267776693581254,0.2169962455057684,3.23,0.9064641749858856,1.3276114273071289,246.82,0.0,293,0.006452036360278726,8.100000000000009,65,0.9365326070785522
528000,0.0012893268966581673,0.22925270878998183,3.43,0.9439013934135437,1.3395365941524506,252.79,0.0,294,0.006627397444099188,9.0,66,0.9335055756568909
536000,-0.001039008807274513,0.28670263811861696,3.85,1.1983861315250397,1.343305469751358,269.02,0.0,294,0.010386181474896148,9.0,67,0.8863592779636383
544000,-0.0044617540819308485,0.301615166729748,3.45,1.1826268872618675,1.3422638428211213,255.58,0.0,294,0.01028047720552422,9.0,68,0.9020799160003662
552000,-0.001514323207666166,0.2577211932091615,2.86,1.0549624547362328,1.342365424633026,234.68,0.0,294,0.008058581129880622,6.0,69,0.9117488378286361
560000,-0.002082784416852519,0.24904782619148605,2.52,1.0022895565629006,1.3443289029598235,224.07,0.0,294,0.007391931083984673,6.0,70,0.9269474041461945
568000,-0.00037915208682534287,0.267561549497795,2.83,1.1332828629016876,1.3364235484600067,235.1,0.0,294,0.009147847857093439,6.0,71,0.9070290452241898
576000,-0.000651436472471687,0.22738987213847278,3.0,0.9432281494140625,1.3280012941360473,239.13,0.0,294,0.006718601734610275,9.0,72,0.9315165591239929
584000,-0.000744759586523287,0.23311542856203435,2.89,0.9958850514888763,1.3329805970191955,235.97,0.0,294,0.007205563978059218,7.200000000000017,73,0.9149645972251892
592000,-0.0009153329522814602,0.2921680939951558,3.08,1.2207220211625098,1.343491586446762,239.3,0.0,294,0.010784720006631688,9.0,74,0.8921609544754028
600000,-0.00281108295195736,0.2922510177156354,3.0,1.1631929820775986,1.3358339059352875,234.12,0.0,294,0.009534746204735711,9.0,75,0.9026269209384918
608000,-0.0029507330374326556,0.28961881241336507,3.48,1.2389940220117568,1.3298062622547149,253.38,0.0,294,0.010525521279778332,7.0,76,0.8791990023851395
616000,-2.115962270181626e-05,0.29685010152045804,2.77,1.1973939895629884,1.3277376675605774,231.06,0.0,295,0.009784813998267054,6.0,77,0.8917521756887435
624000,-0.00414459081745008,0.347058283928162,3.03,1.3969021224975586,1.3094543969631196,238.9,0.0,295,0.013371048017870635,6.0,78,0.839908327460289
632000,-0.0026043418853078037,0.3220915028944848,3.36,1.2253393852710723,1.2857966780662538,248.18,0.0,295,0.010271397710312158,8.100000000000009,79,0.8939152848720551
640000,-0.005463944224902662,0.36707818337128745,3.82,1.3331892704963684,1.285576606988907,263.0,0.0,295,0.012118816224392504,8.100000000000009,80,0.8808097153902054
648000,-0.0018656599550740793,0.2764536624022495,3.6,1.1047213047742843,1.2977375173568726,252.81,0.0,295,0.00840743608539924,7.0,81,0.9085352867841721
656000,-0.0017510436532393214,0.3259036483808022,3.21,1.2800850439071656,1.3000632953643798,233.67,0.0,295,0.011227366593666376,7.0,82,0.8901214665174484
664000,-0.0006354466769698774,0.2653137024920433,3.35,1.0990106728672981,1.3117715477943421,237.44,0.0,295,0.008473519299877807,7.0,83,0.9105316752195358
672000,-0.00018282094941241667,0.3283397865299404,3.64,1.2605967426300049,1.3150525712966918,248.47,0.9000000000000004,296,0.010770748781505973,8.0,84,0.8975876981019973
680000,-0.0016056360860238783,0.28863394480628896,4.05,1.1587985748052596,1.3156425428390504,265.11,1.0,296,0.009408117812126875,8.100000000000009,85,0.9012291741371155
688000,-0.0018841049598995595,0.28464807972559913,4.03,1.1917390114068984,1.3133130824565888,261.96,0.0,296,0.009741028269054368,9.0,86,0.8860550320148468
696000,-0.003084538722293928,0.33451216894890323,4.53,1.2999551540613175,1.2785544180870057,271.88,1.0,296,0.011837354646995663,9.0,87,0.8685898792743683
704000,-0.002270991443074308,0.2786302958364059,4.48,1.112567698955536,1.3169769370555877,269.79,0.0,296,0.008674395729321986,10.0,88,0.8995160925388336
712000,-0.003021982250502333,0.3009708179634102,4.2,1.22057371199131,1.3019819855690002,263.58,0.0,296,0.010248528541997075,10.0,89,0.8999361288547516
720000,-0.0018563893053214998,0.32535312221061086,4.37,1.281517367362976,1.303912091255188,271.1,0.0,296,0.01121268275892362,10.0,90,0.8770766484737397
728000,-0.004757005708524957,0.3202368166106356,4.13,1.2131642937660216,1.2983122420310975,262.03,0.0,297,0.010523491082713008,9.100000000000009,91,0.905665538907051
736000,-0.003643600547220558,0.3591766671104519,4.42,1.3929692804813385,1.3132394337654114,274.0,0.0,297,0.012879182740580291,9.100000000000009,92,0.8580110412836075
744000,0.0004913787363329902,0.3749277932016292,4.36,1.3812190651893617,1.3127893447875976,271.63,1.0,297,0.012946700679603964,9.0,93,0.8530912470817565
752000,-0.0052775883325375614,0.3666530786688275,4.74,1.4069684159755707,1.2749333024024962,285.53,1.0,297,0.013242750591598452,10.0,94,0.8590873467922211
760000,-0.0037708403036231177,0.390899948966718,4.68,1.5082278233766555,1.285373055934906,284.84,1.0,297,0.015078354845754802,9.0,95,0.8246511822938919
768000,-0.004032912809634581,0.45283074065610474,4.78,1.6471972596645355,1.267961826324463,288.46,1.0,297,0.01821285313460976,9.100000000000009,96,0.8105558341741562
776000,-0.005938394799013622,0.40069476718581604,4.99,1.5358768111467362,1.250882190465927,295.08,1.0,297,0.015647876849398015,9.0,97,0.8400006413459777
784000,-0.0030249652557540686,0.3396806947120213,5.19,1.3638979506492614,1.3044041299819946,303.0,2.0,298,0.012629487712401896,9.100000000000009,98,0.8581212049722672
792000,-0.0010707260551862418,0.3579732386691431,5.35,1.4125986623764037,1.2808410143852234,306.25,2.0,298,0.013840549890883267,10.0,99,0.8231473159790039
800000,-0.0021832474578695835,0.36668532772391615,5.61,1.4344776093959808,1.2998849821090699,312.81,2.0,298,0.014026438414584846,10.0,100,0.8376647704839706
808000,-0.0017302708787610755,0.39931170305353997,5.42,1.5167756086587907,1.2620154213905335,305.26,2.0,298,0.015178400427103042,10.100000000000009,101,0.8230608475208282
816000,-0.0014688928192481399,0.45594653628419946,5.65,1.6969239872694015,1.2598467028141023,319.51,2.0,298,0.019389871857129037,10.0,102,0.7675667083263398
824000,-0.0013681640454160516,0.38184980452571904,5.82,1.432507638335228,1.2907454323768617,325.28,2.0,298,0.013619946960825474,10.0,103,0.8426473677158356
832000,-0.004202459576772526,0.36736489530896405,5.95,1.4777332937717438,1.2719366681575774,328.49,2.0,298,0.014544807174243033,10.0,104,0.8255793625116348
840000,-0.004350795555874356,0.3446663693946356,6.32,1.3620721012353898,1.238550273180008,338.49,3.0,298,0.012482398806605488,10.100000000000009,105,0.8538478094339371
848000,0.0008889587277371902,0.39554761737092425,6.14,1.5545075285434722,1.2603716135025025,323.08,3.0,299,0.01623552748002112,11.0,106,0.8248203670978547
856000,-0.0053353887646198925,0.35526021380215794,6.31,1.445598739385605,1.2465108919143677,325.37,2.9000000000000004,299,0.014059490475337952,11.0,107,0.8327896803617477
864000,-0.004521162532037124,0.4031681277139757,6.33,1.5043956941366197,1.271606011390686,329.18,3.0,299,0.015231192857027055,10.100000000000009,108,0.8302215766906739
872000,-0.004478009173180908,0.4298853716901809,6.64,1.68198704123497,1.2451602339744567,338.64,3.0,299,0.01878512936877087,11.0,109,0.7907697170972824
880000,-0.003750753960193833,0.4088092755717366,6.96,1.5399245595932007,1.237307002544403,346.6,3.0,299,0.015973779398482293,12.0,110,0.8304945224523544
888000,-0.0029245058295782654,0.43134915371038607,7.12,1.6494365066289902,1.214030146598816,349.8,3.0,300,0.01801171678584069,11.100000000000009,111,0.784541220664978
896000,-0.006919405057560652,0.5079819648146203,7.64,1.685693855881691,1.2650677621364594,365.16,3.0,299,0.018503660415299238,12.0,112,0.8131670594215393
904000,-0.0005212338955607266,0.3816615383026779,7.11,1.4824558222293853,1.2779262530803681,356.24,3.0,299,0.014397262977436185,11.0,113,0.8391986262798309
912000,-0.0035053445160156114,0.4140179733905085,7.42,1.5697742408514024,1.2320883512496947,366.05,4.0,299,0.016247852281667294,11.0,114,0.8184734308719634
920000,-0.003372206647909479,0.4394919873628953,7.26,1.5754702967405319,1.2516127276420592,365.43,3.0,299,0.016752891135402025,11.0,115,0.7856233268976212
928000,-0.005848388518206776,0.47583417022003405,7.07,1.764468269944191,1.1978382563591004,371.36,3.0,299,0.020988103514537216,11.0,116,0.7477082830667495
936000,-0.0032954086689278485,0.39580419203339257,7.31,1.58778143286705,1.2513844096660613,374.36,3.0,299,0.01661155608482659,11.100000000000009,117,0.8103808575868606
944000,-0.0044963064062176275,0.407907122557892,7.32,1.54473342359066,1.2374251079559326,374.43,3.0,299,0.015585616142489015,11.100000000000009,118,0.8340763068199157
952000,-0.0018106892294599674,0.4349179154068674,7.08,1.5732927697896957,1.2126147055625915,363.84,3.0,299,0.016529303872957826,11.0,119,0.809956721663475
960000,-0.007074270693265134,0.48492166263612413,7.32,1.769063937664032,1.1655784916877747,359.96,3.0,299,0.020460186791606248,12.0,120,0.7827564412355423
968000,-0.0021597840861068106,0.49121764743626023,7.79,1.7993962597846984,1.2019270324707032,368.12,3.0,299,0.021095496043562888,13.0,121,0.7434759366512299
976000,-0.007841538527281955,0.4742000128916072,7.99,1.7493547582626343,1.2210610115528107,381.37,4.0,299,0.01997853130567819,13.0,122,0.7742763358354569
984000,-0.007230653555088793,0.46443152905760116,8.79,1.7461708307266235,1.2348223435878753,399.46,4.0,300,0.02022367952391505,14.100000000000009,123,0.7644865703582764
992000,-0.00858598991879262,0.5344318859158911,8.99,1.87547709941864,1.1726392102241516,414.5,4.0,300,0.022976677492260934,14.0,124,0.7471342599391937
1000000,-0.0017618056770879775,0.44857096168258664,9.22,1.74902237534523,1.2012860798835754,428.15,4.9,300,0.019988873214460908,14.100000000000009,125,0.7902850133180618
1008000,-0.002282434009248391,0.4664674601547301,9.41,1.699838714003563,1.2093674147129059,433.72,5.9,300,0.019101230527739974,14.100000000000009,126,0.7623501235246658
1016000,-0.0030925271572778,0.39988841346673515,9.26,1.5590460306406022,1.2332099330425264,424.58,5.9,300,0.015829230831004678,14.0,127,0.8310712045431137
1024000,-0.005356501677306369,0.5120516035478375,9.29,1.8053600585460663,1.1862952971458436,428.55,6.0,300,0.021329841897822915,14.0,128,0.7436329782009125
1032000,-0.003020224282226991,0.4706836450536915,9.46,1.7503286105394364,1.2169281578063964,437.92,6.0,300,0.020242823036387563,14.0,129,0.7836196190118789
1040000,-0.005745208252483281,0.4606290516684502,9.48,1.6025408053398131,1.2149181687831878,439.14,6.0,300,0.01690466919913888,14.0,130,0.7987192952632904
1048000,-0.00586002863390604,0.4563489973789667,9.44,1.684366264939308,1.2013619095087051,431.54,5.0,300,0.01866626475472003,14.0,131,0.7571305078268051
1056000,-0.0056125170877203345,0.4198407972221314,9.21,1.5602124917507172,1.2258747148513793,428.15,5.0,300,0.016158735495992005,14.0,132,0.7952956461906433
1064000,-0.0029924104446399724,0.4780021380418448,9.12,1.7116404449939728,1.177298653125763,421.75,5.0,300,0.019285959573462606,14.0,133,0.7744258624315262
1072000,-0.004007063156459481,0.48492310643457776,9.32,1.7050199437141418,1.170692679286003,423.13,5.0,301,0.019204939804039894,14.0,134,0.7783920109272003
1080000,-0.003645506741522695,0.44630040662940024,9.07,1.6030093288421632,1.1858745002746582,411.52,5.0,301,0.016763365869410338,13.100000000000009,135,0.7922452509403228
1088000,-0.00288284219102934,0.5069038023857011,9.47,1.8356596755981445,1.1830277740955353,419.05,5.0,301,0.022004792001098394,15.0,136,0.7506875950098038
1096000,-0.0030547740176552905,0.4717408654355599,9.97,1.7399779921770095,1.2066845905780792,429.69,5.0,301,0.019718571119010448,15.0,137,0.7915196812152863
1104000,-0.0055835393886081875,0.4901860735272035,10.46,1.623673448562622,1.1941810286045074,443.54,5.0,301,0.017708738995715977,15.100000000000009,138,0.7969371128082275
1112000,-0.003218008764088154,0.46173830800607235,10.11,1.5647848427295685,1.2087176871299743,436.38,5.0,301,0.016372511377558113,15.0,139,0.8306770741939544
1120000,-0.005546401675092056,0.5492721295904982,10.06,1.7047885054349898,1.162618831396103,436.88,5.0,301,0.019383963970467447,15.0,140,0.7917363446950912
1128000,-0.003945875077624806,0.4704482022095194,10.67,1.6178584289550781,1.162834825515747,451.23,6.0,301,0.017016937974840402,16.0,141,0.8215017193555831
1136000,-0.0032990707317367197,0.5012624760636544,10.32,1.7070159387588502,1.2018089723587035,451.14,6.0,301,0.019026153702288866,15.0,142,0.7800187677145004
1144000,-0.005072275311686098,0.4941816197388247,10.3,1.7022610700130463,1.2001959788799286,458.17,6.0,301,0.019154884559102355,15.0,143,0.7729488480091095
1152000,-0.009893718400853686,0.5722820689684245,10.63,1.874338414669037,1.161598138809204,468.05,5.9,301,0.023133896817453207,16.0,144,0.730476303100586
1160000,-0.009585294945864006,0.5128785523868465,11.02,1.7536976742744446,1.1810817325115204,474.78,5.9,301,0.020107394978404046,17.0,145,0.7596747732162475
1168000,-0.0024584960343781857,0.5663111159009012,11.08,1.8215142875909804,1.1786383426189422,471.94,4.9,301,0.021621488430537284,17.0,146,0.7679148399829865
1176000,-0.005036631186376326,0.5696616217603773,11.21,1.9732346177101134,1.1343929773569108,482.92,5.9,301,0.025815536035224795,17.0,147,0.7333181691169739
1184000,-0.007776728895260021,0.5052725105537843,11.36,1.7841679972410203,1.1714116513729096,482.33,6.9,301,0.021232746145687997,17.0,148,0.7745015954971314
1192000,-0.003928749043843709,0.5753840878490195,11.59,1.8376887810230256,1.1627128171920775,480.26,6.0,301,0.022284007761627436,17.10000000000001,149,0.7610790771245957
1200000,-0.007768454086763086,0.48730912821284234,11.42,1.7580161935091019,1.1648824954032897,482.59,6.0,302,0.02019310848787427,17.10000000000001,150,0.7712158459424973
1208000,-0.00013836786500178277,0.5689346767643062,10.93,1.8192365950345992,1.153123715519905,467.49,5.0,302,0.022198336489964277,16.10000000000001,151,0.6842261052131653
1216000,-0.004606525142917235,0.5650649478701641,11.3,1.8187798434495925,1.1804332518577576,468.62,5.0,302,0.022085990756750107,16.10000000000001,152,0.7596538704633713
1224000,-0.012080916679697112,0.5832649455614984,11.11,1.8698725563287735,1.156942366361618,455.1,5.0,302,0.02295161926187575,16.0,153,0.7556125324964523
1232000,-0.0023287615325534717,0.5035828508333563,11.33,1.756764206290245,1.1779755067825317,463.79,5.9,302,0.020975456153973938,16.10000000000001,154,0.7815032535791397
1240000,-0.00582926832488738,0.5406219935824529,11.25,1.849620366692543,1.1879561614990235,470.87,6.0,302,0.022502079675905406,16.0,155,0.7473854488134384
1248000,-0.003559092840878293,0.5187637280323244,11.43,1.841972318291664,1.2046481847763062,470.9,7.0,302,0.022273942870087923,16.0,156,0.7619676655530929
1256000,-0.009721610641863663,0.5630975017290152,12.12,1.8263557517528535,1.1918436753749848,497.7,8.0,302,0.021841428950428964,16.10000000000001,157,0.7707216316461563
1264000,-0.004956853139447048,0.616738433378689,12.29,1.9465813493728639,1.134018937945366,511.06,8.0,302,0.024725079946219922,17.0,158,0.7200295776128769
1272000,-0.002919003924616845,0.5312205034027585,12.56,1.7951833999156952,1.136534366607666,523.02,8.0,302,0.020977665656246244,17.10000000000001,159,0.7458008551597595
1280000,-0.006577971606748179,0.512003559429727,12.69,1.8568014442920684,1.1765873205661774,533.79,8.0,302,0.022488589198328555,17.0,160,0.7690878808498383
1288000,-0.004560315752050883,0.5401573557570069,12.63,1.7604812431335448,1.1966186881065368,541.64,8.0,302,0.020363170029595493,17.0,161,0.7755454856157303
1296000,-0.007054545160499402,0.593857914502481,12.86,1.9668293917179107,1.162066284418106,543.83,8.0,302,0.02521169393323362,18.10000000000001,162,0.711315553188324
1304000,-0.007171437093056739,0.5670987782314765,12.82,1.9067796337604523,1.1456735706329346,546.37,9.0,302,0.02412953181192279,18.0,163,0.75359135389328
1312000,-0.008504716144525446,0.6166025464268617,13.18,1.9198607748746872,1.1022175508737564,546.05,9.0,302,0.024057469321414827,18.10000000000001,164,0.7354386931657791
1320000,-0.013725786367431284,0.6003655972529072,12.91,2.0677805721759794,1.071938139796257,545.48,9.0,302,0.028102126140147447,18.0,165,0.7259103840589524
1328000,-0.003937204894027673,0.5427199409352371,12.83,1.9155121672153472,1.1401524496078492,544.99,9.0,302,0.024086141660809517,17.10000000000001,166,0.7277496707439423
1336000,-0.0034184851951431484,0.5297932823511825,13.04,1.8241531002521514,1.151548594236374,541.6,9.0,302,0.02192535800859332,18.0,167,0.7620364278554916
1344000,-0.010718428348773158,0.5957572352302845,13.18,1.9542811334133148,1.107968158721924,540.11,9.0,302,0.02482870646752417,18.0,168,0.7334892553091049
1352000,-0.0024243060813751074,0.5416417974930191,13.48,1.8201263236999512,1.108932350873947,545.14,9.0,303,0.021838443875312804,18.0,169,0.7451875305175781
1360000,-0.005836053253151476,0.5295092603924394,13.79,1.8256033539772034,1.1512943518161773,556.17,9.0,303,0.021757496893405913,18.0,170,0.7687101554870606
1368000,-0.004457113859243691,0.5373005929984016,13.77,1.85330403983593,1.172168510556221,556.9,9.0,303,0.022778253979049624,18.0,171,0.7851000475883484
1376000,-0.007846593867288903,0.5720836589863605,13.37,1.8884250766038895,1.1746853852272034,539.86,8.0,303,0.024911432159133256,18.10000000000001,172,0.6651288342475891
1384000,-0.004838668821321335,0.500859274180139,12.95,1.7347575837373734,1.1610490560531617,528.29,7.0,303,0.020348049718886613,19.0,173,0.7928134906291961
