frames,policy_loss,grad_norm,PMM:episode_rewards,advantage_norm,policy_entropy,episode_length,P01:episode_rewards,fps,value_loss,P09:episode_rewards,epoch_idx,explained_variance
8000,-0.011761408409365686,3.4852937314371584,1.2432432432432432,2.124573674015701,1.3137552350759507,179.2972972972973,0.0,351,0.07677141636192573,2.3999999999999986,1,-2.154347148537636
16000,0.002694627033197321,0.22192323037454934,1.375,1.2215236396342517,1.3799388647079467,183.23863636363637,0.0,243,0.01380102724331664,3.0,2,-0.06847761988639832
24000,-0.0018512734487012494,0.24115217305233272,1.47,1.2250932713225484,1.356840012073517,185.19,0.0,253,0.013741215652371465,4.0,3,-0.04479313969612122
32000,0.004941943939675184,0.23043505156574956,1.27,1.1038380219787358,1.3658415043354035,174.47,0.0,261,0.01261405152153202,3.0,4,-0.02240400493144989
40000,0.00031451746413949875,0.2066715736870046,1.24,1.0862539765238761,1.3795302057266234,173.35,0.0,267,0.011799983768087259,3.0,5,-0.023556737899780272
48000,0.001648144029895775,0.27321511034082663,1.18,1.1912844052910805,1.3760080134868622,174.18,0.0,272,0.014261148709338159,3.0,6,-0.024984371662139893
56000,-0.0007692445833527017,0.7669283877044484,1.14,1.4109983165562152,1.3609345811605453,173.22,0.0,275,0.03195793253791635,3.0,7,0.1293933480978012
64000,0.0004177917790366337,0.3893164887604679,1.44,1.3176042513549329,1.3777050709724425,185.77,0.0,277,0.01584839166898746,4.0,8,0.2161780160665512
72000,-0.007943736008019186,1.108652987297619,1.67,1.893923582136631,1.3346640908718108,195.18,0.0,279,0.050170888504362667,4.0,9,0.1460162055492401
80000,-0.011064246913592797,0.47449284793333296,1.65,1.4281833808124065,1.369858248233795,192.7,0.0,280,0.01614809192775283,4.1000000000000085,10,0.5019237250089645
88000,-0.0016663978772703558,0.42622285664251086,1.74,1.4529592961072921,1.355098340511322,197.26,0.0,282,0.016706227432005106,4.0,11,0.575337296128273
96000,-0.007931138764251954,0.5988759060116398,1.91,1.629794257581234,1.3637502777576447,206.0,0.0,281,0.024165739016025325,4.0,12,0.4553479552268982
104000,0.0020922230937867425,0.3571081125236378,1.49,1.2914680379629135,1.3713973367214203,188.14,0.0,282,0.012609446184942499,4.0,13,0.6087240332365036
112000,0.00018446469155605883,0.40000478941311096,1.51,1.4056687262654304,1.3641621053218842,191.51,0.0,281,0.013658553243731148,4.0,14,0.7696428281068802
120000,-0.0017323449772811727,0.34573769826446016,1.83,1.2366068091988565,1.3556482791900635,202.72,0.0,282,0.010763838638085872,5.0,15,0.7796732801198959
128000,-0.00023911262847832405,0.3290676380560082,2.06,1.2355853661894798,1.3531627643108368,206.26,0.0,283,0.011153225540183484,5.1000000000000085,16,0.8142857187986374
136000,8.93145683221519e-05,0.27513380424837924,1.91,1.0969823974370956,1.3637794768810272,200.2,0.0,284,0.008616148137953132,5.0,17,0.8947330522537231
144000,-0.00035701621061889454,0.2719581146960673,1.83,1.0494547843933106,1.3606206810474395,199.06,0.0,284,0.008351460652193055,5.1000000000000085,18,0.837416781783104
152000,-0.001417076876387,0.2730729671185118,1.95,1.0369928580522538,1.3486643946170807,204.93,0.0,286,0.00785247832420282,6.0,19,0.9080158233642578
160000,0.0004597081611063913,0.24464894719415933,2.35,1.0099094501137733,1.3598036551475525,219.96,0.0,286,0.007426468131598085,6.1000000000000085,20,0.899900808930397
168000,-0.0035742260422557594,0.27339920503682325,2.53,0.9550282868742943,1.350963624715805,228.76,0.0,287,0.006379764697048813,5.1000000000000085,21,0.9457971704006195
176000,-0.00033773597027902724,0.18602287248419713,2.21,0.7627834317088127,1.3446443235874177,215.26,0.0,288,0.004321319351438433,5.0,22,0.9487048202753067
184000,-0.001964808859920595,0.23721514910694125,2.22,0.9520734444260597,1.3086548054218292,214.33,0.0,288,0.006550976710859686,5.0,23,0.939426172375679
192000,-0.0015350377935101278,0.18248377864427962,2.43,0.6841101509332657,1.3120767903327941,221.52,0.0,289,0.00355320765520446,5.0,24,0.9647499388456344
200000,-0.0005502750378218479,0.19466428814095935,2.03,0.7085402211546898,1.3239972376823426,205.01,0.0,289,0.004055948833120056,5.0,25,0.9596643799543381
208000,-0.0009292538743466139,0.19626932530088875,2.05,0.7786212813854217,1.3418181729316712,208.66,0.0,289,0.004746587776171509,5.0,26,0.9574366974830627
216000,-0.001061360696257907,0.1858755371569224,2.15,0.7695701317489148,1.3333896827697753,212.7,0.0,290,0.004635830990737304,5.0,27,0.9399689668416977
