value_loss,explained_variance,episode_length,P01:episode_rewards,P09:episode_rewards,frames,policy_loss,fps,policy_entropy,grad_norm,advantage_norm,PMM:episode_rewards,epoch_idx
0.5083125541048684,-0.8372276312112809,177.07692307692307,0.0,3.200000000000003,8000,0.029272217656252906,240,1.291738462150097,18.319121961628603,3.939245914593339,1.2820512820512822,1
0.007345848304430547,-0.46933152079582213,171.73333333333332,0.0,3.0,16000,-0.00016382022993639112,234,1.3835967075824738,0.0989675354882764,0.8163937382400036,1.1555555555555554,2
0.009714282339282364,-0.14518894910812377,174.65,0.0,3.0,24000,0.0014849872037302702,244,1.384571863412857,0.09943086173667018,0.9907049058750271,1.17,3
0.008853157024277606,-0.17622111201286317,187.69,0.0,4.0,32000,0.0009646124590653926,253,1.3830287051200867,0.09529309749387048,0.8825602047890425,1.49,4
0.010082283807078056,-0.29579269409179687,192.25,0.0,5.0,40000,0.00032388795603765174,254,1.3844981944561006,0.10394147566753549,1.0317765922099351,1.64,5
0.009481854099030898,-0.46188060283660887,186.83,0.0,4.0,48000,0.0022585515084210784,254,1.3849497759342193,0.1127790613446789,0.9412418285012245,1.53,6
0.009092253400958726,-0.3799905598163605,182.89,0.0,4.0,56000,-0.0013648772612214089,257,1.3847471940517426,0.12201316536886748,0.9284469431266189,1.4,7
0.008229365747592966,-0.20697858393192292,183.61,0.0,4.0,64000,0.0005517729592975229,257,1.3823361432552337,0.12053018745963039,0.854669858776033,1.33,8
0.009731752480947762,-0.13769222676753998,184.1,0.0,4.0,72000,0.00017780416223104112,256,1.3776603531837464,0.1160000016693653,0.9859704148769378,1.36,9
0.010519872147342539,-0.18164287447929384,192.3,0.0,5.0,80000,9.242663509212434e-06,256,1.3746601927280426,0.14155899388323498,1.0190335611999035,1.67,10
0.009272052976666601,-0.13827753961086273,191.59,0.0,4.1000000000000085,88000,0.00043863833649083973,255,1.3726131010055542,0.1235366992879559,0.9349011640995741,1.75,11
