frames,policy_entropy,PMM:episode_rewards,policy_loss,fps,value_loss,P09:episode_rewards,episode_length,advantage_norm,grad_norm,P01:episode_rewards,epoch_idx,explained_variance
8000,1.3647152501344681,1.0,-0.018481663005513838,340,0.04495974444267631,2.200000000000003,167.74358974358975,1.615459288880229,1.4344520348943774,0.0,1,-0.4651622378826141
16000,1.379302090406418,1.369047619047619,0.0005163581164015341,332,0.015236601649721706,3.0,180.83333333333334,1.341771049015224,0.21020071619571978,0.0,2,-0.01221411168575287
24000,1.3658273386955262,1.68,-0.001836169675225392,339,0.014879461437958525,3.1000000000000085,194.76,1.2919410931318998,0.1944054272303478,0.0,3,-0.04511403560638428
32000,1.3629445600509644,1.37,0.0024292143248021603,337,0.011720023545904042,3.0,184.62,1.0557568102329968,0.21167401254840829,0.0,4,-0.029414121508598328
40000,1.370948042869568,1.16,-0.001718108952336479,337,0.01367943884783017,3.0,174.99,1.205900878533721,0.22702595358960787,0.0,5,-0.005446553826332092
48000,1.3673453521728516,1.34,0.002115022897050949,343,0.015971203805165715,3.0,183.06,1.258639231696725,0.26623635877233587,0.0,6,-0.0976725709438324
56000,1.364851449728012,1.2,-0.0016823339014081285,341,0.011293150596793566,3.0,176.79,1.109291962608695,0.2660534662536084,0.0,7,-0.018608940839767454
64000,1.3663756549358368,1.24,-0.004323301608674228,348,0.018288051358831582,3.0,176.73,1.3961870580911637,0.4113072525090814,0.0,8,0.10843989670276642
72000,1.368881537914276,1.44,-0.0006867535982746631,354,0.012504815499996767,4.0,183.29,1.270300880521536,0.34997065673245387,0.0,9,0.3657129979133606
80000,1.3733203160762786,1.58,-0.004899714837083593,356,0.014928439110517501,4.1000000000000085,189.62,1.3857904481887817,0.43077659069254637,0.0,10,0.48350126802921295
88000,1.3597509956359863,1.62,-0.005388544715533499,357,0.01611439748958219,4.0,193.33,1.4615725791454315,0.4615233007916445,0.0,11,0.6154433917999268
96000,1.3631699514389037,1.99,-0.0006901937909424304,352,0.012457166716922074,5.0,204.92,1.3033714550733566,0.3768818223802908,0.0,12,0.7588052308559418
104000,1.3597299909591676,1.9,-0.005478967713570455,352,0.01131515864864923,5.0,200.28,1.2484662422537804,0.3896809667794493,0.0,13,0.8212657886743545
112000,1.3515219926834106,1.69,-0.005147421483707148,352,0.01428287110524252,4.1000000000000085,193.64,1.3488055604696274,0.4532918243408689,0.0,14,0.8307171630859375
120000,1.3553939497470855,1.93,-0.0029584866185905414,350,0.00828208060876932,5.0,201.34,1.0836760893464088,0.3264359443663901,0.0,15,0.8916811370849609
128000,1.3457477408647538,2.36,0.0001167480053845793,349,0.015114950919523836,6.0,221.11,1.369602455496788,0.45392069531495144,0.0,16,0.792526291012764
136000,1.3490753448009491,2.12,-0.00026352781633249834,349,0.006780870298971422,5.1000000000000085,210.21,0.9540729665756226,0.26766730342302214,0.0,17,0.9165490716695786
144000,1.3566531479358672,2.25,-0.0005559724621707573,351,0.008010941369575449,5.0,213.84,1.0506573936343193,0.31920479675431523,0.0,18,0.9172169876098633
