fps,PMM:episode_rewards,policy_entropy,P09:episode_rewards,explained_variance,P01:episode_rewards,episode_length,grad_norm,value_loss,frames,clip_fraction,advantage_norm,approx_kl_divergence,epoch_idx,policy_loss
251,8.59375,0.6149708132315027,50.0,-7.303185675293207,0.0,288.375,159021766.5477752,84845670.51668611,10240,0.4429443359375,15.968711775541305,121121.30345712928,1,0.047072122166719056
230,10.416666666666666,1.077183437347412,50.0,-3.264737883210182,0.0,288.0,0.044828701871511833,0.0021055342803644626,20480,0.1589111328125,15.96869267821312,0.005403686353952498,2,4.970986483385786e-05
231,15.75,1.4551481500267982,50.0,-0.1252727225422859,0.0,291.19,0.25311780060544725,0.02866537199515875,30720,0.2911865234375,15.968704748153687,0.010967988443565158,3,0.001027790115767857
232,28.5,1.4237276174128055,75.0,0.001122942939400673,0.0,294.0,0.05015404265603324,0.0031606803073827906,40960,0.2553955078125,15.968711614608765,0.005539218458955032,4,-0.0007218748878585757
235,41.0,1.5094662435352801,100.0,-1.4901161193847656e-08,0.0,297.59,0.04712088492690332,0.004610120093457226,51200,0.26982421875,15.968717151880265,0.003937646496416392,5,-0.0014646126284787897
235,46.75,1.3504671886563302,100.0,-9.313225746154785e-09,0.0,296.23,0.03976526095137935,0.0037341389815225058,61440,0.24287109375,15.968710047006606,0.0043527388314373635,6,-0.000854236896520888
235,54.75,1.362492411583662,125.0,1.3783574104309083e-08,0.0,298.77,0.04325655262750381,0.004175869638731911,71680,0.2994873046875,15.968714243173599,0.004903305606219988,7,-0.0014748532254088786
234,59.25,1.4784811653196812,125.0,-2.744346857070923e-05,0.0,298.77,0.04666976054460611,0.005463955158239742,81920,0.2558837890625,15.968716019392014,0.005104753316686583,8,-0.0011084186216976377
235,65.75,1.4426323361694813,125.0,-6.159767508506775e-06,0.0,302.78,0.045792053663560504,0.005082127720029916,92160,0.2086181640625,15.968716788291932,0.0030587469574072657,9,-0.0009738350694533437
234,60.75,1.3499031715095042,125.0,1.862645149230957e-09,0.0,300.15,0.042273448589099136,0.003580261369913451,102400,0.2560302734375,15.968713623285293,0.003937374255986015,10,-0.0014596389955841005
234,46.75,1.3198353514075278,100.0,-1.6763806343078613e-08,0.0,297.85,0.03773102820404774,0.002502559471954413,112640,0.228955078125,15.968682700395584,0.005419831083747795,11,-0.0012873318926722277
234,38.75,1.35128183811903,77.50000000000021,-7.078051567077636e-09,0.0,295.11,0.03740566895494599,0.003123613727865404,122880,0.2260009765625,15.968705940246583,0.004952542170030938,12,-0.0014916879965312547
235,35.25,1.5555028274655343,100.0,1.080334186553955e-08,0.0,294.89,0.04148926680116403,0.0029098527375808203,133120,0.3201904296875,15.968709063529968,0.006499752738113785,13,-0.0011878807021275862
236,39.75,1.6494291089475155,100.0,0.00021927766501903534,0.0,295.89,0.050570530281640116,0.004185973304534229,143360,0.29140625,15.968713796138763,0.004301956810741104,14,-0.0010512033783015794
236,91.75,1.6345053263008595,200.0,-1.5273690223693846e-08,0.0,309.2,0.05815999349475911,0.011919213475630385,153600,0.2608154296875,15.968717724084854,0.00354622482564082,15,-0.0020009698600915726
236,123.5,1.5728052146732807,252.50000000000023,5.040280520915985e-05,0.0,325.05,0.052742336280878446,0.008580561284361465,163840,0.2129150390625,15.968717402219772,0.003389131700555481,16,-0.0014359935790707822
237,137.5,0.8508046288475363,275.0,-0.24643067084252834,0.0,329.64,51295.96060126587,6070.462138706183,174080,0.2671630859375,15.968718433380127,5465.9178264740085,17,0.027620669182715572
237,70.0,7.114153640714832e-19,225.0,0.0,0.0,311.74,5.9100569785980746,0.7855459628932294,184320,0.0,15.968709170818329,0.0,18,5.719889486499596e-07
237,23.75,1.0155215681089949e-17,102.50000000000021,9.685754776000977e-09,0.0,292.75,3.066855142895853,0.1300994186216485,194560,0.0,15.968706369400024,0.0,19,-2.0698735170299187e-08
238,0.0,3.5279889795964355e-17,0.0,2.6077032089233397e-09,0.0,286.0,1.9978413206131342,0.09891332495390089,204800,0.0,15.968697726726532,0.0,20,-1.8331597857468295e-07
239,0.0,1.3381545982827016e-16,0.0,4.8428773880004884e-09,0.0,286.14,2.068035515473455,0.0635260961831591,215040,0.0,15.968699663877487,0.0,21,-1.600444647920085e-07
238,0.0,3.6947091364330636e-16,0.0,1.4901161193847656e-08,0.0,286.37,1.8150924962568116,0.038398604854842235,225280,0.0,15.968673384189605,0.0,22,3.4636923373909664e-08
238,0.0,9.812903037989218e-16,0.0,5.960464477539063e-09,0.0,286.01,1.8364441359743577,0.04693319480766149,235520,0.0,15.968692535161972,0.0,23,7.437145086441887e-08
238,0.0,2.38608801532548e-15,0.0,-5.587935447692871e-09,0.0,286.14,1.609155554588692,0.03251588185621586,245760,0.0,15.968678241968155,0.0,24,1.7943427792488366e-07
238,0.0,4.95007118592902e-15,0.0,-7.450580596923829e-10,0.0,286.33,1.3336872487273934,0.01442376872364548,256000,0.0,15.968695044517517,0.0,25,-4.2639330786187204e-07
