grad_norm,P09:episode_rewards,P01:episode_rewards,explained_variance,rollout_prob_std,policy_loss,q_loss,PMM:episode_rewards,frames,policy_gradient_loss,advantage_norm,epoch_idx,episode_length,model_prob_std,policy_gradient_bias_correction,policy_entropy,avg_q_selected,fps,avg_q_retraced
0.033279451966159536,0.0,0.0,-11.314261341094971,0.04779125054677327,0.00023229389587413606,0.0007021832123427884,0.0,7200,0.00023229389587413606,0.07429701400299867,1,0,0.047791250174244244,0.0,2.1079321265220643,-0.010476311715319753,437,-0.010908073962976534
0.015232925605398469,0.0,0.0,-26.05000066757202,0.04209509852031867,-0.00025058469573195906,0.00012352006012103327,0.0,14400,-0.00025058469573195906,0.02999871379385392,2,0,0.04209509914120038,0.0,2.131216589609782,0.004537395448035871,206,0.0042376361864929395
0.007826479968128333,0.0,0.0,-9.832851910591126,0.02463996671140194,-1.5737125446927774e-05,3.155022565503411e-05,0.0,21600,-1.5737125446927774e-05,0.04116051668922106,3,0,0.024639966463049254,0.0,2.172926171620687,-0.0003359663911396638,255,-0.00022290946605304878
0.00905457373481757,0.0,0.0,-9.714355039596558,0.02632666382317742,-3.926296808458574e-05,9.185895858839406e-05,0.0,28800,-3.926296808458574e-05,0.07248866393541296,4,0,0.02632666373004516,0.0,2.1687457005182904,0.0017694141628453509,288,0.0016599955100294512
0.003550526079227581,0.0,0.0,-9.38836121559143,0.01987615056956808,-3.2238919982319206e-05,2.8473043403209886e-05,0.0,36000,-3.2238919982319206e-05,0.031144651553283133,5,0,0.01987615053852399,0.0,2.1806642134984333,0.0020112912611997065,304,0.0020107864421637107
0.005730083475690038,0.0,0.0,-11.579678440093994,0.022432126539448895,-0.00011243843918767501,4.886194748981628e-05,0.0,43200,-0.00011243843918767501,0.04907780460392435,6,3324.6666666666665,0.022432126632581154,0.0,2.1752954959869384,0.0032595673743344377,313,0.003329769709186318
0.0014697187758167976,0.0,0.0,-23.78875166575114,0.01602019773175319,-1.3644174986400988e-05,5.761732002914262e-06,0.0,50400,-1.3644174986400988e-05,0.010789306399722894,7,3324.6666666666665,0.01602019729713599,0.0,2.187023623784383,0.002008119448631381,323,0.002075313276630671
0.0025156547451068473,0.0,0.0,-13.020292282104492,0.015477607461313407,-0.00012187290783458594,9.143165819599138e-06,0.0,57600,-0.00012187290783458594,0.01599122794965903,8,3324.6666666666665,0.015477607275048893,0.0,2.18785936832428,0.006093059813186604,333,0.005988997782211906
0.003807206639602112,0.0,0.0,-9.045524676640829,0.021617993401984375,-6.416650083641192e-05,2.8896053671208695e-05,0.0,64800,-6.416650083641192e-05,0.03596890652552247,9,3324.6666666666665,0.021617993774513403,0.0,2.1773051261901855,0.0025959313982942453,341,0.002532220329158008
0.0026802789798369745,0.0,0.0,-12.640831915537516,0.02043568699931105,-7.761399419905501e-05,1.798808433477461e-05,0.0,72000,-7.761399419905501e-05,0.025962713562572997,10,3324.6666666666665,0.02043568715453148,0.0,2.179319723447164,0.0028270062912876407,348,0.002864756155759096
0.004837855582288703,0.0,0.0,-7.8769032001495365,0.024757621282090744,-5.4362189049091586e-05,3.654857721357985e-05,0.0,79200,-5.4362189049091586e-05,0.04642262797181805,11,3324.6666666666665,0.024757621499399345,0.0,2.1714266538619995,0.00441812980764856,353,0.004367181130995353
0.0012165213538954096,0.0,0.0,-20.098362588882445,0.013480322994291782,-4.491179102027824e-05,5.058746285158122e-06,0.0,86400,-4.491179102027824e-05,0.011265773993606369,12,3324.0,0.013480323149512212,0.0,2.189283839861552,-0.00015268900509302815,358,-0.00019180304273807753
0.0009395671549973496,0.0,0.0,-24.154580275217693,0.01104682432487607,-3.818210134340916e-05,3.241511825535781e-06,0.0,93600,-3.818210134340916e-05,0.006742693778748313,13,3324.0,0.011046824355920156,0.0,2.192303681373596,0.0028138548679028947,363,0.002785865634602184
0.000971525314579635,0.0,0.0,-14.89883820215861,0.01218525158862273,-2.5192633931207335e-05,2.9338493429046746e-06,0.0,100800,-2.5192633931207335e-05,0.009174312558025121,14,3324.0,0.012185251526534557,0.0,2.1911479314168294,0.00029423311934806406,368,0.000286448749830015
0.0034957968585128895,0.0,0.0,-14.787495994567871,0.016832647069046896,-1.6273284914329147e-05,2.2618423531639565e-05,0.0,108000,-1.6273284914329147e-05,0.03809662931598723,15,3324.0,0.01683264716217915,0.0,2.185397982597351,0.0010271914688928518,371,0.0010926793574981275
0.0010853819511415516,0.0,0.0,-15.344892342885336,0.0103790077380836,-1.2363301175355446e-05,5.989242940055798e-06,0.0,115200,-1.2363301175355446e-05,0.012221845037614306,16,3324.0,0.0103790077380836,0.0,2.192631196975708,0.0006872253458520087,375,0.0007273087452631444
0.0030754519530368273,0.0,0.0,-9.493428155193254,0.019969973015055677,-5.708432050545929e-05,1.9234796204903843e-05,0.0,122400,-5.379022679755782e-05,0.03521760842330488,17,3324.3055555555557,0.015750276034195272,-3.2940936857776544e-06,2.186169594166771,0.0016592057522410188,374,0.0015954801778137887
0.0011266010196740346,0.0,0.0,-8.010337446464431,0.018479854506908585,8.237343018608181e-06,3.905079087922832e-06,0.0,129600,1.0577228052322386e-05,0.014921282954420403,18,3324.3055555555557,0.008744575827759471,-2.339884819997985e-06,2.1939924337371943,-0.0003946728444071072,370,-0.0004217925289470465
0.0009870946710113743,0.0,0.0,-7.813526800230698,0.01886885119179539,1.1327874439201777e-05,3.122436210879363e-06,0.0,136800,1.232798767231484e-05,0.013608505994823106,19,3324.3055555555557,0.008899036492005474,-1.0001131684510432e-06,2.1939443123782123,-0.000736482044343642,365,-0.0007452273498861613
