epoch_idx,P01:episode_rewards,approx_kl_divergence,frames,policy_entropy,explained_variance,advantage_norm,fps,policy_loss,episode_length,value_loss,grad_norm,PMM:episode_rewards,clip_fraction,P09:episode_rewards
1,0.0,2327227.3900524457,10240,0.05619752162464864,-0.8730018492788076,15.96867252588272,455,0.024655633573547674,626.5,2164927640.7665987,1719278185.773573,87.5,0.11455078125,234.99999999999994
2,0.0,0.00988106949662466,20480,0.13727863186145123,-3.5762786865234374e-08,15.968695259094238,398,0.0016721912680338845,823.8260869565217,0.6593537635739267,1.4624750852149961,32.608695652173914,0.0990966796875,50.0
3,0.0,0.007256133641897122,30720,0.69209876768291,-2.16066837310791e-08,15.96871750354767,420,0.002241268604120705,644.6086956521739,0.008305663064038526,0.09448249867239002,147.2826086956522,0.1400634765625,425.0
4,0.0,0.004799533155755853,40960,1.0135482184588909,-1.2665987014770507e-08,15.968717676401138,433,0.0008642432036140235,556.6986301369863,0.010641600700910202,0.03831203299129287,175.34246575342465,0.1595947265625,425.0
5,0.0,0.002764395105435824,51200,1.1233569853007794,-5.215406417846679e-09,15.96871787905693,440,-0.0006548506869876291,510.83,0.013125225389376282,0.03996693961639305,198.0,0.146923828125,425.0
6,75.0,0.0031442677892385973,61440,1.1068914480507375,-4.470348358154297e-09,15.968717753887177,445,-0.0001717894680041354,419.93,0.012181014014640824,0.037240033971791556,262.25,0.1423583984375,502.5000000000002
7,125.0,0.0025824101681791944,71680,1.1209472209215163,-1.6391277313232423e-08,15.96871771812439,444,-0.0004991999099729583,407.57,0.01185906078935659,0.0354055268000963,276.0,0.1210205078125,527.5000000000002
8,125.0,0.002020331901985628,81920,1.1268154397606849,-1.4901161193847657e-09,15.968717867136002,447,-0.00026154852857871445,408.74,0.012468446193088312,0.037788366838491,288.5,0.1207275390625,552.5000000000002
9,125.0,0.0025343251080130356,92160,1.210338271036744,-1.3783574104309083e-08,15.968717676401138,448,-0.00030268269474618135,410.96,0.011557473580614897,0.038534259952769614,287.25,0.1208251953125,575.0
10,147.5,0.0031809911692107563,102400,1.3955036222934722,-1.1920928955078126e-08,15.968717885017394,446,-0.0004969993795384652,400.88,0.013558631103660446,0.04687219938668068,296.0,0.16669921875,575.0
11,125.0,0.0028308952306133504,112640,1.5048296548426152,-1.4156103134155273e-08,15.968717736005782,449,-0.0009420028061867924,387.41,0.013119086097867693,0.050100300669674094,288.5,0.18134765625,552.5000000000002
12,147.5,0.002864149104243552,122880,1.5212661616504193,-3.7252902984619143e-10,15.968717902898788,451,-0.0012962023538420908,367.09,0.014067500054079574,0.05234056147385966,275.0,0.1817138671875,527.5000000000002
13,125.0,0.003279648960665327,133120,1.5598573736846446,1.080334186553955e-08,15.968717855215072,452,-0.0010201610726653597,356.15,0.014259480946930126,0.05231980721311471,265.0,0.1854736328125,502.5000000000002
14,125.0,0.0027825746817143225,143360,1.5841803669929504,-2.905726432800293e-08,15.968717819452285,454,-0.0007655141918803566,348.9,0.013596528185007627,0.050284240721938246,254.25,0.1754638671875,430.0000000000004
15,147.5,0.0030014238236844904,153600,1.6282013326883316,4.8428773880004884e-09,15.968717724084854,456,-0.0014326864296890563,346.44,0.013672833163582254,0.053662168361046626,245.25,0.215478515625,330.0000000000004
16,125.0,0.0035874646233423845,163840,1.610680989921093,-1.2665987014770507e-08,15.968717610836029,455,-0.0017099854434491136,338.48,0.011966478417161853,0.054653791007912914,221.0,0.2517822265625,302.5000000000002
17,125.0,0.0029396123138781148,174080,1.5997078187763691,-4.470348358154297e-09,15.968717914819717,456,-0.0011043455757317132,339.05,0.014667903813824523,0.05581679754748936,230.25,0.1770263671875,350.0
18,125.0,0.0026392938350113583,184320,1.6349812775850296,-2.123415470123291e-08,15.96871766448021,456,-0.0010967813283059512,345.98,0.012582625005779845,0.05461401262372291,233.0,0.1832763671875,375.0
19,100.0,0.002572951754200403,194560,1.5872296646237374,-6.7055225372314455e-09,15.968717861175538,456,-0.0008947983842517715,355.15,0.013403644248319324,0.05536297024238699,239.0,0.17392578125,405.00000000000045
20,100.0,0.002898083328921075,204800,1.5695194624364377,-7.078051567077636e-09,15.968717801570893,457,-0.0012747835906338878,367.06,0.013500556279905141,0.056956962217991416,251.5,0.2172119140625,475.0
21,100.0,0.0032896021290525824,215040,1.6070681996643543,-7.82310962677002e-09,15.968717646598815,455,-0.0014649706030468224,370.52,0.0115661078991252,0.052776218003384244,249.5,0.2187255859375,477.5000000000002
22,75.0,0.0031777457716032132,225280,1.6115222707390786,5.215406417846679e-09,15.968717736005782,456,-0.0007875433879235061,369.73,0.010499195686134045,0.05403651892667886,244.25,0.20673828125,482.5000000000007
23,75.0,0.002231507137753397,235520,1.594734276086092,7.078051567077636e-09,15.968717682361603,457,-0.0008463428679533535,367.55,0.011311390095397656,0.053150436520153055,229.5,0.1605224609375,550.0
24,50.0,0.0034975358048995988,245760,1.5524297885596752,0.0,15.968717563152314,457,-0.0016682071811374044,365.54,0.009759917504197801,0.05448870411545063,223.5,0.2600341796875,505.00000000000045
25,75.0,0.003422916232170792,256000,1.5549137458205222,2.421438694000244e-08,15.968717652559281,457,-0.0015854482884606115,369.34,0.011564627147163265,0.054849340621874534,236.0,0.223681640625,575.0
26,75.0,0.0024436564437905874,266240,1.5918351367115975,-2.2351741790771484e-09,15.968717640638351,457,-0.0011038703501981217,372.43,0.011576391225025873,0.05233575341589636,246.25,0.175732421875,552.5000000000002
27,97.5,0.0030648388924930715,276480,1.5804299272596836,-1.1548399925231934e-08,15.968717831373215,458,-0.001035529360160581,368.08,0.009685217871447094,0.05148306236100619,240.5,0.2048828125,550.0
28,50.0,0.0038710635605639252,286720,1.6170267894864083,-1.825392246246338e-08,15.968717616796493,458,-0.0014462082737736637,360.61,0.009472273234041494,0.05401363190004751,213.25,0.27353515625,427.5000000000002
29,50.0,0.0029066846920272837,296960,1.566742168366909,3.3527612686157227e-09,15.968717885017394,456,-0.001385001181915868,347.21,0.009904567165358457,0.04977500107989612,191.0,0.2046875,425.0
30,25.0,0.0035240950706139527,307200,1.5395756796002389,-1.3411045074462891e-08,15.968717074394226,455,-0.0019414539812714793,344.08,0.00725134573891637,0.046819574582258126,186.5,0.2322021484375,425.0
31,50.0,0.0027334151156082954,317440,1.5389690227806567,4.097819328308106e-09,15.968717652559281,454,-0.0011733322484360543,335.82,0.009260298109256836,0.0503505692603903,171.75,0.1912841796875,400.0
32,25.0,0.0031195445246225972,327680,1.5805803269147873,-2.384185791015625e-08,15.96871766448021,455,-0.0013449862348352327,330.28,0.009059622289350954,0.05193295318509211,158.75,0.232958984375,375.0
33,25.0,0.003127421771611694,337920,1.5769769005477428,-6.332993507385254e-09,15.968717670440673,455,-0.00096212366988766,331.68,0.007625904724409338,0.051524194797187096,157.75,0.2189453125,375.0
34,25.0,0.0033939575044655613,348160,1.6143528513610363,7.078051567077636e-09,15.968717670440673,456,-0.0019442769204033538,330.17,0.008526217649705358,0.05061792180173526,159.25,0.2564697265625,375.0
35,25.0,0.00348414988238801,358400,1.6296964384615422,-1.080334186553955e-08,15.96871775984764,457,-0.0011901937650691252,331.4,0.009589819303073455,0.05502477621078018,175.25,0.26171875,427.5000000000002
36,50.0,0.0027276269868025337,368640,1.623529414087534,-1.0058283805847169e-08,15.968717485666275,456,-0.0012113902266719379,331.7,0.0082096122792791,0.05445809212954854,163.5,0.2282958984375,377.5000000000002
37,50.0,0.003433392825218107,378880,1.6001665115356445,-1.6763806343078613e-08,15.968717396259308,456,-0.001263657658637385,336.65,0.00854419786028302,0.05266876823657589,168.5,0.2400390625,400.0
38,25.0,0.00307601159091746,389120,1.6096991054713725,2.6077032089233397e-09,15.968717569112778,457,-0.0010785577505885158,336.25,0.008229758243942342,0.050872155780371665,168.75,0.2076171875,425.0
39,25.0,0.0025699868993626753,399360,1.6764535754919052,-1.3411045074462891e-08,15.968717509508133,456,-0.0006541988714161562,332.09,0.00878527494642185,0.0527458749787187,173.5,0.1870361328125,477.5000000000002
40,22.500000000000007,0.0028219451281415787,409600,1.7294073164463044,-2.3096799850463868e-08,15.96871783733368,455,-0.0013673128363734578,330.33,0.009714560908105341,0.05357982044045649,173.75,0.21875,425.0
41,25.0,0.0034531446235405382,419840,1.7000891916453837,2.6077032089233397e-09,15.968717765808105,454,-0.0015030482314614345,333.61,0.012876635194697884,0.0580817975620231,185.0,0.2427001953125,405.00000000000045
42,50.0,0.0024959112982401166,430080,1.642494910955429,-1.825392246246338e-08,15.968717753887177,454,-0.0017836076687672176,351.27,0.015323238499695436,0.058088053091128224,242.0,0.197998046875,575.0
43,75.0,0.0027843364064096933,440320,1.633031402528286,-1.1548399925231934e-08,15.968717908859253,454,-0.0010561416358541465,352.68,0.013284435830428265,0.05565106614367893,254.5,0.211767578125,552.5000000000002
44,125.0,0.0022134621077270823,450560,1.6152441963553428,-1.1548399925231934e-08,15.968717783689499,454,-0.0015488790224480909,355.14,0.013499487977242097,0.0566401366985065,274.0,0.173095703125,575.0
45,125.0,0.0023797527485839966,460800,1.5971103236079216,-1.1175870895385742e-09,15.968717896938324,455,-0.0012134123804571572,354.34,0.01541709626035299,0.05346035091648177,264.5,0.176513671875,525.0
46,122.5,0.0031012744705321894,471040,1.6957105293869972,1.3783574104309083e-08,15.968717777729035,456,-0.0012441332884918666,348.98,0.012039047994767316,0.056860689175462095,253.0,0.22265625,412.5000000000011
47,75.0,0.002919089585020629,481280,1.6782946974039077,-1.862645149230957e-09,15.968717926740647,457,-0.0015227843381580898,357.6,0.011081361821561586,0.05601819772747518,254.75,0.231201171875,525.0
48,50.0,0.0029399086406897367,491520,1.6888318948447705,-1.1175870895385742e-09,15.96871766448021,458,-0.001114812644664198,353.36,0.009474841882047258,0.051191154784951565,241.75,0.2150634765625,525.0
