episode_length,P01:episode_rewards,explained_variance,value_loss,policy_entropy,P09:episode_rewards,PMM:episode_rewards,epoch_idx,fps,grad_norm,policy_loss,approx_kl_divergence,frames,advantage_norm,clip_fraction
280.40625,0.0,-19.132085086405276,483785775.6430689,0.08977968073550163,125.0,37.5,1,195,533942233.85255384,0.050866146813496015,6216405.13243113,10240,15.968713486194611,0.174462890625
282.18055555555554,0.0,-1.3411045074462891e-08,0.002171164939820036,0.7751294976100326,75.0,27.083333333333332,2,182,0.058180637945839296,0.003082571667346201,0.014785588967390595,20480,15.968607193231582,0.2532470703125
284.26,0.0,-9.970366954803467e-06,0.002727661169313933,1.3768673479557036,75.0,23.5,3,193,0.04439561679677061,-0.0002769598770100856,0.009764334124292872,30720,15.968687236309052,0.3640625
290.92,0.0,8.940696716308593e-09,0.0031747296093236343,1.4478364393115044,75.0,37.5,4,200,0.039919160013856335,-0.0009660686338975211,0.004303372955860141,40960,15.968697875738144,0.24248046875
291.41,0.0,-3.725290298461914e-09,0.002248146922976135,1.4141522616147995,77.50000000000021,39.25,5,207,0.03592404006160983,-0.0013356677294723341,0.00453953516501997,51200,15.968205314874648,0.2732177734375
292.89,0.0,6.7055225372314455e-09,0.0036989870449918526,1.491516972333193,77.50000000000021,41.75,6,211,0.04552370621773564,-0.0010077304250444286,0.0053870022190267266,61440,15.968705803155899,0.2899169921875
297.21,0.0,1.1175870895385742e-09,0.0037977683158317175,1.5748228065669536,77.50000000000021,49.5,7,215,0.04695226146690685,-0.0009460129957005847,0.004154019402585618,71680,15.96871433854103,0.28779296875
307.12,0.0,-4.8428773880004884e-09,0.006245829740691988,1.6316698893904686,130.00000000000043,73.0,8,216,0.04869467777854895,-0.0003542713420756627,0.004660347948538401,81920,15.968717628717423,0.24794921875
311.34,0.0,-2.570450305938721e-08,0.004962375940775842,1.619900893419981,175.0,84.75,9,216,0.048889116392579104,-0.0014303736297733849,0.005002692506604944,92160,15.968713706731796,0.3169677734375
308.97,0.0,1.4901161193847657e-09,0.0035326779827670406,1.6298978470265866,175.0,80.5,10,216,0.04354605835755576,-0.0014232245059247362,0.006383109693274491,102400,15.968554890155792,0.333203125
305.47,0.0,2.4959444999694825e-08,0.003917351751329079,1.6647535562515259,150.0,65.25,11,217,0.04686144201223438,-0.0015100795651960652,0.0063031399441797475,112640,15.968716782331466,0.3787841796875
305.07,0.0,4.8428773880004884e-09,0.00430393594953955,1.6770979270339013,127.50000000000021,53.5,12,218,0.046952731848470146,-0.001619665781436197,0.006034293197751594,122880,15.968712770938874,0.371728515625
305.86,0.0,-1.2665987014770507e-08,0.00397175743361089,1.6187912456691265,125.0,58.0,13,218,0.047598762417550615,-0.0017316819212283008,0.004580221537287344,133120,15.968712323904038,0.3132568359375
306.73,0.0,-1.0058283805847169e-08,0.004272781515305723,1.5942248746752739,150.0,62.0,14,219,0.050617162841050854,-0.0008183413541701156,0.005355886892107265,143360,15.96871713399887,0.3539306640625
301.86,0.0,-7.450580596923828e-09,0.003249626370109837,1.580327497422695,125.0,52.5,15,220,0.046208470506213316,-0.0008552698374842294,0.004053151394782617,153600,15.968697208166123,0.268896484375
300.1,0.0,3.7252902984619143e-10,0.002466867972150055,1.6072216987609864,100.0,44.25,16,220,0.04335437956482789,-0.0015915588941425086,0.004993315876504312,163840,15.968659460544586,0.305126953125
298.17,0.0,8.940696716308593e-09,0.0030636900078263806,1.5583130784332753,100.0,39.75,17,221,0.04608605805928987,-0.001471537187717331,0.0041886484805559124,174080,15.968713915348053,0.291796875
297.15,0.0,1.862645149230957e-09,0.003828824123797858,1.638119862228632,75.0,46.75,18,221,0.04770948681112645,-0.0018649732768608374,0.005196506617721752,184320,15.968715649843215,0.32626953125
297.73,0.0,5.215406417846679e-09,0.002467424063719381,1.5890192806720733,75.0,46.5,19,222,0.0471316346336671,-0.0016101377942504768,0.005083821717857972,194560,15.96863321661949,0.3367431640625
304.79,0.0,-1.0058283805847169e-08,0.003813457195178671,1.5462515704333781,100.0,54.25,20,222,0.0464443215248274,-0.0012060434462910052,0.004153361270874711,204800,15.968712347745896,0.2628662109375
311.1,0.0,7.82310962677002e-09,0.005929711132682769,1.4539581306278706,125.0,55.25,21,223,0.04671049207213598,-0.0014127226484561106,0.002991573357917332,215040,15.968716096878051,0.221533203125
328.0,0.0,-1.1175870895385742e-08,0.006630267085392915,1.437238398194313,175.0,81.75,22,222,0.04710787653585533,-0.0017419515323126688,0.0031065175762421404,225280,15.968717527389526,0.2227294921875
336.44,25.0,6.7055225372314455e-09,0.004219611836873582,1.4011204607784749,152.50000000000023,86.25,23,223,0.043478404154036504,-0.0014410162744752596,0.003590975573774813,235520,15.96871417760849,0.220654296875
335.45,0.0,3.7252902984619143e-10,0.0035387180381245996,1.4807763814926147,175.0,86.0,24,223,0.04240431799342488,-0.000862279664943344,0.003932475731483009,245760,15.968682324886322,0.2167724609375
326.7,0.0,-1.3783574104309083e-08,0.00552791468804994,1.652642149478197,150.0,72.25,25,223,0.04996143964082069,-0.0008894696871720953,0.004675342932728199,256000,15.96865411400795,0.2642822265625
324.17,0.0,1.1920928955078126e-08,0.006450010619573732,1.7010106585919857,175.0,95.0,26,223,0.05012217260305228,-0.0013182631897507235,0.0036242875401057972,266240,15.968717390298844,0.2672119140625
319.55,25.0,-1.1175870895385742e-08,0.004085522913231898,1.7169775128364564,175.0,91.5,27,223,0.04549374350783869,-0.001809988673630869,0.005353447439847514,276480,15.968716245889663,0.3125
