policy_entropy,rollout_prob_std,PMM:episode_rewards,grad_norm,model_prob_std,frames,q_loss,policy_loss,P09:episode_rewards,fps,advantage_norm,P01:episode_rewards,episode_length,policy_gradient_bias_correction,explained_variance,epoch_idx,avg_q_retraced,policy_gradient_loss,avg_q_selected
2.1748635450998943,0.012641303776763379,0.0,0.08386151618458423,0.012641303737958272,7200,0.0006472942121035885,0.00022889145834218045,0.0,317,0.030587431602180006,0.0,0,0.0,-106.45201721191407,1,-0.00016587964879969755,0.00022889145834218045,-0.00025839182004953426
2.1942490975062054,0.005394010998619099,0.0,0.024669921048341106,0.005394010952052971,14400,9.411294783300643e-05,2.600139787318767e-05,0.0,177,0.015396855212748051,0.0,0,0.0,-120.28872095743814,2,-0.005516568282231068,2.600139787318767e-05,-0.005488322587431564
2.196511753400167,0.0034367667588715753,0.0,0.004763253945178426,0.0034367667200664678,21600,2.2694721095225154e-05,8.428721865053983e-05,0.0,210,0.016817718061308065,0.0,0,0.0,-24.29690647125244,3,-0.00236799543580067,8.428721865053983e-05,-0.0025064657413167877
2.196119443575541,0.0050098031487626335,0.0,0.004301031589258566,0.005009803109957526,28800,2.7885717736353398e-05,1.490301016625987e-05,0.0,241,0.026461591152474283,0.0,0,0.0,-23.275148105621337,4,-0.0007383859905530698,1.490301016625987e-05,-0.0007353483983024489
2.19694406191508,0.002225293758480499,0.0,0.0014326364168919122,0.002225293715794881,36000,1.0489728128959542e-05,3.841924168834036e-05,0.0,268,0.012296648075183233,0.0,0,0.0,-48.61643352508545,5,-0.0014797399751842022,3.841924168834036e-05,-0.0015093560446985065
2.196833602587382,0.0028371691859016817,0.0,0.0019229148505666175,0.002837169166499128,43200,1.2682210550944243e-05,2.7669526995547738e-05,0.0,290,0.017665392952039838,0.0,3325.0,0.0,-30.995546277364095,6,-0.0009249810197313005,2.7669526995547738e-05,-0.0009774683185848213
2.1970863819122313,0.0014291248594721158,0.0,0.0013890554939905112,0.0014291248517110944,50400,6.4662638730321e-06,1.939041446803458e-05,0.0,309,0.006176208518445492,0.0,3325.0,0.0,-75.33081334431967,7,-0.0013782237210155776,1.939041446803458e-05,-0.0013738032275189957
2.197133771578471,0.0013210832762221496,0.0,0.0013895474326086022,0.0013210832645806174,57600,7.4257103809335e-06,6.600213762339991e-05,0.0,325,0.0073607728506128,0.0,3325.0,0.0,-44.39466791152954,8,-0.0026012891340845574,6.600213762339991e-05,-0.0025560664478689434
2.197027556101481,0.001966067630564794,0.0,0.0010561438841011938,0.0019660676228037727,64800,6.5025756687949375e-06,1.5043864902963832e-05,0.0,338,0.012611219566315413,0.0,3325.0,0.0,-25.466927146911623,9,-0.0007191303113359027,1.5043864902963832e-05,-0.0006716250172758009
2.1970945437749227,0.0014977988825800518,0.0,0.0008958850847436961,0.001497798851535966,72000,5.414579148540118e-06,1.428620999680182e-05,0.0,349,0.00936667958740145,0.0,3325.0,0.0,-60.79836576779683,10,-0.000621407016296871,1.428620999680182e-05,-0.0006458453504213442
2.197013759613037,0.0021381914052957048,0.0,0.0011147534128752997,0.0021381914188774924,79200,5.907676321233642e-06,1.293926273622977e-05,0.0,359,0.015290849888697267,0.0,3325.0,0.0,-21.559503237406414,11,-0.0005118769457718978,1.293926273622977e-05,-0.0004987085407871443
2.197187368075053,0.0007675516739254817,0.0,0.0004721661643449527,0.0007675516681047156,86400,3.0472762584092076e-06,8.359491368992167e-06,0.0,368,0.005199735619438191,0.0,3324.5,0.0,-84.2986876487732,12,9.626435227498102e-06,8.359491368992167e-06,-3.0299161411069995e-05
2.1971753597259522,0.0007930874096928164,0.0,0.0008577443037669542,0.0007930874058123057,93600,3.865069398519457e-06,2.8698331892466437e-05,0.0,375,0.004004613007418811,0.0,3324.5,0.0,-80.55133908589681,13,-0.0016697890173721437,2.8698331892466437e-05,-0.0016929265247502675
2.1971889972686767,0.0007449586060829461,0.0,0.0005207468942745959,0.0007449585925011585,100800,1.967637787932593e-06,2.0264211163597185e-05,0.0,383,0.005081796126129727,0.0,3324.5,0.0,-23.997285652160645,14,-0.0005209710550843738,2.0264211163597185e-05,-0.0005358812451315013
2.1970860958099365,0.0017930420299914355,0.0,0.000848115713967775,0.0017930420067083712,108000,4.512716128601824e-06,6.5441463779810265e-06,0.0,390,0.013574128101269404,0.0,3324.5,0.0,-20.80990152359009,15,-0.0002534305557977253,6.5441463779810265e-06,-0.00028588146560650787
2.1971889177958173,0.0007177777675678954,0.0,0.0003495811009680958,0.0007177777481653417,115200,1.8971164858309446e-06,-2.9649700536538147e-06,0.0,396,0.00505488901787127,0.0,3324.5,0.0,-79.34201900164287,16,9.280630523183694e-05,-2.9649700536538147e-06,6.394671703067919e-05
2.1971304942501915,0.002538942217400449,0.0,0.0006656073948571485,0.0014403088134944456,122400,3.2708604802546834e-06,1.1635082084140437e-05,0.0,398,0.01125825795025328,0.0,3324.722222222222,0.0,-16.073362470581415,17,-1.47518403317627e-05,1.1635082084140437e-05,-5.448326367470492e-05
2.1971954757164394,0.0028759709866299373,0.0,0.00034916155792291415,0.0007547436565235127,129600,1.7076967369760835e-06,-5.716521549242685e-06,0.0,395,0.005700179493324535,0.0,3324.722222222222,0.0,-23.996290194808488,18,0.00022782031293055687,-5.716521549242685e-06,0.00022951637886337934
2.19720320212606,0.003254976371971469,0.0,0.0003006867505653893,0.0006735710844494922,136800,1.420365546267448e-06,-3.6260015034240943e-06,0.0,392,0.005266963895689718,0.0,3324.722222222222,0.0,-22.63631134282172,19,0.00017062369299724876,-3.6260015034240943e-06,0.00016410599654087494
