advantage_norm,approx_kl_divergence,clip_fraction,episode_length,explained_variance,P01:episode_rewards,frames,PMM:episode_rewards,fps,grad_norm,value_loss,epoch_idx,P09:episode_rewards,policy_entropy,policy_loss
15.968642461299897,154559.1437082304,0.1351318359375,294.84375,-0.19073397442698478,0.0,10240,30.46875,267,147615906.02656955,47784959.08562892,1,125.0,0.045915104760714066,0.041638203702791546
15.946320170164109,0.6845246995040558,0.1003173828125,289.25,-1.0430812835693359e-08,0.0,20480,19.09722222222222,270,0.21656306487379062,0.009473380058060329,2,119.99999999999994,0.03251648478095171,0.004568957972014687
15.614954435825348,7.617018127348274e-13,0.0,287.11,-2.5331974029541015e-08,0.0,30720,7.5,272,0.024480577402420364,0.0003360458487965915,3,2.500000000000213,0.00012592933886566016,2.464113549649483e-07
14.78914110660553,1.0800249583553522e-13,0.0,285.96,-1.1548399925231934e-08,0.0,40960,4.0,272,3.061956154433004e-05,2.1929751348114217e-12,4,0.0,0.0001978306878299918,-7.995123496584711e-09
15.160700297355652,7.219114195322617e-13,0.0,286.52,1.1548399925231934e-08,0.0,51200,0.0,271,4.9066525307098406e-05,5.99442080988135e-12,5,0.0,0.0003251015059504425,2.592747023300035e-07
15.19880673289299,9.832713573132422e-07,4.8828125e-05,286.53,-2.4959444999694825e-08,0.0,61440,0.0,271,0.0001727100934411514,1.2908854095528852e-09,6,0.0,0.0006767140937881777,2.632928044477012e-07
15.91133999824524,0.023761855760865203,0.051806640625,286.35,-1.0430812835693359e-08,0.0,71680,0.0,272,0.014636703667060727,8.133542313165064e-05,7,0.0,0.1295104831981007,0.0012490179757207898
15.96868634223938,0.013017864899165944,0.326171875,287.58,0.0,0.0,81920,7.25,274,0.06369400037953642,0.0025819684143279175,8,50.0,1.2500303626060485,0.00249311627158022
15.9685677587986,0.005545101776243655,0.2688720703125,291.67,6.332993507385254e-09,0.0,92160,21.5,276,0.04627975128895036,0.002167387818301303,9,50.0,1.5370909817516805,0.0007039590091153514
15.9686649620533,0.0061392551663175254,0.3314453125,292.94,-1.2665987014770507e-08,0.0,102400,29.75,275,0.047115207972975276,0.0023290342883043103,10,52.50000000000021,1.5919790402054788,-0.0003849015996820526
15.968715220689774,0.004387790237888112,0.26123046875,289.71,-9.313225746154785e-09,0.0,112640,35.25,275,0.047957331755026436,0.0035133430206713,11,75.0,1.6107303753495217,-0.000720350685151061
15.968710285425185,0.004443673324192332,0.3104736328125,289.67,-1.1175870895385742e-09,0.0,122880,43.0,275,0.04518252492501991,0.003120905590437495,12,75.0,1.5394538760185241,-0.0022805270164099056
15.968547528982162,0.0052570023715361475,0.3081298828125,292.15,-1.2073293328285218e-05,0.0,133120,51.0,277,0.050079359515769736,0.004178515383043679,13,100.0,1.623322780430317,-0.0016032843403081642
15.96871657371521,0.004084590450145242,0.2687255859375,294.49,5.960464477539063e-09,0.0,143360,46.5,277,0.044107552632646076,0.003636528533093042,14,100.0,1.53875390291214,-0.0016070265195594403
15.968669378757477,0.003996913100945676,0.2792236328125,293.73,0.0,0.0,153600,44.25,278,0.04688474746157114,0.002000641259954072,15,100.0,1.4535738572478294,-0.00100874021591153
15.96868177652359,0.0044255311406459445,0.3003173828125,290.31,-4.097819328308106e-09,0.0,163840,28.5,278,0.037255244007598845,0.001149026850960233,16,50.0,1.3132210560142994,-0.0010551459185080604
15.968612545728684,0.004361162814319641,0.2158203125,287.64,-1.862645149230957e-09,0.0,174080,16.25,278,0.03435323257904793,0.0013780394018249708,17,50.0,1.2495553888380528,-0.0012140514816564973
15.968575429916381,0.004781387009916216,0.2666015625,286.37,-2.2351741790771484e-09,0.0,184320,18.0,279,0.04241244678375475,0.0018797819575232966,18,50.0,1.3988684058189391,-0.0004582199529977515
15.968709862232208,0.004296307257226318,0.2607177734375,288.36,-1.1548399925231934e-08,0.0,194560,22.0,279,0.046724232657432536,0.0022540716923629134,19,75.0,1.41220922768116,-0.0006410907921235775
15.968690341711044,0.004002664857171112,0.28232421875,290.29,-1.1175870895385742e-09,0.0,204800,26.0,280,0.0492455253877083,0.002141161934971869,20,75.0,1.444525770097971,-0.0006293682199611794
15.968710941076278,0.003341199561918984,0.2485107421875,293.92,-6.7055225372314455e-09,0.0,215040,29.5,280,0.04780305283581522,0.0032027008232262235,21,75.0,1.4063852950930595,-0.0003948636440327391
15.968716561794281,0.0031073750645870036,0.1479736328125,305.66,-1.862645149230957e-09,0.0,225280,51.5,280,0.04298608339130255,0.006864451967084051,22,125.0,1.2740427918732167,-0.0008448952219623606
15.968715542554856,0.0038472533927034645,0.19990234375,310.87,-2.0861625671386717e-08,0.0,235520,69.0,281,0.0376538195440693,0.0033122656409261706,23,175.0,1.1633197329938412,-0.0012713014353721518
15.968704575300217,0.003934804670575431,0.2201171875,311.45,-1.2293457984924316e-08,0.0,245760,65.25,281,0.038932022108418285,0.0026518498393812706,24,152.50000000000023,1.183346762508154,-0.000887760469049681
15.968710088729859,0.0038786516839991237,0.2309326171875,302.49,-2.6077032089233397e-09,0.0,256000,53.0,282,0.04069176011532371,0.003676191332422718,25,77.50000000000021,1.2404394745826721,-0.0009372738582897
15.968708300590515,0.004013987460530189,0.22861328125,298.71,4.8428773880004884e-09,0.0,266240,41.5,282,0.045279622683480694,0.0036213916033972283,26,75.0,1.3713755205273628,-0.001097204355755821
15.968715971708297,0.00498546592395428,0.2999267578125,299.89,2.4959444999694825e-08,0.0,276480,48.0,282,0.046716950960918116,0.00356527768747128,27,75.0,1.3377563692629337,-0.0010052545425423887
