policy_loss,P09:episode_rewards,value_loss,frames,fps,epoch_idx,advantage_norm,policy_entropy,episode_length,P01:episode_rewards,PMM:episode_rewards,grad_norm,explained_variance
-0.07322472143045161,2.0,0.3445431551875026,8000,811,1,3.0116841309145093,1.3225831526517868,160.68085106382978,0.0,0.9574468085106383,10.911128455689768,-1.1938838613033296
0.0015819121873937548,2.6000000000000085,0.009012714966429485,16000,839,2,0.9496209444850683,1.3749760949611665,168.03157894736842,0.0,1.1157894736842104,0.16629771838594057,-0.26208491444587706
-4.873409372521564e-05,3.0,0.008126157366591542,24000,871,3,0.825151574909687,1.3841195261478425,174.54,0.0,1.23,0.11827760863510046,-0.25554624676704407
-0.00013800831336993724,3.0,0.0091729062802915,32000,885,4,0.9302019613236189,1.38188183426857,175.57,0.0,1.21,0.1195347727452849,-0.11861694812774658
0.0011416765442118048,3.0,0.009383175310176739,40000,893,5,0.9564922427013517,1.3848820233345032,181.21,0.0,1.36,0.1038247680659363,-0.1446179872751236
0.0007443493534810841,3.1000000000000085,0.009878900256517227,48000,901,6,0.9807979703694581,1.385032329559326,183.3,0.0,1.43,0.10545282498812666,-0.116631498336792
0.00036689568383735605,4.0,0.009735706223291346,56000,908,7,0.9541783514618873,1.3833888292312622,183.62,0.0,1.41,0.11598915685580699,-0.1562866872549057
0.00145365493837744,3.0,0.00988872943484239,64000,914,8,0.9623959162086249,1.384161994457245,183.75,0.0,1.43,0.11710840608551479,-0.1431242173910141
-7.900462544057518e-05,3.0,0.008266728908029108,72000,916,9,0.8558337606489659,1.385264583826065,184.57,0.0,1.41,0.11126716650273863,-0.19023322820663452
-9.196931787300855e-05,3.1000000000000085,0.009127663924191438,80000,918,10,0.9417799477279186,1.3851075792312622,185.64,0.0,1.39,0.11638011170895701,-0.12309430658817291
0.0017711220064666122,3.0,0.008411124963913608,88000,919,11,0.8736175394430756,1.3842242777347564,179.32,0.0,1.28,0.13308494201729973,-0.20366735100746156
-0.0008506708462664392,3.0,0.0075738226427802145,96000,920,12,0.8193681952357292,1.3840660893917083,172.01,0.0,1.15,0.10503154068271556,-0.20071732580661775
0.0014270790945738554,3.0,0.009534181182880274,104000,922,13,0.9832896022126079,1.3854865431785583,170.64,0.0,1.1,0.11437282685701272,-0.09644773244857788
-7.076786074321718e-05,3.0,0.00796723938408377,112000,923,14,0.8154633258283138,1.385037454366684,175.83,0.0,1.22,0.10877248541136118,-0.21680567383766175
-0.00010592681355774403,3.0,0.00874935233468932,120000,923,15,0.9208766307681799,1.3826062679290771,179.09,0.0,1.32,0.133058139490282,-0.23114210188388826
0.0027728402782668127,3.0,0.00976195863690009,128000,925,16,0.9464832864701748,1.384222764968872,178.74,0.0,1.27,0.14110340997632614,-0.24897931575775145
-0.0025263702980009837,3.0,0.008305636563745793,136000,925,17,0.8426059064641594,1.3855685079097748,177.1,0.0,1.23,0.13107119007912935,-0.32012853503227234
0.001762487426167354,4.0,0.010445935173229372,144000,926,18,1.0306726211309434,1.3849363362789153,187.01,0.0,1.51,0.142028669003939,-0.15271988332271577
0.0015242481761379167,4.0,0.0102549904884836,152000,927,19,1.0138509490713477,1.3850470674037934,190.32,0.0,1.67,0.1384526213568374,-0.16004087030887604
0.0014570469543104991,5.0,0.009397487692513095,160000,928,20,0.9084316001087427,1.384141583442688,196.25,0.0,1.83,0.14591353159159007,-0.2485602343082428
-0.0015826818125788122,4.1000000000000085,0.007275732411289937,168000,929,21,0.7684675396233797,1.3827508413791656,183.25,0.0,1.4,0.12031168121175628,-0.3468324333429337
0.0009033153778864289,4.0,0.009044508915749247,176000,930,22,0.9235463758185506,1.3832887196540833,177.11,0.0,1.26,0.13313079453722879,-0.19062524676322937
0.0016665141549310647,4.0,0.010822835353392292,184000,932,23,1.0887780096381903,1.3803648698329924,185.42,0.0,1.48,0.14584235168984921,-0.057352946400642396
0.0012618161502177827,5.0,0.008709701973421033,192000,932,24,0.9147499214857817,1.3785037088394165,194.44,0.0,1.65,0.13225305561585235,-0.06082855701446533
0.00026648803701391445,5.0,0.01125174597324076,200000,934,25,1.1075045880675316,1.377187992334366,205.94,0.0,2.04,0.16803324041974452,-0.01188034176826477
0.00045395823966828177,6.1000000000000085,0.010260724696345279,208000,934,26,1.0796218102425337,1.3791998851299285,212.43,0.0,2.34,0.17644417739579185,-0.07858738481998444
-0.0004691365717371809,5.1000000000000085,0.006788706630468369,216000,935,27,0.8577739223092794,1.3779469692707063,214.46,0.0,2.31,0.1645887943061702,-0.07205090999603271
0.0004856648358691018,4.0,0.007213676511892118,224000,934,28,0.8348771802335978,1.3772855627536773,186.25,0.0,1.44,0.15704181993409494,-0.597530871629715
0.00020316663183621132,4.0,0.008389568941420294,232000,936,29,1.0000639161467553,1.378823858499527,188.33,0.0,1.57,0.1805202031374103,-0.03637123942375183
3.4516107116360215e-05,5.0,0.007420210839627544,240000,936,30,0.9049246101081372,1.3832315063476563,193.29,0.0,1.69,0.17742325340798906,-0.11177493870258332
0.00010227942955680191,3.1000000000000085,0.007282670527711161,248000,936,31,0.8870194727182388,1.381503393650055,187.17,0.0,1.54,0.18095531541842436,-0.11630970001220703
-0.0005756139749428257,4.0,0.00709846554986143,256000,936,32,0.8983456035703421,1.384851404428482,184.63,0.0,1.45,0.1898397836953439,-0.019204673171043397
0.00019387783976526407,3.0,0.006179398879503424,264000,936,33,0.7639209347963333,1.3846196007728577,177.06,0.0,1.21,0.16101492358585306,-0.26087540030479434
