P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,episode_length,explained_variance,frames,policy_entropy,grad_norm,fps,epoch_idx,value_loss,policy_loss,advantage_norm
2.0,0.0,1.1162790697674418,171.5581395348837,-2.540789833664894,8000,1.3295642465353013,2.436496332623666,250,1,0.07858983076571349,-0.026870743462641258,1.9827205333858728
3.0,0.0,1.1235955056179776,171.80898876404495,-0.034444236755371095,16000,1.3781877613067628,0.2445041094074153,166,2,0.014028100649720727,0.0029584196326322854,1.2548753726482391
4.0,0.0,1.55,186.78,-0.22604583323001862,24000,1.376969470977783,0.24390894885436545,175,3,0.015760988594774972,0.004609509895090014,1.3032724468410015
4.0,0.0,1.58,187.67,-0.07274058878421784,32000,1.3667436063289642,0.2473693204414332,179,4,0.014849751979054417,0.0021758100378792733,1.2369416829571127
4.0,0.0,1.54,190.37,-0.06723223030567169,40000,1.3649172830581664,0.24922025371910778,184,5,0.016615906322876982,0.0008718005829723552,1.3761732944846152
4.0,0.0,1.7,196.14,-0.043035442233085634,48000,1.3694670498371124,0.2682849473879726,189,6,0.016332108383103332,0.002772193744822289,1.365946959219873
5.0,0.0,1.95,204.61,0.06004461169242859,56000,1.3596700644493103,0.29839872456569094,194,7,0.017892038600766682,0.003651504813169595,1.474545205384493
5.0,0.0,2.08,209.01,-0.02412737548351288,64000,1.3647388291358948,0.2724090023965539,198,8,0.014666239615326048,0.0007446077174972743,1.337256600856781
4.0,0.0,1.92,205.4,0.17896807551383973,72000,1.3207387661933898,0.44562358839480887,202,9,0.019218807623110477,-0.0042692842317410395,1.5135590028762818
4.0,0.0,1.7,198.4,0.34262892067432404,80000,1.3690104329586028,0.38047655305129474,206,10,0.015058764382847584,-0.00032030240283347666,1.383195131421089
4.0,0.0,1.51,187.57,0.5374891501665116,88000,1.3742044174671173,0.2795243512983351,210,11,0.009256506277597509,0.0003251919220201671,1.0669708162546159
4.0,0.0,1.47,186.2,0.6635406571626663,96000,1.3649199092388153,0.46364239928905415,214,12,0.017956282984523567,-0.0036518597189569846,1.5718174812197685
5.0,0.0,1.55,190.74,0.6768967175483703,104000,1.3789867186546325,0.3559943890518847,218,13,0.01225095420726575,-0.0025807994860224427,1.239937243461609
5.0,0.0,1.64,195.41,0.7804520481824875,112000,1.3547725284099579,0.44952239355186063,221,14,0.013351383120170795,-0.00702263605344342,1.3683902940154076
5.0,0.0,1.94,202.39,0.8220429921150207,120000,1.3455842590332032,0.39148864394011773,224,15,0.011899863348808139,-0.0012542590279190336,1.2941745388507844
8.100000000000009,0.0,2.4,212.78,0.8469238901138305,128000,1.3404955434799195,0.3421312074606602,227,16,0.010047726561897435,-0.00035304271179484206,1.182768782377243
7.1000000000000085,0.0,2.23,208.5,0.9169924253225327,136000,1.3370577156543733,0.2886117084696636,229,17,0.00689753710932564,-0.002321742626837704,0.9786637577414513
5.0,0.0,1.93,199.06,0.9272187274694442,144000,1.325448410511017,0.3162424721861639,232,18,0.00877242228074465,-0.003850300959093147,1.0078791925311088
5.0,0.0,1.91,197.39,0.9289773732423783,152000,1.3269840025901793,0.24442246249234081,233,19,0.006058468128321693,-0.0013897132688362034,0.9060493159294128
5.0,0.0,1.82,195.25,0.9519183868169785,160000,1.3370211970806123,0.207082814306697,235,20,0.004569222881109454,0.0003799698958755471,0.7776941239833832
5.0,0.0,2.07,208.68,0.9612904214859008,168000,1.3403201735019683,0.21509672434777527,237,21,0.004766751888382714,-0.0020227625912821166,0.7889526711404323
