explained_variance,value_loss,approx_kl_divergence,epoch_idx,advantage_norm,clip_fraction,P09:episode_rewards,fps,frames,episode_length,grad_norm,policy_entropy,policy_loss,P01:episode_rewards,PMM:episode_rewards
-0.34179622605443,1430661302.1208885,2103030.275584958,1,15.968717885017394,0.1932373046875,219.99999999999994,487,10240,366.9166666666667,1290216290.6347609,0.11356785952464668,0.06428705266589532,125.0,157.29166666666666
-1.7136335372924803e-08,0.009829734801951418,0.007499163341210635,2,15.968717044591903,0.06533203125,125.0,398,20480,357.05357142857144,0.1316762686447891,0.19484856964554637,0.0026364285571617075,125.0,138.83928571428572
8.568167686462402e-09,0.010136120635343105,0.008121657124593184,3,15.968717575073242,0.1246826171875,172.50000000000014,441,30720,357.890243902439,0.13003951000942182,0.6975203787907958,0.0019166202382621123,125.0,139.9390243902439
1.7136335372924803e-08,0.011489959809114225,0.0031471083639360133,4,15.968717819452285,0.114990234375,200.0,463,40960,356.23,0.0611436830144013,0.9453556906431914,0.0003086788536165841,125.0,144.5
-1.1920928955078126e-08,0.01064403403106553,0.002648201922960425,5,15.968717885017394,0.110498046875,250.0,481,51200,358.85,0.04017577123253069,0.8908874440938235,-0.00058628699844121,125.0,161.75
-2.9802322387695314e-09,0.010393831754481653,0.0023343445849150156,6,15.968717658519745,0.0963134765625,250.0,491,61440,361.15,0.033670448484262684,0.8596672989428044,-0.0002670654652320081,125.0,173.0
-9.313225746154785e-09,0.011441959469811991,0.001901240413639016,7,15.968717861175538,0.1013916015625,250.0,501,71680,357.37,0.03361009487486196,0.8949817828834057,4.5232174670672975e-05,125.0,182.0
-6.7055225372314455e-09,0.011333191905578133,0.0035151687835082157,8,15.968717777729035,0.14345703125,250.0,504,81920,362.16,0.037632604932293555,1.0375920627266169,-0.00031597845008946024,125.0,186.25
-8.568167686462402e-09,0.012839006527792662,0.0026861612949346638,9,15.96871793270111,0.1337646484375,250.0,511,92160,356.31,0.036932886515523004,1.0769095677882432,-0.0004778207694471348,125.0,196.75
-7.450580596923829e-10,0.013512386308138957,0.003268254132706261,10,15.96871770620346,0.17314453125,275.0,509,102400,353.63,0.03988108275731157,1.2076558783650397,-0.0006722165006067371,125.0,202.5
-2.6822090148925782e-08,0.013921624455542769,0.002845186010040379,11,15.96871766448021,0.159326171875,300.0,510,112640,345.93,0.04668130127041391,1.3803444743156432,-0.0007097361944033764,125.0,216.0
-5.587935447692871e-09,0.014960629926645198,0.0037256559964021106,12,15.968718022108078,0.2296630859375,325.0,512,122880,346.77,0.05750284279086051,1.501763228327036,-0.0001400738537995494,125.0,234.5
-3.3527612686157227e-09,0.011943832636461593,0.002960253647029276,13,15.968717861175538,0.194921875,330.0000000000004,513,133120,347.01,0.053676032810415476,1.6416557647287846,-0.0007151300131226889,125.0,248.25
-4.097819328308106e-09,0.012269288102106656,0.0030559406636712083,14,15.968717849254608,0.218505859375,482.5000000000007,515,143360,350.5,0.05527346466444567,1.6568559467792512,-0.0011642988305538894,100.0,251.25
-2.644956111907959e-08,0.010911538292384648,0.0037548448501070197,15,15.968717753887177,0.2626220703125,430.0000000000004,516,153600,348.99,0.05452049425349238,1.6556047461926937,-0.00222604537193547,75.0,227.0
5.215406417846679e-09,0.012142230960489542,0.0030210404007675606,16,15.968717694282532,0.2134521484375,477.5000000000002,518,163840,338.78,0.05583875453501217,1.6600223779678345,-0.000800713603530312,72.50000000000001,215.5
5.215406417846679e-09,0.011339996098104165,0.0033238726222407423,17,15.968717646598815,0.22548828125,382.5000000000007,519,174080,337.56,0.05564675892999267,1.6365665026009082,-0.0013561515468609286,75.0,208.5
-1.0058283805847169e-08,0.012627218356647063,0.003219524762062065,18,15.968717777729035,0.227880859375,502.5000000000002,519,184320,336.56,0.058780474117526724,1.640029677003622,-0.001510152029732126,72.50000000000001,224.0
2.4959444999694825e-08,0.011359077124507167,0.0030062894561524445,19,15.968717783689499,0.213720703125,380.00000000000045,520,194560,337.06,0.05333579642638445,1.5839822806417942,-0.0015307796846173005,72.50000000000001,217.5
3.7252902984619143e-10,0.011573281635992316,0.0023912320800974383,20,15.96871750354767,0.1504638671875,475.0,520,204800,345.14,0.050141709990352536,1.4966958716511727,-0.0013176222044421592,50.0,225.5
-6.332993507385254e-09,0.011357619214686565,0.003462125725371834,21,15.968717801570893,0.215771484375,430.0000000000004,520,215040,346.73,0.049001265166895736,1.481632049381733,-0.0015523539383138995,50.0,218.0
-1.080334186553955e-08,0.011730026960140093,0.002970269581174989,22,15.968717801570893,0.1924072265625,527.5000000000002,522,225280,350.13,0.051445655420785864,1.4880978092551231,-0.0009454868173634168,72.50000000000001,225.25
-1.2293457984924316e-08,0.011816860177350463,0.0024152982072791927,23,15.968717634677887,0.1847900390625,407.5000000000006,523,235520,357.33,0.05138031712538273,1.5667018555104733,-0.0015420773739606374,75.0,232.75
-1.1175870895385742e-09,0.011108753277812865,0.00300520292512374,24,15.968717640638351,0.2205322265625,407.5000000000006,523,245760,353.02,0.05403403090507889,1.5319416143000126,-0.0015824065645574591,100.0,232.0
-3.725290298461914e-09,0.012001364714524242,0.0030027764110514,25,15.968717736005782,0.2095458984375,352.5000000000002,523,256000,353.79,0.056177367641453604,1.4913127802312374,-0.0015039797792269383,72.50000000000001,212.75
5.587935447692871e-09,0.01284313114010729,0.00230511576949084,26,15.968717867136002,0.1767578125,502.5000000000002,523,266240,362.33,0.056361218703884705,1.4650989487767219,-0.0010111562889505877,75.0,232.75
-3.725290298461914e-09,0.014131340872700094,0.0025556010619311566,27,15.968718039989472,0.1720947265625,552.5000000000002,523,276480,360.95,0.0539222657825288,1.5039014212787152,-0.001212471353210276,75.0,248.75
-1.1548399925231934e-08,0.010339037736412138,0.002429630281670825,28,15.96871787905693,0.1822265625,552.5000000000002,524,286720,359.19,0.051882785726668025,1.5249103121459484,-0.0016214925581152784,72.50000000000001,257.5
-9.685754776000977e-09,0.01046526294776413,0.003404111530312548,29,15.968717730045318,0.1749755859375,575.0,525,296960,357.42,0.04867792238116377,1.448082299530506,-0.0012700763621978695,72.50000000000001,252.75
2.9802322387695314e-09,0.008705507909326116,0.0028622778159387964,30,15.968717604875565,0.2115234375,402.5000000000002,525,307200,345.15,0.051619937092992604,1.530721827596426,-0.0013900536519940942,25.0,193.25
-1.0430812835693359e-08,0.013211070321267471,0.003253613836295699,31,15.968717885017394,0.2481201171875,477.5000000000002,526,317440,349.36,0.058715965993444266,1.5540821120142936,-0.0017875260356959189,25.0,202.5
9.313225746154785e-09,0.010757353609005805,0.002970848155200656,32,15.96871793270111,0.212060546875,500.0,527,327680,348.04,0.055083602249649234,1.5611214227974415,-0.0007612638790305936,25.0,209.25
7.078051567077636e-09,0.00959226847753598,0.002417905568756851,33,15.968717670440673,0.184033203125,525.0,527,337920,345.57,0.051784038312739956,1.5544995382428168,-0.0006283502974838484,25.0,212.25
1.2293457984924316e-08,0.01090752138516109,0.0028245058668403544,34,15.968717730045318,0.2069091796875,525.0,528,348160,346.43,0.055588410146855984,1.4904051370918752,-0.001016505979350768,25.0,215.5
-6.7055225372314455e-09,0.006950492904022276,0.0034427757920866497,35,15.96868754029274,0.234814453125,500.0,527,358400,336.48,0.04998309607743713,1.5631992183625698,-0.001557097552176856,22.500000000000007,180.25
7.450580596923828e-09,0.005152107557547936,0.0031140748774987513,36,15.968716621398926,0.2315673828125,400.0,527,368640,325.2,0.04809318392757943,1.6031644605100155,-0.0010699968581320718,0.0,151.25
1.3783574104309083e-08,0.004182349076427272,0.0032057643941968196,37,15.968715780973435,0.237841796875,200.0,527,378880,309.92,0.04583297058781401,1.5493196718394757,-0.000940221808559727,0.0,91.75
9.685754776000977e-09,0.00635155052502796,0.002498522650364521,38,15.968715888261794,0.1957275390625,150.0,527,389120,299.04,0.049558887866341446,1.5309828534722327,-0.0006547206270624883,0.0,78.75
-4.8428773880004884e-09,0.004746762324157316,0.004012440967937891,39,15.968715673685073,0.2560791015625,150.0,528,399360,301.82,0.04512413623051279,1.4702664852142333,-0.0010283620904374402,0.0,77.0
-1.1175870895385742e-09,0.004720871930010162,0.004083713576369519,40,15.968716555833817,0.331201171875,175.0,528,409600,300.66,0.04700538244118078,1.517483501136303,-0.002036209881407558,0.0,79.75
