frames,fps,advantage_norm,epoch_idx,approx_kl_divergence,policy_loss,P09:episode_rewards,PMM:episode_rewards,episode_length,grad_norm,explained_variance,value_loss,policy_entropy,P01:episode_rewards,clip_fraction
10240,201,15.968719154596329,1,0.06245286600396911,0.01537659637615434,312.5,224.03846153846155,338.2307692307692,161.28956866835432,-0.0808142714202404,17.50927490440663,1.4545523775741458,150.0,0.3526611328125
20480,176,15.968718898296355,2,0.002434618031776382,-0.00027087330308859234,375.0,260.96491228070175,358.0175438596491,0.931319743535429,-6.438940763473511e-05,0.05588976857252419,1.654542412608862,150.0,0.157080078125
30720,181,15.968718099594117,3,0.002100570215100106,-0.0010614781349431723,375.0,241.27906976744185,353.7325581395349,0.5205662821534707,-3.7252902984619143e-10,0.02555846838513389,1.7016159743070602,75.0,0.146142578125
40960,186,15.968717938661575,4,0.0018782114428233855,-0.001524742000401602,375.0,220.25,345.57,0.24481282742866783,-1.0430812835693359e-08,0.019886403446434997,1.7436761431396008,50.0,0.12470703125
51200,187,15.968718153238296,5,0.0011532718262259323,-0.0011547124395292485,350.0,184.0,329.35,0.142063306890089,1.825392246246338e-08,0.022361058491514995,1.7686253771185876,50.0,0.0671142578125
61440,188,15.968718099594117,6,0.00033745448295334767,-0.000640736846071377,352.5000000000002,183.0,324.6,0.08996626039689035,7.450580596923829e-10,0.020167937068617903,1.7882807821035385,50.0,0.0062744140625
71680,189,15.968718254566193,7,0.0001656763915846682,-0.0005595083115622401,475.0,194.75,332.6,0.0799976562302964,5.215406417846679e-09,0.021896928478963674,1.7892031125724315,50.0,0.0
81920,190,15.9687180519104,8,0.00020170382815614117,-0.0006900676884470158,480.00000000000045,199.5,334.58,0.07816554849672266,-8.568167686462402e-09,0.020559505256824196,1.7809419579803945,50.0,0.001123046875
92160,190,15.96871817111969,9,0.00017004989808313553,-0.0005905190682824468,527.5000000000002,205.5,343.45,0.07620932985022458,1.1920928955078126e-08,0.021956576462252998,1.7828229516744614,50.0,0.0
102400,190,15.968718403577805,10,0.0002129642091709627,-0.0007427311287756311,550.0,223.75,350.79,0.09607192316599218,-1.1920928955078126e-08,0.02539665251970291,1.7820303924381733,50.0,0.0
112640,192,15.9687180519104,11,0.00018405341374361228,-0.0005084692720629391,452.50000000000017,198.5,345.66,0.08120558464864966,-1.1920928955078126e-08,0.018676330679591048,1.7758325271308422,50.0,0.0
122880,191,15.968718034029006,12,0.00020794496761986637,-0.0006534597212521475,452.50000000000017,196.5,344.8,0.0768979473753918,-1.6391277313232423e-08,0.019698241955484263,1.7826796628534793,50.0,0.0
133120,191,15.968718087673187,13,0.00018693337230075714,-0.0007066041231155396,427.5000000000002,171.25,334.99,0.07230345401104538,1.1175870895385742e-09,0.018576438186573795,1.7859899163246156,25.0,0.0
143360,192,15.96871817111969,14,0.00015712341638334236,-0.0004858145543948922,427.5000000000002,180.75,332.55,0.07907588606858461,-1.1548399925231934e-08,0.02131296411098447,1.7755626328289509,25.0,0.0
153600,192,15.968718147277832,15,0.00014851137215909915,-0.0007419179863063618,355.00000000000045,176.0,334.53,0.06786951078220158,7.450580596923829e-10,0.019484622892923652,1.7660651706159114,47.50000000000001,0.0
163840,192,15.968718165159226,16,0.00017233764494370974,-0.0005963436924503185,280.00000000000045,180.0,336.53,0.06516906800820621,-1.1175870895385742e-09,0.022724707511952148,1.7523269750177861,50.0,0.0
174080,192,15.968718123435973,17,0.00016588432874176107,-0.0005673174855473917,250.0,167.5,336.28,0.0633684907717474,-1.3411045074462891e-08,0.022106647409964354,1.7651412904262542,50.0,0.0
184320,193,15.968718296289444,18,0.00010721780002462822,-0.00044359324710967484,280.00000000000045,178.75,340.46,0.06894831923558285,-1.1175870895385742e-09,0.021359278389718385,1.7753855764865876,50.0,0.0
194560,192,15.968718105554581,19,0.0001084844609835045,-0.0004399593439302407,330.0000000000004,193.0,344.39,0.05704346078576924,-1.3783574104309083e-08,0.022429161847685463,1.7680047571659088,50.0,0.0
204800,193,15.968718427419663,20,0.00013497643853099817,-0.0005807629717310192,500.0,205.75,345.44,0.05293052446546196,-1.30385160446167e-08,0.024967536964686586,1.7727583043277264,50.0,0.0
215040,193,15.968718147277832,21,0.00012707326777245954,-0.0004382080580398906,500.0,217.25,348.38,0.05710964496015271,4.470348358154297e-09,0.02387009435915388,1.774944031983614,50.0,0.0
225280,193,15.968718439340591,22,0.00017810540722535962,-0.0007229279621242312,527.5000000000002,232.5,349.25,0.05885321438814232,2.6077032089233397e-09,0.02497358628315851,1.7845105074346066,50.0,0.0
235520,193,15.968718105554581,23,8.289312726859067e-05,-0.0003824163943136227,525.0,212.0,345.92,0.0537301555115479,-2.7567148208618165e-08,0.021728991527925245,1.7779637277126312,50.0,0.0
245760,193,15.96871821284294,24,0.00016520932705361703,-0.0006444978112995159,502.5000000000002,204.25,342.29,0.056533880260813116,-1.1175870895385742e-09,0.021384969033533707,1.7773789264261723,25.0,0.0
256000,194,15.968718218803406,25,0.00020126397355682001,-0.0009896954763462418,477.5000000000002,192.5,337.66,0.059355649236646504,1.2665987014770507e-08,0.023078239511232824,1.7645085752010345,25.0,0.0
266240,194,15.968718320131302,26,0.00013898169229946687,-0.0004196544014121173,525.0,227.25,347.87,0.054242497026713354,-9.313225746154785e-09,0.02506807225290686,1.7703643977642058,50.0,0.0
276480,194,15.968718111515045,27,0.00011360722577045124,-0.00048151884839171545,525.0,214.5,347.46,0.056435919647507035,3.7252902984619143e-10,0.020530945324571802,1.7756478779017926,50.0,0.0
286720,194,15.968718057870865,28,0.00014404868165094343,-0.0005453500663861633,527.5000000000002,220.0,344.02,0.05460772329806766,9.685754776000977e-09,0.019104136482928878,1.7865895323455334,47.50000000000001,0.0
296960,194,15.968718153238296,29,0.00012211759112592535,-0.0005342278216630802,525.0,199.25,341.15,0.05466898487531362,-6.7055225372314455e-09,0.02266286852536723,1.789353573322296,25.0,0.0
