P09:episode_rewards,value_loss,clip_fraction,advantage_norm,epoch_idx,grad_norm,policy_entropy,approx_kl_divergence,episode_length,fps,frames,P01:episode_rewards,policy_loss,PMM:episode_rewards,explained_variance
280.0,0.3318132429383695,0.2740234375,15.968719309568405,1,13.152403300004739,1.7350354097783565,0.10388705864588761,323.82758620689657,172,10240,50.0,0.024365147196294856,167.24137931034483,-0.025876212865114212
310.0,0.1707364921923727,0.140283203125,15.968719315528869,2,4.469083901905991,1.7209707550704478,0.0022305758383939877,336.96491228070175,165,20480,50.0,-0.002966247520089382,204.3859649122807,0.1961857531219721
405.00000000000006,0.14949460844509305,0.132177734375,15.968719524145126,3,3.866900817602699,1.7210608750581742,0.0021162454924709808,344.314606741573,171,30720,50.0,-0.0028032220263412453,225.8426966292135,0.4302353113889694
502.5000000000002,0.16793568339198828,0.1568359375,15.968719214200974,4,4.157363951985185,1.7247517585754395,0.002440302789773633,348.23,174,40960,72.50000000000001,-0.0033545828504429665,249.75,0.5128598235547542
575.0,0.15441632485017182,0.1193603515625,15.96871938109398,5,3.3705705771888006,1.7338531844317913,0.002032690388535046,358.04,176,51200,50.0,-0.004278428915131372,269.75,0.5015500638633966
575.0,0.14286000989377498,0.1193603515625,15.968719148635865,6,2.697997747927106,1.733006937801838,0.001999929155590796,352.21,179,61440,75.0,-0.004814129667647648,270.0,0.5221281539648771
577.5000000000002,0.14016798888333143,0.152587890625,15.968719297647477,7,3.7488679702007617,1.666608776152134,0.002383894471768454,351.54,181,71680,97.5,-0.004711257784219924,271.0,0.6528210036456585
575.0,0.14408342274837196,0.1363037109375,15.968719279766082,8,3.7326364402791774,1.6458289578557015,0.0022833152777824006,355.02,182,81920,125.0,-0.004351169162691804,291.5,0.7037689842283725
550.0,0.12643677946180104,0.1472900390625,15.968719178438187,9,3.068413598546103,1.6750248283147813,0.002303512752223738,360.15,182,92160,125.0,-0.004492070534615778,282.5,0.7160705357789994
527.5000000000002,0.1358894478995353,0.1435791015625,15.968719154596329,10,2.394466792762656,1.6949331015348434,0.002256908323716118,364.15,184,102400,125.0,-0.006328697142271267,295.25,0.669218011200428
575.0,0.14089171066880227,0.123046875,15.968719446659088,11,2.6596456917176106,1.709253292530775,0.0019820784741571684,367.08,185,112640,150.0,-0.006316788311960408,318.5,0.7153691034764051
602.5000000000002,0.12952580736018718,0.1457763671875,15.968719494342803,12,2.497010715603563,1.709125704318285,0.0023576324442049915,372.58,185,122880,150.0,-0.006054448911527288,322.25,0.746360706910491
625.0,0.12588141341693698,0.1425048828125,15.96871936917305,13,2.3727604522263355,1.6890094622969627,0.0022334203935319,374.57,187,133120,150.0,-0.006317008417681791,319.75,0.7559757862240076
627.5000000000002,0.11539503801614046,0.1451416015625,15.968719357252121,14,2.0406615481451875,1.7002799838781357,0.0022667325678642934,382.49,187,143360,150.0,-0.007416525755616021,335.0,0.7949548553675413
650.0,0.12074820911511779,0.1287841796875,15.968719148635865,15,2.0139997277124055,1.7107585489749908,0.0020852849532278384,384.98,188,153600,150.0,-0.0066307493456406515,343.0,0.8002978313714266
675.0,0.1441129713319242,0.104736328125,15.968719393014908,16,2.2510194496560967,1.7323234915733337,0.0017774730961266747,397.01,188,163840,150.0,-0.0060152334328449795,388.75,0.8024480003863573
727.5000000000002,0.1411603587679565,0.1402099609375,15.968719410896302,17,2.484483250347309,1.7359594501554967,0.0022716484730838666,402.5,188,174080,150.0,-0.006621961362907314,413.0,0.8342944782227277
675.0,0.15662877671420575,0.130908203125,15.968719363212585,18,2.704027332464099,1.7278517477214337,0.002067968194819802,404.11,188,184320,172.5,-0.00658675257327559,399.75,0.8277450118213892
680.0000000000003,0.14800696612801403,0.1610107421875,15.968719267845154,19,2.2787959640322972,1.7212294682860374,0.002461683520005263,409.28,189,194560,175.0,-0.008819689925803686,420.0,0.8197914682328701
652.5000000000002,0.17302779508754612,0.1539794921875,15.968719279766082,20,2.165019767142273,1.706514061242342,0.0024314408884040916,404.5,189,204800,200.0,-0.0075184587163676046,402.0,0.7692288756370544
675.0,0.1514009649399668,0.165771484375,15.968719136714935,21,2.231319967593149,1.7026750288903714,0.0025322616455017216,405.25,189,215040,175.0,-0.007648859007895225,406.5,0.81031184643507
675.0,0.16324232260230928,0.157470703125,15.968719184398651,22,2.526717524498738,1.7188283585011959,0.0023933502286812075,405.54,190,225280,200.0,-0.008397133646940346,418.0,0.8310712814331055
677.5000000000002,0.12725652367807924,0.1362060546875,15.968719345331191,23,1.834320319676063,1.72535006031394,0.002203008402625789,411.93,190,235520,222.5,-0.009172411884355825,433.25,0.8654195893555879
675.0,0.14096967158839108,0.1460205078125,15.968719148635865,24,2.2696061146839623,1.7394053526222706,0.0022187075672721246,418.58,190,245760,225.0,-0.007945373404072597,430.5,0.8369324583560228
652.5000000000002,0.1388629424618557,0.1230712890625,15.968719244003296,25,2.0838051622591975,1.74248571023345,0.0019396560719090092,421.88,190,256000,225.0,-0.007940498844254762,410.5,0.8214491561055184
652.5000000000002,0.15967012743931264,0.1427978515625,15.968719124794006,26,1.9879715035838668,1.7359362721443177,0.0022133607500111696,419.28,191,266240,220.00000000000003,-0.008217860155855305,403.5,0.8099368367344141
650.0,0.15493617602624,0.155615234375,15.968719220161438,27,2.167750867897415,1.7210495695471764,0.0024162225528019205,409.31,191,276480,200.0,-0.007772071234103351,388.75,0.8406073156744241
650.0,0.12479723817668856,0.1623779296875,15.968719160556793,28,1.7806767835716688,1.7207825414836406,0.002546226850108993,396.18,191,286720,175.0,-0.009198945747630204,374.75,0.8538893088698387
652.5000000000002,0.17450642585754395,0.1168212890625,15.968719357252121,29,2.106993303306641,1.7243687227368354,0.0019374477845078898,392.08,191,296960,175.0,-0.008693096808565315,388.5,0.7703562241047621
