PMM:episode_rewards,P09:episode_rewards,avg_q_retraced,policy_entropy,fps,rollout_prob_std,advantage_norm,model_prob_std,q_loss,P01:episode_rewards,policy_gradient_bias_correction,avg_q_selected,policy_loss,episode_length,grad_norm,frames,explained_variance,epoch_idx,policy_gradient_loss
0.0,0.0,-0.003780244597389052,2.183469883600871,347,0.011027210267881553,0.036941738612949845,0.011027210190271338,0.00035556042348616756,0.0,0.0,-0.0037053286156151443,5.3383175092373374e-05,0,0.05585061487812393,7200,-77.37618490854899,1,5.3383175092373374e-05
0.0,0.0,0.0022697242617141455,2.1693463842074077,217,0.013890692382119596,0.01658758012733112,0.013890692304509381,0.0009245946230900397,0.0,0.0,0.0018427454992585505,-9.883867747551752e-05,0,0.16980878865970273,14400,-380.77492707570394,2,-9.883867747551752e-05
0.0,0.0,0.002377136243740097,2.19686222076416,262,0.0023114193696528672,0.0091527036158368,0.002311419404577464,1.2657634882392206e-05,0.0,0.0,0.0023763473514312257,-5.323585013078021e-05,0,0.0032897948867406917,21600,-77.60448188781739,3,-5.323585013078021e-05
0.0,0.0,0.0019038209109567105,2.1966219345728555,282,0.003778955266655733,0.021081097020457188,0.0037789552899387974,1.675139510552981e-05,0.0,0.0,0.0018911430301765601,-3.674602428418439e-05,0,0.003615356763704709,28800,-37.37730026245117,4,-3.674602428418439e-05
0.0,0.0,0.0025237722128319245,2.1970361630121866,304,0.001639743594569154,0.009366579734099408,0.0016397435868081326,6.134055198951197e-06,0.0,0.0,0.002550601509089271,-6.395513032989205e-05,0,0.001600132328222711,36000,-88.94266951878866,5,-6.395513032989205e-05
0.0,0.0,0.002094311833692094,2.196943664550781,325,0.002360617999996369,0.015500771704440315,0.0023606180291001993,8.436731817103766e-06,0.0,0.0,0.0020520840829703958,-4.9420415477167506e-05,3324.0,0.001790456221140172,43200,-45.80730867385864,6,-4.9420415477167506e-05
0.0,0.0,0.002319112656793247,2.197152082125346,343,0.0010327507508918643,0.004814886092208326,0.0010327507528321196,2.7880575506363432e-06,0.0,0.0,0.0023343255588163933,-5.485526122962862e-05,3324.0,0.0011843263202548826,50400,-104.04420655568441,7,-5.485526122962862e-05
0.0,0.0,0.001954554560749481,2.1971449851989746,357,0.0009758403815794736,0.003952294886888316,0.0009758404281456024,4.229119891382046e-06,0.0,0.0,0.0019346476532518865,-4.135909942609336e-05,3324.0,0.001222049367226657,57600,-162.2855286916097,8,-4.135909942609336e-05
0.0,0.0,0.0020688692612263063,2.1970513423283893,370,0.0017305573758979638,0.010378704266622662,0.0017305574263446033,4.998429142233363e-06,0.0,0.0,0.0021103610284626483,-5.037101309426362e-05,3324.0,0.0010209546132329131,64800,-50.58073059717814,9,-5.037101309426362e-05
0.0,0.0,0.001903015305288136,2.197107132275899,381,0.0013420267699984834,0.007539040991105139,0.0013420267156713332,3.4242910165479164e-06,0.0,0.0,0.0018803172356759508,-3.9363533312553044e-05,3324.0,0.0010326536376677798,72000,-133.59423567454022,10,-3.9363533312553044e-05
