explained_variance,fps,PMM:episode_rewards,advantage_norm,policy_loss,P09:episode_rewards,epoch_idx,frames,episode_length,value_loss,P01:episode_rewards,policy_entropy,grad_norm
-2.3478091084957122,234,1.1951219512195121,4.3880740568041805,-0.006370692843338474,3.0,1,8000,175.53658536585365,0.8549627551720005,0.0,1.26694148093462,25.778886093576435
-1.6008935976028442,149,1.1888888888888889,0.903504157923162,0.00040141948265954853,3.0,2,16000,172.1888888888889,0.008847294016923114,0.0,1.3580885219573975,0.17511493007761672
-0.2685719430446625,172,1.36,1.0234793158620596,0.0013641136715887114,3.0,3,24000,179.9,0.009967043630131229,0.0,1.378880761861801,0.1600237218647341
-0.30539840638637544,188,1.44,0.8430744026228786,-0.000565568725578487,3.0,4,32000,186.19,0.007835368694750287,0.0,1.3834911358356476,0.1270514586702813
-0.515001255273819,199,1.12,0.8089519674703479,3.267389172833646e-05,3.0,5,40000,171.5,0.007731638420391391,0.0,1.3848749947547914,0.13721274946682832
-0.14862244784832002,208,1.26,0.9877097368985415,0.0009986018962263189,3.0,6,48000,177.38,0.009817680156884308,0.0,1.384671046733856,0.14418013191788925
-0.21522388041019438,214,1.54,0.9785214147716761,0.0016763648818596266,4.0,7,56000,189.8,0.009682009627340449,0.0,1.3852815639972687,0.14920900251352393
-0.15788182377815246,218,1.56,0.8807975191622972,-0.00024180226307407793,4.0,8,64000,189.88,0.008531075390746991,0.0,1.3821849286556245,0.14174317658433297
-0.30540050208568575,221,1.21,0.8625853449851274,0.00020617421017959714,3.0,9,72000,175.52,0.008361952400236987,0.0,1.3785707557201385,0.14064555591727332
-0.2198718184232712,225,1.35,1.015651972144842,0.0012981750999460928,3.0,10,80000,182.22,0.010160885391996999,0.0,1.3811624920368195,0.1801707920482134
-0.31302620947360993,227,1.53,0.9018838358297944,-0.0001786635030293837,4.0,11,88000,186.72,0.008286474885990174,0.0,1.3826246857643127,0.1591572034045391
-0.19951630473136903,229,1.42,0.9221719855815173,0.0018104637128999457,3.0,12,96000,181.62,0.008782052357219072,0.0,1.382148926258087,0.1501343977462696
-0.3871665972471237,231,1.52,0.9075592347979545,0.0014279593050014227,3.0,13,104000,188.65,0.008641987156079268,0.0,1.3850219225883484,0.17943016863053926
-0.08130781710147858,232,1.51,0.9737308438122273,0.0006340036608889932,3.0,14,112000,188.32,0.008755561255966313,0.0,1.3855155813694,0.17301799612871455
-0.40733573377132415,233,1.48,0.9043857727944851,0.0010018702188972384,3.0,15,120000,186.87,0.007706155754131032,0.0,1.3844391810894012,0.16398494637290711
-0.05846995353698731,234,1.56,0.8881708812713623,-0.0011093625804642216,4.0,16,128000,189.68,0.006920338834897848,0.0,1.3848219120502472,0.1722193114790786
-0.27324589967727664,235,1.43,0.8663147220760584,0.0003777709702626453,3.0,17,136000,184.1,0.007473899850010639,0.0,1.379121025800705,0.15261038845082373
-0.40227076947689056,236,1.25,0.778345072939992,-0.00022543042847246399,3.0,18,144000,177.77,0.0061288193197106015,0.0,1.3806084167957307,0.160649253375186
-2.486285307407379,237,1.19,0.7386608778685332,0.0006990948622114956,3.0,19,152000,175.05,0.005496421147108776,0.0,1.3818467950820923,0.1446324740322929
-0.14417193174362183,239,1.37,0.8508295086026192,-0.00024565883970353755,4.0,20,160000,182.16,0.006600792658209684,0.0,1.3817705476284028,0.1527677737735446
-0.4112377142906189,240,1.32,0.8560113669931888,-0.0002452124792034738,3.1000000000000085,21,168000,179.38,0.006699584997550119,0.0,1.3761927592754364,0.1631216702015823
-0.15486013770103454,241,1.28,0.8787234174460172,0.00032346282685466574,3.0,22,176000,176.96,0.007251094613457099,0.0,1.3761332547664642,0.16950254754628422
