avg_q_retraced,model_prob_std,episode_length,explained_variance,policy_entropy,policy_loss,fps,frames,grad_norm,rollout_prob_std,P09:episode_rewards,epoch_idx,policy_gradient_bias_correction,avg_q_selected,P01:episode_rewards,PMM:episode_rewards,policy_gradient_loss,advantage_norm,q_loss
0.011247884357968967,0.009342242490189771,0,-13.145585664113362,2.1858248869578043,-4.170772059903053e-05,464,7200,0.04809290989822306,0.00934224205557257,0.0,1,0.0,0.011208119786654909,0.0,0.0,-4.170772059903053e-05,0.05651093702763319,0.00042797795925556177
0.018091731502984962,0.01236791112460196,0,-18.91985362370809,2.17729351123174,-0.0005588805197476177,433,14400,0.1129174188415237,0.012367910705506802,0.0,2,0.0,0.018553946120664477,0.0,0.0,-0.0005588805197476177,0.05882637482136488,0.0004965402197285584
0.00441267064306885,0.0025734961692554254,0,-15.724014600118002,2.1969140768051147,-0.00018203306409532162,441,21600,0.003408025508104945,0.0025734960334375502,0.0,3,0.0,0.004556439677253365,0.0,0.0,-0.00018203306409532162,0.01976533525933822,1.574524923550295e-05
0.003329292203610142,0.0028805685811676084,0,-9.930765946706137,2.1968803962071735,-5.216843221565644e-05,464,28800,0.0023079931162263206,0.0028805685501235227,0.0,4,0.0,0.003272832534275949,0.0,0.0,-5.216843221565644e-05,0.021639754126469294,9.526212807031698e-06
0.0031896799337118864,0.0016986504973222811,0,-7.437052043279012,2.1970850467681884,-0.00010232285364205987,480,36000,0.0012973269653463494,0.0016986504468756416,0.0,5,0.0,0.003272705366058896,0.0,0.0,-0.00010232285364205987,0.01329960864968598,4.391479778102318e-06
0.002377524750772864,0.002118767440939943,3324.8333333333335,-10.584653266270955,2.1970252354939777,-5.3861749476406356e-05,497,43200,0.0016180096626357543,0.002118767351688196,0.0,6,0.0,0.0023490952987534302,0.0,0.0,-5.3861749476406356e-05,0.016392491261164346,5.305950962034937e-06
0.003576205732921759,0.0015543985258166988,3324.8333333333335,-11.328477986653645,2.1970515330632527,-5.8012714104431023e-05,508,50400,0.0020698505348221066,0.0015543985568607847,0.0,7,0.0,0.0036031108310756585,0.0,0.0,-5.8012714104431023e-05,0.013738127953062455,6.574565838946001e-06
0.006469596336440494,0.0015198306879028677,3324.8333333333335,-11.964712536334991,2.1971158027648925,-0.0001874084535908575,518,57600,0.0016390084611026534,0.0015198306723808249,0.0,8,0.0,0.00651764942255492,0.0,0.0,-0.0001874084535908575,0.012259912273536126,4.188043927418524e-06
0.0015393572859466076,0.001535760723830511,3324.8333333333335,-10.465806086858114,2.197119418780009,-2.508219534623398e-05,524,64800,0.0008932536519162057,0.0015357607509940863,0.0,9,0.0,0.0015346705059831342,0.0,0.0,-2.508219534623398e-05,0.012681114083776871,3.4654608384698802e-06
0.0013874272039781014,0.0012006918880312393,3324.8333333333335,-8.926246722539267,2.197150444984436,-2.4426860318271792e-05,531,72000,0.0007758318644520525,0.0012006918899714948,0.0,10,0.0,0.0013695920972774426,0.0,0.0,-2.4426860318271792e-05,0.010191113936404388,2.0695489865829584e-06
0.0012071028196563324,0.0016816694483471413,3324.8333333333335,-7.257530164718628,2.197098175684611,-6.152834278054798e-05,535,79200,0.0009032751498357193,0.001681669430884843,0.0,11,0.0,0.0013066210007915894,0.0,0.0,-6.152834278054798e-05,0.014023209953059753,3.252355527176102e-06
0.0007662481667163472,0.0007684638219264647,3324.2083333333335,-9.762624390920003,2.1971950133641562,-3.326069422323978e-05,537,86400,0.0004761764214930965,0.00076846382386672,0.0,12,0.0,0.0007868566414496551,0.0,0.0,-3.326069422323978e-05,0.0066620911005884405,8.365116874150165e-07
0.004223164973276046,0.001146532309940085,3324.2083333333335,-9.37982694307963,2.1971415678660073,-7.455470064693751e-05,540,93600,0.0012962074587818926,0.00114653233710366,0.0,13,0.0,0.004234460717028318,0.0,0.0,-7.455470064693751e-05,0.01014295097750922,3.927429737397384e-06
0.001627311403475081,0.0007999287180912991,3324.2083333333335,-12.18455278078715,2.1971854686737062,-5.797359168203305e-05,543,100800,0.0005962010984556685,0.0007999287103302777,0.0,14,0.0,0.0016375204829576736,0.0,0.0,-5.797359168203305e-05,0.007721663483728965,1.5042926539384402e-06
0.0004974980984115973,0.0011623102511900167,3324.2083333333335,-7.858463144302368,2.197168064117432,-2.0228906782904234e-05,547,108000,0.0005709490281896049,0.001162310247309506,0.0,15,0.0,0.0005108654324430973,0.0,0.0,-2.0228906782904234e-05,0.010321599369247755,1.595672277214059e-06
0.0002675495300422881,0.0005686845407277967,3324.2083333333335,-8.7029957930247,2.1972075700759888,-1.641411053393919e-05,549,115200,0.00031993436307013105,0.0005686845281161368,0.0,16,0.0,0.00029627260543444817,0.0,0.0,-1.641411053393919e-05,0.00535824679924796,5.918398211216906e-07
0.000555538104720957,0.0010816457172768423,3324.25,-6.649181411796146,2.197172867655754,-1.0580962668661363e-05,544,122400,0.0005282751779172653,0.0022623977479492574,0.0,17,2.4348682418443937e-08,0.0005364335873936296,0.0,0.0,-1.0605311337441335e-05,0.009877642941040297,1.572105575754613e-06
0.0006341335387180184,0.0006724795015360138,3324.25,-3.616467180567945,2.197200347394138,-1.183023874059889e-05,529,129600,0.00042126894917292524,0.002692368680207012,0.0,18,1.9465453199027343e-08,0.0006316869120232885,0.0,0.0,-1.1849704212437105e-05,0.006912639542062992,1.079719040582686e-06
