PMM:episode_rewards,frames,explained_variance,epoch_idx,value_loss,episode_length,policy_entropy,P01:episode_rewards,advantage_norm,fps,policy_loss,grad_norm,P09:episode_rewards
0.9555555555555556,8000,-1.8197897261381148,1,0.32426903670731916,164.73333333333332,1.3413887488842011,0.0,2.2064098992198704,329,0.06513024007595959,7.911269087098468,3.0
1.1685393258426966,16000,-0.08879255175590516,2,0.0149758598729386,174.62921348314606,1.3691545724868774,0.0,1.294567645639181,237,-0.0016237801169336308,0.28938490056361393,4.0
1.38,24000,-0.045137836933135986,3,0.012895422538204002,182.9,1.3766892683506011,0.0,1.2296728803217412,251,0.0008390107296872884,0.25100131782245255,4.0
1.32,32000,-0.03243139445781708,4,0.009942911086327513,178.28,1.3681834816932679,0.0,0.9936039881408214,262,0.0003369878011289984,0.22958304136043228,3.0
1.07,40000,-0.05840939581394196,5,0.009927285666417447,168.04,1.3697440898418427,0.0,1.0136517020314932,265,0.0008591914127464406,0.22035309422159702,2.0
1.08,48000,-0.05224222779273987,6,0.08432357143174159,168.89,1.3194054067134857,0.0,1.9697943504154682,269,-0.0023005459387786687,1.5797649950873989,2.0
1.23,56000,0.0827977877855301,7,0.03240812377232942,173.15,1.3295488698780538,0.0,1.3881433211266994,270,0.00013048078733845613,0.6698225262747401,3.0
1.18,64000,0.23128530919551848,8,0.01838391525991028,173.22,1.3325211423635483,0.0,1.4613617852330207,272,-0.0054754106857581065,0.4609491820395307,3.0
1.55,72000,0.5896875369548797,9,0.019012364263180644,190.34,1.3681318795681,0.0,1.6145761561393739,277,-0.007553486477700062,0.5065018114616902,4.1000000000000085
2.08,80000,0.7553066271543503,10,0.015362859013257547,212.38,1.3440568947792053,0.0,1.477732821702957,276,-0.0018715523469609251,0.4425800672664962,5.0
2.15,88000,0.6807379412651062,11,0.014772976374952123,211.02,1.3350874030590056,0.0,1.378676717877388,276,-0.003445645262254402,0.44174374262077165,5.1000000000000085
1.83,96000,0.8350148522853851,12,0.011849969665054232,198.01,1.3290769338607789,0.0,1.2811036080121994,277,-0.003362324690533569,0.38540515789100044,5.0
1.94,104000,0.8663971525430679,13,0.010145275860559196,199.0,1.3463973367214204,0.0,1.2086443397402764,279,-0.002497623134404421,0.37209004724858225,5.0
2.22,112000,0.8794844776391983,14,0.008874511428875848,209.08,1.3198747026920319,0.0,1.0989202255010604,278,-0.0013603684710096786,0.3427577077366157,6.1000000000000085
2.2,120000,0.9167609798908234,15,0.008481087565887719,208.34,1.3454853427410125,0.0,1.1093192732334136,280,-0.0009667540242662653,0.3040667311396467,7.200000000000017
2.15,128000,0.8958223557472229,16,0.00806758934573736,207.84,1.3453005194664,0.0,1.0004154169559478,282,-0.0012542984256288037,0.29216556474996636,6.1000000000000085
2.18,136000,0.8812927913665771,17,0.00862099451594986,207.82,1.3637146699428557,0.0,1.0594330701231955,284,-0.00038899341122032637,0.3052033754038897,6.1000000000000085
1.62,144000,0.9081861311197281,18,0.006295686835655943,188.66,1.3691599678993225,0.0,0.9398371812701225,284,-0.0011801709980954912,0.2555861184509499,5.0
1.46,152000,0.9313354867696763,19,0.005607219187659211,186.08,1.3608855307102203,0.0,0.8749497729539871,284,-0.0007646335889876355,0.23715967496234236,4.0
2.07,160000,0.9305938404798507,20,0.006476717769983225,206.67,1.3456527042388915,0.0,0.9255241703987122,286,-0.0012255799777267384,0.25304955263521633,5.1000000000000085
2.19,168000,0.9299993711709976,21,0.006629272575955838,209.72,1.351836360692978,0.0,0.9267506930232048,287,-4.63033151027048e-05,0.2482044962975711,6.0
2.36,176000,0.9394405746459961,22,0.0074193543061846865,214.28,1.3405290913581849,0.0,1.0003011256456376,287,-0.0028082644246751444,0.28015034112969867,7.1000000000000085
2.37,184000,0.959285346865654,23,0.004534006336471066,218.44,1.3318602526187897,0.0,0.7814896064996719,288,-0.0022858653475850586,0.21390730051206971,6.0
2.4,192000,0.9557215130329132,24,0.004555886753078085,220.86,1.3479419612884522,0.0,0.7230448049306869,288,-0.0010104606574168429,0.2095203087590728,6.0
2.04,200000,0.9149740719795227,25,0.006502789544756524,205.5,1.3609704291820526,0.0,0.9336259415745736,289,-0.001720821843482554,0.25248640036512077,5.1000000000000085
1.55,208000,0.9559962630271912,26,0.005220893981750123,188.08,1.3507247495651244,0.0,0.836879410147667,289,-0.0011862656520679592,0.2202500531746646,5.0
1.79,216000,0.9702922189235688,27,0.0034806608251528814,199.24,1.3508606767654419,0.0,0.6946570885181427,290,-0.00042755836650030686,0.17972719085737737,5.0
1.65,224000,0.9536876612901688,28,0.0037199871643679217,193.43,1.3626965475082398,0.0,0.6732052625715732,290,-3.269734384957701e-05,0.17542051995385508,5.0
1.53,232000,0.9633302903175354,29,0.004130331271444448,186.4,1.3529659187793732,0.0,0.7375107809901238,290,-0.00137336696323473,0.1900763400640419,5.0
1.95,240000,0.9452383244037628,30,0.005147759785759262,203.99,1.3646145975589752,0.0,0.8397430029511451,290,-0.0004396978119621053,0.20284520781736348,5.1000000000000085
2.0,248000,0.9674114447832107,31,0.0030558568649576047,202.79,1.3515390419960023,0.0,0.6197414104640484,290,-0.0009373538831641781,0.15489192756653078,6.0
2.03,256000,0.9430492556095124,32,0.005955191012471914,201.26,1.3646551990509033,0.0,0.8881188923120499,291,-0.002795536803314462,0.24341146223067245,7.0
1.88,264000,0.9452040553092956,33,0.005320319719030522,200.94,1.3696374988555908,0.0,0.8210510149598121,291,0.0014175603986950592,0.19800195276037136,5.0
1.9,272000,0.8243884390592575,34,0.010012238112976775,200.58,1.3768859994411469,0.0,1.1877960884571075,291,-0.0025040394955431113,0.31053659221726876,5.0
1.96,280000,0.8761838006973267,35,0.009930689891334624,203.27,1.3654488801956177,0.0,1.1829439812898637,291,-0.001682101850165054,0.3178322284187469,4.0
1.9,288000,0.9522187566757202,36,0.005493303763214499,205.72,1.361852674484253,0.0,0.866768697798252,291,-0.0010145171667682007,0.22966050746116387,5.0
2.04,296000,0.9424717080593109,37,0.005634140949696303,210.99,1.3682322132587432,0.0,0.8717382711172104,292,-0.00031024097552290186,0.21251164887653545,5.0
1.97,304000,0.9496023184061051,38,0.004712788533361163,205.02,1.3606640577316285,0.0,0.745027847290039,292,-0.0006282040331279859,0.17441733474271304,5.0
1.86,312000,0.9463782459497452,39,0.004610347601119429,196.72,1.3596335434913636,0.0,0.7618588376045227,292,-0.001054352191858925,0.19094830039961766,5.1000000000000085
1.95,320000,0.9699529653787613,40,0.0035693746380275116,198.81,1.3526757562160492,0.0,0.6873566155135632,292,-0.0013737957060220652,0.17282955488459403,6.0
2.33,328000,0.9581100702285766,41,0.005096213866199833,215.89,1.3530185317993164,0.0,0.7854824513196945,292,-0.0014210327810724266,0.2049415772348527,6.0
2.23,336000,0.9662993067502975,42,0.0037888805189868436,212.64,1.3475852382183076,0.0,0.6619369852542877,292,-0.001370544472883921,0.16514855689441618,6.1000000000000085
2.38,344000,0.9462935596704483,43,0.005102975890331436,217.13,1.361947546005249,0.0,0.8019671079516411,293,0.00028353847810649315,0.20723502896390544,8.0
2.37,352000,0.856698732972145,44,0.01541479405364953,215.08,1.3592861938476561,0.0,0.9626569783687592,293,-0.007262469914567191,0.37859009208914624,8.100000000000009
1.9,360000,0.9163991343975068,45,0.007113128989294637,198.81,1.3595535850524902,0.0,0.7895891383290291,292,0.0002580794002278708,0.26508109851929096,6.0
2.1,368000,0.9516620540618896,46,0.004890419399598614,206.51,1.3616485512256622,0.0,0.8069186970591545,292,-0.00216006276797998,0.2002167341882428,6.1000000000000085
2.32,376000,0.9298299992084503,47,0.0065937163884518665,218.98,1.365584990978241,0.0,0.9427558407187462,292,-0.0007157902079052292,0.22889117732749498,5.1000000000000085
2.96,384000,0.9505936348438263,48,0.005104259577346965,237.76,1.3532911884784697,0.0,0.811468378007412,292,-0.0006252406045678072,0.19099848949639625,9.0
2.25,392000,0.9589320927858352,49,0.003930210007238202,209.97,1.3627521300315857,0.0,0.7148726969957352,292,-0.0016291690562502481,0.17741988458887095,6.1000000000000085
1.88,400000,0.9394844931364059,50,0.005497367805219255,197.29,1.3678906321525575,0.0,0.834118185043335,292,-0.00012895891493826638,0.20121991082878035,5.1000000000000085
1.88,408000,0.9480576688051223,51,0.004360555100138299,194.55,1.3622538137435913,0.0,0.7369588103890419,291,-0.000921398198697716,0.17272824422524136,5.0
