frames,clip_fraction,episode_length,PMM:episode_rewards,advantage_norm,policy_loss,value_loss,epoch_idx,explained_variance,P09:episode_rewards,P01:episode_rewards,approx_kl_divergence,policy_entropy,grad_norm,fps
10240,0.2896728515625,318.0,90.0,15.968719327449799,0.0235615504647285,30.25577469118871,1,-0.0528447549790144,177.50000000000003,0.0,0.1482831188991678,1.5856804102659225,235.06610686452387,174
20480,0.133935546875,321.758064516129,95.96774193548387,15.968718218803406,-0.0006010039993270766,0.04247140653897077,2,-1.6763806343078613e-08,197.49999999999997,0.0,0.0021100633854416627,1.75326214581728,0.843696645535762,177
30720,0.0903564453125,329.7340425531915,128.72340425531914,15.968718069791795,-0.001839323205058463,0.01836318262357963,3,7.450580596923829e-10,267.5000000000001,7.500000000000018,0.0013350006374054147,1.7822490356862546,0.2886198451390829,183
40960,0.031640625,329.61,140.0,15.968718004226684,-0.0015298565267585218,0.017741484913858584,4,-1.2665987014770507e-08,282.5000000000007,25.0,0.000850195485602967,1.7772531174123287,0.11432675455502643,186
51200,0.0,334.46,165.0,15.968718099594117,-0.0002964848667033948,0.021779867314035074,5,-1.564621925354004e-08,327.5000000000002,25.0,0.0002007795876060925,1.7847844265401362,0.08948008007561756,186
61440,0.0032470703125,329.68,152.5,15.96871817111969,-0.0009422407174497494,0.020446076572989115,6,6.7055225372314455e-09,250.0,25.0,0.00031771548327910184,1.7802217967808247,0.08072370446150226,190
71680,0.00478515625,338.13,183.25,15.968718236684799,-0.0008434356208454119,0.022786635818192735,7,-9.313225746154785e-09,327.5000000000002,25.0,0.0003062289034556187,1.7761096060276031,0.07976707324804347,190
81920,0.0,338.03,179.0,15.968718123435973,-0.0004357345218522823,0.02047299264522735,8,-1.6391277313232423e-08,302.5000000000002,25.0,0.00017781297583923105,1.7743486814200877,0.07935986399334291,191
92160,0.0,342.95,191.0,15.968718069791795,-0.0006851556336187059,0.021872620430076494,9,8.940696716308593e-09,350.0,25.0,0.0002047888445076751,1.7698871351778507,0.05860257163955503,193
102400,0.0,338.38,169.25,15.9687180519104,-0.0006599556316359667,0.018629706822684965,10,-2.458691596984863e-08,300.0,50.0,0.0001754219058781814,1.782392106950283,0.061153408905057785,193
