clip_fraction,PMM:episode_rewards,episode_length,fps,frames,grad_norm,explained_variance,policy_entropy,epoch_idx,value_loss,P01:episode_rewards,approx_kl_divergence,policy_loss,P09:episode_rewards,advantage_norm
0.28369140625,110.9375,561.0625,284,10240,94976676.79467994,-0.7404805347323418,0.23895893738159674,1,51969418.57871334,0.0,164435.49393500588,0.039048379873702285,250.0,15.968717980384827
0.151806640625,184.375,479.0,274,20480,0.14673285484989282,-1.564621925354004e-08,0.8222175437957049,2,0.011451294232210784,0.0,0.0061341720992004415,0.0012401151925587328,275.0,15.968717408180236
0.1639892578125,199.62686567164178,445.13432835820896,284,30720,0.10376828671537326,-1.5273690223693846e-08,1.0114739455282689,3,0.010975643244455569,0.0,0.00480506713588511,0.0005416619202151196,275.0,15.968717861175538
0.11728515625,199.20212765957447,430.1063829787234,288,40960,0.0759933313074874,8.195638656616212e-09,1.0820654708892108,4,0.008809287675831001,25.0,0.002729848266517365,0.0001497350549470866,275.0,15.968717783689499
0.1261474609375,199.0,397.24,290,51200,0.06025636844681355,-1.9371509552001954e-08,1.1387386981397867,5,0.009274058389564743,75.0,0.003551304173549852,-0.00047327179272542707,277.5000000000002,15.968717855215072
0.150048828125,179.25,378.86,293,61440,0.045790267703311294,-7.078051567077636e-09,1.1728849716484546,6,0.009768700966378673,72.50000000000001,0.002557439423966912,-0.0006032173027051613,275.0,15.968717801570893
0.16953125,169.5,367.19,292,71680,0.05117208030359618,4.8428773880004884e-09,1.2313240818679332,7,0.009748088072592509,47.50000000000001,0.003080180250117337,-0.0007980315243912628,252.50000000000023,15.968717873096466
0.171337890625,177.0,367.5,292,81920,0.04730539443185275,0.0,1.2281772993505,8,0.008316034695599227,50.0,0.0026435708902006637,-0.0008795825007837266,305.00000000000045,15.968717980384827
0.1024169921875,172.0,373.89,292,92160,0.037515988879082376,-4.8428773880004884e-09,0.9970360022038222,9,0.009136900368866918,75.0,0.0018723482011893111,-0.0007914332705695415,255.00000000000043,15.968717849254608
0.1212890625,179.25,391.36,292,102400,0.039594681140842414,-1.7136335372924803e-08,0.9875569704920053,10,0.009231346578599187,97.5,0.002233223144406793,-0.001111164585017832,300.0,15.968717819452285
0.14638671875,186.5,408.14,291,112640,0.043994608846576855,8.195638656616212e-09,1.0737723983824252,11,0.008407411711141321,100.0,0.0027929900161609567,-0.0005228313788393279,312.5000000000011,15.968717730045318
0.13994140625,195.25,418.95,291,122880,0.04141020931433899,1.7508864402770997e-08,1.1699950739741325,12,0.008954097736204859,100.0,0.002913320604147884,-0.0009986780172766886,312.5000000000011,15.96871771812439
