frames,P09:episode_rewards,fps,grad_norm,episode_length,value_loss,policy_loss,P01:episode_rewards,PMM:episode_rewards,policy_entropy,explained_variance,epoch_idx,advantage_norm
8000,3.0,239,1.6877157086416803,182.23076923076923,0.06964816611884089,0.017683434087084605,0.0,1.4102564102564104,1.32083006888628,-0.47234140932559965,1,1.7770668771117926
16000,3.0,247,0.2307081082766442,185.25581395348837,0.014497632966658784,0.003423550568986684,0.0,1.4883720930232558,1.3778064024448395,-0.01936518371105194,2,1.2440045046620072
24000,4.0,260,0.2261549966470046,195.29,0.0169244709101622,-0.00022608533094171436,0.0,1.7,1.3814047074317932,-0.011148441433906555,3,1.4147350278496742
32000,3.0,265,0.16545939237520357,180.74,0.009568087314937657,-8.999126963317394e-05,0.0,1.3,1.3780505979061126,-0.0992223709821701,4,0.931043183170259
40000,3.0,259,0.1788537058062254,171.36,0.011872946457788202,0.003394281354685518,0.0,1.07,1.3817848646640778,-0.02637793719768524,5,1.1040738854557275
48000,3.0,254,0.20245179149330395,178.9,0.013220380626553379,0.0018195066432235762,0.0,1.29,1.383330488204956,-0.006505894660949707,6,1.1954523402452468
56000,3.0,257,0.1685172179839313,178.25,0.011739646661262669,0.0013397662882925943,0.0,1.32,1.3795768702030182,-0.00909736156463623,7,1.0810019043833017
64000,3.0,256,0.196122647401468,176.77,0.013840968745516874,0.002673837267793715,0.0,1.26,1.37854132771492,-0.02275396704673767,8,1.1700546786189079
72000,3.0,257,0.18106692041199074,174.83,0.011399609560758108,0.0022937466931762175,0.0,1.17,1.380598714351654,-0.029975471496582032,9,1.0194720683246852
80000,3.0,260,0.16304926144580265,170.85,0.010307585008413299,-0.0005718016620085109,0.0,1.15,1.3819744634628295,0.0025129997730255127,10,1.0477761518210174
88000,3.0,262,0.2551214318567577,174.33,0.013167004682545667,0.0007837813973310404,0.0,1.26,1.3821783351898194,0.02405707001686096,11,1.2058015280961991
