P09:episode_rewards,frames,value_loss,PMM:episode_rewards,epoch_idx,advantage_norm,approx_kl_divergence,P01:episode_rewards,policy_loss,episode_length,fps,clip_fraction,grad_norm,explained_variance,policy_entropy
50.0,10240,12837532.949618667,25.78125,1,15.968679642677307,22469.17414489809,0.0,0.030829275826130244,280.625,414,0.281494140625,22408479.940298267,-1.3359227176755666,0.4021719556171188
75.0,20480,0.0036669108030629614,38.888888888888886,2,15.96870460510254,0.010665715440086387,0.0,0.0013763983042736072,284.65277777777777,336,0.36376953125,0.07790486874855497,7.078051567077636e-09,1.3091415204107761
75.0,30720,0.0042688209533293,38.0,3,15.968714427947997,0.004888092612259243,0.0,-0.0006500719267933164,286.23,361,0.2460693359375,0.04735790770617642,1.080334186553955e-08,1.4371583946049213
100.0,40960,0.0041021940022124784,59.0,4,15.968702721595765,0.0045737862046735245,0.0,-0.0008636629638203886,291.72,379,0.2548583984375,0.0417467657063504,-7.450580596923828e-09,1.500882312655449
152.50000000000023,51200,0.006348414281183068,67.25,5,15.968714940547944,0.003503136370238735,0.0,-0.00033715112149366175,296.06,396,0.2285888671875,0.0493472835108285,-8.195638656616212e-09,1.5807647287845612
200.0,61440,0.007981964214097914,87.5,6,15.968715524673462,0.0036366953906565415,0.0,-0.0011273947446170495,301.78,406,0.231396484375,0.05000238739617515,8.195638656616212e-09,1.5724777713418008
227.5000000000002,71680,0.008697140301956096,114.0,7,15.968717831373215,0.003251810801339161,25.0,-0.000926941923898994,317.38,412,0.21328125,0.052062551827012395,1.3411045074462891e-08,1.6826656728982925
275.0,81920,0.012281788763357327,151.0,8,15.968717831373215,0.003687849056325376,25.0,-0.0011490378059534124,329.12,422,0.2308349609375,0.05548980014789719,3.3527612686157227e-09,1.7045173160731792
352.5000000000002,92160,0.013596779135696124,204.5,9,15.968717849254608,0.003080171976841939,50.0,-0.0012819098556065,345.27,429,0.2093994140625,0.05620835483365374,1.7881393432617187e-08,1.674565924704075
555.0000000000005,102400,0.013330059373402037,243.25,10,15.968717896938324,0.00423699906107231,47.50000000000001,-0.0017837465271441032,352.4,434,0.254150390625,0.05673294486677953,1.5273690223693846e-08,1.6315833553671837
552.5000000000002,112640,0.011171003834169824,262.0,11,15.968717807531357,0.0028155594609756917,75.0,-0.001206841704697581,359.78,435,0.199267578125,0.05322048745152438,-1.7136335372924803e-08,1.6476697608828546
477.5000000000002,122880,0.011300125058915,228.75,12,15.96871783733368,0.0027239943040001436,72.50000000000001,-0.001063744188650162,349.76,435,0.1698974609375,0.05461282338672897,5.960464477539063e-09,1.6375741071999073
527.5000000000002,133120,0.013719078837311827,241.75,13,15.968717765808105,0.0027208987057292687,75.0,-0.001414167703842395,348.61,437,0.174267578125,0.05395756702640455,-1.825392246246338e-08,1.6269293889403342
377.5000000000002,143360,0.015206827557994984,238.5,14,15.968717885017394,0.0024708403826934956,75.0,-0.0011383804900106042,349.24,440,0.1646484375,0.053943379625777624,3.3527612686157227e-09,1.5976456321775914
527.5000000000002,153600,0.014767607621615752,266.0,15,15.968717730045318,0.0023586533717377734,97.5,-0.0008698981302586617,353.97,442,0.145361328125,0.053505722855174895,-1.7136335372924803e-08,1.5656327784061432
400.0,163840,0.015887784588267097,273.0,16,15.968717807531357,0.0029432086083602373,150.0,-0.0014568662219971884,354.22,442,0.20849609375,0.058077866199250115,-5.587935447692871e-09,1.4983292646706103
377.5000000000002,174080,0.015892077406169845,281.0,17,15.968717765808105,0.002918040387567089,172.5,-0.0016908744757529349,349.79,443,0.1912841796875,0.05299902157467936,-1.0058283805847169e-08,1.4167065016925335
375.0,184320,0.015546045015798881,270.75,18,15.968717920780183,0.002900813487588039,175.0,-0.0013911142537835985,341.81,444,0.159228515625,0.0465180035194869,8.195638656616212e-09,1.305219879001379
375.0,194560,0.01659630492795259,270.5,19,15.968717920780183,0.0024654796361460287,175.0,-0.0019428458144830074,342.6,446,0.1782470703125,0.05055306647497478,-1.601874828338623e-08,1.3965624511241912
375.0,204800,0.017611936217872427,274.75,20,15.968717855215072,0.0025751942507440616,175.0,-0.0011232953125727362,343.07,444,0.153271484375,0.051577874405789925,-1.862645149230957e-09,1.4048694372177124
400.0,215040,0.017769624110951555,287.0,21,15.968717968463897,0.0022549704907305567,175.0,-0.0011410582363168941,343.61,445,0.1609375,0.05742464815084414,5.215406417846679e-09,1.3972274407744407
