explained_variance,approx_kl_divergence,value_loss,PMM:episode_rewards,episode_length,fps,policy_loss,P01:episode_rewards,advantage_norm,policy_entropy,P09:episode_rewards,epoch_idx,clip_fraction,grad_norm,frames
-0.10632578060030937,7790498.521131326,2874461274.697383,85.9375,593.9375,187,0.0569727047750348,0.0,15.968700897693633,0.14531964147887474,162.5,1,0.3407470703125,2481922427.8574734,10240
1.0430812835693359e-08,0.008902641329268591,0.011046069776833178,138.51351351351352,524.7297297297297,188,0.003004666174820159,25.0,15.96870728135109,1.0390578646212816,250.0,2,0.3092529296875,0.14264784288494278,20480
4.8428773880004884e-09,0.00367832515620421,0.011824036783946213,176.5625,464.4375,201,-0.0005411255922808777,50.0,15.968717831373215,1.4363987378776073,267.5000000000001,3,0.1773193359375,0.056915539327906786,30720
-2.9802322387695314e-09,0.0034435353197750374,0.010647900349067641,207.9787234042553,435.67021276595744,208,-0.0008951985917519778,50.0,15.968717962503433,1.41979970484972,395.0000000000003,4,0.1681884765625,0.04415345958094916,40960
1.862645149230957e-09,0.0038235786071481926,0.006223014445151875,212.0,373.33,215,-0.0009779132622497854,50.0,15.968715476989747,1.2918718077242375,430.0000000000004,5,0.2147705078125,0.037485342219992765,51200
7.82310962677002e-09,0.0035199609685037103,0.004899279323763039,175.25,353.94,218,-0.0015916039021249162,25.0,15.968716305494308,1.368832593411207,427.5000000000002,6,0.2314453125,0.044116100358646736,61440
2.9802322387695314e-09,0.003268571879593196,0.004065815575360432,110.25,330.5,222,-0.0010469814673342626,0.0,15.968687409162522,1.3380085550248624,375.0,7,0.19404296875,0.03810817560615794,71680
-5.960464477539063e-09,0.00340961599995353,0.006482866830504719,101.75,327.42,224,-0.0012084915484592783,0.0,15.968716305494308,1.4005406096577644,230.0000000000004,8,0.198974609375,0.04255662878101679,81920
-1.4901161193847656e-08,0.0034324749763300134,0.0073673153159688805,132.75,335.23,226,-0.0007459122487489366,0.0,15.968717873096466,1.429531142115593,377.5000000000002,9,0.2096923828125,0.04680087832243552,92160
-9.313225746154785e-09,0.004219309729933229,0.007061103077353437,152.0,335.25,227,-0.0008296409938338911,25.0,15.96871742606163,1.5264787748456001,400.0,10,0.2867919921875,0.05069305682281207,102400
-2.905726432800293e-08,0.0038364986269613156,0.008161567639035638,158.5,330.23,229,-0.0014578069931303617,25.0,15.968717783689499,1.5063242375850678,405.00000000000045,11,0.2390380859375,0.04966915857496519,112640
-6.7055225372314455e-09,0.003099001484906694,0.006964894299585467,131.25,321.79,229,-0.001614358806546079,25.0,15.968717336654663,1.481067594885826,255.00000000000043,12,0.2309326171875,0.04930651011740882,122880
7.82310962677002e-09,0.0038102015139571677,0.006494143193901891,119.25,320.76,229,-0.0015706310605310136,25.0,15.968717283010482,1.5290557108819485,250.0,13,0.2716064453125,0.05127087022738782,133120
-3.7252902984619143e-10,0.0033401755581280667,0.006789937144731084,108.0,320.13,230,-0.000931907823542133,25.0,15.968717783689499,1.6447634369134903,225.0,14,0.2067626953125,0.049049359620916756,143360
1.4901161193847656e-08,0.0037840009957108124,0.009266420046697022,127.5,324.17,230,-0.0013347696483833715,25.0,15.968717849254608,1.694841769337654,252.50000000000023,15,0.261767578125,0.054934994484220026,153600
-7.450580596923828e-09,0.0034382591937628603,0.008092512667280971,144.75,331.88,230,-0.0008054084981267806,25.0,15.968717670440673,1.6864428631961346,275.0,16,0.244580078125,0.0552425464665985,163840
-1.1175870895385742e-09,0.004016398219494022,0.006460884700027236,143.0,331.21,231,-0.0017521967078209856,25.0,15.968717563152314,1.6339206114411353,277.5000000000002,17,0.2857666015625,0.0495044156521995,174080
5.960464477539063e-09,0.005749967924725752,0.003541463002625278,109.25,320.99,232,-0.001505903580255108,0.0,15.968707704544068,1.6210165701806545,225.0,18,0.3076904296875,0.04452543729661741,184320
4.8428773880004884e-09,0.004340978905406701,0.005509721988664751,85.75,310.65,232,-0.0011748895944037941,0.0,15.968712437152863,1.6624946676194667,200.0,19,0.2910400390625,0.05109191603205031,194560
-8.568167686462402e-09,0.003726937555347831,0.007623280761958995,90.5,314.92,233,-0.0017062381539290072,0.0,15.968717354536057,1.6681292288005352,200.0,20,0.2882568359375,0.05337568263830218,204800
5.587935447692871e-09,0.0037695314040661287,0.006092119898039527,107.5,320.34,233,-0.0011642632016446441,0.0,15.968717592954636,1.6934528209269046,225.0,21,0.2439208984375,0.05055050585579426,215040
-2.9802322387695314e-09,0.004012454167195756,0.007800245928232386,121.5,328.87,233,-0.0020204883359838275,0.0,15.968711459636689,1.6906689293682575,250.0,22,0.293408203125,0.051561759744552994,225280
